,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,15/04/2015 03:31:32 p.m.,17,2,2,4,126.0,85.0,211.0,1565.7000385859726,29.68151731916536,44921.33333333333,16,16,79.75,ICQchat2,0
1,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,15/04/2015 03:32:23 p.m.,17,6,0,6,300.0,0.0,300.0,50.76982282347231,1.0153964564694462,1181804.4,48,0,58.33333333333334,ICQchat2,0
2,131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,15/04/2015 03:32:29 p.m.,6,6,7,13,238.0,748.0,986.0,22.303307336182094,0.29405983303282685,3684057.5,120,140,76.30769230769229,ICQchat2,0
3,131.202.240.87-224.0.0.252-53604-5355-17,131.202.240.87,53604,224.0.0.252,5355,15/04/2015 03:31:36 p.m.,17,2,0,2,44.0,0.0,44.0,106.90743516914455,4.859428871324753,411571.0,16,0,33.0,ICQchat2,0
4,131.202.240.87-131.202.244.5-62361-53-17,131.202.240.87,62361,131.202.244.5,53,15/04/2015 03:30:15 p.m.,17,1,1,2,42.0,507.0,549.0,7628.708399916626,27.791287431390263,71965.0,8,8,295.5,ICQchat2,0
5,131.202.240.87-224.0.0.252-64063-5355-17,131.202.240.87,64063,224.0.0.252,5355,15/04/2015 03:32:27 p.m.,17,2,0,2,44.0,0.0,44.0,106.95161168786656,4.8614368949030276,411401.0,16,0,33.0,ICQchat2,0
6,131.202.240.87-224.0.0.252-53196-5355-17,131.202.240.87,53196,224.0.0.252,5355,15/04/2015 03:30:44 p.m.,17,2,0,2,44.0,0.0,44.0,106.94563272925255,4.861165124056933,411424.0,16,0,33.0,ICQchat2,0
7,131.202.240.87-224.0.0.252-49713-5355-17,131.202.240.87,49713,224.0.0.252,5355,15/04/2015 03:30:14 p.m.,17,2,0,2,44.0,0.0,44.0,107.0189861410413,4.864499370047332,411142.0,16,0,33.0,ICQchat2,0
8,131.202.240.87-224.0.0.252-60461-5355-17,131.202.240.87,60461,224.0.0.252,5355,15/04/2015 03:32:23 p.m.,17,2,0,2,44.0,0.0,44.0,106.74585268101913,4.852084212773597,412194.0,16,0,33.0,ICQchat2,0
9,131.202.240.87-224.0.0.252-65186-5355-17,131.202.240.87,65186,224.0.0.252,5355,15/04/2015 03:30:34 p.m.,17,2,0,2,44.0,0.0,44.0,106.77849287010882,4.8535678577322185,412068.0,16,0,33.0,ICQchat2,0
10,131.202.240.87-131.202.244.3-62361-53-17,131.202.240.87,62361,131.202.244.3,53,15/04/2015 03:30:15 p.m.,17,1,1,2,42.0,507.0,549.0,17205.177222727132,62.678241248550556,31909.0,8,8,295.5,ICQchat2,0
11,131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,15/04/2015 03:32:34 p.m.,6,6,6,12,229.0,802.0,1031.0,26.670367578973455,0.3104213491248123,3514285.0,120,120,86.41666666666669,ICQchat2,0
12,131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,15/04/2015 03:32:23 p.m.,6,2,2,4,106.0,0.0,106.0,3.5271275874849923,0.1330991542447167,10017594.333333332,40,40,39.75,ICQchat2,0
13,131.202.240.87-224.0.0.252-62358-5355-17,131.202.240.87,62358,224.0.0.252,5355,15/04/2015 03:32:23 p.m.,17,2,0,2,44.0,0.0,44.0,106.85031970101338,4.856832713682426,411791.0,16,0,33.0,ICQchat2,0
14,131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,15/04/2015 03:32:34 p.m.,6,1,1,2,6.0,0.0,6.0,34.350686154955945,11.450228718318648,174669.0,20,20,6.0,ICQchat2,0
15,131.202.240.87-224.0.0.252-55040-5355-17,131.202.240.87,55040,224.0.0.252,5355,15/04/2015 03:31:29 p.m.,17,2,0,2,44.0,0.0,44.0,106.94017426387488,4.860917011994314,411445.0,16,0,33.0,ICQchat2,0
16,131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,15/04/2015 03:32:23 p.m.,6,2,2,4,148.0,0.0,148.0,4.924898623623941,0.13310536820605245,10017126.666666668,40,40,55.5,ICQchat2,0
17,131.202.240.87-224.0.0.252-51303-5355-17,131.202.240.87,51303,224.0.0.252,5355,15/04/2015 03:30:44 p.m.,17,2,0,2,44.0,0.0,44.0,106.88665884450664,4.85848449293212,411651.0,16,0,33.0,ICQchat2,0
18,131.202.240.87-224.0.0.252-63885-5355-17,131.202.240.87,63885,224.0.0.252,5355,15/04/2015 03:31:36 p.m.,17,2,0,2,44.0,0.0,44.0,107.00909577314071,4.864049807870034,411180.0,16,0,33.0,ICQchat2,0
19,131.202.240.87-224.0.0.252-58253-5355-17,131.202.240.87,58253,224.0.0.252,5355,15/04/2015 03:31:29 p.m.,17,2,0,2,44.0,0.0,44.0,106.83034370235123,4.855924713743239,411868.0,16,0,33.0,ICQchat2,0
20,131.202.240.87-131.202.244.3-59285-53-17,131.202.240.87,59285,131.202.244.3,53,15/04/2015 03:30:15 p.m.,17,1,1,2,42.0,503.0,545.0,17142.67740312028,62.90890790135882,31792.0,8,8,293.5,ICQchat2,0
21,131.202.240.87-224.0.0.252-49480-5355-17,131.202.240.87,49480,224.0.0.252,5355,15/04/2015 03:30:14 p.m.,17,2,0,2,44.0,0.0,44.0,106.9815165116245,4.862796205073842,411286.0,16,0,33.0,ICQchat2,0
22,131.202.240.87-64.12.27.65-62087-443-6,131.202.240.87,62087,64.12.27.65,443,15/04/2015 03:32:53 p.m.,6,1,1,2,6.0,0.0,6.0,113.83687176276396,37.94562392092132,52707.0,20,20,6.0,ICQchat2,0
23,131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,15/04/2015 03:31:57 p.m.,6,3,3,6,159.0,0.0,159.0,2.6440003226012974,0.09977359707929424,12027230.0,60,60,35.333333333333336,ICQchat2,0
