,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-208.111.128.6-4277-80-6,131.202.240.87,4277,208.111.128.6,80,01/04/2015 10:26:44 a.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2081301246189528,9609373.0,40,0,0.0,Torrent01,0
1,189.244.130.193-131.202.240.87-21521-61009-17,189.244.130.193,21521,131.202.240.87,61009,01/04/2015 10:29:25 a.m.,17,1,1,2,101.0,287.0,388.0,1375886.524822695,7092.198581560283,282.0,8,8,244.5,Torrent01,0
2,131.202.240.87-173.51.47.84-61009-17550-17,131.202.240.87,61009,173.51.47.84,17550,01/04/2015 10:27:27 a.m.,17,1,1,2,106.0,319.0,425.0,2738.613810346161,12.887594401628993,155188.0,8,8,265.5,Torrent01,0
3,131.202.240.87-131.202.244.3-51978-53-17,131.202.240.87,51978,131.202.244.3,53,01/04/2015 10:27:13 a.m.,17,1,1,2,41.0,323.0,364.0,3545.443034275863,19.48045623228496,102667.0,8,8,202.5,Torrent01,0
4,131.202.240.87-131.202.244.5-51978-53-17,131.202.240.87,51978,131.202.244.5,53,01/04/2015 10:27:13 a.m.,17,1,1,2,41.0,323.0,364.0,3609.7860904231584,19.833989507819556,100837.0,8,8,202.5,Torrent01,0
5,131.202.240.87-86.107.23.53-61009-13214-17,131.202.240.87,61009,86.107.23.53,13214,01/04/2015 10:29:52 a.m.,17,1,1,2,103.0,79.0,182.0,350.8318763529677,3.855295344538107,518767.0,8,8,142.5,Torrent01,0
6,131.202.240.87-131.202.244.3-56399-53-17,131.202.240.87,56399,131.202.244.3,53,01/04/2015 10:24:49 a.m.,17,1,1,2,41.0,323.0,364.0,3583.594226869081,19.69007816961033,101574.0,8,8,202.5,Torrent01,0
7,131.202.240.87-131.202.244.5-56399-53-17,131.202.240.87,56399,131.202.244.5,53,01/04/2015 10:24:49 a.m.,17,1,1,2,41.0,323.0,364.0,3598.4380406307155,19.77163758588305,101155.0,8,8,202.5,Torrent01,0
8,131.202.240.87-193.226.213.94-61009-29208-17,131.202.240.87,61009,193.226.213.94,29208,01/04/2015 10:25:51 a.m.,17,2,2,4,306.0,389.0,695.0,75.86300167957411,0.4366215924004265,3053750.333333333,16,16,200.25,Torrent01,0
9,131.202.240.87-131.202.6.3-56365-53-17,131.202.240.87,56365,131.202.6.3,53,01/04/2015 10:24:15 a.m.,17,1,1,2,41.0,357.0,398.0,3273.295501274776,16.448721111933548,121590.0,8,8,219.5,Torrent01,0
