,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,29/04/2015 12:51:26 p.m.,17,9,0,9,450.0,0.0,450.0,5.13783838488648,0.1027567676977296,10948184.0,72,0,55.555555555555564,aim_chat_3a,0
1,131.202.240.87-224.0.0.252-64036-5355-17,131.202.240.87,64036,224.0.0.252,5355,29/04/2015 12:51:26 p.m.,17,2,0,2,44.0,0.0,44.0,107.1505977298685,4.870481714994022,410637.0,16,0,33.0,aim_chat_3a,0
2,131.202.240.87-224.0.0.252-60662-5355-17,131.202.240.87,60662,224.0.0.252,5355,29/04/2015 12:43:49 p.m.,17,2,0,2,44.0,0.0,44.0,106.4354759117166,4.8379761778053005,413396.0,16,0,33.0,aim_chat_3a,0
3,131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,29/04/2015 12:50:32 p.m.,6,3,3,6,52.0,137.0,189.0,1.6140598722955828,0.05123999594589152,23419205.6,60,60,32.5,aim_chat_3a,0
4,131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,29/04/2015 12:50:32 p.m.,6,1,1,2,74.0,0.0,74.0,1343.9395590425338,36.32269078493335,55062.0,20,20,74.0,aim_chat_3a,0
5,131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,29/04/2015 12:50:35 p.m.,17,2,2,4,126.0,85.0,211.0,1529.7060209518975,28.999166273969628,45978.33333333333,16,16,79.75,aim_chat_3a,0
6,131.202.240.87-224.0.0.252-56771-5355-17,131.202.240.87,56771,224.0.0.252,5355,29/04/2015 12:46:13 p.m.,17,2,0,2,44.0,0.0,44.0,105.14166644762152,4.7791666567100695,418483.0,16,0,33.0,aim_chat_3a,0
7,131.202.240.87-131.202.244.3-55517-53-17,131.202.240.87,55517,131.202.244.3,53,29/04/2015 12:47:46 p.m.,17,1,1,2,32.0,82.0,114.0,68181.81818181818,1196.1722488038274,1672.0,8,8,73.0,aim_chat_3a,0
8,131.202.240.87-224.0.0.252-53266-5355-17,131.202.240.87,53266,224.0.0.252,5355,29/04/2015 12:52:52 p.m.,17,2,0,2,44.0,0.0,44.0,107.0692470355202,4.86678395616001,410949.0,16,0,33.0,aim_chat_3a,0
9,131.202.240.87-224.0.0.252-63159-5355-17,131.202.240.87,63159,224.0.0.252,5355,29/04/2015 12:46:53 p.m.,17,2,0,2,44.0,0.0,44.0,106.50813092754059,4.8412786785245725,413114.0,16,0,33.0,aim_chat_3a,0
10,131.202.240.87-131.202.244.3-13972-53-17,131.202.240.87,13972,131.202.244.3,53,29/04/2015 12:45:27 p.m.,17,1,1,2,33.0,479.0,512.0,6162.363844255882,24.07173376662454,83085.0,8,8,272.5,aim_chat_3a,0
11,131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,29/04/2015 12:51:38 p.m.,6,5,4,9,24.0,0.0,24.0,0.2000033467226685,0.07500125502100069,14999749.0,100,80,2.6666666666666665,aim_chat_3a,0
12,131.202.240.87-224.0.0.252-64964-5355-17,131.202.240.87,64964,224.0.0.252,5355,29/04/2015 12:46:07 p.m.,17,2,0,2,44.0,0.0,44.0,107.08097268461735,4.867316940209879,410904.0,16,0,33.0,aim_chat_3a,0
13,131.202.240.87-224.0.0.252-49354-5355-17,131.202.240.87,49354,224.0.0.252,5355,29/04/2015 12:51:57 p.m.,17,2,0,2,44.0,0.0,44.0,106.09516736512651,4.822507607505751,414722.0,16,0,33.0,aim_chat_3a,0
14,131.202.240.87-224.0.0.252-61382-5355-17,131.202.240.87,61382,224.0.0.252,5355,29/04/2015 12:46:53 p.m.,17,2,0,2,44.0,0.0,44.0,106.4017585308819,4.836443569585541,413527.0,16,0,33.0,aim_chat_3a,0
15,131.202.240.87-224.0.0.252-63587-5355-17,131.202.240.87,63587,224.0.0.252,5355,29/04/2015 12:46:08 p.m.,17,2,0,2,44.0,0.0,44.0,106.20143999497957,4.8273381815899805,414307.0,16,0,33.0,aim_chat_3a,0
16,131.202.240.87-224.0.0.252-54627-5355-17,131.202.240.87,54627,224.0.0.252,5355,29/04/2015 12:46:08 p.m.,17,2,0,2,44.0,0.0,44.0,106.312292358804,4.832376925400181,413875.0,16,0,33.0,aim_chat_3a,0
17,131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,29/04/2015 12:51:38 p.m.,6,5,4,9,24.0,0.0,24.0,0.2000069952446587,0.07500262321674701,14999475.374999998,100,80,2.6666666666666665,aim_chat_3a,0
18,131.202.240.87-224.0.0.252-59554-5355-17,131.202.240.87,59554,224.0.0.252,5355,29/04/2015 12:47:46 p.m.,17,2,0,2,44.0,0.0,44.0,105.81425269886465,4.809738759039303,415823.0,16,0,33.0,aim_chat_3a,0
19,131.202.240.87-199.167.128.130-13973-123-17,131.202.240.87,13973,199.167.128.130,123,29/04/2015 12:45:27 p.m.,17,1,1,2,48.0,48.0,96.0,2447.9804161566713,50.99959200326397,39216.0,8,8,72.0,aim_chat_3a,0
20,131.202.240.87-131.202.244.3-62277-53-17,131.202.240.87,62277,131.202.244.3,53,29/04/2015 12:47:46 p.m.,17,1,1,2,32.0,82.0,114.0,77393.07535641549,1357.7732518669384,1473.0,8,8,73.0,aim_chat_3a,0
21,131.202.240.87-224.0.0.252-54745-5355-17,131.202.240.87,54745,224.0.0.252,5355,29/04/2015 12:45:59 p.m.,17,2,0,2,44.0,0.0,44.0,106.10207501898986,4.822821591772267,414695.0,16,0,33.0,aim_chat_3a,0
22,131.202.240.87-224.0.0.252-58344-5355-17,131.202.240.87,58344,224.0.0.252,5355,29/04/2015 12:46:07 p.m.,17,2,0,2,44.0,0.0,44.0,106.98697919832712,4.86304450901487,411265.0,16,0,33.0,aim_chat_3a,0
23,131.202.240.87-224.0.0.252-62129-5355-17,131.202.240.87,62129,224.0.0.252,5355,29/04/2015 12:51:57 p.m.,17,2,0,2,44.0,0.0,44.0,105.9441914893105,4.8156450676959315,415313.0,16,0,33.0,aim_chat_3a,0
24,131.202.240.87-224.0.0.252-54047-5355-17,131.202.240.87,54047,224.0.0.252,5355,29/04/2015 12:46:13 p.m.,17,2,0,2,44.0,0.0,44.0,105.01769786885677,4.773531721311671,418977.0,16,0,33.0,aim_chat_3a,0
25,131.202.240.87-224.0.0.252-49773-5355-17,131.202.240.87,49773,224.0.0.252,5355,29/04/2015 12:52:52 p.m.,17,2,0,2,44.0,0.0,44.0,107.1146004503682,4.8688454750167365,410775.0,16,0,33.0,aim_chat_3a,0
26,131.202.240.87-224.0.0.252-62218-5355-17,131.202.240.87,62218,224.0.0.252,5355,29/04/2015 12:51:26 p.m.,17,2,0,2,44.0,0.0,44.0,107.0755003954493,4.867068199793151,410925.0,16,0,33.0,aim_chat_3a,0
27,205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,29/04/2015 12:53:36 p.m.,6,8,8,16,1219.0,282.0,1501.0,131.9603246909724,1.4066390373454751,758308.7333333333,160,160,111.125,aim_chat_3a,0
28,131.202.240.87-224.0.0.252-50563-5355-17,131.202.240.87,50563,224.0.0.252,5355,29/04/2015 12:45:59 p.m.,17,2,0,2,44.0,0.0,44.0,106.14584439019212,4.824811108645096,414524.0,16,0,33.0,aim_chat_3a,0
29,131.202.240.87-224.0.0.252-54329-5355-17,131.202.240.87,54329,224.0.0.252,5355,29/04/2015 12:47:46 p.m.,17,2,0,2,44.0,0.0,44.0,105.89217769670073,4.813280804395489,415517.0,16,0,33.0,aim_chat_3a,0
30,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,29/04/2015 12:50:36 p.m.,0,6,0,6,0.0,0.0,0.0,0.0,0.05128154942415308,23400229.0,0,0,0.0,aim_chat_3a,0
31,131.202.240.87-224.0.0.252-51542-5355-17,131.202.240.87,51542,224.0.0.252,5355,29/04/2015 12:43:49 p.m.,17,2,0,2,44.0,0.0,44.0,106.34903754121024,4.834047160964103,413732.0,16,0,33.0,aim_chat_3a,0
32,131.202.240.87-131.202.6.26-64716-13111-6,131.202.240.87,64716,131.202.6.26,13111,29/04/2015 12:44:11 p.m.,6,4,2,6,2.0,2.0,4.0,2768.1660899653966,4152.249134948097,289.0,92,52,0.6666666666666666,aim_chat_3a,0
33,131.202.6.26-131.202.240.87-13111-64716-6,131.202.6.26,13111,131.202.240.87,64716,29/04/2015 12:44:11 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,64516.12903225807,31.0,40,0,0.0,aim_chat_3a,0
34,205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,29/04/2015 12:43:23 p.m.,6,40,39,79,4210.0,1967.0,6177.0,64.23271705765781,0.8214966241792079,1232896.7435897435,800,780,81.69620253164557,aim_chat_3a,0
35,131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,29/04/2015 12:43:08 p.m.,6,4,4,8,24.0,0.0,24.0,0.2661557098068365,0.08871856993561215,12881825.57142857,80,80,3.75,aim_chat_3a,0
36,131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,29/04/2015 12:43:08 p.m.,6,5,5,10,24.0,215.0,239.0,2.3939327767048986,0.1001645513265648,11092857.666666666,100,100,24.5,aim_chat_3a,0
