,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.83-224.0.0.252-56669-5355-17,131.202.240.83,56669,224.0.0.252,5355,25/05/2015 12:53:01 p.m.,17,2,0,2,44.0,0.0,44.0,107.1834859480014,4.871976634000063,410511.0,16,0,33.0,email1b,0
1,131.202.240.102-224.0.0.252-57058-5355-17,131.202.240.102,57058,224.0.0.252,5355,25/05/2015 12:59:29 p.m.,17,2,0,2,44.0,0.0,44.0,107.1044316892803,4.86838325860365,410814.0,16,0,33.0,email1b,0
2,131.202.240.102-224.0.0.252-54240-5355-17,131.202.240.102,54240,224.0.0.252,5355,25/05/2015 12:59:45 p.m.,17,2,0,2,44.0,0.0,44.0,107.14068302185427,4.870031046447921,410675.0,16,0,33.0,email1b,0
3,131.202.240.102-224.0.0.252-60710-5355-17,131.202.240.102,60710,224.0.0.252,5355,25/05/2015 01:00:35 p.m.,17,2,0,2,44.0,0.0,44.0,107.1505977298685,4.870481714994022,410637.0,16,0,33.0,email1b,0
4,131.202.243.49-224.0.0.252-54481-5355-17,131.202.243.49,54481,224.0.0.252,5355,25/05/2015 12:58:14 p.m.,17,2,0,2,44.0,0.0,44.0,104.62390085458703,4.7556318570266845,420554.0,16,0,33.0,email1b,0
5,131.202.243.49-224.0.0.252-58902-5355-17,131.202.243.49,58902,224.0.0.252,5355,25/05/2015 12:55:38 p.m.,17,2,0,2,44.0,0.0,44.0,104.64231354642313,4.756468797564688,420480.0,16,0,33.0,email1b,0
6,131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,25/05/2015 01:00:42 p.m.,17,97,0,97,4850.0,0.0,4850.0,40.48160422003613,0.8096320844007227,1247994.8437499995,776,0,50.51546391752578,email1b,0
7,131.202.240.70-224.0.0.252-62695-5355-17,131.202.240.70,62695,224.0.0.252,5355,25/05/2015 12:59:08 p.m.,17,2,0,2,44.0,0.0,44.0,107.0697681209499,4.866807641861358,410947.0,16,0,33.0,email1b,0
8,131.202.240.102-224.0.0.252-56046-5355-17,131.202.240.102,56046,224.0.0.252,5355,25/05/2015 12:54:30 p.m.,17,2,0,2,44.0,0.0,44.0,104.02924167411423,4.728601894277919,422958.0,16,0,33.0,email1b,0
9,131.202.240.242-224.0.0.252-50946-5355-17,131.202.240.242,50946,224.0.0.252,5355,25/05/2015 12:55:08 p.m.,17,2,0,2,44.0,0.0,44.0,107.34142134679328,4.879155515763332,409907.0,16,0,33.0,email1b,0
10,131.202.240.87-198.7.63.141-59664-53-17,131.202.240.87,59664,198.7.63.141,53,25/05/2015 01:01:24 p.m.,17,1,1,2,37.0,240.0,277.0,4799.944549377046,34.65663934568265,57709.0,8,8,157.0,email1b,0
11,131.202.240.70-224.0.0.252-54154-5355-17,131.202.240.70,54154,224.0.0.252,5355,25/05/2015 12:58:42 p.m.,17,2,0,2,44.0,0.0,44.0,107.23390151053572,4.874268250478896,410318.0,16,0,33.0,email1b,0
12,131.202.242.93-224.0.0.252-61669-5355-17,131.202.242.93,61669,224.0.0.252,5355,25/05/2015 01:01:50 p.m.,17,2,0,2,44.0,0.0,44.0,107.04554301284546,4.865706500583885,411040.0,16,0,33.0,email1b,0
13,131.202.242.93-224.0.0.252-51481-5355-17,131.202.242.93,51481,224.0.0.252,5355,25/05/2015 01:00:43 p.m.,17,2,0,2,44.0,0.0,44.0,107.12372790573113,4.869260359351415,410740.0,16,0,33.0,email1b,0
14,131.202.242.93-224.0.0.252-58605-5355-17,131.202.242.93,58605,224.0.0.252,5355,25/05/2015 01:01:56 p.m.,17,2,0,2,44.0,0.0,44.0,106.94589267007437,4.861176939548836,411423.0,16,0,33.0,email1b,0
15,131.202.242.93-224.0.0.252-52555-5355-17,131.202.242.93,52555,224.0.0.252,5355,25/05/2015 12:55:37 p.m.,17,2,0,2,44.0,0.0,44.0,106.69279023469988,4.849672283395449,412399.0,16,0,33.0,email1b,0
16,131.202.242.93-224.0.0.252-55697-5355-17,131.202.242.93,55697,224.0.0.252,5355,25/05/2015 12:54:16 p.m.,17,2,0,2,44.0,0.0,44.0,107.18453034905615,4.87202410677528,410507.0,16,0,33.0,email1b,0
17,131.202.242.93-224.0.0.252-51042-5355-17,131.202.242.93,51042,224.0.0.252,5355,25/05/2015 12:55:13 p.m.,17,2,0,2,44.0,0.0,44.0,106.186574638302,4.826662483559182,414365.0,16,0,33.0,email1b,0
18,131.202.240.83-224.0.0.252-56495-5355-17,131.202.240.83,56495,224.0.0.252,5355,25/05/2015 12:57:15 p.m.,17,2,0,2,44.0,0.0,44.0,107.19184172637335,4.872356442107879,410479.0,16,0,33.0,email1b,0
19,131.202.240.102-224.0.0.252-55311-5355-17,131.202.240.102,55311,224.0.0.252,5355,25/05/2015 01:00:19 p.m.,17,2,0,2,44.0,0.0,44.0,107.12294549146306,4.8692247950665015,410743.0,16,0,33.0,email1b,0
20,131.202.242.93-224.0.0.252-52119-5355-17,131.202.242.93,52119,224.0.0.252,5355,25/05/2015 12:52:59 p.m.,17,2,0,2,44.0,0.0,44.0,107.0132599157514,4.864239087079609,411164.0,16,0,33.0,email1b,0
21,131.202.240.102-224.0.0.252-64755-5355-17,131.202.240.102,64755,224.0.0.252,5355,25/05/2015 12:58:10 p.m.,17,2,0,2,44.0,0.0,44.0,101.9788532941487,4.635402422461307,431462.0,16,0,33.0,email1b,0
22,131.202.240.102-224.0.0.252-62065-5355-17,131.202.240.102,62065,224.0.0.252,5355,25/05/2015 12:54:25 p.m.,17,2,0,2,44.0,0.0,44.0,106.01387818041634,4.818812644564379,415040.0,16,0,33.0,email1b,0
23,131.202.243.49-224.0.0.252-60391-5355-17,131.202.243.49,60391,224.0.0.252,5355,25/05/2015 12:58:38 p.m.,17,2,0,2,44.0,0.0,44.0,107.04267840243669,4.865576291019849,411051.0,16,0,33.0,email1b,0
24,131.202.240.102-224.0.0.252-53122-5355-17,131.202.240.102,53122,224.0.0.252,5355,25/05/2015 01:00:13 p.m.,17,2,0,2,44.0,0.0,44.0,107.12294549146306,4.8692247950665015,410743.0,16,0,33.0,email1b,0
25,131.202.240.87-224.0.0.252-59804-5355-17,131.202.240.87,59804,224.0.0.252,5355,25/05/2015 12:57:14 p.m.,17,2,0,2,44.0,0.0,44.0,104.94706136302379,4.770320971046537,419259.0,16,0,33.0,email1b,0
26,131.202.240.70-224.0.0.252-49256-5355-17,131.202.240.70,49256,224.0.0.252,5355,25/05/2015 01:00:22 p.m.,17,2,0,2,44.0,0.0,44.0,103.89144288685985,4.722338313039085,423519.0,16,0,33.0,email1b,0
27,131.202.243.21-224.0.0.252-64804-5355-17,131.202.243.21,64804,224.0.0.252,5355,25/05/2015 12:55:21 p.m.,17,2,0,2,44.0,0.0,44.0,107.01716409379569,4.864416549717985,411149.0,16,0,33.0,email1b,0
28,131.202.240.242-224.0.0.252-57772-5355-17,131.202.240.242,57772,224.0.0.252,5355,25/05/2015 12:59:43 p.m.,17,2,0,2,44.0,0.0,44.0,106.93965443908935,4.860893383594972,411447.0,16,0,33.0,email1b,0
29,131.202.243.153-224.0.0.252-51491-5355-17,131.202.243.153,51491,224.0.0.252,5355,25/05/2015 12:57:52 p.m.,17,2,0,2,44.0,0.0,44.0,106.18426831799292,4.82655765081786,414374.0,16,0,33.0,email1b,0
30,131.202.240.102-224.0.0.252-63463-5355-17,131.202.240.102,63463,224.0.0.252,5355,25/05/2015 01:00:04 p.m.,17,2,0,2,44.0,0.0,44.0,107.11772968840911,4.868987713109505,410763.0,16,0,33.0,email1b,0
31,131.202.243.115-224.0.0.252-50181-5355-17,131.202.243.115,50181,224.0.0.252,5355,25/05/2015 12:54:38 p.m.,17,2,0,2,44.0,0.0,44.0,106.09439990355055,4.822472722888661,414725.0,16,0,33.0,email1b,0
32,131.202.240.102-224.0.0.252-56373-5355-17,131.202.240.102,56373,224.0.0.252,5355,25/05/2015 12:58:30 p.m.,17,2,0,2,44.0,0.0,44.0,97.935780837529,4.451626401705863,449274.0,16,0,33.0,email1b,0
33,131.202.242.93-224.0.0.252-58328-5355-17,131.202.242.93,58328,224.0.0.252,5355,25/05/2015 12:52:46 p.m.,17,2,0,2,44.0,0.0,44.0,106.74792448069563,4.852178385486164,412186.0,16,0,33.0,email1b,0
34,131.202.240.102-224.0.0.252-59770-5355-17,131.202.240.102,59770,224.0.0.252,5355,25/05/2015 12:54:00 p.m.,17,2,0,2,44.0,0.0,44.0,107.08175448587372,4.867352476630623,410901.0,16,0,33.0,email1b,0
35,131.202.240.102-224.0.0.252-56986-5355-17,131.202.240.102,56986,224.0.0.252,5355,25/05/2015 01:02:14 p.m.,17,2,0,2,44.0,0.0,44.0,107.17147679859312,4.871430763572415,410557.0,16,0,33.0,email1b,0
36,131.202.240.102-224.0.0.252-62239-5355-17,131.202.240.102,62239,224.0.0.252,5355,25/05/2015 12:59:53 p.m.,17,2,0,2,44.0,0.0,44.0,107.01586266946205,4.864357394066457,411154.0,16,0,33.0,email1b,0
37,131.202.240.70-224.0.0.252-60907-5355-17,131.202.240.70,60907,224.0.0.252,5355,25/05/2015 01:01:05 p.m.,17,2,0,2,44.0,0.0,44.0,103.89757588065002,4.722617085484091,423494.0,16,0,33.0,email1b,0
38,131.202.243.49-224.0.0.252-55331-5355-17,131.202.243.49,55331,224.0.0.252,5355,25/05/2015 12:57:48 p.m.,17,2,0,2,44.0,0.0,44.0,104.49196718002304,4.749634871819229,421085.0,16,0,33.0,email1b,0
39,131.202.242.70-224.0.0.252-54065-5355-17,131.202.242.70,54065,224.0.0.252,5355,25/05/2015 12:56:33 p.m.,17,2,0,2,44.0,0.0,44.0,106.15813702120268,4.8253698646001215,414476.0,16,0,33.0,email1b,0
40,131.202.240.70-224.0.0.252-64887-5355-17,131.202.240.70,64887,224.0.0.252,5355,25/05/2015 01:01:38 p.m.,17,2,0,2,44.0,0.0,44.0,103.58644524279251,4.708474783763296,424766.0,16,0,33.0,email1b,0
41,131.202.240.70-224.0.0.252-51977-5355-17,131.202.240.70,51977,224.0.0.252,5355,25/05/2015 12:56:38 p.m.,17,2,0,2,44.0,0.0,44.0,103.93217952866759,4.724189978575799,423353.0,16,0,33.0,email1b,0
42,131.202.243.21-224.0.0.252-59066-5355-17,131.202.243.21,59066,224.0.0.252,5355,25/05/2015 01:00:23 p.m.,17,2,0,2,44.0,0.0,44.0,106.2473438164046,4.8294247189274815,414128.0,16,0,33.0,email1b,0
43,131.202.240.102-224.0.0.252-57229-5355-17,131.202.240.102,57229,224.0.0.252,5355,25/05/2015 12:56:27 p.m.,17,2,0,2,44.0,0.0,44.0,104.63285757090065,4.756038980495483,420518.0,16,0,33.0,email1b,0
44,131.202.240.102-224.0.0.252-60654-5355-17,131.202.240.102,60654,224.0.0.252,5355,25/05/2015 12:56:51 p.m.,17,2,0,2,44.0,0.0,44.0,99.9019144839612,4.540996112907328,440432.0,16,0,33.0,email1b,0
45,131.202.240.102-224.0.0.252-61495-5355-17,131.202.240.102,61495,224.0.0.252,5355,25/05/2015 12:54:02 p.m.,17,2,0,2,44.0,0.0,44.0,106.36651968747586,4.834841803976175,413664.0,16,0,33.0,email1b,0
46,131.202.240.102-224.0.0.252-53427-5355-17,131.202.240.102,53427,224.0.0.252,5355,25/05/2015 12:57:35 p.m.,17,2,0,2,44.0,0.0,44.0,103.67064777661804,4.712302171664456,424421.0,16,0,33.0,email1b,0
47,131.202.240.102-224.0.0.252-58282-5355-17,131.202.240.102,58282,224.0.0.252,5355,25/05/2015 12:54:36 p.m.,17,2,0,2,44.0,0.0,44.0,103.95034953305029,4.725015887865923,423279.0,16,0,33.0,email1b,0
48,131.202.240.185-224.0.0.252-64620-5355-17,131.202.240.185,64620,224.0.0.252,5355,25/05/2015 12:59:01 p.m.,17,2,0,2,44.0,0.0,44.0,106.93965443908935,4.860893383594972,411447.0,16,0,33.0,email1b,0
49,131.202.240.102-224.0.0.252-59446-5355-17,131.202.240.102,59446,224.0.0.252,5355,25/05/2015 12:57:23 p.m.,17,2,0,2,44.0,0.0,44.0,105.50799702659279,4.7958180466633085,417030.0,16,0,33.0,email1b,0
50,131.202.243.49-224.0.0.252-58585-5355-17,131.202.243.49,58585,224.0.0.252,5355,25/05/2015 01:00:25 p.m.,17,2,0,2,44.0,0.0,44.0,104.66720586136351,4.757600266425615,420380.0,16,0,33.0,email1b,0
51,131.202.240.102-224.0.0.252-63911-5355-17,131.202.240.102,63911,224.0.0.252,5355,25/05/2015 12:59:39 p.m.,17,2,0,2,44.0,0.0,44.0,106.91211095533258,4.859641407060573,411553.0,16,0,33.0,email1b,0
52,131.202.243.48-224.0.0.252-51680-5355-17,131.202.243.48,51680,224.0.0.252,5355,25/05/2015 01:02:17 p.m.,17,2,0,2,44.0,0.0,44.0,104.68961907254514,4.7586190487520525,420290.0,16,0,33.0,email1b,0
53,131.202.242.84-224.0.0.252-64198-5355-17,131.202.242.84,64198,224.0.0.252,5355,25/05/2015 12:58:29 p.m.,17,2,0,2,44.0,0.0,44.0,428.74543239951277,19.488428745432397,102625.0,16,0,33.0,email1b,0
54,131.202.243.49-224.0.0.252-51924-5355-17,131.202.243.49,51924,224.0.0.252,5355,25/05/2015 12:54:35 p.m.,17,2,0,2,44.0,0.0,44.0,104.58361459987259,4.753800663630573,420716.0,16,0,33.0,email1b,0
55,131.202.240.185-224.0.0.252-55369-5355-17,131.202.240.185,55369,224.0.0.252,5355,25/05/2015 01:02:30 p.m.,17,2,0,2,44.0,0.0,44.0,107.17983070458558,4.871810486572072,410525.0,16,0,33.0,email1b,0
56,131.202.240.102-224.0.0.252-61887-5355-17,131.202.240.102,61887,224.0.0.252,5355,25/05/2015 12:56:14 p.m.,17,2,0,2,44.0,0.0,44.0,101.63024146421459,4.619556430191573,432942.0,16,0,33.0,email1b,0
57,131.202.240.185-224.0.0.252-55388-5355-17,131.202.240.185,55388,224.0.0.252,5355,25/05/2015 12:55:35 p.m.,17,2,0,2,44.0,0.0,44.0,106.94095401052886,4.860952455024037,411442.0,16,0,33.0,email1b,0
58,131.202.242.93-224.0.0.252-55672-5355-17,131.202.242.93,55672,224.0.0.252,5355,25/05/2015 12:54:04 p.m.,17,2,0,2,44.0,0.0,44.0,106.83994162654099,4.85636098302459,411831.0,16,0,33.0,email1b,0
59,131.202.242.93-224.0.0.252-64369-5355-17,131.202.242.93,64369,224.0.0.252,5355,25/05/2015 01:01:58 p.m.,17,2,0,2,44.0,0.0,44.0,106.61419955755107,4.8460999798886855,412703.0,16,0,33.0,email1b,0
60,131.202.240.102-224.0.0.252-57005-5355-17,131.202.240.102,57005,224.0.0.252,5355,25/05/2015 12:59:07 p.m.,17,2,0,2,44.0,0.0,44.0,104.79159571402373,4.7632543506374425,419881.0,16,0,33.0,email1b,0
61,131.202.240.102-224.0.0.252-53234-5355-17,131.202.240.102,53234,224.0.0.252,5355,25/05/2015 12:56:17 p.m.,17,2,0,2,44.0,0.0,44.0,107.11746891158913,4.868975859617689,410764.0,16,0,33.0,email1b,0
62,131.202.243.115-224.0.0.252-55222-5355-17,131.202.243.115,55222,224.0.0.252,5355,25/05/2015 12:53:18 p.m.,17,2,0,2,44.0,0.0,44.0,104.94555949101404,4.770252704137001,419265.0,16,0,33.0,email1b,0
63,131.202.242.93-224.0.0.252-62905-5355-17,131.202.242.93,62905,224.0.0.252,5355,25/05/2015 12:53:33 p.m.,17,2,0,2,44.0,0.0,44.0,106.80700459755606,4.8548638453434565,411958.0,16,0,33.0,email1b,0
64,131.202.240.102-224.0.0.252-58593-5355-17,131.202.240.102,58593,224.0.0.252,5355,25/05/2015 12:59:28 p.m.,17,2,0,2,44.0,0.0,44.0,107.1584264272163,4.870837564873468,410607.0,16,0,33.0,email1b,0
65,131.202.240.185-224.0.0.252-62848-5355-17,131.202.240.185,62848,224.0.0.252,5355,25/05/2015 12:59:51 p.m.,17,2,0,2,44.0,0.0,44.0,106.86329512970532,4.8574225058956975,411741.0,16,0,33.0,email1b,0
66,131.202.243.12-131.202.243.255-137-137-17,131.202.243.12,137,131.202.243.255,137,25/05/2015 12:53:21 p.m.,17,9,0,9,450.0,0.0,450.0,16.07917356478101,0.3215834712956201,3498314.1250000005,72,0,55.555555555555564,email1b,0
67,131.202.240.102-224.0.0.252-64232-5355-17,131.202.240.102,64232,224.0.0.252,5355,25/05/2015 12:57:18 p.m.,17,2,0,2,44.0,0.0,44.0,103.95477022451868,4.725216828387213,423261.0,16,0,33.0,email1b,0
68,131.202.240.102-224.0.0.252-52742-5355-17,131.202.240.102,52742,224.0.0.252,5355,25/05/2015 12:59:33 p.m.,17,2,0,2,44.0,0.0,44.0,107.11512197734515,4.868869180788416,410773.0,16,0,33.0,email1b,0
69,131.202.240.102-224.0.0.252-53735-5355-17,131.202.240.102,53735,224.0.0.252,5355,25/05/2015 12:55:37 p.m.,17,2,0,2,44.0,0.0,44.0,104.24489969982208,4.738404531810095,422083.0,16,0,33.0,email1b,0
70,131.202.240.102-224.0.0.252-62068-5355-17,131.202.240.102,62068,224.0.0.252,5355,25/05/2015 01:00:32 p.m.,17,2,0,2,44.0,0.0,44.0,107.12816180248001,4.869461900112729,410723.0,16,0,33.0,email1b,0
71,131.202.240.185-224.0.0.252-50169-5355-17,131.202.240.185,50169,224.0.0.252,5355,25/05/2015 01:00:56 p.m.,17,2,0,2,44.0,0.0,44.0,106.8544714953555,4.857021431607066,411775.0,16,0,33.0,email1b,0
72,131.202.243.49-224.0.0.252-64924-5355-17,131.202.243.49,64924,224.0.0.252,5355,25/05/2015 12:59:29 p.m.,17,2,0,2,44.0,0.0,44.0,104.64828662214356,4.756740301006526,420456.0,16,0,33.0,email1b,0
73,131.202.243.49-224.0.0.252-57050-5355-17,131.202.243.49,57050,224.0.0.252,5355,25/05/2015 12:56:53 p.m.,17,2,0,2,44.0,0.0,44.0,104.80157964562773,4.7637081657103515,419841.0,16,0,33.0,email1b,0
74,131.202.242.93-224.0.0.252-51739-5355-17,131.202.242.93,51739,224.0.0.252,5355,25/05/2015 01:00:45 p.m.,17,2,0,2,44.0,0.0,44.0,106.98073617334771,4.862760735152167,411289.0,16,0,33.0,email1b,0
75,131.202.242.93-224.0.0.252-61006-5355-17,131.202.242.93,61006,224.0.0.252,5355,25/05/2015 01:01:58 p.m.,17,2,0,2,44.0,0.0,44.0,106.4931795959068,4.840599072541218,413172.0,16,0,33.0,email1b,0
76,131.202.240.83-224.0.0.252-52086-5355-17,131.202.240.83,52086,224.0.0.252,5355,25/05/2015 12:52:43 p.m.,17,2,0,2,44.0,0.0,44.0,104.58908375208584,4.754049261458447,420694.0,16,0,33.0,email1b,0
77,131.202.243.49-224.0.0.252-58196-5355-17,131.202.243.49,58196,224.0.0.252,5355,25/05/2015 01:01:04 p.m.,17,2,0,2,44.0,0.0,44.0,104.52597470471413,4.751180668396096,420948.0,16,0,33.0,email1b,0
78,131.202.242.93-224.0.0.252-61663-5355-17,131.202.242.93,61663,224.0.0.252,5355,25/05/2015 01:00:45 p.m.,17,2,0,2,44.0,0.0,44.0,106.94563272925255,4.861165124056933,411424.0,16,0,33.0,email1b,0
79,131.202.243.49-224.0.0.252-61798-5355-17,131.202.243.49,61798,224.0.0.252,5355,25/05/2015 12:56:17 p.m.,17,2,0,2,44.0,0.0,44.0,104.63061824805544,4.755937193093428,420527.0,16,0,33.0,email1b,0
80,131.202.240.102-224.0.0.252-64973-5355-17,131.202.240.102,64973,224.0.0.252,5355,25/05/2015 12:58:53 p.m.,17,2,0,2,44.0,0.0,44.0,101.9613659115346,4.634607541433391,431536.0,16,0,33.0,email1b,0
81,131.202.240.102-224.0.0.252-62569-5355-17,131.202.240.102,62569,224.0.0.252,5355,25/05/2015 12:59:28 p.m.,17,2,0,2,44.0,0.0,44.0,107.23181080409235,4.874173218367834,410326.0,16,0,33.0,email1b,0
82,131.202.243.21-224.0.0.252-63011-5355-17,131.202.243.21,63011,224.0.0.252,5355,25/05/2015 01:00:30 p.m.,17,2,0,2,44.0,0.0,44.0,107.24618605750831,4.874826638977652,410271.0,16,0,33.0,email1b,0
