,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-173.252.79.88-34904-50019-17,131.202.240.150,34904,173.252.79.88,50019,30/03/2015 09:30:34 a.m.,17,2,2,4,196.0,180.0,376.0,2374.4719010299905,25.260339372659477,52783.66666666666,16,16,105.0,facebook_audio2a,0
1,131.202.240.150-131.202.244.5-4555-53-17,131.202.240.150,4555,131.202.244.5,53,30/03/2015 09:30:30 a.m.,17,1,1,2,34.0,141.0,175.0,432098.7654320988,4938.2716049382725,405.0,8,8,104.5,facebook_audio2a,0
2,131.202.240.150-131.202.6.3-30807-53-17,131.202.240.150,30807,131.202.6.3,53,30/03/2015 09:36:05 a.m.,17,1,1,2,34.0,141.0,175.0,122549.01960784312,1400.5602240896355,1428.0,8,8,104.5,facebook_audio2a,0
3,131.202.240.150-131.202.244.3-33706-53-17,131.202.240.150,33706,131.202.244.3,53,30/03/2015 09:38:32 a.m.,17,1,1,2,36.0,235.0,271.0,549695.7403651116,4056.795131845842,493.0,8,8,153.5,facebook_audio2a,0
4,131.202.240.150-209.148.205.16-60694-443-6,131.202.240.150,60694,209.148.205.16,443,30/03/2015 09:38:31 a.m.,6,25,27,52,1380.0,48204.0,49584.0,420.325768746704,0.440806307978957,2313051.843137255,808,872,953.5384615384617,facebook_audio2a,0
5,131.202.240.150-131.202.244.3-13816-53-17,131.202.240.150,13816,131.202.244.3,53,30/03/2015 09:39:59 a.m.,17,1,1,2,32.0,82.0,114.0,287878.7878787879,5050.505050505051,396.0,8,8,73.0,facebook_audio2a,0
6,131.202.240.150-69.171.255.36-36311-3478-17,131.202.240.150,36311,69.171.255.36,3478,30/03/2015 09:30:34 a.m.,17,1,1,2,28.0,32.0,60.0,757.4036203893056,25.24678734631018,79218.0,8,8,44.0,facebook_audio2a,0
7,131.202.240.150-131.202.244.5-36647-53-17,131.202.240.150,36647,131.202.244.5,53,30/03/2015 09:33:00 a.m.,17,1,1,2,34.0,141.0,175.0,284090.90909090906,3246.753246753247,616.0,8,8,104.5,facebook_audio2a,0
8,131.202.240.150-131.202.244.5-7820-53-17,131.202.240.150,7820,131.202.244.5,53,30/03/2015 09:34:58 a.m.,17,1,1,2,32.0,82.0,114.0,321126.76056338026,5633.802816901409,355.0,8,8,73.0,facebook_audio2a,0
9,131.202.240.150-131.202.244.3-28302-53-17,131.202.240.150,28302,131.202.244.3,53,30/03/2015 09:40:30 a.m.,17,1,1,2,34.0,141.0,175.0,425790.7542579075,4866.1800486618,411.0,8,8,104.5,facebook_audio2a,0
10,131.202.240.150-131.202.244.5-11621-53-17,131.202.240.150,11621,131.202.244.5,53,30/03/2015 09:30:31 a.m.,17,1,1,2,34.0,141.0,175.0,449871.46529562975,5141.388174807198,389.0,8,8,104.5,facebook_audio2a,0
11,131.202.240.150-131.202.6.3-42843-53-17,131.202.240.150,42843,131.202.6.3,53,30/03/2015 09:31:37 a.m.,17,1,1,2,42.0,149.0,191.0,1139.2578719140129,11.929401800146731,167653.0,8,8,116.5,facebook_audio2a,0
12,131.202.240.150-131.202.6.3-46714-53-17,131.202.240.150,46714,131.202.6.3,53,30/03/2015 09:38:31 a.m.,17,1,1,2,34.0,141.0,175.0,85995.085995086,982.8009828009829,2035.0,8,8,104.5,facebook_audio2a,0
13,131.202.240.150-131.202.244.5-6523-53-17,131.202.240.150,6523,131.202.244.5,53,30/03/2015 09:30:34 a.m.,17,1,1,2,34.0,141.0,175.0,409836.0655737705,4683.840749414519,427.0,8,8,104.5,facebook_audio2a,0
14,131.202.240.150-173.252.79.88-49204-50019-17,131.202.240.150,49204,173.252.79.88,50019,30/03/2015 09:30:34 a.m.,17,2,2,4,196.0,180.0,376.0,2373.962180762067,25.254916816617733,52795.0,16,16,105.0,facebook_audio2a,0
15,131.202.240.150-131.202.244.3-3432-53-17,131.202.240.150,3432,131.202.244.3,53,30/03/2015 09:39:59 a.m.,17,1,1,2,32.0,82.0,114.0,419117.6470588236,7352.941176470588,272.0,8,8,73.0,facebook_audio2a,0
16,131.202.240.150-131.202.244.3-14698-53-17,131.202.240.150,14698,131.202.244.3,53,30/03/2015 09:40:11 a.m.,17,1,1,2,47.0,394.0,441.0,958695.652173913,4347.826086956522,460.0,8,8,244.0,facebook_audio2a,0
17,131.202.240.150-131.202.244.5-22040-53-17,131.202.240.150,22040,131.202.244.5,53,30/03/2015 09:34:58 a.m.,17,1,1,2,22.0,97.0,119.0,493775.9336099585,8298.755186721992,241.0,8,8,70.5,facebook_audio2a,0
18,131.202.240.150-131.202.6.3-59441-53-17,131.202.240.150,59441,131.202.6.3,53,30/03/2015 09:41:20 a.m.,17,1,1,2,34.0,141.0,175.0,143796.2202136401,1643.3853738701723,1217.0,8,8,104.5,facebook_audio2a,0
19,131.202.240.150-131.202.244.3-64405-53-17,131.202.240.150,64405,131.202.244.3,53,30/03/2015 09:30:30 a.m.,17,1,1,2,34.0,141.0,175.0,406032.4825986079,4640.371229698376,431.0,8,8,104.5,facebook_audio2a,0
20,131.202.240.150-69.171.255.36-38571-3478-17,131.202.240.150,38571,69.171.255.36,3478,30/03/2015 09:30:35 a.m.,17,1,1,2,28.0,32.0,60.0,756.9258717262957,25.230862390876517,79268.0,8,8,44.0,facebook_audio2a,0
21,131.202.240.150-131.202.244.5-21440-53-17,131.202.240.150,21440,131.202.244.5,53,30/03/2015 09:30:39 a.m.,17,1,1,2,34.0,141.0,175.0,313059.0339892665,3577.817531305903,559.0,8,8,104.5,facebook_audio2a,0
22,131.202.240.150-131.202.244.5-61592-53-17,131.202.240.150,61592,131.202.244.5,53,30/03/2015 09:30:34 a.m.,17,1,1,2,34.0,141.0,175.0,445292.62086514,5089.058524173028,393.0,8,8,104.5,facebook_audio2a,0
23,131.202.240.150-131.202.244.5-33292-53-17,131.202.240.150,33292,131.202.244.5,53,30/03/2015 09:33:17 a.m.,17,1,1,2,42.0,149.0,191.0,547277.9369627506,5730.659025787965,349.0,8,8,116.5,facebook_audio2a,0
24,131.202.240.150-131.202.244.3-3569-53-17,131.202.240.150,3569,131.202.244.3,53,30/03/2015 09:34:25 a.m.,17,1,1,2,34.0,141.0,175.0,510204.08163265313,5830.903790087465,343.0,8,8,104.5,facebook_audio2a,0
25,131.202.240.150-131.202.240.87-50769-57275-17,131.202.240.150,50769,131.202.240.87,57275,30/03/2015 09:41:20 a.m.,17,3,0,3,540.0,0.0,540.0,18079.55002008839,100.44194455604661,14934.0,24,0,252.66666666666663,facebook_audio2a,0
26,131.202.240.150-131.202.244.3-54307-53-17,131.202.240.150,54307,131.202.244.3,53,30/03/2015 09:39:21 a.m.,17,1,1,2,33.0,240.0,273.0,634883.7209302326,4651.1627906976755,430.0,8,8,153.0,facebook_audio2a,0
27,131.202.240.150-131.202.244.5-54307-53-17,131.202.240.150,54307,131.202.244.5,53,30/03/2015 09:39:21 a.m.,17,1,1,2,33.0,192.0,225.0,509049.7737556561,4524.886877828054,442.0,8,8,129.0,facebook_audio2a,0
