,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-173.194.123.65-56302-443-17,131.202.240.87,56302,173.194.123.65,443,30/03/2015 09:32:58 a.m.,17,8,7,15,2376.0,4290.0,6666.0,39799.15338734619,89.55705082661156,11963.642857142859,64,56,534.4,facebook_audio2b,0
1,131.202.240.87-131.202.244.3-62718-53-17,131.202.240.87,62718,131.202.244.3,53,30/03/2015 09:32:58 a.m.,17,1,1,2,41.0,212.0,253.0,214770.79796264856,1697.792869269949,1178.0,8,8,147.0,facebook_audio2b,0
2,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 09:35:34 a.m.,17,9,0,9,450.0,0.0,450.0,5.277562430426334,0.10555124860852667,10658329.625,72,0,55.555555555555564,facebook_audio2b,0
3,131.202.240.87-131.202.244.3-55031-53-17,131.202.240.87,55031,131.202.244.3,53,30/03/2015 09:30:54 a.m.,17,1,1,2,42.0,149.0,191.0,482323.2323232323,5050.505050505051,396.0,8,8,116.5,facebook_audio2b,0
4,131.202.240.87-131.202.244.3-58221-53-17,131.202.240.87,58221,131.202.244.3,53,30/03/2015 09:35:34 a.m.,17,1,1,2,32.0,82.0,114.0,299212.59842519683,5249.343832020997,381.0,8,8,73.0,facebook_audio2b,0
5,173.252.79.84-131.202.240.87-443-2523-6,173.252.79.84,443,131.202.240.87,2523,30/03/2015 09:31:23 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,22222.222222222223,90.0,20,20,0.0,facebook_audio2b,0
6,173.252.79.84-131.202.240.87-443-2520-6,173.252.79.84,443,131.202.240.87,2520,30/03/2015 09:31:23 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,47619.04761904762,42.0,20,20,0.0,facebook_audio2b,0
7,173.252.79.84-131.202.240.87-3478-2518-6,173.252.79.84,3478,131.202.240.87,2518,30/03/2015 09:31:23 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,20202.020202020205,99.0,20,20,0.0,facebook_audio2b,0
8,131.202.240.87-173.252.79.84-50768-443-17,131.202.240.87,50768,173.252.79.84,443,30/03/2015 09:40:58 a.m.,17,28,0,28,560.0,0.0,560.0,19.524936673831505,0.9762468336915752,1062269.296296296,224,0,20.714285714285715,facebook_audio2b,0
9,131.202.240.87-224.0.0.252-51856-5355-17,131.202.240.87,51856,224.0.0.252,5355,30/03/2015 09:36:55 a.m.,17,2,0,2,44.0,0.0,44.0,107.20672868413486,4.87303312200613,410422.0,16,0,33.0,facebook_audio2b,0
10,131.202.240.87-173.252.79.84-50769-443-17,131.202.240.87,50769,173.252.79.84,443,30/03/2015 09:40:58 a.m.,17,28,0,28,560.0,0.0,560.0,19.52238961857887,0.9761194809289436,1062407.888888889,224,0,20.714285714285715,facebook_audio2b,0
11,131.202.240.87-131.202.244.3-56299-53-17,131.202.240.87,56299,131.202.244.3,53,30/03/2015 09:32:58 a.m.,17,1,1,2,47.0,394.0,441.0,787500.0000000001,3571.4285714285716,560.0,8,8,244.0,facebook_audio2b,0
12,131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 09:39:37 a.m.,6,3,3,6,3.0,0.0,3.0,0.03329008248827476,0.06658016497654952,18023385.8,60,96,0.6666666666666666,facebook_audio2b,0
13,173.252.79.84-131.202.240.87-50768-3478-17,173.252.79.84,50768,131.202.240.87,3478,30/03/2015 09:40:58 a.m.,17,21,0,21,420.0,0.0,420.0,14.6437877705126,0.73218938852563,1434055.2,168,0,20.952380952380953,facebook_audio2b,0
14,173.252.79.84-131.202.240.87-50769-3478-17,173.252.79.84,50769,131.202.240.87,3478,30/03/2015 09:40:58 a.m.,17,9,0,9,180.0,0.0,180.0,7.5228418554872105,0.37614209277436056,2990891.0,72,0,22.222222222222218,facebook_audio2b,0
15,131.202.240.87-131.202.244.3-51005-53-17,131.202.240.87,51005,131.202.244.3,53,30/03/2015 09:31:06 a.m.,17,1,1,2,40.0,147.0,187.0,145979.70335675252,1561.2802498048402,1281.0,8,8,113.5,facebook_audio2b,0
16,131.202.240.87-224.0.0.252-51335-5355-17,131.202.240.87,51335,224.0.0.252,5355,30/03/2015 09:36:55 a.m.,17,2,0,2,44.0,0.0,44.0,107.19288629027346,4.872403922285158,410475.0,16,0,33.0,facebook_audio2b,0
17,131.202.240.87-173.252.79.84-50769-50011-17,131.202.240.87,50769,173.252.79.84,50011,30/03/2015 09:40:58 a.m.,17,3,3,6,60.0,96.0,156.0,7.703270418518188,0.2962796314814688,4050227.8,24,24,29.33333333333333,facebook_audio2b,0
18,131.202.240.87-131.202.244.3-50765-53-17,131.202.240.87,50765,131.202.244.3,53,30/03/2015 09:30:13 a.m.,17,1,1,2,37.0,373.0,410.0,960187.3536299764,4683.840749414519,427.0,8,8,223.5,facebook_audio2b,0
19,131.202.240.87-131.202.240.150-50768-38766-17,131.202.240.87,50768,131.202.240.150,38766,30/03/2015 09:40:53 a.m.,17,1798,1778,3576,198046.0,122159.0,320205.0,9312.43460203531,103.999831785507,9618.089790209788,14384,14224,89.5746644295302,facebook_audio2b,0
20,173.252.100.27-131.202.240.87-443-2309-6,173.252.100.27,443,131.202.240.87,2309,30/03/2015 09:41:27 a.m.,6,4,2,6,954.0,0.0,954.0,30162.192924215116,189.69932656739067,6325.799999999998,80,40,204.16666666666663,facebook_audio2b,0
21,131.202.240.87-173.252.79.84-50769-3478-17,131.202.240.87,50769,173.252.79.84,3478,30/03/2015 09:40:58 a.m.,17,28,0,28,560.0,0.0,560.0,19.520497114556804,0.9760248557278404,1062510.888888889,224,0,20.714285714285715,facebook_audio2b,0
22,173.252.79.84-131.202.240.87-3478-2521-6,173.252.79.84,3478,131.202.240.87,2521,30/03/2015 09:31:23 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,46511.62790697674,43.0,20,20,0.0,facebook_audio2b,0
23,131.202.240.150-131.202.240.87-50768-38766-17,131.202.240.150,50768,131.202.240.87,38766,30/03/2015 09:41:27 a.m.,17,3,0,3,311.0,0.0,311.0,7851.750864702467,75.74036203893056,19804.5,24,0,140.0,facebook_audio2b,0
24,131.202.240.87-173.252.100.27-0-0-0,131.202.240.87,0,173.252.100.27,0,30/03/2015 09:30:52 a.m.,0,11,0,11,0.0,0.0,0.0,0.0,0.18573626844591204,5922375.9,0,0,0.0,facebook_audio2b,0
25,131.202.240.87-173.252.79.84-50768-3478-17,131.202.240.87,50768,173.252.79.84,3478,30/03/2015 09:40:58 a.m.,17,28,0,28,560.0,0.0,560.0,19.52492578174752,0.976246289087376,1062269.888888889,224,0,20.714285714285715,facebook_audio2b,0
26,131.202.240.87-131.202.240.150-50769-57275-17,131.202.240.87,50769,131.202.240.150,57275,30/03/2015 09:40:53 a.m.,17,1139,104,1243,229859.0,6851.0,236710.0,6894.736185973266,36.20530218057865,27642.50241545893,9112,832,190.60981496379728,facebook_audio2b,0
27,131.202.240.87-131.202.244.3-53012-53-17,131.202.240.87,53012,131.202.244.3,53,30/03/2015 09:35:34 a.m.,17,1,1,2,32.0,82.0,114.0,276699.02912621363,4854.368932038835,412.0,8,8,73.0,facebook_audio2b,0
28,131.202.240.87-69.171.239.36-50768-3478-17,131.202.240.87,50768,69.171.239.36,3478,30/03/2015 09:40:58 a.m.,17,3,3,6,60.0,96.0,156.0,7.702518847100802,0.2962507248884925,4050623.0,24,24,29.33333333333333,facebook_audio2b,0
29,131.202.240.87-173.194.123.96-0-0-0,131.202.240.87,0,173.194.123.96,0,30/03/2015 09:30:14 a.m.,0,3,0,3,0.0,0.0,0.0,0.0,0.07438520073701849,20165301.5,0,0,0.0,facebook_audio2b,0
30,131.202.240.87-216.58.219.206-62721-443-17,131.202.240.87,62721,216.58.219.206,443,30/03/2015 09:32:58 a.m.,17,4,3,7,2289.0,2327.0,4616.0,43820.42738207122,66.4521212466418,17556.5,32,24,852.2857142857142,facebook_audio2b,0
31,131.202.240.87-173.252.79.84-50768-50011-17,131.202.240.87,50768,173.252.79.84,50011,30/03/2015 09:40:58 a.m.,17,3,3,6,60.0,96.0,156.0,7.702583500819262,0.2962532115699717,4050589.0,24,24,29.33333333333333,facebook_audio2b,0
32,131.202.240.87-224.0.0.252-56520-5355-17,131.202.240.87,56520,224.0.0.252,5355,30/03/2015 09:36:58 a.m.,17,2,0,2,44.0,0.0,44.0,107.25978075125722,4.875444579602601,410219.0,16,0,33.0,facebook_audio2b,0
33,131.202.240.87-69.171.239.36-50769-3478-17,131.202.240.87,50769,69.171.239.36,3478,30/03/2015 09:40:58 a.m.,17,3,3,6,60.0,96.0,156.0,7.703608217004322,0.2962926237309355,4050050.2,24,24,29.33333333333333,facebook_audio2b,0
34,131.202.240.87-224.0.0.252-62322-5355-17,131.202.240.87,62322,224.0.0.252,5355,30/03/2015 09:35:34 a.m.,17,2,0,2,44.0,0.0,44.0,107.17721996906477,4.87169181677567,410535.0,16,0,33.0,facebook_audio2b,0
35,131.202.240.150-131.202.240.87-50769-57275-17,131.202.240.150,50769,131.202.240.87,57275,30/03/2015 09:41:27 a.m.,17,3,0,3,540.0,0.0,540.0,18074.10382568531,100.41168792047394,14938.5,24,0,252.66666666666663,facebook_audio2b,0
