,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.242-224.0.0.252-50631-5355-17,131.202.240.242,50631,224.0.0.252,5355,29/04/2015 01:10:08 p.m.,17,2,0,2,44.0,0.0,44.0,107.05596107055962,4.866180048661801,411000.0,16,0,33.0,facebook_chat_4b,0
1,131.202.240.242-224.0.0.252-61643-5355-17,131.202.240.242,61643,224.0.0.252,5355,29/04/2015 01:10:11 p.m.,17,2,0,2,44.0,0.0,44.0,107.33566056561014,4.878893662073189,409929.0,16,0,33.0,facebook_chat_4b,0
2,131.202.240.242-224.0.0.252-62045-5355-17,131.202.240.242,62045,224.0.0.252,5355,29/04/2015 01:07:58 p.m.,17,2,0,2,44.0,0.0,44.0,106.9575913150436,4.8617086961383436,411378.0,16,0,33.0,facebook_chat_4b,0
3,131.202.240.242-224.0.0.252-55931-5355-17,131.202.240.242,55931,224.0.0.252,5355,29/04/2015 01:02:11 p.m.,17,2,0,2,44.0,0.0,44.0,107.38438484611083,4.881108402095949,409743.0,16,0,33.0,facebook_chat_4b,0
4,131.202.240.242-224.0.0.252-65017-5355-17,131.202.240.242,65017,224.0.0.252,5355,29/04/2015 01:03:01 p.m.,17,2,0,2,44.0,0.0,44.0,107.22945885678774,4.87406631167217,410335.0,16,0,33.0,facebook_chat_4b,0
5,131.202.240.242-224.0.0.252-51151-5355-17,131.202.240.242,51151,224.0.0.252,5355,29/04/2015 01:07:06 p.m.,17,2,0,2,44.0,0.0,44.0,106.2863547645274,4.831197943842155,413976.0,16,0,33.0,facebook_chat_4b,0
6,131.202.240.242-131.202.244.32-51434-161-17,131.202.240.242,51434,131.202.244.32,161,29/04/2015 01:10:28 p.m.,17,1,1,2,79.0,94.0,173.0,342574.25742574263,3960.39603960396,505.0,8,8,126.0,facebook_chat_4b,0
7,131.202.240.242-224.0.0.252-63269-5355-17,131.202.240.242,63269,224.0.0.252,5355,29/04/2015 01:05:37 p.m.,17,2,0,2,44.0,0.0,44.0,107.18714144074134,4.87214279276097,410497.0,16,0,33.0,facebook_chat_4b,0
8,131.202.240.242-224.0.0.252-56288-5355-17,131.202.240.242,56288,224.0.0.252,5355,29/04/2015 01:03:08 p.m.,17,2,0,2,44.0,0.0,44.0,105.52874699003232,4.796761226819651,416948.0,16,0,33.0,facebook_chat_4b,0
9,131.202.240.242-224.0.0.252-61714-5355-17,131.202.240.242,61714,224.0.0.252,5355,29/04/2015 01:08:25 p.m.,17,2,0,2,44.0,0.0,44.0,107.14459650319,4.870208931963181,410660.0,16,0,33.0,facebook_chat_4b,0
10,131.202.240.242-224.0.0.252-63040-5355-17,131.202.240.242,63040,224.0.0.252,5355,29/04/2015 01:04:14 p.m.,17,2,0,2,44.0,0.0,44.0,107.39617962499209,4.8816445284087315,409698.0,16,0,33.0,facebook_chat_4b,0
11,131.202.240.242-131.202.6.26-0-0-0,131.202.240.242,0,131.202.6.26,0,29/04/2015 01:03:29 p.m.,0,2,0,2,0.0,0.0,0.0,0.0,338.86818027787183,5902.0,0,0,0.0,facebook_chat_4b,0
12,131.202.240.242-224.0.0.252-60259-5355-17,131.202.240.242,60259,224.0.0.252,5355,29/04/2015 01:03:46 p.m.,17,2,0,2,44.0,0.0,44.0,107.1279009748639,4.869450044311996,410724.0,16,0,33.0,facebook_chat_4b,0
13,131.202.240.242-224.0.0.252-55312-5355-17,131.202.240.242,55312,224.0.0.252,5355,29/04/2015 01:02:31 p.m.,17,2,0,2,44.0,0.0,44.0,107.29718393663612,4.877144724392552,410076.0,16,0,33.0,facebook_chat_4b,0
14,131.202.240.242-224.0.0.252-49750-5355-17,131.202.240.242,49750,224.0.0.252,5355,29/04/2015 01:01:28 p.m.,17,2,0,2,44.0,0.0,44.0,107.41033678022869,4.88228803546494,409644.0,16,0,33.0,facebook_chat_4b,0
15,131.202.240.242-224.0.0.252-54579-5355-17,131.202.240.242,54579,224.0.0.252,5355,29/04/2015 01:06:51 p.m.,17,2,0,2,44.0,0.0,44.0,106.73264684835476,4.851483947652488,412245.0,16,0,33.0,facebook_chat_4b,0
