,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.5-13063-53-17,131.202.240.150,13063,131.202.244.5,53,30/03/2015 08:41:59 a.m.,17,1,1,2,34.0,141.0,175.0,464190.9814323607,5305.039787798409,377.0,8,8,104.5,facebook_video1a,0
1,131.202.240.150-131.202.244.5-18392-53-17,131.202.240.150,18392,131.202.244.5,53,30/03/2015 08:43:07 a.m.,17,1,1,2,32.0,82.0,114.0,346504.55927051674,6079.0273556231,329.0,8,8,73.0,facebook_video1a,0
2,131.202.240.150-131.202.244.5-2587-53-17,131.202.240.150,2587,131.202.244.5,53,30/03/2015 08:42:03 a.m.,17,1,1,2,34.0,141.0,175.0,673076.9230769231,7692.307692307693,260.0,8,8,104.5,facebook_video1a,0
3,131.202.240.150-131.202.244.5-60300-53-17,131.202.240.150,60300,131.202.244.5,53,30/03/2015 08:43:07 a.m.,17,1,1,2,34.0,141.0,175.0,1872.1182750837106,21.395637429528122,93477.0,8,8,104.5,facebook_video1a,0
4,131.202.240.150-131.202.244.5-18840-53-17,131.202.240.150,18840,131.202.244.5,53,30/03/2015 08:42:04 a.m.,17,1,1,2,34.0,141.0,175.0,609756.0975609757,6968.641114982579,287.0,8,8,104.5,facebook_video1a,0
5,131.202.240.150-131.202.244.3-18392-53-17,131.202.240.150,18392,131.202.244.3,53,30/03/2015 08:43:07 a.m.,17,1,1,2,32.0,82.0,114.0,312328.7671232877,5479.452054794521,365.0,8,8,73.0,facebook_video1a,0
6,131.202.240.150-173.252.79.80-60257-51996-17,131.202.240.150,60257,173.252.79.80,51996,30/03/2015 08:42:04 a.m.,17,7,0,7,728.0,0.0,728.0,60.6502759295967,0.5831757300922761,2000540.5,56,0,118.85714285714286,facebook_video1a,0
7,131.202.240.150-173.252.79.93-35866-50011-17,131.202.240.150,35866,173.252.79.93,50011,30/03/2015 08:42:04 a.m.,17,2,2,4,196.0,180.0,376.0,2373.5575587708004,25.250612327348943,52804.0,16,16,105.0,facebook_video1a,0
8,131.202.240.150-131.202.244.5-1745-53-17,131.202.240.150,1745,131.202.244.5,53,30/03/2015 08:42:05 a.m.,17,1,1,2,40.0,147.0,187.0,505405.4054054054,5405.405405405406,370.0,8,8,113.5,facebook_video1a,0
9,131.202.240.150-69.171.255.36-59375-3478-17,131.202.240.150,59375,69.171.255.36,3478,30/03/2015 08:42:04 a.m.,17,1,1,2,28.0,32.0,60.0,758.495145631068,25.283171521035598,79104.0,8,8,44.0,facebook_video1a,0
