,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,15/04/2015 01:14:09 p.m.,17,6,0,6,300.0,0.0,300.0,4.755539886932284,0.09511079773864567,12616864.0,48,0,58.33333333333334,facebookchat3,0
1,131.202.240.87-173.194.208.188-2417-5228-6,131.202.240.87,2417,173.194.208.188,5228,15/04/2015 01:15:28 p.m.,6,2,2,4,2.0,0.0,2.0,0.04436854563834014,0.08873709127668028,15025659.666666668,40,64,0.75,facebookchat3,0
2,131.202.240.87-131.202.244.3-56969-53-17,131.202.240.87,56969,131.202.244.3,53,15/04/2015 01:13:42 p.m.,17,2,2,4,68.0,294.0,362.0,254929.57746478872,2816.9014084507044,473.33333333333326,16,16,99.0,facebookchat3,0
3,131.202.240.87-64.12.27.65-3245-443-6,131.202.240.87,3245,64.12.27.65,443,15/04/2015 01:16:23 p.m.,6,1,1,2,6.0,0.0,6.0,113.28235627301048,37.76078542433683,52965.0,20,20,6.0,facebookchat3,0
4,131.202.240.87-131.202.244.3-56952-53-17,131.202.240.87,56952,131.202.244.3,53,15/04/2015 01:13:04 p.m.,17,2,2,4,68.0,294.0,362.0,161319.07308377896,1782.5311942959,748.0,16,16,99.0,facebookchat3,0
5,173.252.110.27-131.202.240.87-443-1959-6,173.252.110.27,443,131.202.240.87,1959,15/04/2015 01:15:26 p.m.,6,96,88,184,34146.0,39395.0,73541.0,1125.4939790028286,2.8159923326650502,357055.1202185792,1920,1760,406.125,facebookchat3,0
6,131.202.240.87-209.148.205.35-3248-443-6,131.202.240.87,3248,209.148.205.35,443,15/04/2015 01:15:27 p.m.,6,9,7,16,698.0,256.0,954.0,16.15193738086888,0.2708920315449708,3937608.1333333324,192,152,59.625,facebookchat3,0
7,131.202.240.87-224.0.0.252-60555-5355-17,131.202.240.87,60555,224.0.0.252,5355,15/04/2015 01:15:11 p.m.,17,2,0,2,44.0,0.0,44.0,106.74585268101913,4.852084212773597,412194.0,16,0,33.0,facebookchat3,0
8,131.202.240.87-131.202.244.3-62061-53-17,131.202.240.87,62061,131.202.244.3,53,15/04/2015 01:15:28 p.m.,17,2,2,4,68.0,294.0,362.0,4811.654305234336,53.16745088656725,25078.0,16,16,99.0,facebookchat3,0
9,131.202.240.87-131.202.244.3-62081-53-17,131.202.240.87,62081,131.202.244.3,53,15/04/2015 01:16:16 p.m.,17,2,2,4,68.0,294.0,362.0,268346.92364714603,2965.159377316531,449.66666666666674,16,16,99.0,facebookchat3,0
10,131.202.240.87-131.202.244.3-62078-53-17,131.202.240.87,62078,131.202.244.3,53,15/04/2015 01:16:08 p.m.,17,2,2,4,68.0,294.0,362.0,210832.84799068145,2329.6447291788004,572.3333333333334,16,16,99.0,facebookchat3,0
11,131.202.240.87-131.202.244.3-62058-53-17,131.202.240.87,62058,131.202.244.3,53,15/04/2015 01:15:27 p.m.,17,1,1,2,41.0,449.0,490.0,748091.6030534351,3053.435114503817,655.0,8,8,265.5,facebookchat3,0
12,131.202.240.87-131.202.244.3-63666-53-17,131.202.240.87,63666,131.202.244.3,53,15/04/2015 01:14:52 p.m.,17,2,2,4,68.0,294.0,362.0,161462.9794826048,1784.121320249777,747.3333333333335,16,16,99.0,facebookchat3,0
13,131.202.240.87-131.202.244.3-56945-53-17,131.202.240.87,56945,131.202.244.3,53,15/04/2015 01:12:58 p.m.,17,2,2,4,68.0,294.0,362.0,136449.3026762156,1507.7271013946474,884.3333333333333,16,16,99.0,facebookchat3,0
14,131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,15/04/2015 01:15:23 p.m.,6,3,3,6,159.0,0.0,159.0,2.6475839913550887,0.09990882986245618,12010950.4,60,60,35.333333333333336,facebookchat3,0
15,131.202.240.87-131.202.244.3-56955-53-17,131.202.240.87,56955,131.202.244.3,53,15/04/2015 01:13:18 p.m.,17,2,2,4,68.0,294.0,362.0,4756.211322936238,52.55482124791424,25370.333333333336,16,16,99.0,facebookchat3,0
16,131.202.240.87-131.202.244.3-56965-53-17,131.202.240.87,56965,131.202.244.3,53,15/04/2015 01:13:35 p.m.,17,2,2,4,68.0,294.0,362.0,207212.36405266172,2289.639381797367,582.3333333333334,16,16,99.0,facebookchat3,0
17,131.202.240.87-131.202.244.3-56995-53-17,131.202.240.87,56995,131.202.244.3,53,15/04/2015 01:13:59 p.m.,17,2,2,4,68.0,294.0,362.0,213317.61932822628,2357.100766057749,565.6666666666666,16,16,99.0,facebookchat3,0
18,131.202.240.87-131.202.244.3-56998-53-17,131.202.240.87,56998,131.202.244.3,53,15/04/2015 01:14:00 p.m.,17,2,2,4,84.0,310.0,394.0,273991.65507649514,2781.641168289291,479.33333333333326,16,16,109.0,facebookchat3,0
19,131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,15/04/2015 01:15:04 p.m.,6,4,3,7,18.0,0.0,18.0,0.19999769113776564,0.07777687988690886,15000173.166666664,80,60,2.571428571428572,facebookchat3,0
20,131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,15/04/2015 01:15:23 p.m.,6,3,3,6,222.0,0.0,222.0,3.6967221164993,0.09991140855403514,12010640.4,60,60,49.33333333333334,facebookchat3,0
21,131.202.240.87-131.202.244.3-62094-53-17,131.202.240.87,62094,131.202.244.3,53,15/04/2015 01:16:31 p.m.,17,2,2,4,84.0,310.0,394.0,191541.07924161406,1944.5794846864367,685.6666666666666,16,16,109.0,facebookchat3,0
22,131.202.240.87-131.202.244.3-57000-53-17,131.202.240.87,57000,131.202.244.3,53,15/04/2015 01:14:09 p.m.,17,2,2,4,68.0,294.0,362.0,4749.783504343034,52.48379562809982,25404.66666666667,16,16,99.0,facebookchat3,0
23,131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,15/04/2015 01:14:57 p.m.,6,4,3,7,159.0,0.0,159.0,1.7666556741424722,0.07777729383017172,15000093.333333332,80,60,22.714285714285715,facebookchat3,0
24,131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,15/04/2015 01:14:59 p.m.,6,4,3,7,18.0,0.0,18.0,0.20000143334360565,0.07777833518917998,14999892.5,80,60,2.571428571428572,facebookchat3,0
25,131.202.240.87-131.202.244.3-56951-53-17,131.202.240.87,56951,131.202.244.3,53,15/04/2015 01:13:04 p.m.,17,2,2,4,68.0,294.0,362.0,199669.056811914,2206.287920573635,604.3333333333334,16,16,99.0,facebookchat3,0
26,131.202.240.87-131.202.244.3-56966-53-17,131.202.240.87,56966,131.202.244.3,53,15/04/2015 01:13:37 p.m.,17,2,2,4,68.0,294.0,362.0,303436.71416596806,3352.8918692372167,397.66666666666674,16,16,99.0,facebookchat3,0
27,131.202.240.87-131.202.244.3-56986-53-17,131.202.240.87,56986,131.202.244.3,53,15/04/2015 01:13:57 p.m.,17,2,2,4,68.0,294.0,362.0,159823.3995584989,1766.0044150110375,755.0,16,16,99.0,facebookchat3,0
28,131.202.240.87-209.148.205.26-3229-443-6,131.202.240.87,3229,209.148.205.26,443,15/04/2015 01:15:00 p.m.,6,1,2,3,0.0,0.0,0.0,0.0,137.40667796454906,10916.5,20,40,0.0,facebookchat3,0
29,131.202.240.87-131.202.244.3-62082-53-17,131.202.240.87,62082,131.202.244.3,53,15/04/2015 01:16:18 p.m.,17,2,2,4,68.0,294.0,362.0,553516.8195718655,6116.207951070337,218.0,16,16,99.0,facebookchat3,0
30,131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,15/04/2015 01:14:57 p.m.,6,4,3,7,222.0,0.0,222.0,2.4666265154683877,0.0777765117490032,15000244.166666664,80,60,31.714285714285715,facebookchat3,0
31,131.202.240.87-131.202.244.3-56971-53-17,131.202.240.87,56971,131.202.244.3,53,15/04/2015 01:13:51 p.m.,17,2,2,4,68.0,294.0,362.0,285939.9684044234,3159.55766192733,422.0,16,16,99.0,facebookchat3,0
32,131.202.240.87-131.202.244.3-62057-53-17,131.202.240.87,62057,131.202.244.3,53,15/04/2015 01:15:27 p.m.,17,2,2,4,84.0,310.0,394.0,7438.31297551398,75.51586777171552,17656.333333333336,16,16,109.0,facebookchat3,0
33,131.202.240.87-131.202.244.3-62093-53-17,131.202.240.87,62093,131.202.244.3,53,15/04/2015 01:16:31 p.m.,17,2,2,4,68.0,294.0,362.0,2366.894856253637,26.15353432324461,50981.0,16,16,99.0,facebookchat3,0
34,131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,15/04/2015 01:14:03 p.m.,17,2,2,4,126.0,85.0,211.0,1571.87022758595,29.79848772674787,44745.0,16,16,79.75,facebookchat3,0
35,131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,15/04/2015 01:14:59 p.m.,6,4,3,7,18.0,0.0,18.0,0.2000010444498988,0.07777818395273843,14999921.666666668,80,60,2.571428571428572,facebookchat3,0
36,131.202.240.87-131.202.244.3-63665-53-17,131.202.240.87,63665,131.202.244.3,53,15/04/2015 01:14:52 p.m.,17,2,2,4,68.0,294.0,362.0,86416.80592026736,954.88183337312,1396.3333333333335,16,16,99.0,facebookchat3,0
37,131.202.240.87-131.202.244.3-56964-53-17,131.202.240.87,56964,131.202.244.3,53,15/04/2015 01:13:35 p.m.,17,2,2,4,68.0,294.0,362.0,330291.9708029197,3649.6350364963505,365.33333333333326,16,16,99.0,facebookchat3,0
38,131.202.240.87-131.202.244.3-56944-53-17,131.202.240.87,56944,131.202.244.3,53,15/04/2015 01:12:58 p.m.,17,2,2,4,84.0,310.0,394.0,171081.19843682155,1736.8649587494574,767.6666666666665,16,16,109.0,facebookchat3,0
39,131.202.240.87-131.202.244.3-56954-53-17,131.202.240.87,56954,131.202.244.3,53,15/04/2015 01:13:07 p.m.,17,2,2,4,68.0,294.0,362.0,83583.46802124221,923.5742322789197,1443.6666666666665,16,16,99.0,facebookchat3,0
