Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,2015-04-15 15:41:32,2,2,126.0,85.0,0
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,2015-04-15 15:41:59,4,3,18.0,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-15 15:42:25,6,0,300.0,0.0,0
131.202.240.87-224.0.0.252-60954-5355-17,131.202.240.87,60954,224.0.0.252,5355,2015-04-15 15:41:38,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-58738-5355-17,131.202.240.87,58738,224.0.0.252,5355,2015-04-15 15:41:31,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-57423-5355-17,131.202.240.87,57423,224.0.0.252,5355,2015-04-15 15:40:16,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-58080-5355-17,131.202.240.87,58080,224.0.0.252,5355,2015-04-15 15:40:16,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-60194-5355-17,131.202.240.87,60194,224.0.0.252,5355,2015-04-15 15:41:38,2,0,44.0,0.0,0
131.202.240.87-203.23.237.200-10623-123-17,131.202.240.87,10623,203.23.237.200,123,2015-04-15 15:39:52,1,1,48.0,48.0,0
131.202.240.87-224.0.0.252-52713-5355-17,131.202.240.87,52713,224.0.0.252,5355,2015-04-15 15:40:28,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-59621-5355-17,131.202.240.87,59621,224.0.0.252,5355,2015-04-15 15:42:30,2,0,44.0,0.0,0
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,2015-04-15 15:42:04,4,3,18.0,0.0,0
131.202.240.87-224.0.0.252-59876-5355-17,131.202.240.87,59876,224.0.0.252,5355,2015-04-15 15:41:31,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-49679-5355-17,131.202.240.87,49679,224.0.0.252,5355,2015-04-15 15:40:36,2,0,44.0,0.0,0
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,2015-04-15 15:42:04,4,3,18.0,0.0,0
131.202.240.87-131.202.244.3-59450-53-17,131.202.240.87,59450,131.202.244.3,53,2015-04-15 15:42:25,1,1,32.0,82.0,0
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,2015-04-15 15:42:53,1,1,74.0,0.0,0
131.202.240.87-224.0.0.252-58818-5355-17,131.202.240.87,58818,224.0.0.252,5355,2015-04-15 15:40:28,2,0,44.0,0.0,0
64.12.104.85-131.202.240.87-443-1254-6,64.12.104.85,443,131.202.240.87,1254,2015-04-15 15:41:54,17,17,2188.0,867.0,0
131.202.240.87-224.0.0.252-51881-5355-17,131.202.240.87,51881,224.0.0.252,5355,2015-04-15 15:42:25,2,0,44.0,0.0,0
131.202.240.87-64.12.27.65-62087-443-6,131.202.240.87,62087,64.12.27.65,443,2015-04-15 15:42:53,1,1,6.0,0.0,0
131.202.240.87-131.202.244.3-10622-53-17,131.202.240.87,10622,131.202.244.3,53,2015-04-15 15:39:52,1,1,33.0,511.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 15:41:54,17,17,1255.0,2220.0,0
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,2015-04-15 15:41:59,4,3,18.0,0.0,0
131.202.240.87-224.0.0.252-59447-5355-17,131.202.240.87,59447,224.0.0.252,5355,2015-04-15 15:40:36,2,0,44.0,0.0,0
131.202.240.87-224.0.0.252-65008-5355-17,131.202.240.87,65008,224.0.0.252,5355,2015-04-15 15:42:25,2,0,44.0,0.0,0
131.202.240.87-131.202.244.3-55301-53-17,131.202.240.87,55301,131.202.244.3,53,2015-04-15 15:42:25,1,1,32.0,82.0,0
131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,2015-04-15 15:41:27,2,2,148.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 15:42:28,4,0,0.0,0.0,0
131.202.240.87-224.0.0.252-61827-5355-17,131.202.240.87,61827,224.0.0.252,5355,2015-04-15 15:42:30,2,0,44.0,0.0,0
131.202.240.87-131.202.6.26-62089-13111-6,131.202.240.87,62089,131.202.6.26,13111,2015-04-15 15:40:31,4,2,2.0,2.0,0
131.202.6.26-131.202.240.87-13111-62089-6,131.202.6.26,13111,131.202.240.87,62089,2015-04-15 15:40:31,2,0,0.0,0.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 15:39:52,30,30,1654.0,4024.0,0
64.12.104.85-131.202.240.87-443-1254-6,64.12.104.85,443,131.202.240.87,1254,2015-04-15 15:39:52,28,28,3407.0,1686.0,0
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,2015-04-15 15:39:59,6,4,36.0,0.0,0
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,2015-04-15 15:39:59,6,4,36.0,0.0,0
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,2015-04-15 15:40:04,5,4,30.0,0.0,0
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,2015-04-15 15:40:04,5,4,30.0,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-15 15:40:16,15,0,750.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 15:40:15,4,0,0.0,0.0,0
