Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.244.3-55732-53-17,131.202.240.87,55732,131.202.244.3,53,14/04/2015 02:19:26 p.m.,2,114.0,0
131.202.240.87-224.0.0.252-49778-5355-17,131.202.240.87,49778,224.0.0.252,5355,14/04/2015 02:20:00 p.m.,2,44.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,14/04/2015 02:23:59 p.m.,3,150.0,0
131.202.240.87-224.0.0.252-61843-5355-17,131.202.240.87,61843,224.0.0.252,5355,14/04/2015 02:20:35 p.m.,2,44.0,0
131.202.240.87-173.194.204.188-64231-5228-6,131.202.240.87,64231,173.194.204.188,5228,14/04/2015 02:22:17 p.m.,6,3.0,0
131.202.240.87-49.212.186.27-11009-123-17,131.202.240.87,11009,49.212.186.27,123,14/04/2015 02:17:47 p.m.,2,96.0,0
131.202.240.87-224.0.0.252-60680-5355-17,131.202.240.87,60680,224.0.0.252,5355,14/04/2015 02:20:58 p.m.,2,44.0,0
131.202.240.87-77.72.169.132-30315-11113-17,131.202.240.87,30315,77.72.169.132,11113,14/04/2015 02:19:38 p.m.,4,211.0,0
131.202.240.87-224.0.0.252-53437-5355-17,131.202.240.87,53437,224.0.0.252,5355,14/04/2015 02:20:35 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-59697-5355-17,131.202.240.87,59697,224.0.0.252,5355,14/04/2015 02:19:26 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-53576-5355-17,131.202.240.87,53576,224.0.0.252,5355,14/04/2015 02:20:00 p.m.,2,44.0,0
131.202.240.87-64.12.104.73-64366-443-6,131.202.240.87,64366,64.12.104.73,443,14/04/2015 02:21:47 p.m.,9,296.0,0
131.202.240.87-224.0.0.252-50583-5355-17,131.202.240.87,50583,224.0.0.252,5355,14/04/2015 02:19:30 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-51580-5355-17,131.202.240.87,51580,224.0.0.252,5355,14/04/2015 02:22:37 p.m.,2,44.0,0
131.202.240.87-64.12.104.73-39237-443-6,131.202.240.87,39237,64.12.104.73,443,14/04/2015 02:23:31 p.m.,3,74.0,0
131.202.240.87-224.0.0.252-53326-5355-17,131.202.240.87,53326,224.0.0.252,5355,14/04/2015 02:23:59 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-60323-5355-17,131.202.240.87,60323,224.0.0.252,5355,14/04/2015 02:20:58 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-64477-5355-17,131.202.240.87,64477,224.0.0.252,5355,14/04/2015 02:22:37 p.m.,2,44.0,0
131.202.240.87-64.12.104.85-39235-443-6,131.202.240.87,39235,64.12.104.85,443,14/04/2015 02:23:31 p.m.,4,106.0,0
131.202.240.87-224.0.0.252-59022-5355-17,131.202.240.87,59022,224.0.0.252,5355,14/04/2015 02:19:28 p.m.,2,44.0,0
131.202.240.87-178.237.19.228-64205-443-6,131.202.240.87,64205,178.237.19.228,443,14/04/2015 02:23:11 p.m.,4,12.0,0
131.202.240.87-224.0.0.252-49603-5355-17,131.202.240.87,49603,224.0.0.252,5355,14/04/2015 02:23:49 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-51911-5355-17,131.202.240.87,51911,224.0.0.252,5355,14/04/2015 02:22:39 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-59495-5355-17,131.202.240.87,59495,224.0.0.252,5355,14/04/2015 02:23:59 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-64761-5355-17,131.202.240.87,64761,224.0.0.252,5355,14/04/2015 02:22:39 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-54041-5355-17,131.202.240.87,54041,224.0.0.252,5355,14/04/2015 02:19:26 p.m.,2,44.0,0
131.202.240.87-178.237.24.202-64364-443-6,131.202.240.87,64364,178.237.24.202,443,14/04/2015 02:23:58 p.m.,3,415.0,0
131.202.240.87-224.0.0.252-55709-5355-17,131.202.240.87,55709,224.0.0.252,5355,14/04/2015 02:21:53 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-55468-5355-17,131.202.240.87,55468,224.0.0.252,5355,14/04/2015 02:23:49 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-62799-5355-17,131.202.240.87,62799,224.0.0.252,5355,14/04/2015 02:19:30 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-50080-5355-17,131.202.240.87,50080,224.0.0.252,5355,14/04/2015 02:23:17 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-59928-53-17,131.202.240.87,59928,131.202.244.3,53,14/04/2015 02:19:26 p.m.,2,114.0,0
131.202.240.87-224.0.0.252-49240-5355-17,131.202.240.87,49240,224.0.0.252,5355,14/04/2015 02:19:28 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-65312-5355-17,131.202.240.87,65312,224.0.0.252,5355,14/04/2015 02:23:17 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-11008-53-17,131.202.240.87,11008,131.202.244.3,53,14/04/2015 02:17:47 p.m.,2,544.0,0
131.202.240.87-64.12.27.65-64345-443-6,131.202.240.87,64345,64.12.27.65,443,14/04/2015 02:24:01 p.m.,2,6.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,14/04/2015 02:22:38 p.m.,8,0.0,0
131.202.240.87-64.12.27.66-64368-443-6,131.202.240.87,64368,64.12.27.66,443,14/04/2015 02:17:47 p.m.,9,24.0,0
131.202.240.87-178.237.19.103-64201-443-6,131.202.240.87,64201,178.237.19.103,443,14/04/2015 02:23:58 p.m.,4,475.0,0
131.202.240.87-224.0.0.252-63776-5355-17,131.202.240.87,63776,224.0.0.252,5355,14/04/2015 02:21:53 p.m.,2,44.0,0
74.125.226.174-131.202.240.87-443-64543-6,74.125.226.174,443,131.202.240.87,64543,14/04/2015 02:19:20 p.m.,2,55.0,0
131.202.240.87-74.125.226.174-64543-443-6,131.202.240.87,64543,74.125.226.174,443,14/04/2015 02:19:20 p.m.,2,0.0,0
131.202.240.87-64.12.27.65-64345-443-6,131.202.240.87,64345,64.12.27.65,443,14/04/2015 02:17:31 p.m.,8,24.0,0
131.202.240.87-64.12.104.73-39237-443-6,131.202.240.87,39237,64.12.104.73,443,14/04/2015 02:17:31 p.m.,8,296.0,0
131.202.240.87-64.12.104.85-39235-443-6,131.202.240.87,39235,64.12.104.85,443,14/04/2015 02:17:31 p.m.,8,212.0,0
131.202.240.87-178.237.19.103-64201-443-6,131.202.240.87,64201,178.237.19.103,443,14/04/2015 02:17:41 p.m.,20,1052.0,0
131.202.240.87-178.237.19.228-64205-443-6,131.202.240.87,64205,178.237.19.228,443,14/04/2015 02:17:41 p.m.,7,24.0,0
131.202.240.87-64.12.104.73-64366-443-6,131.202.240.87,64366,64.12.104.73,443,14/04/2015 02:17:47 p.m.,8,296.0,0
131.202.240.87-64.12.24.167-64362-443-6,131.202.240.87,64362,64.12.24.167,443,14/04/2015 02:17:47 p.m.,8,212.0,0
131.202.240.87-178.237.24.202-64364-443-6,131.202.240.87,64364,178.237.24.202,443,14/04/2015 02:17:41 p.m.,18,1161.0,0
131.202.240.87-173.194.204.188-64231-5228-6,131.202.240.87,64231,173.194.204.188,5228,14/04/2015 02:17:47 p.m.,6,3.0,0
131.202.240.87-178.237.19.227-64370-443-6,131.202.240.87,64370,178.237.19.227,443,14/04/2015 02:18:18 p.m.,7,24.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,14/04/2015 02:17:45 p.m.,8,0.0,0
131.202.240.87-64.12.104.85-39235-443-6,131.202.240.87,39235,64.12.104.85,443,14/04/2015 02:19:31 p.m.,8,212.0,0
131.202.240.87-64.12.104.73-39237-443-6,131.202.240.87,39237,64.12.104.73,443,14/04/2015 02:19:31 p.m.,9,370.0,0
131.202.240.87-64.12.27.65-64345-443-6,131.202.240.87,64345,64.12.27.65,443,14/04/2015 02:19:31 p.m.,9,30.0,0
131.202.240.87-64.12.24.167-64362-443-6,131.202.240.87,64362,64.12.24.167,443,14/04/2015 02:19:47 p.m.,8,212.0,0
131.202.240.87-64.12.104.73-64366-443-6,131.202.240.87,64366,64.12.104.73,443,14/04/2015 02:19:47 p.m.,9,370.0,0
131.202.240.87-178.237.19.103-64201-443-6,131.202.240.87,64201,178.237.19.103,443,14/04/2015 02:19:41 p.m.,31,1577.0,0
131.202.240.87-178.237.24.202-64364-443-6,131.202.240.87,64364,178.237.24.202,443,14/04/2015 02:19:48 p.m.,35,1702.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,14/04/2015 02:19:26 p.m.,18,900.0,0
131.202.240.87-173.194.204.188-64231-5228-6,131.202.240.87,64231,173.194.204.188,5228,14/04/2015 02:20:02 p.m.,6,3.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,14/04/2015 02:20:22 p.m.,6,0.0,0
131.202.240.87-178.237.19.228-64205-443-6,131.202.240.87,64205,178.237.19.228,443,14/04/2015 02:19:41 p.m.,3,6.0,0
131.202.240.87-64.12.104.85-39235-443-6,131.202.240.87,39235,64.12.104.85,443,14/04/2015 02:21:31 p.m.,8,212.0,0
131.202.240.87-64.12.104.73-39237-443-6,131.202.240.87,39237,64.12.104.73,443,14/04/2015 02:21:31 p.m.,8,296.0,0
131.202.240.87-64.12.24.167-64362-443-6,131.202.240.87,64362,64.12.24.167,443,14/04/2015 02:21:47 p.m.,9,265.0,0
131.202.240.87-178.237.19.103-64201-443-6,131.202.240.87,64201,178.237.19.103,443,14/04/2015 02:21:50 p.m.,36,1288.0,0
131.202.240.87-178.237.24.202-64364-443-6,131.202.240.87,64364,178.237.24.202,443,14/04/2015 02:21:50 p.m.,32,1321.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,14/04/2015 02:21:53 p.m.,15,750.0,0
131.202.240.87-64.12.27.65-64345-443-6,131.202.240.87,64345,64.12.27.65,443,14/04/2015 02:21:31 p.m.,9,24.0,0
