Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-208.111.128.6-4277-80-6,131.202.240.87,4277,208.111.128.6,80,2015-01-04 10:26:44,2,0.0,0
189.244.130.193-131.202.240.87-21521-61009-17,189.244.130.193,21521,131.202.240.87,61009,2015-01-04 10:29:25,2,388.0,0
131.202.240.87-173.51.47.84-61009-17550-17,131.202.240.87,61009,173.51.47.84,17550,2015-01-04 10:27:27,2,425.0,0
131.202.240.87-131.202.244.3-51978-53-17,131.202.240.87,51978,131.202.244.3,53,2015-01-04 10:27:13,2,364.0,0
131.202.240.87-131.202.244.5-51978-53-17,131.202.240.87,51978,131.202.244.5,53,2015-01-04 10:27:13,2,364.0,0
131.202.240.87-86.107.23.53-61009-13214-17,131.202.240.87,61009,86.107.23.53,13214,2015-01-04 10:29:52,2,182.0,0
131.202.240.87-131.202.244.3-56399-53-17,131.202.240.87,56399,131.202.244.3,53,2015-01-04 10:24:49,2,364.0,0
131.202.240.87-131.202.244.5-56399-53-17,131.202.240.87,56399,131.202.244.5,53,2015-01-04 10:24:49,2,364.0,0
131.202.240.87-193.226.213.94-61009-29208-17,131.202.240.87,61009,193.226.213.94,29208,2015-01-04 10:25:51,4,695.0,0
131.202.240.87-131.202.6.3-56365-53-17,131.202.240.87,56365,131.202.6.3,53,2015-01-04 10:24:15,2,398.0,0
131.202.240.87-176.215.125.110-61009-21158-17,131.202.240.87,61009,176.215.125.110,21158,2015-01-04 10:27:32,2,392.0,0
131.202.240.87-207.134.227.175-61009-25281-17,131.202.240.87,61009,207.134.227.175,25281,2015-01-04 10:25:22,2,392.0,0
207.241.224.2-131.202.240.87-80-4441-6,207.241.224.2,80,131.202.240.87,4441,2015-01-04 10:25:51,2,0.0,0
131.202.240.87-93.170.201.128-61009-6881-17,131.202.240.87,61009,93.170.201.128,6881,2015-01-04 10:25:50,2,408.0,0
114.205.74.118-131.202.240.87-59374-61009-17,114.205.74.118,59374,131.202.240.87,61009,2015-01-04 10:28:13,2,133.0,0
131.202.240.87-193.106.220.80-61009-37342-17,131.202.240.87,61009,193.106.220.80,37342,2015-01-04 10:27:14,2,425.0,0
131.202.240.87-115.72.239.92-61009-22447-17,131.202.240.87,61009,115.72.239.92,22447,2015-01-04 10:23:33,4,730.0,0
131.202.240.87-213.89.188.15-61009-51413-17,131.202.240.87,61009,213.89.188.15,51413,2015-01-04 10:24:16,2,391.0,0
131.202.240.87-5.135.155.6-61009-6881-17,131.202.240.87,61009,5.135.155.6,6881,2015-01-04 10:23:53,2,380.0,0
112.198.79.21-131.202.240.87-45457-61009-17,112.198.79.21,45457,131.202.240.87,61009,2015-01-04 10:27:01,4,784.0,0
131.202.240.87-150.107.214.129-61009-56522-17,131.202.240.87,61009,150.107.214.129,56522,2015-01-04 10:24:21,3,619.0,0
58.34.8.213-131.202.240.87-16001-61009-17,58.34.8.213,16001,131.202.240.87,61009,2015-01-04 10:26:17,4,884.0,0
131.202.240.87-223.206.245.63-61009-15389-17,131.202.240.87,61009,223.206.245.63,15389,2015-01-04 10:24:51,2,449.0,0
119.250.47.134-131.202.240.87-53382-61009-17,119.250.47.134,53382,131.202.240.87,61009,2015-01-04 10:27:09,2,388.0,0
131.202.240.87-74.217.78.189-4184-80-6,131.202.240.87,4184,74.217.78.189,80,2015-01-04 10:24:54,2,0.0,0
131.202.240.87-93.155.245.102-61009-36225-17,131.202.240.87,61009,93.155.245.102,36225,2015-01-04 10:25:26,2,392.0,0
131.202.240.87-184.173.181.59-61009-6891-17,131.202.240.87,61009,184.173.181.59,6891,2015-01-04 10:24:50,2,406.0,0
109.87.143.200-131.202.240.87-59984-61009-17,109.87.143.200,59984,131.202.240.87,61009,2015-01-04 10:27:47,2,388.0,0
131.202.240.87-46.181.59.177-61009-51413-17,131.202.240.87,61009,46.181.59.177,51413,2015-01-04 10:23:37,2,391.0,0
50.174.73.54-131.202.240.87-1500-61009-17,50.174.73.54,1500,131.202.240.87,61009,2015-01-04 10:27:30,2,133.0,0
49.81.158.213-131.202.240.87-1157-61009-17,49.81.158.213,1157,131.202.240.87,61009,2015-01-04 10:28:45,2,388.0,0
131.202.240.87-131.202.244.5-56365-53-17,131.202.240.87,56365,131.202.244.5,53,2015-01-04 10:24:15,2,364.0,0
131.202.240.87-77.110.8.217-61009-49399-17,131.202.240.87,61009,77.110.8.217,49399,2015-01-04 10:25:22,2,392.0,0
131.202.240.87-131.202.244.3-56365-53-17,131.202.240.87,56365,131.202.244.3,53,2015-01-04 10:24:15,2,364.0,0
131.202.240.87-186.207.233.195-61009-47615-17,131.202.240.87,61009,186.207.233.195,47615,2015-01-04 10:24:56,2,425.0,0
131.202.240.87-5.14.8.153-61009-57361-17,131.202.240.87,61009,5.14.8.153,57361,2015-01-04 10:24:17,4,685.0,0
131.202.240.87-37.201.227.106-61009-23655-17,131.202.240.87,61009,37.201.227.106,23655,2015-01-04 10:27:14,2,406.0,0
131.202.240.87-23.195.198.228-4278-80-6,131.202.240.87,4278,23.195.198.228,80,2015-01-04 10:26:44,2,0.0,0
172.56.3.179-131.202.240.87-56824-61009-17,172.56.3.179,56824,131.202.240.87,61009,2015-01-04 10:29:38,2,388.0,0
131.202.240.87-208.111.128.6-4268-80-6,131.202.240.87,4268,208.111.128.6,80,2015-01-04 10:26:44,2,0.0,0
131.202.240.87-131.202.244.5-52997-53-17,131.202.240.87,52997,131.202.244.5,53,2015-01-04 10:25:49,2,364.0,0
131.202.240.87-93.80.105.37-61009-51413-17,131.202.240.87,61009,93.80.105.37,51413,2015-01-04 10:23:33,2,391.0,0
123.164.19.46-131.202.240.87-7377-61009-17,123.164.19.46,7377,131.202.240.87,61009,2015-01-04 10:28:49,2,388.0,0
131.202.240.87-131.202.244.3-57904-53-17,131.202.240.87,57904,131.202.244.3,53,2015-01-04 10:23:10,2,261.0,0
131.202.240.87-181.20.147.64-61009-23644-17,131.202.240.87,61009,181.20.147.64,23644,2015-01-04 10:23:33,2,425.0,0
131.202.240.87-31.192.27.29-61009-23208-17,131.202.240.87,61009,31.192.27.29,23208,2015-01-04 10:23:33,4,714.0,0
131.202.240.87-68.118.97.213-61009-52109-17,131.202.240.87,61009,68.118.97.213,52109,2015-01-04 10:27:14,2,406.0,0
37.19.45.88-131.202.240.87-6881-61009-17,37.19.45.88,6881,131.202.240.87,61009,2015-01-04 10:23:15,2,388.0,0
93.100.100.247-131.202.240.87-6881-61009-17,93.100.100.247,6881,131.202.240.87,61009,2015-01-04 10:28:30,2,388.0,0
131.202.240.87-89.28.166.222-61009-52044-17,131.202.240.87,61009,89.28.166.222,52044,2015-01-04 10:29:10,2,392.0,0
131.202.240.87-176.108.153.3-61009-48504-17,131.202.240.87,61009,176.108.153.3,48504,2015-01-04 10:29:28,2,425.0,0
131.202.240.87-95.168.54.160-61009-26283-17,131.202.240.87,61009,95.168.54.160,26283,2015-01-04 10:29:38,2,392.0,0
131.202.240.87-224.0.0.252-62294-5355-17,131.202.240.87,62294,224.0.0.252,5355,2015-01-04 10:24:29,2,44.0,0
131.202.240.87-101.67.146.27-61009-1898-17,131.202.240.87,61009,101.67.146.27,1898,2015-01-04 10:25:52,4,681.0,0
131.202.240.87-207.241.227.82-4323-80-6,131.202.240.87,4323,207.241.227.82,80,2015-01-04 10:24:58,1381,1276495.0,0
117.131.179.17-131.202.240.87-56281-61009-17,117.131.179.17,56281,131.202.240.87,61009,2015-01-04 10:23:31,8,1494.0,0
84.40.88.216-131.202.240.87-10389-61009-17,84.40.88.216,10389,131.202.240.87,61009,2015-01-04 10:29:54,2,391.0,0
213.138.88.8-131.202.240.87-6881-61009-17,213.138.88.8,6881,131.202.240.87,61009,2015-01-04 10:29:01,2,388.0,0
209.148.205.18-131.202.240.87-80-4588-6,209.148.205.18,80,131.202.240.87,4588,2015-01-04 10:28:24,2,0.0,0
131.202.240.87-109.72.152.167-61009-44738-17,131.202.240.87,61009,109.72.152.167,44738,2015-01-04 10:23:33,2,418.0,0
131.202.240.87-64.229.157.54-61009-16181-17,131.202.240.87,61009,64.229.157.54,16181,2015-01-04 10:24:51,2,425.0,0
220.132.254.106-131.202.240.87-4185-61009-17,220.132.254.106,4185,131.202.240.87,61009,2015-01-04 10:27:36,2,388.0,0
207.241.224.2-131.202.240.87-80-4456-6,207.241.224.2,80,131.202.240.87,4456,2015-01-04 10:25:52,2,0.0,0
