Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-29 12:51:26,9,450.0,0
131.202.240.87-224.0.0.252-64036-5355-17,131.202.240.87,64036,224.0.0.252,5355,2015-04-29 12:51:26,2,44.0,0
131.202.240.87-224.0.0.252-60662-5355-17,131.202.240.87,60662,224.0.0.252,5355,2015-04-29 12:43:49,2,44.0,0
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,2015-04-29 12:50:32,6,189.0,0
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,2015-04-29 12:50:32,2,74.0,0
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,2015-04-29 12:50:35,4,211.0,0
131.202.240.87-224.0.0.252-56771-5355-17,131.202.240.87,56771,224.0.0.252,5355,2015-04-29 12:46:13,2,44.0,0
131.202.240.87-131.202.244.3-55517-53-17,131.202.240.87,55517,131.202.244.3,53,2015-04-29 12:47:46,2,114.0,0
131.202.240.87-224.0.0.252-53266-5355-17,131.202.240.87,53266,224.0.0.252,5355,2015-04-29 12:52:52,2,44.0,0
131.202.240.87-224.0.0.252-63159-5355-17,131.202.240.87,63159,224.0.0.252,5355,2015-04-29 12:46:53,2,44.0,0
131.202.240.87-131.202.244.3-13972-53-17,131.202.240.87,13972,131.202.244.3,53,2015-04-29 12:45:27,2,512.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,2015-04-29 12:51:38,9,24.0,0
131.202.240.87-224.0.0.252-64964-5355-17,131.202.240.87,64964,224.0.0.252,5355,2015-04-29 12:46:07,2,44.0,0
131.202.240.87-224.0.0.252-49354-5355-17,131.202.240.87,49354,224.0.0.252,5355,2015-04-29 12:51:57,2,44.0,0
131.202.240.87-224.0.0.252-61382-5355-17,131.202.240.87,61382,224.0.0.252,5355,2015-04-29 12:46:53,2,44.0,0
131.202.240.87-224.0.0.252-63587-5355-17,131.202.240.87,63587,224.0.0.252,5355,2015-04-29 12:46:08,2,44.0,0
131.202.240.87-224.0.0.252-54627-5355-17,131.202.240.87,54627,224.0.0.252,5355,2015-04-29 12:46:08,2,44.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,2015-04-29 12:51:38,9,24.0,0
131.202.240.87-224.0.0.252-59554-5355-17,131.202.240.87,59554,224.0.0.252,5355,2015-04-29 12:47:46,2,44.0,0
131.202.240.87-199.167.128.130-13973-123-17,131.202.240.87,13973,199.167.128.130,123,2015-04-29 12:45:27,2,96.0,0
131.202.240.87-131.202.244.3-62277-53-17,131.202.240.87,62277,131.202.244.3,53,2015-04-29 12:47:46,2,114.0,0
131.202.240.87-224.0.0.252-54745-5355-17,131.202.240.87,54745,224.0.0.252,5355,2015-04-29 12:45:59,2,44.0,0
131.202.240.87-224.0.0.252-58344-5355-17,131.202.240.87,58344,224.0.0.252,5355,2015-04-29 12:46:07,2,44.0,0
131.202.240.87-224.0.0.252-62129-5355-17,131.202.240.87,62129,224.0.0.252,5355,2015-04-29 12:51:57,2,44.0,0
131.202.240.87-224.0.0.252-54047-5355-17,131.202.240.87,54047,224.0.0.252,5355,2015-04-29 12:46:13,2,44.0,0
131.202.240.87-224.0.0.252-49773-5355-17,131.202.240.87,49773,224.0.0.252,5355,2015-04-29 12:52:52,2,44.0,0
131.202.240.87-224.0.0.252-62218-5355-17,131.202.240.87,62218,224.0.0.252,5355,2015-04-29 12:51:26,2,44.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:53:36,16,1501.0,0
131.202.240.87-224.0.0.252-50563-5355-17,131.202.240.87,50563,224.0.0.252,5355,2015-04-29 12:45:59,2,44.0,0
131.202.240.87-224.0.0.252-54329-5355-17,131.202.240.87,54329,224.0.0.252,5355,2015-04-29 12:47:46,2,44.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-29 12:50:36,6,0.0,0
131.202.240.87-224.0.0.252-51542-5355-17,131.202.240.87,51542,224.0.0.252,5355,2015-04-29 12:43:49,2,44.0,0
131.202.240.87-131.202.6.26-64716-13111-6,131.202.240.87,64716,131.202.6.26,13111,2015-04-29 12:44:11,6,4.0,0
131.202.6.26-131.202.240.87-13111-64716-6,131.202.6.26,13111,131.202.240.87,64716,2015-04-29 12:44:11,2,0.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:43:23,79,6177.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,2015-04-29 12:43:08,8,24.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,2015-04-29 12:43:08,10,239.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-29 12:43:28,4,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-29 12:43:49,3,150.0,0
131.202.240.87-64.12.27.65-64714-443-6,131.202.240.87,64714,64.12.27.65,443,2015-04-29 12:45:32,3,12.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:45:32,52,4310.0,0
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,2015-04-29 12:45:32,3,148.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,2015-04-29 12:45:38,9,30.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,2015-04-29 12:45:38,9,30.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-29 12:45:53,6,0.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:47:32,53,4454.0,0
131.202.240.87-131.202.6.26-64717-13000-6,131.202.240.87,64717,131.202.6.26,13000,2015-04-29 12:49:33,27,14153.0,0
131.202.240.87-131.202.6.26-64717-13000-6,131.202.240.87,64717,131.202.6.26,13000,2015-04-29 12:49:33,2,0.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,2015-04-29 12:47:38,8,24.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,2015-04-29 12:47:38,8,24.0,0
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,2015-04-29 12:45:35,4,211.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-29 12:48:30,2,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-29 12:45:59,18,900.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:49:33,24,2166.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,2015-04-29 12:49:38,8,24.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,2015-04-29 12:49:38,8,24.0,0
131.202.240.87-131.202.6.26-64719-13000-6,131.202.240.87,64719,131.202.6.26,13000,2015-04-29 12:53:20,607,599948.0,0
131.202.6.26-131.202.240.87-13000-64719-6,131.202.6.26,13000,131.202.240.87,64719,2015-04-29 12:53:25,2,0.0,0
131.202.240.87-131.202.6.26-64720-13000-6,131.202.240.87,64720,131.202.6.26,13000,2015-04-29 12:53:26,27,12002.0,0
131.202.6.26-131.202.240.87-13000-64720-6,131.202.6.26,13000,131.202.240.87,64720,2015-04-29 12:53:26,2,0.0,0
131.202.240.87-131.202.6.26-64721-13000-6,131.202.240.87,64721,131.202.6.26,13000,2015-04-29 12:53:30,26,11634.0,0
131.202.6.26-131.202.240.87-13000-64721-6,131.202.6.26,13000,131.202.240.87,64721,2015-04-29 12:53:30,2,0.0,0
131.202.240.87-131.202.6.26-64722-13000-6,131.202.240.87,64722,131.202.6.26,13000,2015-04-29 12:53:32,24,11341.0,0
131.202.6.26-131.202.240.87-13000-64722-6,131.202.6.26,13000,131.202.240.87,64722,2015-04-29 12:53:32,2,0.0,0
205.188.12.91-131.202.240.87-443-42522-6,205.188.12.91,443,131.202.240.87,42522,2015-04-29 12:51:36,75,7104.0,0
