Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.242-224.0.0.252-59393-5355-17,131.202.240.242,59393,224.0.0.252,5355,29/04/2015 12:49:29 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-49806-5355-17,131.202.240.242,49806,224.0.0.252,5355,29/04/2015 12:53:18 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-61949-5355-17,131.202.240.242,61949,224.0.0.252,5355,29/04/2015 12:43:24 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-50616-5355-17,131.202.240.242,50616,224.0.0.252,5355,29/04/2015 12:44:35 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63346-5355-17,131.202.240.242,63346,224.0.0.252,5355,29/04/2015 12:53:09 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-53423-5355-17,131.202.240.242,53423,224.0.0.252,5355,29/04/2015 12:49:48 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-57557-5355-17,131.202.240.242,57557,224.0.0.252,5355,29/04/2015 12:50:11 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-51720-5355-17,131.202.240.242,51720,224.0.0.252,5355,29/04/2015 12:50:47 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63025-5355-17,131.202.240.242,63025,224.0.0.252,5355,29/04/2015 12:44:41 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-65518-5355-17,131.202.240.242,65518,224.0.0.252,5355,29/04/2015 12:49:01 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-54662-5355-17,131.202.240.242,54662,224.0.0.252,5355,29/04/2015 12:49:36 p.m.,2,44.0,0
131.202.240.242-131.202.244.32-51434-161-17,131.202.240.242,51434,131.202.244.32,161,29/04/2015 12:50:28 p.m.,2,173.0,0
131.202.240.242-224.0.0.252-56911-5355-17,131.202.240.242,56911,224.0.0.252,5355,29/04/2015 12:49:23 p.m.,2,44.0,0
131.202.240.242-131.202.244.5-57438-53-17,131.202.240.242,57438,131.202.244.5,53,29/04/2015 12:52:26 p.m.,2,226.0,0
131.202.240.242-224.0.0.252-64123-5355-17,131.202.240.242,64123,224.0.0.252,5355,29/04/2015 12:50:13 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63361-5355-17,131.202.240.242,63361,224.0.0.252,5355,29/04/2015 12:43:36 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-55064-5355-17,131.202.240.242,55064,224.0.0.252,5355,29/04/2015 12:43:51 p.m.,2,44.0,0
131.202.240.242-131.202.244.3-57438-53-17,131.202.240.242,57438,131.202.244.3,53,29/04/2015 12:52:26 p.m.,2,226.0,0
131.202.240.242-224.0.0.252-52850-5355-17,131.202.240.242,52850,224.0.0.252,5355,29/04/2015 12:44:09 p.m.,2,44.0,0
131.202.240.242-131.202.6.26-0-0-0,131.202.240.242,0,131.202.6.26,0,29/04/2015 12:47:26 p.m.,2,0.0,0
131.202.240.242-224.0.0.252-64733-5355-17,131.202.240.242,64733,224.0.0.252,5355,29/04/2015 12:48:55 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63220-5355-17,131.202.240.242,63220,224.0.0.252,5355,29/04/2015 12:50:47 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-58263-5355-17,131.202.240.242,58263,224.0.0.252,5355,29/04/2015 12:50:22 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-64701-5355-17,131.202.240.242,64701,224.0.0.252,5355,29/04/2015 12:51:01 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-52561-5355-17,131.202.240.242,52561,224.0.0.252,5355,29/04/2015 12:53:48 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-60201-5355-17,131.202.240.242,60201,224.0.0.252,5355,29/04/2015 12:44:12 p.m.,2,44.0,0
131.202.240.242-131.202.244.5-63346-53-17,131.202.240.242,63346,131.202.244.5,53,29/04/2015 12:44:31 p.m.,2,300.0,0
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,29/04/2015 12:52:05 p.m.,83,8690.0,0
131.202.240.242-224.0.0.252-59799-5355-17,131.202.240.242,59799,224.0.0.252,5355,29/04/2015 12:52:48 p.m.,2,44.0,0
131.202.240.242-131.202.244.3-58924-53-17,131.202.240.242,58924,131.202.244.3,53,29/04/2015 12:46:01 p.m.,2,114.0,0
131.202.240.242-224.0.0.252-50392-5355-17,131.202.240.242,50392,224.0.0.252,5355,29/04/2015 12:50:07 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-54515-5355-17,131.202.240.242,54515,224.0.0.252,5355,29/04/2015 12:45:32 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-64350-5355-17,131.202.240.242,64350,224.0.0.252,5355,29/04/2015 12:43:36 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63829-5355-17,131.202.240.242,63829,224.0.0.252,5355,29/04/2015 12:51:35 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-54633-5355-17,131.202.240.242,54633,224.0.0.252,5355,29/04/2015 12:48:55 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-60209-5355-17,131.202.240.242,60209,224.0.0.252,5355,29/04/2015 12:49:20 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-53426-5355-17,131.202.240.242,53426,224.0.0.252,5355,29/04/2015 12:48:38 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-63081-5355-17,131.202.240.242,63081,224.0.0.252,5355,29/04/2015 12:50:02 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-52930-5355-17,131.202.240.242,52930,224.0.0.252,5355,29/04/2015 12:49:29 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-58953-5355-17,131.202.240.242,58953,224.0.0.252,5355,29/04/2015 12:52:28 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-59629-5355-17,131.202.240.242,59629,224.0.0.252,5355,29/04/2015 12:48:40 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-59555-5355-17,131.202.240.242,59555,224.0.0.252,5355,29/04/2015 12:53:16 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-60377-5355-17,131.202.240.242,60377,224.0.0.252,5355,29/04/2015 12:49:34 p.m.,2,44.0,0
