Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.83-224.0.0.252-56669-5355-17,131.202.240.83,56669,224.0.0.252,5355,25/05/2015 12:53:01 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-57058-5355-17,131.202.240.102,57058,224.0.0.252,5355,25/05/2015 12:59:29 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-54240-5355-17,131.202.240.102,54240,224.0.0.252,5355,25/05/2015 12:59:45 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-60710-5355-17,131.202.240.102,60710,224.0.0.252,5355,25/05/2015 01:00:35 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-54481-5355-17,131.202.243.49,54481,224.0.0.252,5355,25/05/2015 12:58:14 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-58902-5355-17,131.202.243.49,58902,224.0.0.252,5355,25/05/2015 12:55:38 p.m.,2,44.0,0
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,25/05/2015 01:00:42 p.m.,97,4850.0,0
131.202.240.70-224.0.0.252-62695-5355-17,131.202.240.70,62695,224.0.0.252,5355,25/05/2015 12:59:08 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-56046-5355-17,131.202.240.102,56046,224.0.0.252,5355,25/05/2015 12:54:30 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-50946-5355-17,131.202.240.242,50946,224.0.0.252,5355,25/05/2015 12:55:08 p.m.,2,44.0,0
131.202.240.87-198.7.63.141-59664-53-17,131.202.240.87,59664,198.7.63.141,53,25/05/2015 01:01:24 p.m.,2,277.0,0
131.202.240.70-224.0.0.252-54154-5355-17,131.202.240.70,54154,224.0.0.252,5355,25/05/2015 12:58:42 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-61669-5355-17,131.202.242.93,61669,224.0.0.252,5355,25/05/2015 01:01:50 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-51481-5355-17,131.202.242.93,51481,224.0.0.252,5355,25/05/2015 01:00:43 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-58605-5355-17,131.202.242.93,58605,224.0.0.252,5355,25/05/2015 01:01:56 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-52555-5355-17,131.202.242.93,52555,224.0.0.252,5355,25/05/2015 12:55:37 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-55697-5355-17,131.202.242.93,55697,224.0.0.252,5355,25/05/2015 12:54:16 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-51042-5355-17,131.202.242.93,51042,224.0.0.252,5355,25/05/2015 12:55:13 p.m.,2,44.0,0
131.202.240.83-224.0.0.252-56495-5355-17,131.202.240.83,56495,224.0.0.252,5355,25/05/2015 12:57:15 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-55311-5355-17,131.202.240.102,55311,224.0.0.252,5355,25/05/2015 01:00:19 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-52119-5355-17,131.202.242.93,52119,224.0.0.252,5355,25/05/2015 12:52:59 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-64755-5355-17,131.202.240.102,64755,224.0.0.252,5355,25/05/2015 12:58:10 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-62065-5355-17,131.202.240.102,62065,224.0.0.252,5355,25/05/2015 12:54:25 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-60391-5355-17,131.202.243.49,60391,224.0.0.252,5355,25/05/2015 12:58:38 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-53122-5355-17,131.202.240.102,53122,224.0.0.252,5355,25/05/2015 01:00:13 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-59804-5355-17,131.202.240.87,59804,224.0.0.252,5355,25/05/2015 12:57:14 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-49256-5355-17,131.202.240.70,49256,224.0.0.252,5355,25/05/2015 01:00:22 p.m.,2,44.0,0
131.202.243.21-224.0.0.252-64804-5355-17,131.202.243.21,64804,224.0.0.252,5355,25/05/2015 12:55:21 p.m.,2,44.0,0
131.202.240.242-224.0.0.252-57772-5355-17,131.202.240.242,57772,224.0.0.252,5355,25/05/2015 12:59:43 p.m.,2,44.0,0
131.202.243.153-224.0.0.252-51491-5355-17,131.202.243.153,51491,224.0.0.252,5355,25/05/2015 12:57:52 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-63463-5355-17,131.202.240.102,63463,224.0.0.252,5355,25/05/2015 01:00:04 p.m.,2,44.0,0
131.202.243.115-224.0.0.252-50181-5355-17,131.202.243.115,50181,224.0.0.252,5355,25/05/2015 12:54:38 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-56373-5355-17,131.202.240.102,56373,224.0.0.252,5355,25/05/2015 12:58:30 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-58328-5355-17,131.202.242.93,58328,224.0.0.252,5355,25/05/2015 12:52:46 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-59770-5355-17,131.202.240.102,59770,224.0.0.252,5355,25/05/2015 12:54:00 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-56986-5355-17,131.202.240.102,56986,224.0.0.252,5355,25/05/2015 01:02:14 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-62239-5355-17,131.202.240.102,62239,224.0.0.252,5355,25/05/2015 12:59:53 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-60907-5355-17,131.202.240.70,60907,224.0.0.252,5355,25/05/2015 01:01:05 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-55331-5355-17,131.202.243.49,55331,224.0.0.252,5355,25/05/2015 12:57:48 p.m.,2,44.0,0
131.202.242.70-224.0.0.252-54065-5355-17,131.202.242.70,54065,224.0.0.252,5355,25/05/2015 12:56:33 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-64887-5355-17,131.202.240.70,64887,224.0.0.252,5355,25/05/2015 01:01:38 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-51977-5355-17,131.202.240.70,51977,224.0.0.252,5355,25/05/2015 12:56:38 p.m.,2,44.0,0
131.202.243.21-224.0.0.252-59066-5355-17,131.202.243.21,59066,224.0.0.252,5355,25/05/2015 01:00:23 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-57229-5355-17,131.202.240.102,57229,224.0.0.252,5355,25/05/2015 12:56:27 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-60654-5355-17,131.202.240.102,60654,224.0.0.252,5355,25/05/2015 12:56:51 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-61495-5355-17,131.202.240.102,61495,224.0.0.252,5355,25/05/2015 12:54:02 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-53427-5355-17,131.202.240.102,53427,224.0.0.252,5355,25/05/2015 12:57:35 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-58282-5355-17,131.202.240.102,58282,224.0.0.252,5355,25/05/2015 12:54:36 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-64620-5355-17,131.202.240.185,64620,224.0.0.252,5355,25/05/2015 12:59:01 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-59446-5355-17,131.202.240.102,59446,224.0.0.252,5355,25/05/2015 12:57:23 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-58585-5355-17,131.202.243.49,58585,224.0.0.252,5355,25/05/2015 01:00:25 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-63911-5355-17,131.202.240.102,63911,224.0.0.252,5355,25/05/2015 12:59:39 p.m.,2,44.0,0
131.202.243.48-224.0.0.252-51680-5355-17,131.202.243.48,51680,224.0.0.252,5355,25/05/2015 01:02:17 p.m.,2,44.0,0
131.202.242.84-224.0.0.252-64198-5355-17,131.202.242.84,64198,224.0.0.252,5355,25/05/2015 12:58:29 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-51924-5355-17,131.202.243.49,51924,224.0.0.252,5355,25/05/2015 12:54:35 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-55369-5355-17,131.202.240.185,55369,224.0.0.252,5355,25/05/2015 01:02:30 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-61887-5355-17,131.202.240.102,61887,224.0.0.252,5355,25/05/2015 12:56:14 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-55388-5355-17,131.202.240.185,55388,224.0.0.252,5355,25/05/2015 12:55:35 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-55672-5355-17,131.202.242.93,55672,224.0.0.252,5355,25/05/2015 12:54:04 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-64369-5355-17,131.202.242.93,64369,224.0.0.252,5355,25/05/2015 01:01:58 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-57005-5355-17,131.202.240.102,57005,224.0.0.252,5355,25/05/2015 12:59:07 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-53234-5355-17,131.202.240.102,53234,224.0.0.252,5355,25/05/2015 12:56:17 p.m.,2,44.0,0
131.202.243.115-224.0.0.252-55222-5355-17,131.202.243.115,55222,224.0.0.252,5355,25/05/2015 12:53:18 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-62905-5355-17,131.202.242.93,62905,224.0.0.252,5355,25/05/2015 12:53:33 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-58593-5355-17,131.202.240.102,58593,224.0.0.252,5355,25/05/2015 12:59:28 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-62848-5355-17,131.202.240.185,62848,224.0.0.252,5355,25/05/2015 12:59:51 p.m.,2,44.0,0
131.202.243.12-131.202.243.255-137-137-17,131.202.243.12,137,131.202.243.255,137,25/05/2015 12:53:21 p.m.,9,450.0,0
131.202.240.102-224.0.0.252-64232-5355-17,131.202.240.102,64232,224.0.0.252,5355,25/05/2015 12:57:18 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-52742-5355-17,131.202.240.102,52742,224.0.0.252,5355,25/05/2015 12:59:33 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-53735-5355-17,131.202.240.102,53735,224.0.0.252,5355,25/05/2015 12:55:37 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-62068-5355-17,131.202.240.102,62068,224.0.0.252,5355,25/05/2015 01:00:32 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-50169-5355-17,131.202.240.185,50169,224.0.0.252,5355,25/05/2015 01:00:56 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-64924-5355-17,131.202.243.49,64924,224.0.0.252,5355,25/05/2015 12:59:29 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-57050-5355-17,131.202.243.49,57050,224.0.0.252,5355,25/05/2015 12:56:53 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-51739-5355-17,131.202.242.93,51739,224.0.0.252,5355,25/05/2015 01:00:45 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-61006-5355-17,131.202.242.93,61006,224.0.0.252,5355,25/05/2015 01:01:58 p.m.,2,44.0,0
131.202.240.83-224.0.0.252-52086-5355-17,131.202.240.83,52086,224.0.0.252,5355,25/05/2015 12:52:43 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-58196-5355-17,131.202.243.49,58196,224.0.0.252,5355,25/05/2015 01:01:04 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-61663-5355-17,131.202.242.93,61663,224.0.0.252,5355,25/05/2015 01:00:45 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-61798-5355-17,131.202.243.49,61798,224.0.0.252,5355,25/05/2015 12:56:17 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-64973-5355-17,131.202.240.102,64973,224.0.0.252,5355,25/05/2015 12:58:53 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-62569-5355-17,131.202.240.102,62569,224.0.0.252,5355,25/05/2015 12:59:28 p.m.,2,44.0,0
131.202.243.21-224.0.0.252-63011-5355-17,131.202.243.21,63011,224.0.0.252,5355,25/05/2015 01:00:30 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-57619-5355-17,131.202.243.49,57619,224.0.0.252,5355,25/05/2015 12:54:23 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-59225-5355-17,131.202.242.93,59225,224.0.0.252,5355,25/05/2015 12:59:03 p.m.,2,44.0,0
131.202.240.66-224.0.0.252-53389-5355-17,131.202.240.66,53389,224.0.0.252,5355,25/05/2015 12:58:51 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-53192-5355-17,131.202.243.49,53192,224.0.0.252,5355,25/05/2015 01:02:00 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-52488-5355-17,131.202.243.49,52488,224.0.0.252,5355,25/05/2015 01:02:17 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-54299-5355-17,131.202.240.102,54299,224.0.0.252,5355,25/05/2015 12:56:15 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-58875-5355-17,131.202.240.185,58875,224.0.0.252,5355,25/05/2015 12:57:48 p.m.,2,44.0,0
131.202.242.93-224.0.0.252-62547-5355-17,131.202.242.93,62547,224.0.0.252,5355,25/05/2015 12:54:07 p.m.,2,44.0,0
131.202.243.21-224.0.0.252-60747-5355-17,131.202.243.21,60747,224.0.0.252,5355,25/05/2015 12:52:57 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-58890-5355-17,131.202.243.49,58890,224.0.0.252,5355,25/05/2015 12:56:46 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-50251-5355-17,131.202.240.102,50251,224.0.0.252,5355,25/05/2015 12:55:21 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-60542-5355-17,131.202.240.102,60542,224.0.0.252,5355,25/05/2015 01:01:39 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-53452-5355-17,131.202.240.102,53452,224.0.0.252,5355,25/05/2015 12:57:51 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-50360-5355-17,131.202.240.102,50360,224.0.0.252,5355,25/05/2015 01:00:00 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-53036-5355-17,131.202.240.70,53036,224.0.0.252,5355,25/05/2015 12:58:06 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-56937-5355-17,131.202.243.49,56937,224.0.0.252,5355,25/05/2015 01:01:48 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-49620-5355-17,131.202.240.70,49620,224.0.0.252,5355,25/05/2015 12:56:32 p.m.,2,44.0,0
131.202.242.152-224.0.0.252-55110-5355-17,131.202.242.152,55110,224.0.0.252,5355,25/05/2015 12:58:58 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-62011-5355-17,131.202.240.185,62011,224.0.0.252,5355,25/05/2015 12:55:43 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-56781-5355-17,131.202.240.87,56781,224.0.0.252,5355,25/05/2015 12:56:20 p.m.,2,44.0,0
131.202.240.66-224.0.0.252-59769-5355-17,131.202.240.66,59769,224.0.0.252,5355,25/05/2015 12:52:46 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-58013-5355-17,131.202.240.185,58013,224.0.0.252,5355,25/05/2015 12:54:46 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-64202-5355-17,131.202.240.70,64202,224.0.0.252,5355,25/05/2015 12:57:34 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-52768-5355-17,131.202.243.49,52768,224.0.0.252,5355,25/05/2015 01:00:00 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-54688-5355-17,131.202.240.102,54688,224.0.0.252,5355,25/05/2015 01:00:12 p.m.,2,44.0,0
131.202.243.49-224.0.0.252-61160-5355-17,131.202.243.49,61160,224.0.0.252,5355,25/05/2015 01:01:24 p.m.,2,44.0,0
131.202.243.63-224.0.0.252-63066-5355-17,131.202.243.63,63066,224.0.0.252,5355,25/05/2015 12:52:45 p.m.,2,44.0,0
173.194.196.16-131.202.240.87-465-10782-6,173.194.196.16,465,131.202.240.87,10782,25/05/2015 12:56:44 p.m.,2,0.0,0
131.202.242.93-224.0.0.252-64210-5355-17,131.202.242.93,64210,224.0.0.252,5355,25/05/2015 12:55:34 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-64318-5355-17,131.202.240.185,64318,224.0.0.252,5355,25/05/2015 12:59:19 p.m.,2,44.0,0
131.202.240.87-173.194.196.16-10816-993-6,131.202.240.87,10816,173.194.196.16,993,25/05/2015 01:01:24 p.m.,42,5951.0,0
131.202.240.102-224.0.0.252-52770-5355-17,131.202.240.102,52770,224.0.0.252,5355,25/05/2015 12:53:59 p.m.,2,44.0,0
131.202.240.102-224.0.0.252-62261-5355-17,131.202.240.102,62261,224.0.0.252,5355,25/05/2015 12:53:00 p.m.,2,44.0,0
131.202.240.185-224.0.0.252-55904-5355-17,131.202.240.185,55904,224.0.0.252,5355,25/05/2015 12:59:48 p.m.,2,44.0,0
131.202.240.196-131.202.243.255-137-137-17,131.202.240.196,137,131.202.243.255,137,25/05/2015 01:01:17 p.m.,33,1650.0,0
131.202.240.102-224.0.0.252-56018-5355-17,131.202.240.102,56018,224.0.0.252,5355,25/05/2015 12:55:08 p.m.,4,88.0,0
131.202.240.87-224.0.0.252-54293-5355-17,131.202.240.87,54293,224.0.0.252,5355,25/05/2015 12:57:08 p.m.,2,44.0,0
131.202.240.70-224.0.0.252-50097-5355-17,131.202.240.70,50097,224.0.0.252,5355,25/05/2015 12:57:43 p.m.,2,44.0,0
