Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.0.2.15-198.7.63.141-44604-53-17,10.0.2.15,44604,198.7.63.141,53,05/06/2015 02:39:51 p.m.,2,274.0,0
10.0.2.15-198.7.63.141-6443-53-17,10.0.2.15,6443,198.7.63.141,53,05/06/2015 03:47:12 p.m.,2,265.0,0
74.125.207.16-10.0.2.15-465-42899-6,74.125.207.16,465,10.0.2.15,42899,05/06/2015 03:35:26 p.m.,2,0.0,0
10.0.2.15-198.7.63.141-17876-53-17,10.0.2.15,17876,198.7.63.141,53,05/06/2015 03:45:52 p.m.,2,265.0,0
10.0.2.15-65.55.223.41-15685-40028-17,10.0.2.15,15685,65.55.223.41,40028,05/06/2015 02:33:15 p.m.,2,54.0,0
10.0.2.15-198.7.63.141-39767-53-17,10.0.2.15,39767,198.7.63.141,53,05/06/2015 03:34:53 p.m.,2,277.0,0
74.125.71.16-10.0.2.15-465-51265-6,74.125.71.16,465,10.0.2.15,51265,05/06/2015 03:29:53 p.m.,2,0.0,0
10.0.2.15-157.55.235.153-15685-40002-17,10.0.2.15,15685,157.55.235.153,40002,05/06/2015 03:21:47 p.m.,2,516.0,0
10.0.2.15-78.46.223.24-53475-53-17,10.0.2.15,53475,78.46.223.24,53,05/06/2015 03:34:53 p.m.,2,265.0,0
10.0.2.15-198.7.63.141-44611-53-17,10.0.2.15,44611,198.7.63.141,53,05/06/2015 03:40:35 p.m.,2,265.0,0
10.0.2.15-198.7.63.141-59189-53-17,10.0.2.15,59189,198.7.63.141,53,05/06/2015 03:41:05 p.m.,2,262.0,0
10.0.2.15-64.4.23.162-15685-40019-17,10.0.2.15,15685,64.4.23.162,40019,05/06/2015 03:41:02 p.m.,2,173.0,0
74.125.193.16-10.0.2.15-995-40737-6,74.125.193.16,995,10.0.2.15,40737,05/06/2015 03:33:33 p.m.,2,0.0,0
74.125.207.16-10.0.2.15-465-42913-6,74.125.207.16,465,10.0.2.15,42913,05/06/2015 03:41:13 p.m.,2,0.0,0
10.0.2.15-198.7.63.141-13477-53-17,10.0.2.15,13477,198.7.63.141,53,05/06/2015 03:38:09 p.m.,2,277.0,0
10.0.2.15-78.46.223.24-17415-53-17,10.0.2.15,17415,78.46.223.24,53,05/06/2015 02:16:44 p.m.,2,265.0,0
10.0.2.15-198.7.63.141-16767-53-17,10.0.2.15,16767,198.7.63.141,53,05/06/2015 02:16:44 p.m.,2,277.0,0
10.0.2.15-198.7.63.141-50630-53-17,10.0.2.15,50630,198.7.63.141,53,05/06/2015 03:36:15 p.m.,2,274.0,0
10.0.2.15-198.7.63.141-13965-53-17,10.0.2.15,13965,198.7.63.141,53,05/06/2015 02:29:33 p.m.,2,262.0,0
74.125.207.16-10.0.2.15-465-42849-6,74.125.207.16,465,10.0.2.15,42849,05/06/2015 02:16:21 p.m.,2,0.0,0
10.0.2.15-78.46.223.24-28194-53-17,10.0.2.15,28194,78.46.223.24,53,05/06/2015 02:15:38 p.m.,2,265.0,0
74.125.207.16-10.0.2.15-465-42852-6,74.125.207.16,465,10.0.2.15,42852,05/06/2015 02:17:12 p.m.,2,0.0,0
74.125.207.16-10.0.2.15-465-42909-6,74.125.207.16,465,10.0.2.15,42909,05/06/2015 03:40:22 p.m.,2,0.0,0
10.0.2.15-64.4.23.159-15685-40005-17,10.0.2.15,15685,64.4.23.159,40005,05/06/2015 03:28:04 p.m.,2,480.0,0
10.0.2.15-91.190.218.66-42120-12350-6,10.0.2.15,42120,91.190.218.66,12350,05/06/2015 03:46:32 p.m.,4,10.0,0
10.0.2.15-111.221.74.47-15685-443-17,10.0.2.15,15685,111.221.74.47,443,05/06/2015 03:23:39 p.m.,2,44.0,0
74.125.207.16-10.0.2.15-465-42924-6,74.125.207.16,465,10.0.2.15,42924,05/06/2015 03:47:33 p.m.,2,0.0,0
10.0.2.15-157.55.56.153-15685-40033-17,10.0.2.15,15685,157.55.56.153,40033,05/06/2015 03:29:05 p.m.,2,478.0,0
10.0.2.15-111.221.77.169-15685-40009-17,10.0.2.15,15685,111.221.77.169,40009,05/06/2015 03:28:04 p.m.,2,54.0,0
64.233.183.16-10.0.2.15-995-51725-6,64.233.183.16,995,10.0.2.15,51725,05/06/2015 03:36:20 p.m.,2,0.0,0
10.0.2.15-213.199.179.169-15685-40008-17,10.0.2.15,15685,213.199.179.169,40008,05/06/2015 03:28:04 p.m.,2,54.0,0
10.0.2.15-198.7.63.141-52581-53-17,10.0.2.15,52581,198.7.63.141,53,05/06/2015 03:11:06 p.m.,2,262.0,0
10.0.2.15-111.221.77.160-15685-40017-17,10.0.2.15,15685,111.221.77.160,40017,05/06/2015 03:23:39 p.m.,2,120.0,0
74.125.71.16-10.0.2.15-465-51266-6,74.125.71.16,465,10.0.2.15,51266,05/06/2015 03:30:22 p.m.,2,0.0,0
10.0.2.15-157.55.130.151-15685-443-17,10.0.2.15,15685,157.55.130.151,443,05/06/2015 03:29:05 p.m.,2,44.0,0
10.0.2.15-108.237.134.2-51716-443-6,10.0.2.15,51716,108.237.134.2,443,05/06/2015 03:29:07 p.m.,3,0.0,0
10.0.2.15-198.7.63.141-32513-53-17,10.0.2.15,32513,198.7.63.141,53,05/06/2015 03:38:09 p.m.,2,265.0,0
10.0.2.15-78.46.223.24-42066-53-17,10.0.2.15,42066,78.46.223.24,53,05/06/2015 03:36:51 p.m.,2,265.0,0
10.0.2.15-78.46.223.24-6443-53-17,10.0.2.15,6443,78.46.223.24,53,05/06/2015 03:47:12 p.m.,2,265.0,0
74.125.207.16-10.0.2.15-465-42848-6,74.125.207.16,465,10.0.2.15,42848,05/06/2015 02:16:10 p.m.,2,0.0,0
10.0.2.15-198.7.63.141-51607-53-17,10.0.2.15,51607,198.7.63.141,53,05/06/2015 02:15:39 p.m.,2,250.0,0
10.0.2.15-78.46.223.24-62695-53-17,10.0.2.15,62695,78.46.223.24,53,05/06/2015 03:36:15 p.m.,2,262.0,0
74.125.207.16-10.0.2.15-465-42851-6,74.125.207.16,465,10.0.2.15,42851,05/06/2015 02:16:59 p.m.,2,0.0,0
74.125.207.16-10.0.2.15-465-42908-6,74.125.207.16,465,10.0.2.15,42908,05/06/2015 03:39:54 p.m.,2,0.0,0
10.0.2.15-157.55.130.154-15685-40034-17,10.0.2.15,15685,157.55.130.154,40034,05/06/2015 02:28:04 p.m.,2,64.0,0
10.0.2.15-131.202.240.242-15685-63953-17,10.0.2.15,15685,131.202.240.242,63953,05/06/2015 03:23:38 p.m.,5,140.0,0
10.0.2.15-198.7.63.141-10729-53-17,10.0.2.15,10729,198.7.63.141,53,05/06/2015 02:17:57 p.m.,2,265.0,0
10.0.2.15-157.55.235.142-15685-40029-17,10.0.2.15,15685,157.55.235.142,40029,05/06/2015 03:21:47 p.m.,2,61.0,0
10.0.2.15-198.7.63.141-32773-53-17,10.0.2.15,32773,198.7.63.141,53,05/06/2015 03:28:13 p.m.,2,277.0,0
74.125.71.16-10.0.2.15-465-51254-6,74.125.71.16,465,10.0.2.15,51254,05/06/2015 03:28:51 p.m.,2,0.0,0
10.0.2.15-157.55.235.169-15685-40028-17,10.0.2.15,15685,157.55.235.169,40028,05/06/2015 03:44:32 p.m.,2,54.0,0
64.233.183.16-10.0.2.15-995-51692-6,64.233.183.16,995,10.0.2.15,51692,05/06/2015 03:00:43 p.m.,2,0.0,0
10.0.2.15-64.4.23.153-15685-40033-17,10.0.2.15,15685,64.4.23.153,40033,05/06/2015 03:29:06 p.m.,2,478.0,0
10.0.2.15-111.221.74.23-15685-40016-17,10.0.2.15,15685,111.221.74.23,40016,05/06/2015 02:23:15 p.m.,2,165.0,0
10.0.2.15-198.7.63.141-5973-53-17,10.0.2.15,5973,198.7.63.141,53,05/06/2015 02:50:29 p.m.,2,274.0,0
10.0.2.15-198.7.63.141-4743-53-17,10.0.2.15,4743,198.7.63.141,53,05/06/2015 03:36:51 p.m.,2,277.0,0
131.202.240.242-10.0.2.15-62177-15685-17,131.202.240.242,62177,10.0.2.15,15685,05/06/2015 02:23:09 p.m.,6,168.0,0
10.0.2.15-99.242.236.70-60362-38938-6,10.0.2.15,60362,99.242.236.70,38938,05/06/2015 03:29:12 p.m.,2,0.0,0
10.0.2.15-198.7.63.141-18239-53-17,10.0.2.15,18239,198.7.63.141,53,05/06/2015 03:29:37 p.m.,2,265.0,0
74.125.207.16-10.0.2.15-465-42919-6,74.125.207.16,465,10.0.2.15,42919,05/06/2015 03:44:46 p.m.,2,0.0,0
10.0.2.15-157.55.56.159-15685-40005-17,10.0.2.15,15685,157.55.56.159,40005,05/06/2015 03:28:04 p.m.,2,480.0,0
10.0.2.15-78.46.223.24-35353-53-17,10.0.2.15,35353,78.46.223.24,53,05/06/2015 03:20:52 p.m.,2,262.0,0
10.0.2.15-198.7.63.141-42066-53-17,10.0.2.15,42066,198.7.63.141,53,05/06/2015 03:36:51 p.m.,2,265.0,0
10.0.2.15-198.7.63.141-64842-53-17,10.0.2.15,64842,198.7.63.141,53,05/06/2015 03:47:12 p.m.,2,277.0,0
10.0.2.15-78.46.223.24-26746-53-17,10.0.2.15,26746,78.46.223.24,53,05/06/2015 02:19:30 p.m.,2,262.0,0
10.0.2.15-111.221.74.23-15685-40001-17,10.0.2.15,15685,111.221.74.23,40001,05/06/2015 03:34:29 p.m.,2,164.0,0
10.0.2.15-198.7.63.141-2088-53-17,10.0.2.15,2088,198.7.63.141,53,05/06/2015 03:26:54 p.m.,2,265.0,0
74.125.71.16-10.0.2.15-465-51248-6,74.125.71.16,465,10.0.2.15,51248,05/06/2015 03:27:17 p.m.,2,0.0,0
10.0.2.15-24.140.134.21-15685-45411-17,10.0.2.15,15685,24.140.134.21,45411,05/06/2015 02:48:10 p.m.,9,261.0,0
10.0.2.15-157.56.52.27-15685-40034-17,10.0.2.15,15685,157.56.52.27,40034,05/06/2015 03:29:06 p.m.,2,55.0,0
10.0.2.15-198.7.63.141-45452-53-17,10.0.2.15,45452,198.7.63.141,53,05/06/2015 02:15:38 p.m.,2,277.0,0
10.0.2.15-198.7.63.141-26746-53-17,10.0.2.15,26746,198.7.63.141,53,05/06/2015 02:19:30 p.m.,2,262.0,0
10.0.2.15-78.46.223.24-34348-53-17,10.0.2.15,34348,78.46.223.24,53,05/06/2015 02:28:31 p.m.,2,445.0,0
10.0.2.15-157.56.52.14-15685-40029-17,10.0.2.15,15685,157.56.52.14,40029,05/06/2015 03:44:32 p.m.,2,61.0,0
10.0.2.15-198.7.63.141-34907-53-17,10.0.2.15,34907,198.7.63.141,53,05/06/2015 03:28:32 p.m.,2,162.0,0
10.0.2.15-198.7.63.141-62434-53-17,10.0.2.15,62434,198.7.63.141,53,05/06/2015 02:39:51 p.m.,2,262.0,0
74.125.207.16-10.0.2.15-465-42907-6,74.125.207.16,465,10.0.2.15,42907,05/06/2015 03:39:33 p.m.,2,0.0,0
10.0.2.15-198.7.63.141-34348-53-17,10.0.2.15,34348,198.7.63.141,53,05/06/2015 02:28:31 p.m.,2,413.0,0
10.0.2.15-198.7.63.141-10995-53-17,10.0.2.15,10995,198.7.63.141,53,05/06/2015 03:00:41 p.m.,2,274.0,0
10.0.2.15-198.7.63.141-20653-53-17,10.0.2.15,20653,198.7.63.141,53,05/06/2015 03:28:13 p.m.,2,265.0,0
10.0.2.15-4.53.160.75-59653-123-17,10.0.2.15,59653,4.53.160.75,123,05/06/2015 02:48:20 p.m.,2,96.0,0
10.0.2.15-176.14.234.6-15685-58568-17,10.0.2.15,15685,176.14.234.6,58568,05/06/2015 03:23:39 p.m.,2,44.0,0
74.125.207.16-10.0.2.15-465-42922-6,74.125.207.16,465,10.0.2.15,42922,05/06/2015 03:46:37 p.m.,2,0.0,0
10.0.2.15-78.46.223.24-62434-53-17,10.0.2.15,62434,78.46.223.24,53,05/06/2015 02:39:51 p.m.,2,262.0,0
10.0.2.15-157.55.130.142-15685-40019-17,10.0.2.15,15685,157.55.130.142,40019,05/06/2015 03:34:29 p.m.,2,61.0,0
10.0.2.15-198.7.63.141-31165-53-17,10.0.2.15,31165,198.7.63.141,53,05/06/2015 03:44:25 p.m.,2,265.0,0
10.0.2.15-213.199.179.159-15685-40005-17,10.0.2.15,15685,213.199.179.159,40005,05/06/2015 03:28:04 p.m.,2,480.0,0
10.0.2.15-95.30.120.142-15685-23821-17,10.0.2.15,15685,95.30.120.142,23821,05/06/2015 03:29:05 p.m.,2,44.0,0
10.0.2.15-78.46.223.24-26659-53-17,10.0.2.15,26659,78.46.223.24,53,05/06/2015 03:33:29 p.m.,2,262.0,0
10.0.2.15-157.56.52.25-15685-40002-17,10.0.2.15,15685,157.56.52.25,40002,05/06/2015 02:39:44 p.m.,2,516.0,0
