,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,10.0.2.15-157.56.52.27-49539-40034-17,10.0.2.15,49539,157.56.52.27,40034,05/06/2015 02:55:17 p.m.,17,1,1,2,35.0,20.0,55.0,636.9721816876288,23.162624788641054,86346.0,8,8,45.0,email2b,0
1,74.125.207.16-10.0.2.15-465-48945-6,74.125.207.16,465,10.0.2.15,48945,05/06/2015 02:17:49 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,125000.0,16.0,40,0,0.0,email2b,0
2,74.125.207.16-10.0.2.15-465-48983-6,74.125.207.16,465,10.0.2.15,48983,05/06/2015 03:35:03 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,359.9064243296743,5557.0,40,0,0.0,email2b,0
3,10.0.2.15-198.7.63.141-3492-53-17,10.0.2.15,3492,198.7.63.141,53,05/06/2015 02:45:46 p.m.,17,1,1,2,36.0,377.0,413.0,6873.366951254015,33.285069981859635,60087.0,8,8,224.5,email2b,0
4,10.0.2.15-78.46.223.24-52717-53-17,10.0.2.15,52717,78.46.223.24,53,05/06/2015 03:37:36 p.m.,17,1,1,2,37.0,228.0,265.0,1743.3407672015105,13.157288809068005,152007.0,8,8,151.0,email2b,0
5,74.125.207.16-10.0.2.15-465-49018-6,74.125.207.16,465,10.0.2.15,49018,05/06/2015 03:40:53 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,86956.52173913043,23.0,40,0,0.0,email2b,0
6,74.125.207.16-10.0.2.15-465-49010-6,74.125.207.16,465,10.0.2.15,49010,05/06/2015 03:39:23 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,18348.623853211007,109.0,40,0,0.0,email2b,0
7,10.0.2.15-157.56.53.47-42899-12350-6,10.0.2.15,42899,157.56.53.47,12350,05/06/2015 03:43:14 p.m.,6,2,2,4,5.0,5.0,10.0,117.51433674908337,47.00573469963335,28365.333333333336,40,40,3.75,email2b,0
8,10.0.2.15-64.4.23.169-49539-40008-17,10.0.2.15,49539,64.4.23.169,40008,05/06/2015 03:23:38 p.m.,17,1,1,2,34.0,20.0,54.0,564.7885703527837,20.918095198251244,95611.0,8,8,44.0,email2b,0
9,10.0.2.15-198.7.63.141-46834-53-17,10.0.2.15,46834,198.7.63.141,53,05/06/2015 03:37:34 p.m.,17,1,1,2,37.0,228.0,265.0,1787.9793808868374,13.494184006693116,148212.0,8,8,151.0,email2b,0
10,10.0.2.15-198.7.63.141-63362-53-17,10.0.2.15,63362,198.7.63.141,53,05/06/2015 03:34:04 p.m.,17,1,1,2,37.0,228.0,265.0,4523.882686332753,34.14251084024719,58578.0,8,8,151.0,email2b,0
11,10.0.2.15-65.55.223.38-49539-40027-17,10.0.2.15,49539,65.55.223.38,40027,05/06/2015 03:23:38 p.m.,17,1,1,2,39.0,688.0,727.0,21844.95192307693,60.09615384615386,33280.0,8,8,383.0,email2b,0
12,10.0.2.15-111.221.77.142-49539-443-17,10.0.2.15,49539,111.221.77.142,443,05/06/2015 03:29:05 p.m.,17,1,1,2,18.0,26.0,44.0,179.08965472328617,8.14043885105846,245687.0,8,8,31.0,email2b,0
