Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-173.194.123.65-56302-443-17,131.202.240.87,56302,173.194.123.65,443,30/03/2015 09:32:58 a.m.,15,6666.0,0
131.202.240.87-131.202.244.3-62718-53-17,131.202.240.87,62718,131.202.244.3,53,30/03/2015 09:32:58 a.m.,2,253.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 09:35:34 a.m.,9,450.0,0
131.202.240.87-131.202.244.3-55031-53-17,131.202.240.87,55031,131.202.244.3,53,30/03/2015 09:30:54 a.m.,2,191.0,0
131.202.240.87-131.202.244.3-58221-53-17,131.202.240.87,58221,131.202.244.3,53,30/03/2015 09:35:34 a.m.,2,114.0,0
173.252.79.84-131.202.240.87-443-2523-6,173.252.79.84,443,131.202.240.87,2523,30/03/2015 09:31:23 a.m.,2,0.0,0
173.252.79.84-131.202.240.87-443-2520-6,173.252.79.84,443,131.202.240.87,2520,30/03/2015 09:31:23 a.m.,2,0.0,0
173.252.79.84-131.202.240.87-3478-2518-6,173.252.79.84,3478,131.202.240.87,2518,30/03/2015 09:31:23 a.m.,2,0.0,0
131.202.240.87-173.252.79.84-50768-443-17,131.202.240.87,50768,173.252.79.84,443,30/03/2015 09:40:58 a.m.,28,560.0,0
131.202.240.87-224.0.0.252-51856-5355-17,131.202.240.87,51856,224.0.0.252,5355,30/03/2015 09:36:55 a.m.,2,44.0,0
131.202.240.87-173.252.79.84-50769-443-17,131.202.240.87,50769,173.252.79.84,443,30/03/2015 09:40:58 a.m.,28,560.0,0
131.202.240.87-131.202.244.3-56299-53-17,131.202.240.87,56299,131.202.244.3,53,30/03/2015 09:32:58 a.m.,2,441.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 09:39:37 a.m.,6,3.0,0
173.252.79.84-131.202.240.87-50768-3478-17,173.252.79.84,50768,131.202.240.87,3478,30/03/2015 09:40:58 a.m.,21,420.0,0
