Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.0.2.15-131.202.240.101-52942-55618-17,10.0.2.15,52942,131.202.240.101,55618,14/04/2015 01:28:50 p.m.,8602,764342.0,0
10.0.2.15-224.0.0.252-51890-5355-17,10.0.2.15,51890,224.0.0.252,5355,14/04/2015 12:05:33 p.m.,2,44.0,0
10.0.2.15-10.0.2.3-60119-53-17,10.0.2.15,60119,10.0.2.3,53,14/04/2015 12:41:47 p.m.,3,545.0,0
10.0.2.15-74.125.226.183-49328-443-6,10.0.2.15,49328,74.125.226.183,443,14/04/2015 01:30:01 p.m.,103,51423.0,0
10.0.2.15-173.252.79.87-52942-443-17,10.0.2.15,52942,173.252.79.87,443,14/04/2015 01:29:43 p.m.,28,560.0,0
10.0.2.15-157.56.106.184-55755-3544-17,10.0.2.15,55755,157.56.106.184,3544,14/04/2015 12:45:57 p.m.,5,401.0,0
10.0.2.15-10.0.2.3-50199-53-17,10.0.2.15,50199,10.0.2.3,53,14/04/2015 01:27:16 p.m.,3,518.0,0
10.0.2.15-10.0.2.3-64085-53-17,10.0.2.15,64085,10.0.2.3,53,14/04/2015 12:45:42 p.m.,2,114.0,0
10.0.2.15-10.0.2.3-59009-53-17,10.0.2.15,59009,10.0.2.3,53,14/04/2015 12:45:10 p.m.,3,454.0,0
10.0.2.15-10.0.2.3-56032-53-17,10.0.2.15,56032,10.0.2.3,53,14/04/2015 01:24:40 p.m.,2,279.0,0
10.0.2.15-10.0.2.3-64005-53-17,10.0.2.15,64005,10.0.2.3,53,14/04/2015 12:25:37 p.m.,2,114.0,0
10.0.2.15-10.0.2.3-56325-53-17,10.0.2.15,56325,10.0.2.3,53,14/04/2015 01:28:51 p.m.,2,348.0,0
10.0.2.15-209.148.205.32-49272-80-6,10.0.2.15,49272,209.148.205.32,80,14/04/2015 12:29:38 p.m.,11,5517.0,0
10.0.2.15-10.0.2.3-59126-53-17,10.0.2.15,59126,10.0.2.3,53,14/04/2015 01:24:30 p.m.,2,410.0,0
10.0.2.15-10.0.2.3-49563-53-17,10.0.2.15,49563,10.0.2.3,53,14/04/2015 01:30:01 p.m.,3,432.0,0
10.0.2.15-10.0.2.3-58776-53-17,10.0.2.15,58776,10.0.2.3,53,14/04/2015 01:28:51 p.m.,3,253.0,0
10.0.2.15-224.0.0.252-49372-5355-17,10.0.2.15,49372,224.0.0.252,5355,14/04/2015 01:05:47 p.m.,2,44.0,0
10.0.2.15-10.0.2.3-59420-53-17,10.0.2.15,59420,10.0.2.3,53,14/04/2015 11:59:37 a.m.,3,575.0,0
173.252.110.27-10.0.2.15-443-49216-6,173.252.110.27,443,10.0.2.15,49216,14/04/2015 01:30:00 p.m.,41,9251.0,0
10.0.2.15-173.194.123.40-62535-443-17,10.0.2.15,62535,173.194.123.40,443,14/04/2015 01:15:49 p.m.,10,7392.0,0
10.0.2.15-224.0.0.252-53197-5355-17,10.0.2.15,53197,224.0.0.252,5355,14/04/2015 01:05:47 p.m.,2,44.0,0
10.0.2.15-69.171.255.36-52942-3478-17,10.0.2.15,52942,69.171.255.36,3478,14/04/2015 01:29:41 p.m.,8,208.0,0
10.0.2.15-65.54.225.168-49323-443-6,10.0.2.15,49323,65.54.225.168,443,14/04/2015 01:28:56 p.m.,20,5491.0,0
10.0.2.15-10.0.2.3-60155-53-17,10.0.2.15,60155,10.0.2.3,53,14/04/2015 01:25:51 p.m.,2,114.0,0
10.0.2.15-10.0.2.3-54413-53-17,10.0.2.15,54413,10.0.2.3,53,14/04/2015 12:41:47 p.m.,3,515.0,0
10.0.2.15-168.63.104.53-49271-443-6,10.0.2.15,49271,168.63.104.53,443,14/04/2015 12:29:37 p.m.,21,8308.0,0
10.0.2.15-168.63.240.114-49294-443-6,10.0.2.15,49294,168.63.240.114,443,14/04/2015 12:59:37 p.m.,21,8308.0,0
10.0.2.15-224.0.0.252-61014-5355-17,10.0.2.15,61014,224.0.0.252,5355,14/04/2015 12:35:40 p.m.,2,44.0,0
10.0.2.15-173.194.123.2-52925-443-17,10.0.2.15,52925,173.194.123.2,443,14/04/2015 01:15:50 p.m.,24,15779.0,0
10.0.2.15-10.0.2.3-50809-53-17,10.0.2.15,50809,10.0.2.3,53,14/04/2015 12:45:10 p.m.,2,441.0,0
10.0.2.15-173.194.123.40-62047-443-17,10.0.2.15,62047,173.194.123.40,443,14/04/2015 12:17:06 p.m.,7,6827.0,0
131.253.61.82-10.0.2.15-443-49316-6,131.253.61.82,443,10.0.2.15,49316,14/04/2015 01:28:51 p.m.,2,0.0,0
10.0.2.15-137.116.64.98-49246-443-6,10.0.2.15,49246,137.116.64.98,443,14/04/2015 11:53:59 a.m.,21,8884.0,0
10.0.2.15-224.0.0.252-58691-5355-17,10.0.2.15,58691,224.0.0.252,5355,14/04/2015 01:15:49 p.m.,2,44.0,0
10.0.2.15-10.0.2.3-57648-53-17,10.0.2.15,57648,10.0.2.3,53,14/04/2015 01:27:16 p.m.,3,545.0,0
10.0.2.15-131.202.240.101-52942-39490-17,10.0.2.15,52942,131.202.240.101,39490,14/04/2015 01:29:00 p.m.,152,12768.0,0
10.0.2.15-224.0.0.252-63395-5355-17,10.0.2.15,63395,224.0.0.252,5355,14/04/2015 12:45:42 p.m.,2,44.0,0
10.0.2.15-10.0.2.3-64408-53-17,10.0.2.15,64408,10.0.2.3,53,14/04/2015 12:43:39 p.m.,2,410.0,0
10.0.2.15-65.54.225.168-49318-443-6,10.0.2.15,49318,65.54.225.168,443,14/04/2015 01:28:51 p.m.,21,5502.0,0
10.0.2.15-65.54.225.168-49322-443-6,10.0.2.15,49322,65.54.225.168,443,14/04/2015 01:28:54 p.m.,21,6323.0,0
