Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.242-224.0.0.252-50631-5355-17,131.202.240.242,50631,224.0.0.252,5355,2015-04-29 13:10:08,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61643-5355-17,131.202.240.242,61643,224.0.0.252,5355,2015-04-29 13:10:11,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-62045-5355-17,131.202.240.242,62045,224.0.0.252,5355,2015-04-29 13:07:58,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-55931-5355-17,131.202.240.242,55931,224.0.0.252,5355,2015-04-29 13:02:11,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-65017-5355-17,131.202.240.242,65017,224.0.0.252,5355,2015-04-29 13:03:01,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-51151-5355-17,131.202.240.242,51151,224.0.0.252,5355,2015-04-29 13:07:06,2,0,44.0,0.0,0
131.202.240.242-131.202.244.32-51434-161-17,131.202.240.242,51434,131.202.244.32,161,2015-04-29 13:10:28,1,1,79.0,94.0,0
131.202.240.242-224.0.0.252-63269-5355-17,131.202.240.242,63269,224.0.0.252,5355,2015-04-29 13:05:37,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56288-5355-17,131.202.240.242,56288,224.0.0.252,5355,2015-04-29 13:03:08,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61714-5355-17,131.202.240.242,61714,224.0.0.252,5355,2015-04-29 13:08:25,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-63040-5355-17,131.202.240.242,63040,224.0.0.252,5355,2015-04-29 13:04:14,2,0,44.0,0.0,0
131.202.240.242-131.202.6.26-0-0-0,131.202.240.242,0,131.202.6.26,0,2015-04-29 13:03:29,2,0,0.0,0.0,0
131.202.240.242-224.0.0.252-60259-5355-17,131.202.240.242,60259,224.0.0.252,5355,2015-04-29 13:03:46,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-55312-5355-17,131.202.240.242,55312,224.0.0.252,5355,2015-04-29 13:02:31,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-49750-5355-17,131.202.240.242,49750,224.0.0.252,5355,2015-04-29 13:01:28,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-54579-5355-17,131.202.240.242,54579,224.0.0.252,5355,2015-04-29 13:06:51,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-49847-5355-17,131.202.240.242,49847,224.0.0.252,5355,2015-04-29 13:09:16,2,0,44.0,0.0,0
131.202.240.242-131.202.244.5-58501-53-17,131.202.240.242,58501,131.202.244.5,53,2015-04-29 13:03:19,1,1,37.0,373.0,0
131.202.240.242-131.202.244.3-57792-53-17,131.202.240.242,57792,131.202.244.3,53,2015-04-29 13:02:03,1,1,47.0,394.0,0
131.202.240.242-173.194.123.1-57796-443-17,131.202.240.242,57796,173.194.123.1,443,2015-04-29 13:02:03,9,7,3501.0,6687.0,0
131.202.240.242-224.0.0.252-53414-5355-17,131.202.240.242,53414,224.0.0.252,5355,2015-04-29 13:04:19,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50852-5355-17,131.202.240.242,50852,224.0.0.252,5355,2015-04-29 13:08:21,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-52646-5355-17,131.202.240.242,52646,224.0.0.252,5355,2015-04-29 13:07:38,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-52596-5355-17,131.202.240.242,52596,224.0.0.252,5355,2015-04-29 13:01:37,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61402-5355-17,131.202.240.242,61402,224.0.0.252,5355,2015-04-29 13:09:25,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-62749-5355-17,131.202.240.242,62749,224.0.0.252,5355,2015-04-29 13:02:42,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56053-5355-17,131.202.240.242,56053,224.0.0.252,5355,2015-04-29 13:01:27,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50789-5355-17,131.202.240.242,50789,224.0.0.252,5355,2015-04-29 13:09:41,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-64918-5355-17,131.202.240.242,64918,224.0.0.252,5355,2015-04-29 13:08:56,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-59632-5355-17,131.202.240.242,59632,224.0.0.252,5355,2015-04-29 13:10:19,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-60560-5355-17,131.202.240.242,60560,224.0.0.252,5355,2015-04-29 13:07:37,2,0,44.0,0.0,0
131.202.240.242-131.202.244.3-58501-53-17,131.202.240.242,58501,131.202.244.3,53,2015-04-29 13:03:19,1,1,37.0,373.0,0
131.202.240.242-224.0.0.252-52248-5355-17,131.202.240.242,52248,224.0.0.252,5355,2015-04-29 13:10:17,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61416-5355-17,131.202.240.242,61416,224.0.0.252,5355,2015-04-29 13:04:00,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-50846-5355-17,131.202.240.242,50846,224.0.0.252,5355,2015-04-29 13:01:50,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-64706-5355-17,131.202.240.242,64706,224.0.0.252,5355,2015-04-29 13:10:15,2,0,44.0,0.0,0
