Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.5-13063-53-17,131.202.240.150,13063,131.202.244.5,53,30/03/2015 08:41:59 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-18392-53-17,131.202.240.150,18392,131.202.244.5,53,30/03/2015 08:43:07 a.m.,2,114.0,0
131.202.240.150-131.202.244.5-2587-53-17,131.202.240.150,2587,131.202.244.5,53,30/03/2015 08:42:03 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-60300-53-17,131.202.240.150,60300,131.202.244.5,53,30/03/2015 08:43:07 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-18840-53-17,131.202.240.150,18840,131.202.244.5,53,30/03/2015 08:42:04 a.m.,2,175.0,0
131.202.240.150-131.202.244.3-18392-53-17,131.202.240.150,18392,131.202.244.3,53,30/03/2015 08:43:07 a.m.,2,114.0,0
131.202.240.150-173.252.79.80-60257-51996-17,131.202.240.150,60257,173.252.79.80,51996,30/03/2015 08:42:04 a.m.,7,728.0,0
131.202.240.150-173.252.79.93-35866-50011-17,131.202.240.150,35866,173.252.79.93,50011,30/03/2015 08:42:04 a.m.,4,376.0,0
131.202.240.150-131.202.244.5-1745-53-17,131.202.240.150,1745,131.202.244.5,53,30/03/2015 08:42:05 a.m.,2,187.0,0
131.202.240.150-69.171.255.36-59375-3478-17,131.202.240.150,59375,69.171.255.36,3478,30/03/2015 08:42:04 a.m.,2,60.0,0
131.202.240.150-131.202.6.3-48752-53-17,131.202.240.150,48752,131.202.6.3,53,30/03/2015 08:41:58 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-25351-53-17,131.202.240.150,25351,131.202.244.5,53,30/03/2015 08:42:04 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-17513-53-17,131.202.240.150,17513,131.202.244.5,53,30/03/2015 08:42:03 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-35317-53-17,131.202.240.150,35317,131.202.244.5,53,30/03/2015 08:43:07 a.m.,2,114.0,0
131.202.240.150-131.202.240.87-60670-51706-17,131.202.240.150,60670,131.202.240.87,51706,30/03/2015 08:42:04 a.m.,7,728.0,0
131.202.240.150-131.202.240.87-43584-51706-17,131.202.240.150,43584,131.202.240.87,51706,30/03/2015 08:46:04 a.m.,18433,19795406.0,0
131.202.240.150-173.252.79.80-43584-59132-17,131.202.240.150,43584,173.252.79.80,59132,30/03/2015 08:42:04 a.m.,7,728.0,0
131.202.240.150-24.156.140.40-41069-443-6,131.202.240.150,41069,24.156.140.40,443,30/03/2015 08:45:00 a.m.,3,0.0,0
131.202.240.150-131.202.244.5-21715-53-17,131.202.240.150,21715,131.202.244.5,53,30/03/2015 08:42:03 a.m.,2,175.0,0
131.202.240.150-131.202.6.3-56583-53-17,131.202.240.150,56583,131.202.6.3,53,30/03/2015 08:43:39 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-57709-53-17,131.202.240.150,57709,131.202.244.5,53,30/03/2015 08:43:07 a.m.,2,114.0,0
131.202.240.150-131.202.244.5-44918-53-17,131.202.240.150,44918,131.202.244.5,53,30/03/2015 08:42:04 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-55098-53-17,131.202.240.150,55098,131.202.244.5,53,30/03/2015 08:44:53 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-21317-53-17,131.202.240.150,21317,131.202.244.5,53,30/03/2015 08:42:04 a.m.,2,175.0,0
131.202.240.150-131.202.244.5-51557-53-17,131.202.240.150,51557,131.202.244.5,53,30/03/2015 08:42:04 a.m.,2,175.0,0
