Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.87-173.252.79.80-51706-3478-17,131.202.240.87,51706,173.252.79.80,3478,2015-03-30 08:46:10,35,0,700.0,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-03-30 08:46:44,3,0,150.0,0.0,0
173.252.100.27-131.202.240.87-443-2445-6,173.252.100.27,443,131.202.240.87,2445,2015-03-30 08:44:28,18,15,2902.0,2079.0,0
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,2015-03-30 08:46:32,3,2,702.0,528.0,0
131.202.240.87-69.171.239.36-51706-3478-17,131.202.240.87,51706,69.171.239.36,3478,2015-03-30 08:46:14,4,4,80.0,128.0,0
131.202.240.87-224.0.0.252-58015-5355-17,131.202.240.87,58015,224.0.0.252,5355,2015-03-30 08:46:44,2,0,44.0,0.0,0
131.202.240.87-173.252.79.80-51706-50029-17,131.202.240.87,51706,173.252.79.80,50029,2015-03-30 08:46:14,4,4,80.0,128.0,0
131.202.240.87-131.202.240.150-51706-43584-17,131.202.240.87,51706,131.202.240.150,43584,2015-03-30 08:46:07,9095,9098,9796578.0,9736412.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,2015-03-30 08:46:37,1,1,1.0,0.0,0
131.202.240.87-131.202.240.150-51706-58046-17,131.202.240.87,51706,131.202.240.150,58046,2015-03-30 08:46:07,1996,1996,206400.0,127007.0,0
131.202.240.87-224.0.0.252-57721-5355-17,131.202.240.87,57721,224.0.0.252,5355,2015-03-30 08:46:44,2,0,44.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-03-30 08:46:15,6,0,0.0,0.0,0
131.202.240.87-173.252.79.80-2448-3478-6,131.202.240.87,2448,173.252.79.80,3478,2015-03-30 08:44:38,3,3,3.0,0.0,0
131.202.240.87-131.202.6.26-0-0-0,131.202.240.87,0,131.202.6.26,0,2015-03-30 08:45:43,6,0,0.0,0.0,0
131.202.240.87-173.252.79.80-51706-443-17,131.202.240.87,51706,173.252.79.80,443,2015-03-30 08:46:10,35,0,700.0,0.0,0
173.252.79.80-131.202.240.87-51706-3478-17,173.252.79.80,51706,131.202.240.87,3478,2015-03-30 08:46:10,35,0,700.0,0.0,0
