,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-131.202.244.3-32282-53-17,131.202.240.150,32282,131.202.244.3,53,30/03/2015 09:24:41 a.m.,17,1,1,2,37.0,373.0,410.0,788461.5384615384,3846.153846153847,520.0,8,8,223.5,facebook_video2a,0
1,54.247.90.74-131.202.240.150-443-49879-6,54.247.90.74,443,131.202.240.150,49879,30/03/2015 09:21:39 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,66666.66666666669,30.0,32,32,0.0,facebook_video2a,0
2,131.202.240.150-131.202.244.3-9239-53-17,131.202.240.150,9239,131.202.244.3,53,30/03/2015 09:20:56 a.m.,17,1,1,2,34.0,141.0,175.0,423728.8135593221,4842.615012106538,413.0,8,8,104.5,facebook_video2a,0
3,131.202.240.150-131.202.244.3-33401-53-17,131.202.240.150,33401,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,510204.08163265313,5830.903790087465,343.0,8,8,104.5,facebook_video2a,0
4,131.202.240.150-69.171.239.36-54274-3478-17,131.202.240.150,54274,69.171.239.36,3478,30/03/2015 09:20:59 a.m.,17,2,2,4,56.0,64.0,120.0,319.03523744197537,10.634507914732517,125378.0,16,16,37.0,facebook_video2a,0
5,131.202.240.150-131.202.244.3-35943-53-17,131.202.240.150,35943,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,42.0,149.0,191.0,492268.0412371134,5154.639175257732,388.0,8,8,116.5,facebook_video2a,0
6,131.202.240.150-131.202.244.5-32282-53-17,131.202.240.150,32282,131.202.244.5,53,30/03/2015 09:24:41 a.m.,17,1,1,2,37.0,213.0,250.0,6318.716036901301,50.54972829521041,39565.0,8,8,143.5,facebook_video2a,0
7,131.202.240.150-69.171.239.36-38633-3478-17,131.202.240.150,38633,69.171.239.36,3478,30/03/2015 09:20:59 a.m.,17,2,2,4,56.0,64.0,120.0,310.5533802441467,10.351779341471556,128802.33333333331,16,16,37.0,facebook_video2a,0
8,131.202.240.150-69.171.239.36-47119-3478-17,131.202.240.150,47119,69.171.239.36,3478,30/03/2015 09:20:58 a.m.,17,2,2,4,56.0,64.0,120.0,415.75575735108146,13.858525245036047,96210.33333333331,16,16,37.0,facebook_video2a,0
9,54.247.90.74-131.202.240.150-443-49883-6,54.247.90.74,443,131.202.240.150,49883,30/03/2015 09:21:39 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,80000.0,25.0,32,32,0.0,facebook_video2a,0
10,131.202.240.150-216.58.219.238-37822-443-17,131.202.240.150,37822,216.58.219.238,443,30/03/2015 09:21:32 a.m.,17,9,8,17,4795.0,4758.0,9553.0,42832.99481233382,76.22327141313461,13939.3125,72,64,641.3529411764706,facebook_video2a,0
11,131.202.240.150-131.202.244.5-30580-53-17,131.202.240.150,30580,131.202.244.5,53,30/03/2015 09:27:20 a.m.,17,1,1,2,42.0,149.0,191.0,477500.0,5000.0,400.0,8,8,116.5,facebook_video2a,0
12,131.202.240.150-131.202.244.3-15390-53-17,131.202.240.150,15390,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,474254.7425474254,5420.054200542005,369.0,8,8,104.5,facebook_video2a,0
13,131.202.240.150-173.252.100.27-56824-443-6,131.202.240.150,56824,173.252.100.27,443,30/03/2015 09:21:00 a.m.,6,1,3,4,0.0,0.0,0.0,0.0,13.063570600434366,102065.0,20,60,0.0,facebook_video2a,0
14,131.202.240.150-131.202.244.5-42703-53-17,131.202.240.150,42703,131.202.244.5,53,30/03/2015 09:27:23 a.m.,17,1,1,2,34.0,141.0,175.0,482093.66391184577,5509.641873278238,363.0,8,8,104.5,facebook_video2a,0
15,131.202.240.150-131.202.244.5-2385-53-17,131.202.240.150,2385,131.202.244.5,53,30/03/2015 09:21:06 a.m.,17,1,1,2,40.0,147.0,187.0,621262.458471761,6644.518272425249,301.0,8,8,113.5,facebook_video2a,0
16,131.202.240.150-216.58.219.237-58829-443-6,131.202.240.150,58829,216.58.219.237,443,30/03/2015 09:22:49 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.35762419683435,25524.0,32,32,0.0,facebook_video2a,0
17,131.202.240.150-131.202.244.3-42703-53-17,131.202.240.150,42703,131.202.244.3,53,30/03/2015 09:27:23 a.m.,17,1,1,2,34.0,141.0,175.0,401376.14678899077,4587.155963302752,436.0,8,8,104.5,facebook_video2a,0
18,131.202.240.150-131.202.244.3-44007-53-17,131.202.240.150,44007,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,464190.9814323607,5305.039787798409,377.0,8,8,104.5,facebook_video2a,0
19,131.202.240.150-131.202.244.3-7525-53-17,131.202.240.150,7525,131.202.244.3,53,30/03/2015 09:22:01 a.m.,17,1,1,2,42.0,149.0,191.0,461352.657004831,4830.917874396136,414.0,8,8,116.5,facebook_video2a,0
20,131.202.240.150-131.202.244.3-61747-53-17,131.202.240.150,61747,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,449871.46529562975,5141.388174807198,389.0,8,8,104.5,facebook_video2a,0
21,131.202.240.150-131.202.244.3-49763-53-17,131.202.240.150,49763,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,519287.8338278932,5934.718100890207,337.0,8,8,104.5,facebook_video2a,0
22,131.202.240.150-131.202.6.3-46196-53-17,131.202.240.150,46196,131.202.6.3,53,30/03/2015 09:28:20 a.m.,17,1,1,2,34.0,141.0,175.0,150862.06896551725,1724.1379310344828,1160.0,8,8,104.5,facebook_video2a,0
23,131.202.240.150-173.252.79.86-55167-50005-17,131.202.240.150,55167,173.252.79.86,50005,30/03/2015 09:20:58 a.m.,17,2,2,4,196.0,180.0,376.0,2362.3729282115078,25.131626895867104,53054.0,16,16,105.0,facebook_video2a,0
24,131.202.240.150-131.202.6.3-33184-53-17,131.202.240.150,33184,131.202.6.3,53,30/03/2015 09:21:04 a.m.,17,1,1,2,34.0,141.0,175.0,195.3674470944953,2.2327708239370896,895748.0,8,8,104.5,facebook_video2a,0
25,131.202.240.150-216.58.219.238-47553-443-6,131.202.240.150,47553,216.58.219.238,443,30/03/2015 09:25:32 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,78.65035982539621,25429.0,32,32,0.0,facebook_video2a,0
26,131.202.240.150-131.202.244.5-61422-53-17,131.202.240.150,61422,131.202.244.5,53,30/03/2015 09:27:24 a.m.,17,1,1,2,47.0,461.0,508.0,2241.5094006609806,8.8248401600826,226633.0,8,8,277.5,facebook_video2a,0
27,131.202.240.150-131.202.244.3-54493-53-17,131.202.240.150,54493,131.202.244.3,53,30/03/2015 09:20:58 a.m.,17,1,1,2,34.0,141.0,175.0,480769.2307692308,5494.5054945054935,364.0,8,8,104.5,facebook_video2a,0
28,131.202.240.150-131.202.244.5-36263-53-17,131.202.240.150,36263,131.202.244.5,53,30/03/2015 09:21:11 a.m.,17,1,1,2,34.0,141.0,175.0,435323.3830845771,4975.124378109454,402.0,8,8,104.5,facebook_video2a,0
29,131.202.240.150-216.58.219.227-54338-443-6,131.202.240.150,54338,216.58.219.227,443,30/03/2015 09:28:21 a.m.,6,1,1,2,0.0,0.0,0.0,0.0,74.0905386382159,26994.0,32,32,0.0,facebook_video2a,0
30,131.202.243.27-131.202.240.150-4361-135-6,131.202.243.27,4361,131.202.240.150,135,30/03/2015 09:25:15 a.m.,6,3,3,6,0.0,0.0,0.0,0.0,5.834010726801058,205690.4,92,60,0.0,facebook_video2a,0
31,131.202.240.150-131.202.244.5-5637-53-17,131.202.240.150,5637,131.202.244.5,53,30/03/2015 09:21:11 a.m.,17,1,1,2,34.0,141.0,175.0,428921.56862745096,4901.960784313726,408.0,8,8,104.5,facebook_video2a,0
