Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-173.252.79.94-51424-50029-17,131.202.240.87,51424,173.252.79.94,50029,30/03/2015 09:27:20 a.m.,14,364.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 09:26:53 a.m.,6,300.0,0
131.202.240.87-173.252.100.27-2504-443-6,131.202.240.87,2504,173.252.100.27,443,30/03/2015 09:28:27 a.m.,7,949.0,0
131.202.240.87-173.252.79.94-51424-3478-17,131.202.240.87,51424,173.252.79.94,3478,30/03/2015 09:27:20 a.m.,63,1260.0,0
131.202.240.87-173.252.79.94-51425-3478-17,131.202.240.87,51425,173.252.79.94,3478,30/03/2015 09:27:20 a.m.,63,1260.0,0
131.202.240.150-131.202.240.87-51425-38633-17,131.202.240.150,51425,131.202.240.87,38633,30/03/2015 09:28:27 a.m.,5,2600.0,0
131.202.6.26-131.202.240.87-0-0-0,131.202.6.26,0,131.202.240.87,0,30/03/2015 09:26:11 a.m.,2,0.0,0
131.202.240.87-131.202.240.150-51425-38633-17,131.202.240.87,51425,131.202.240.150,38633,30/03/2015 09:27:17 a.m.,32881,35328660.0,0
131.202.240.87-224.0.0.252-50465-5355-17,131.202.240.87,50465,224.0.0.252,5355,30/03/2015 09:26:55 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-56676-53-17,131.202.240.87,56676,131.202.244.3,53,30/03/2015 09:21:22 a.m.,2,187.0,0
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,30/03/2015 09:26:40 a.m.,38,5217.0,0
173.252.79.94-131.202.240.87-443-2507-6,173.252.79.94,443,131.202.240.87,2507,30/03/2015 09:21:49 a.m.,2,0.0,0
173.252.79.94-131.202.240.87-51424-3478-17,173.252.79.94,51424,131.202.240.87,3478,30/03/2015 09:27:20 a.m.,45,900.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 09:27:23 a.m.,4,2.0,0
131.202.240.87-131.202.244.3-51421-53-17,131.202.240.87,51421,131.202.244.3,53,30/03/2015 09:21:17 a.m.,2,191.0,0
131.202.240.87-69.171.239.36-51424-3478-17,131.202.240.87,51424,69.171.239.36,3478,30/03/2015 09:27:20 a.m.,14,364.0,0
173.252.79.94-131.202.240.87-3478-2508-6,173.252.79.94,3478,131.202.240.87,2508,30/03/2015 09:28:27 a.m.,2,0.0,0
131.202.240.87-224.0.0.252-64881-5355-17,131.202.240.87,64881,224.0.0.252,5355,30/03/2015 09:26:55 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-52676-53-17,131.202.240.87,52676,131.202.244.3,53,30/03/2015 09:21:37 a.m.,2,410.0,0
131.202.240.87-173.252.100.27-0-0-0,131.202.240.87,0,173.252.100.27,0,30/03/2015 09:20:37 a.m.,15,0.0,0
131.202.240.150-131.202.240.87-35146-51424-17,131.202.240.150,35146,131.202.240.87,51424,30/03/2015 09:27:18 a.m.,7208,643268.0,0
131.202.240.87-173.252.79.94-51425-50029-17,131.202.240.87,51425,173.252.79.94,50029,30/03/2015 09:27:20 a.m.,14,364.0,0
131.202.240.87-69.171.239.36-51425-3478-17,131.202.240.87,51425,69.171.239.36,3478,30/03/2015 09:27:20 a.m.,14,364.0,0
173.252.79.94-131.202.240.87-51425-3478-17,173.252.79.94,51425,131.202.240.87,3478,30/03/2015 09:27:20 a.m.,22,440.0,0
131.202.240.87-224.0.0.252-61633-5355-17,131.202.240.87,61633,224.0.0.252,5355,30/03/2015 09:26:53 a.m.,2,44.0,0
131.202.240.87-173.252.79.94-51425-443-17,131.202.240.87,51425,173.252.79.94,443,30/03/2015 09:27:20 a.m.,63,1260.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,30/03/2015 09:27:57 a.m.,6,0.0,0
173.252.79.94-131.202.240.87-3478-2505-6,173.252.79.94,3478,131.202.240.87,2505,30/03/2015 09:21:49 a.m.,2,0.0,0
131.202.240.87-173.252.79.94-51424-443-17,131.202.240.87,51424,173.252.79.94,443,30/03/2015 09:27:20 a.m.,63,1260.0,0
131.202.240.87-224.0.0.252-54576-5355-17,131.202.240.87,54576,224.0.0.252,5355,30/03/2015 09:26:53 a.m.,2,44.0,0
