,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.244.3-58392-53-17,131.202.240.87,58392,131.202.244.3,53,13/04/2015 03:54:37 p.m.,17,2,2,4,82.0,922.0,1004.0,7171.326123912516,28.571020413994088,46667.33333333334,16,16,261.25,facebookchat1,0
1,173.252.100.27-131.202.240.87-443-26957-6,173.252.100.27,443,131.202.240.87,26957,13/04/2015 03:54:38 p.m.,6,243,206,449,90098.0,52386.0,142484.0,2525.7713893974437,7.959289140110132,125919.80580357127,4860,4120,319.7839643652561,facebookchat1,0
2,131.202.240.87-131.202.244.3-58419-53-17,131.202.240.87,58419,131.202.244.3,53,13/04/2015 03:55:33 p.m.,17,2,2,4,68.0,294.0,362.0,135074.62686567163,1492.5373134328356,893.3333333333333,16,16,99.0,facebookchat1,0
3,131.202.240.87-131.202.244.3-58404-53-17,131.202.240.87,58404,131.202.244.3,53,13/04/2015 03:54:56 p.m.,17,2,2,4,68.0,294.0,362.0,237221.49410222805,2621.231979030144,508.66666666666674,16,16,99.0,facebookchat1,0
4,131.202.240.87-131.202.244.3-58409-53-17,131.202.240.87,58409,131.202.244.3,53,13/04/2015 03:55:10 p.m.,17,2,2,4,68.0,294.0,362.0,133974.83345669875,1480.3849000740192,900.6666666666667,16,16,99.0,facebookchat1,0
5,131.202.240.87-131.202.244.3-58414-53-17,131.202.240.87,58414,131.202.244.3,53,13/04/2015 03:55:20 p.m.,17,2,2,4,68.0,294.0,362.0,327305.6057866184,3616.6365280289333,368.66666666666674,16,16,99.0,facebookchat1,0
6,131.202.240.87-131.202.244.3-58399-53-17,131.202.240.87,58399,131.202.244.3,53,13/04/2015 03:54:51 p.m.,17,2,2,4,84.0,310.0,394.0,234663.49017272182,2382.3704586063127,559.6666666666666,16,16,109.0,facebookchat1,0
7,131.202.240.87-209.148.205.26-26961-443-6,131.202.240.87,26961,209.148.205.26,443,13/04/2015 03:54:37 p.m.,6,4,3,7,488.0,1076.0,1564.0,26.845325166404113,0.1201517111028317,9709946.333333332,80,60,287.85714285714283,facebookchat1,0
8,131.202.240.87-131.202.244.3-58395-53-17,131.202.240.87,58395,131.202.244.3,53,13/04/2015 03:54:46 p.m.,17,2,2,4,68.0,294.0,362.0,248968.3631361761,2751.0316368638237,484.66666666666674,16,16,99.0,facebookchat1,0
9,131.202.240.87-131.202.244.3-58402-53-17,131.202.240.87,58402,131.202.244.3,53,13/04/2015 03:54:53 p.m.,17,2,2,4,68.0,294.0,362.0,246930.4229195089,2728.512960436562,488.66666666666674,16,16,99.0,facebookchat1,0
10,131.202.240.87-209.148.205.26-26960-443-6,131.202.240.87,26960,209.148.205.26,443,13/04/2015 03:54:43 p.m.,6,9,16,25,483.0,16576.0,17059.0,331867.7898177149,486.35293659903124,2141.7916666666665,192,320,701.68,facebookchat1,0
11,131.202.240.87-173.194.208.188-1060-5228-6,131.202.240.87,1060,173.194.208.188,5228,13/04/2015 03:55:09 p.m.,6,1,1,2,1.0,0.0,1.0,26.64251079021687,53.28502158043374,37534.0,20,32,1.0,facebookchat1,0
12,131.202.240.87-131.202.244.3-58394-53-17,131.202.240.87,58394,131.202.244.3,53,13/04/2015 03:54:45 p.m.,17,2,2,4,68.0,294.0,362.0,4714.585259758019,52.09486474870739,25594.33333333333,16,16,99.0,facebookchat1,0
13,131.202.240.87-131.202.244.3-58407-53-17,131.202.240.87,58407,131.202.244.3,53,13/04/2015 03:55:05 p.m.,17,2,2,4,68.0,294.0,362.0,332415.05968778697,3673.094582185492,363.0,16,16,99.0,facebookchat1,0
14,131.202.240.87-131.202.244.3-58417-53-17,131.202.240.87,58417,131.202.244.3,53,13/04/2015 03:55:25 p.m.,17,2,2,4,68.0,294.0,362.0,278461.5384615385,3076.9230769230767,433.33333333333326,16,16,99.0,facebookchat1,0
15,131.202.240.87-131.202.244.3-58397-53-17,131.202.240.87,58397,131.202.244.3,53,13/04/2015 03:54:48 p.m.,17,2,2,4,68.0,294.0,362.0,237844.9408672799,2628.120893561104,507.33333333333326,16,16,99.0,facebookchat1,0
16,131.202.240.87-131.202.244.3-58412-53-17,131.202.240.87,58412,131.202.244.3,53,13/04/2015 03:55:18 p.m.,17,2,2,4,68.0,294.0,362.0,203028.60347728548,2243.409983174425,594.3333333333334,16,16,99.0,facebookchat1,0
17,131.202.240.87-131.202.244.3-58398-53-17,131.202.240.87,58398,131.202.244.3,53,13/04/2015 03:54:48 p.m.,17,2,2,4,68.0,294.0,362.0,202801.12044817925,2240.896358543417,595.0,16,16,99.0,facebookchat1,0
18,131.202.240.87-131.202.244.3-58415-53-17,131.202.240.87,58415,131.202.244.3,53,13/04/2015 03:55:23 p.m.,17,2,2,4,68.0,294.0,362.0,68198.9449886963,753.5795026375282,1769.3333333333335,16,16,99.0,facebookchat1,0
19,131.202.240.87-131.202.244.3-58405-53-17,131.202.240.87,58405,131.202.244.3,53,13/04/2015 03:54:56 p.m.,17,2,2,4,68.0,294.0,362.0,113444.06142275149,1253.5255405828893,1063.6666666666667,16,16,99.0,facebookchat1,0
20,131.202.240.87-173.252.100.27-26908-443-6,131.202.240.87,26908,173.252.100.27,443,13/04/2015 03:54:36 p.m.,6,217,237,454,103028.0,85982.0,189010.0,3241.1122771638848,7.7851170511211265,128733.77483443705,4340,4740,418.80396475770925,facebookchat1,0
21,131.202.240.87-131.202.244.3-58391-53-17,131.202.240.87,58391,131.202.244.3,53,13/04/2015 03:54:36 p.m.,17,2,2,4,68.0,294.0,362.0,4740.764022577561,52.384132846160895,25453.0,16,16,99.0,facebookchat1,0
22,131.202.240.87-131.202.244.3-58400-53-17,131.202.240.87,58400,131.202.244.3,53,13/04/2015 03:54:51 p.m.,17,2,2,4,68.0,294.0,362.0,330593.60730593605,3652.9680365296804,365.0,16,16,99.0,facebookchat1,0
23,131.202.240.87-131.202.244.3-58410-53-17,131.202.240.87,58410,131.202.244.3,53,13/04/2015 03:55:10 p.m.,17,2,2,4,68.0,294.0,362.0,270958.08383233537,2994.011976047904,445.33333333333326,16,16,99.0,facebookchat1,0
24,131.202.240.87-131.202.244.3-58408-53-17,131.202.240.87,58408,131.202.244.3,53,13/04/2015 03:55:05 p.m.,17,2,2,4,68.0,294.0,362.0,420441.34727061563,4645.760743321719,287.0,16,16,99.0,facebookchat1,0
25,131.202.240.87-131.202.244.3-58418-53-17,131.202.240.87,58418,131.202.244.3,53,13/04/2015 03:55:33 p.m.,17,2,2,4,68.0,294.0,362.0,235984.35462842238,2607.561929595828,511.33333333333326,16,16,99.0,facebookchat1,0
26,131.202.240.87-131.202.244.3-58403-53-17,131.202.240.87,58403,131.202.244.3,53,13/04/2015 03:54:55 p.m.,17,2,2,4,68.0,294.0,362.0,125738.10350816256,1389.371309482459,959.6666666666667,16,16,99.0,facebookchat1,0
27,131.202.240.87-131.202.244.3-58396-53-17,131.202.240.87,58396,131.202.244.3,53,13/04/2015 03:54:48 p.m.,17,2,2,4,68.0,294.0,362.0,182184.1972823352,2013.0850528434823,662.3333333333334,16,16,99.0,facebookchat1,0
28,131.202.240.87-131.202.244.3-58401-53-17,131.202.240.87,58401,131.202.244.3,53,13/04/2015 03:54:51 p.m.,17,2,2,4,68.0,294.0,362.0,332720.5882352941,3676.470588235294,362.66666666666674,16,16,99.0,facebookchat1,0
29,131.202.240.87-131.202.244.3-58411-53-17,131.202.240.87,58411,131.202.244.3,53,13/04/2015 03:55:18 p.m.,17,2,2,4,68.0,294.0,362.0,235064.93506493513,2597.402597402597,513.3333333333334,16,16,99.0,facebookchat1,0
30,131.202.240.87-131.202.244.3-58413-53-17,131.202.240.87,58413,131.202.244.3,53,13/04/2015 03:55:18 p.m.,17,2,2,4,68.0,294.0,362.0,205565.01987507092,2271.4366837024413,587.0,16,16,99.0,facebookchat1,0
31,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,13/04/2015 03:54:50 p.m.,0,2,0,2,0.0,0.0,0.0,0.0,630.3183107469273,3173.0,0,0,0.0,facebookchat1,0
32,131.202.240.87-131.202.244.3-58406-53-17,131.202.240.87,58406,131.202.244.3,53,13/04/2015 03:55:03 p.m.,17,2,2,4,68.0,294.0,362.0,266176.4705882353,2941.1764705882347,453.33333333333326,16,16,99.0,facebookchat1,0
33,131.202.240.87-131.202.244.3-58416-53-17,131.202.240.87,58416,131.202.244.3,53,13/04/2015 03:55:25 p.m.,17,2,2,4,68.0,294.0,362.0,247775.49623545515,2737.8507871321012,487.0,16,16,99.0,facebookchat1,0
34,131.202.240.87-131.202.244.3-58393-53-17,131.202.240.87,58393,131.202.244.3,53,13/04/2015 03:54:38 p.m.,17,2,2,4,68.0,294.0,362.0,224705.15207945372,2482.929857231533,537.0,16,16,99.0,facebookchat1,0
35,74.125.226.70-131.202.240.87-443-26740-6,74.125.226.70,443,131.202.240.87,26740,13/04/2015 03:55:19 p.m.,6,2,0,2,55.0,0.0,55.0,632183.908045977,22988.50574712644,87.0,40,0,55.0,facebookchat1,0
