Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-60190-5355-17,131.202.240.87,60190,224.0.0.252,5355,2015-04-14 10:59:15,2,44.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-14 10:58:46,7,350.0,0
131.202.240.87-131.202.244.3-62686-53-17,131.202.240.87,62686,131.202.244.3,53,2015-04-14 10:58:47,4,362.0,0
173.252.110.27-131.202.240.87-443-19572-6,173.252.110.27,443,131.202.240.87,19572,2015-04-14 10:58:49,155,43421.0,0
131.202.240.87-64.233.171.188-1187-5228-6,131.202.240.87,1187,64.233.171.188,5228,2015-04-14 10:59:28,4,2.0,0
131.202.240.87-209.148.205.35-19596-443-6,131.202.240.87,19596,209.148.205.35,443,2015-04-14 10:58:48,6,148.0,0
131.202.240.87-131.202.244.3-65075-53-17,131.202.240.87,65075,131.202.244.3,53,2015-04-14 11:00:29,6,585.0,0
131.202.240.87-77.72.169.132-30315-11113-17,131.202.240.87,30315,77.72.169.132,11113,2015-04-14 10:59:41,4,211.0,0
131.202.240.87-131.202.244.3-62689-53-17,131.202.240.87,62689,131.202.244.3,53,2015-04-14 10:58:49,6,585.0,0
131.202.240.87-173.252.110.27-19524-443-6,131.202.240.87,19524,173.252.110.27,443,2015-04-14 10:58:47,116,47540.0,0
131.202.240.87-131.202.244.3-62692-53-17,131.202.240.87,62692,131.202.244.3,53,2015-04-14 10:58:53,4,1004.0,0
131.202.240.87-224.0.0.252-51748-5355-17,131.202.240.87,51748,224.0.0.252,5355,2015-04-14 10:59:50,2,44.0,0
131.202.240.87-131.202.244.3-62687-53-17,131.202.240.87,62687,131.202.244.3,53,2015-04-14 10:58:49,4,362.0,0
131.202.240.87-131.202.244.3-65078-53-17,131.202.240.87,65078,131.202.244.3,53,2015-04-14 11:00:32,4,362.0,0
131.202.240.87-131.202.244.3-65074-53-17,131.202.240.87,65074,131.202.244.3,53,2015-04-14 11:00:29,4,362.0,0
131.202.240.87-74.125.226.165-62691-443-17,131.202.240.87,62691,74.125.226.165,443,2015-04-14 10:58:49,9,4887.0,0
131.202.240.87-131.202.244.3-54972-53-17,131.202.240.87,54972,131.202.244.3,53,2015-04-14 10:59:23,4,362.0,0
131.202.240.87-131.202.244.3-65076-53-17,131.202.240.87,65076,131.202.244.3,53,2015-04-14 11:00:29,6,1494.0,0
131.202.240.87-131.202.244.3-65077-53-17,131.202.240.87,65077,131.202.244.3,53,2015-04-14 11:00:32,4,362.0,0
131.202.240.87-74.125.226.164-19570-443-6,131.202.240.87,19570,74.125.226.164,443,2015-04-14 10:58:49,21,8982.0,0
131.202.240.87-209.148.205.35-19594-443-6,131.202.240.87,19594,209.148.205.35,443,2015-04-14 10:59:41,16,9176.0,0
131.202.240.87-131.202.244.3-62688-53-17,131.202.240.87,62688,131.202.244.3,53,2015-04-14 10:58:49,4,362.0,0
131.202.240.87-224.0.0.252-52608-5355-17,131.202.240.87,52608,224.0.0.252,5355,2015-04-14 10:59:15,2,44.0,0
131.202.240.87-24.156.140.8-19592-443-6,131.202.240.87,19592,24.156.140.8,443,2015-04-14 10:59:41,3,82.0,0
131.202.240.87-224.0.0.252-63425-5355-17,131.202.240.87,63425,224.0.0.252,5355,2015-04-14 10:59:50,2,44.0,0
131.202.240.87-131.202.6.26-19597-13000-6,131.202.240.87,19597,131.202.6.26,13000,2015-04-14 10:59:26,27,14152.0,0
131.202.240.87-131.202.6.26-19597-13000-6,131.202.240.87,19597,131.202.6.26,13000,2015-04-14 10:59:26,2,0.0,0
74.125.226.164-131.202.240.87-443-19568-6,74.125.226.164,443,131.202.240.87,19568,2015-04-14 10:59:28,2,55.0,0
131.202.240.87-74.125.226.164-19568-443-6,131.202.240.87,19568,74.125.226.164,443,2015-04-14 10:59:28,2,0.0,0
