Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,2015-01-05 10:37:09,2337,2201178.0,0
131.202.240.87-131.202.240.242-4491-50598-6,131.202.240.87,4491,131.202.240.242,50598,2015-01-05 10:37:09,3,31.0,0
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,2015-01-05 10:37:11,4901,4626420.0,0
131.202.240.87-131.202.240.242-4492-50599-6,131.202.240.87,4492,131.202.240.242,50599,2015-01-05 10:37:11,3,31.0,0
131.202.240.87-131.202.240.242-4493-50600-6,131.202.240.87,4493,131.202.240.242,50600,2015-01-05 10:37:13,2169,2041597.0,0
131.202.240.87-131.202.240.242-4494-50601-6,131.202.240.87,4494,131.202.240.242,50601,2015-01-05 10:37:14,61482,57936197.0,0
131.202.240.87-131.202.240.242-4498-50603-6,131.202.240.87,4498,131.202.240.242,50603,2015-01-05 10:37:20,154136,145658393.0,0
131.202.240.87-131.202.240.242-4471-21-6,131.202.240.87,4471,131.202.240.242,21,2015-01-05 10:38:04,2,31.0,0
131.202.240.87-131.202.240.242-4499-50604-6,131.202.240.87,4499,131.202.240.242,50604,2015-01-05 10:37:55,304245,288021447.0,0
131.202.240.87-131.202.240.242-4499-50604-6,131.202.240.87,4499,131.202.240.242,50604,2015-01-05 10:38:56,3,31.0,0
131.202.240.87-131.202.6.26-4502-13111-6,131.202.240.87,4502,131.202.6.26,13111,2015-01-05 10:39:04,6,4.0,0
131.202.6.26-131.202.240.87-13111-4502-6,131.202.6.26,13111,131.202.240.87,4502,2015-01-05 10:39:04,2,0.0,0
131.202.240.87-131.202.240.242-4501-50606-6,131.202.240.87,4501,131.202.240.242,50606,2015-01-05 10:38:56,45103,42763036.0,0
131.202.240.87-131.202.240.242-4501-50606-6,131.202.240.87,4501,131.202.240.242,50606,2015-01-05 10:39:06,3,31.0,0
131.202.240.87-131.202.240.242-4504-50607-6,131.202.240.87,4504,131.202.240.242,50607,2015-01-05 10:39:06,431,407653.0,0
131.202.240.87-131.202.240.242-4504-50607-6,131.202.240.87,4504,131.202.240.242,50607,2015-01-05 10:39:07,3,31.0,0
131.202.240.87-131.202.240.242-4505-50608-6,131.202.240.87,4505,131.202.240.242,50608,2015-01-05 10:39:07,361,339344.0,0
131.202.240.87-131.202.240.242-4505-50608-6,131.202.240.87,4505,131.202.240.242,50608,2015-01-05 10:39:07,3,31.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-01-05 10:37:05,9,0.0,0
131.202.240.87-131.202.240.242-4506-50609-6,131.202.240.87,4506,131.202.240.242,50609,2015-01-05 10:39:07,40775,38663428.0,0
131.202.240.87-131.202.240.242-4506-50609-6,131.202.240.87,4506,131.202.240.242,50609,2015-01-05 10:39:15,3,31.0,0
131.202.240.87-131.202.240.242-4507-50610-6,131.202.240.87,4507,131.202.240.242,50610,2015-01-05 10:39:15,51260,48540587.0,0
131.202.240.87-131.202.240.242-4497-21-6,131.202.240.87,4497,131.202.240.242,21,2015-01-05 10:37:20,70,4566.0,0
131.202.240.87-131.202.240.242-4507-50610-6,131.202.240.87,4507,131.202.240.242,50610,2015-01-05 10:39:25,3,31.0,0
131.202.240.87-131.202.240.242-4508-50611-6,131.202.240.87,4508,131.202.240.242,50611,2015-01-05 10:39:25,10763,10209681.0,0
131.202.240.87-131.202.240.242-4508-50611-6,131.202.240.87,4508,131.202.240.242,50611,2015-01-05 10:39:27,3,31.0,0
131.202.240.87-131.202.240.242-4509-50612-6,131.202.240.87,4509,131.202.240.242,50612,2015-01-05 10:39:27,12239,11606562.0,0
131.202.240.87-131.202.240.242-4509-50612-6,131.202.240.87,4509,131.202.240.242,50612,2015-01-05 10:39:28,3,31.0,0
