Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.240.242-6060-52847-6,131.202.240.87,6060,131.202.240.242,52847,2015-01-05 12:24:34,278,260678.0,0
131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,2015-01-05 12:24:34,2,0.0,0
131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,2015-01-05 12:24:34,10,733.0,0
131.202.240.87-131.202.240.242-6061-52848-6,131.202.240.87,6061,131.202.240.242,52848,2015-01-05 12:24:34,3,31.0,0
131.202.240.87-131.202.240.242-6062-52849-6,131.202.240.87,6062,131.202.240.242,52849,2015-01-05 12:24:36,13,2831.0,0
131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,2015-01-05 12:24:36,2,0.0,0
131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,2015-01-05 12:24:36,10,794.0,0
131.202.240.87-131.202.240.242-6063-52850-6,131.202.240.87,6063,131.202.240.242,52850,2015-01-05 12:24:36,3,31.0,0
131.202.240.87-131.202.240.242-6064-52851-6,131.202.240.87,6064,131.202.240.242,52851,2015-01-05 12:24:37,13,3004.0,0
131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,2015-01-05 12:24:37,2,0.0,0
131.202.240.87-131.202.240.242-6065-52852-6,131.202.240.87,6065,131.202.240.242,52852,2015-01-05 12:24:37,10,860.0,0
131.202.240.87-131.202.240.242-6065-52852-6,131.202.240.87,6065,131.202.240.242,52852,2015-01-05 12:24:37,3,31.0,0
131.202.240.87-131.202.240.242-6066-52853-6,131.202.240.87,6066,131.202.240.242,52853,2015-01-05 12:24:39,14,4254.0,0
131.202.240.242-131.202.240.87-52853-6066-6,131.202.240.242,52853,131.202.240.87,6066,2015-01-05 12:24:39,2,0.0,0
131.202.240.87-131.202.240.242-6067-52854-6,131.202.240.87,6067,131.202.240.242,52854,2015-01-05 12:24:39,10,914.0,0
131.202.240.87-131.202.240.242-6067-52854-6,131.202.240.87,6067,131.202.240.242,52854,2015-01-05 12:24:39,4,31.0,0
131.202.240.87-131.202.240.242-6068-52855-6,131.202.240.87,6068,131.202.240.242,52855,2015-01-05 12:24:40,1562,1429145.0,0
131.202.240.242-131.202.240.87-52855-6068-6,131.202.240.242,52855,131.202.240.87,6068,2015-01-05 12:24:40,2,0.0,0
131.202.240.87-131.202.240.242-6069-52856-6,131.202.240.87,6069,131.202.240.242,52856,2015-01-05 12:24:40,10,992.0,0
131.202.240.87-131.202.240.242-6069-52856-6,131.202.240.87,6069,131.202.240.242,52856,2015-01-05 12:24:40,4,31.0,0
131.202.240.87-131.202.240.242-6070-52857-6,131.202.240.87,6070,131.202.240.242,52857,2015-01-05 12:24:46,1507,1395178.0,0
131.202.240.242-131.202.240.87-52857-6070-6,131.202.240.242,52857,131.202.240.87,6070,2015-01-05 12:24:46,2,0.0,0
131.202.240.87-131.202.240.242-6071-52858-6,131.202.240.87,6071,131.202.240.242,52858,2015-01-05 12:24:46,10,1064.0,0
131.202.240.87-131.202.240.242-6071-52858-6,131.202.240.87,6071,131.202.240.242,52858,2015-01-05 12:24:46,4,31.0,0
131.202.240.87-131.202.240.242-6072-52859-6,131.202.240.87,6072,131.202.240.242,52859,2015-01-05 12:24:47,133,120355.0,0
131.202.240.242-131.202.240.87-52859-6072-6,131.202.240.242,52859,131.202.240.87,6072,2015-01-05 12:24:47,2,0.0,0
131.202.240.87-131.202.240.242-6073-52860-6,131.202.240.87,6073,131.202.240.242,52860,2015-01-05 12:24:47,10,1135.0,0
131.202.240.87-131.202.240.242-6073-52860-6,131.202.240.87,6073,131.202.240.242,52860,2015-01-05 12:24:47,4,31.0,0
131.202.240.87-131.202.240.242-6074-52861-6,131.202.240.87,6074,131.202.240.242,52861,2015-01-05 12:24:48,151,137940.0,0
131.202.240.242-131.202.240.87-52861-6074-6,131.202.240.242,52861,131.202.240.87,6074,2015-01-05 12:24:48,2,0.0,0
131.202.240.87-131.202.240.242-6075-52862-6,131.202.240.87,6075,131.202.240.242,52862,2015-01-05 12:24:49,10,1205.0,0
131.202.240.87-131.202.240.242-6075-52862-6,131.202.240.87,6075,131.202.240.242,52862,2015-01-05 12:24:49,4,31.0,0
131.202.240.87-131.202.240.242-6076-52863-6,131.202.240.87,6076,131.202.240.242,52863,2015-01-05 12:24:49,1226,1136189.0,0
131.202.240.242-131.202.240.87-52863-6076-6,131.202.240.242,52863,131.202.240.87,6076,2015-01-05 12:24:49,2,0.0,0
131.202.240.87-131.202.240.242-6077-52864-6,131.202.240.87,6077,131.202.240.242,52864,2015-01-05 12:24:50,10,1276.0,0
131.202.240.87-131.202.240.242-6077-52864-6,131.202.240.87,6077,131.202.240.242,52864,2015-01-05 12:24:50,4,31.0,0
131.202.240.87-131.202.240.242-6078-52865-6,131.202.240.87,6078,131.202.240.242,52865,2015-01-05 12:24:51,3109,2833217.0,0
131.202.240.242-131.202.240.87-52865-6078-6,131.202.240.242,52865,131.202.240.87,6078,2015-01-05 12:24:51,2,0.0,0
131.202.240.87-131.202.240.242-6079-52866-6,131.202.240.87,6079,131.202.240.242,52866,2015-01-05 12:24:51,10,1352.0,0
131.202.240.87-131.202.240.242-6079-52866-6,131.202.240.87,6079,131.202.240.242,52866,2015-01-05 12:24:51,4,31.0,0
131.202.240.87-131.202.240.242-6080-52867-6,131.202.240.87,6080,131.202.240.242,52867,2015-01-05 12:24:52,223,206957.0,0
131.202.240.242-131.202.240.87-52867-6080-6,131.202.240.242,52867,131.202.240.87,6080,2015-01-05 12:24:52,2,0.0,0
131.202.240.87-131.202.240.242-6081-52868-6,131.202.240.87,6081,131.202.240.242,52868,2015-01-05 12:24:53,10,1427.0,0
131.202.240.87-131.202.240.242-6081-52868-6,131.202.240.87,6081,131.202.240.242,52868,2015-01-05 12:24:53,4,31.0,0
131.202.240.87-131.202.240.242-6082-52869-6,131.202.240.87,6082,131.202.240.242,52869,2015-01-05 12:24:54,2119,1929730.0,0
