,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.87-131.202.244.3-52299-53-17,131.202.240.87,52299,131.202.244.3,53,15/04/2015 02:05:44 p.m.,17,2,2,4,90.0,406.0,496.0,124279.62916562265,1002.2550739163116,1330.3333333333333,16,16,135.25,gmailchat3,0
1,131.202.240.87-131.202.244.3-54483-53-17,131.202.240.87,54483,131.202.244.3,53,15/04/2015 01:54:37 p.m.,17,2,2,4,74.0,598.0,672.0,424510.4232469994,2526.8477574226154,527.6666666666666,16,16,177.25,gmailchat3,0
2,131.202.240.87-74.125.226.161-57957-443-17,131.202.240.87,57957,74.125.226.161,443,15/04/2015 02:02:15 p.m.,17,9,7,16,6379.0,2144.0,8523.0,594.1160966844308,1.1153182619911874,956378.7333333329,72,56,617.0625,gmailchat3,0
3,131.202.240.87-131.202.244.3-53808-53-17,131.202.240.87,53808,131.202.244.3,53,15/04/2015 02:01:48 p.m.,17,2,2,4,78.0,608.0,686.0,261233.81568926125,1523.229246001523,875.3333333333335,16,16,181.25,gmailchat3,0
4,131.202.240.87-131.202.244.3-61289-53-17,131.202.240.87,61289,131.202.244.3,53,15/04/2015 01:56:53 p.m.,17,2,2,4,74.0,598.0,672.0,220400.13119055427,1311.9055428009185,1016.3333333333333,16,16,177.25,gmailchat3,0
5,131.202.240.87-131.202.244.3-49226-53-17,131.202.240.87,49226,131.202.244.3,53,15/04/2015 01:59:45 p.m.,17,2,2,4,78.0,608.0,686.0,408333.33333333326,2380.952380952381,560.0,16,16,181.25,gmailchat3,0
6,131.202.240.87-131.202.244.3-57565-53-17,131.202.240.87,57565,131.202.244.3,53,15/04/2015 01:55:38 p.m.,17,2,2,4,78.0,608.0,686.0,17021.48776735646,99.2506575356062,13434.0,16,16,181.25,gmailchat3,0
7,131.202.240.87-131.202.244.3-55602-53-17,131.202.240.87,55602,131.202.244.3,53,15/04/2015 01:55:54 p.m.,17,2,2,4,74.0,598.0,672.0,329573.320255027,1961.7459538989701,679.6666666666666,16,16,177.25,gmailchat3,0
8,131.202.240.87-74.125.226.163-57564-443-17,131.202.240.87,57564,74.125.226.163,443,15/04/2015 01:55:31 p.m.,17,5,3,8,2902.0,1825.0,4727.0,64492.80305614298,109.14796370830207,10470.714285714286,40,24,759.625,gmailchat3,0
9,131.202.240.87-131.202.244.3-57558-53-17,131.202.240.87,57558,131.202.244.3,53,15/04/2015 01:55:23 p.m.,17,2,2,4,78.0,608.0,686.0,398605.4619407321,2324.230098779779,573.6666666666666,16,16,181.25,gmailchat3,0
10,131.202.240.87-131.202.244.3-62697-53-17,131.202.240.87,62697,131.202.244.3,53,15/04/2015 01:54:39 p.m.,17,2,2,4,78.0,608.0,686.0,523664.1221374046,3053.435114503817,436.66666666666674,16,16,181.25,gmailchat3,0
11,131.202.240.87-131.202.244.3-63516-53-17,131.202.240.87,63516,131.202.244.3,53,15/04/2015 01:58:16 p.m.,17,1,1,2,33.0,228.0,261.0,583892.6174496644,4474.272930648769,447.0,8,8,147.0,gmailchat3,0
12,131.202.240.87-131.202.244.3-64708-53-17,131.202.240.87,64708,131.202.244.3,53,15/04/2015 02:01:02 p.m.,17,2,2,4,78.0,608.0,686.0,466349.4221617947,2719.2386131883068,490.33333333333326,16,16,181.25,gmailchat3,0
13,131.202.240.87-131.202.6.3-49218-53-17,131.202.240.87,49218,131.202.6.3,53,15/04/2015 01:59:26 p.m.,17,1,1,2,33.0,185.0,218.0,5372.104484967965,49.28536224741252,40580.0,8,8,125.5,gmailchat3,0
14,131.202.240.87-131.202.244.3-53815-53-17,131.202.240.87,53815,131.202.244.3,53,15/04/2015 02:01:53 p.m.,17,2,2,4,66.0,584.0,650.0,259481.03792415172,1596.806387225549,835.0,16,16,170.75,gmailchat3,0
