Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.3-25603-53-17,131.202.240.150,25603,131.202.244.3,53,30/03/2015 10:02:26 a.m.,2,399.0,0
131.202.240.150-131.202.244.3-42821-53-17,131.202.240.150,42821,131.202.244.3,53,30/03/2015 10:03:32 a.m.,2,378.0,0
131.202.240.150-131.202.244.3-49958-53-17,131.202.240.150,49958,131.202.244.3,53,30/03/2015 10:14:00 a.m.,2,378.0,0
131.202.240.150-131.202.244.5-8682-53-17,131.202.240.150,8682,131.202.244.5,53,30/03/2015 10:03:27 a.m.,2,250.0,0
131.202.240.150-216.58.219.238-47715-443-6,131.202.240.150,47715,216.58.219.238,443,30/03/2015 10:10:01 a.m.,2,0.0,0
131.202.240.150-131.202.244.5-43004-53-17,131.202.240.150,43004,131.202.244.5,53,30/03/2015 10:04:57 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-8987-53-17,131.202.240.150,8987,131.202.244.5,53,30/03/2015 10:11:29 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-22020-53-17,131.202.240.150,22020,131.202.244.5,53,30/03/2015 10:03:46 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-47703-53-17,131.202.240.150,47703,131.202.244.5,53,30/03/2015 10:06:33 a.m.,2,218.0,0
173.194.204.189-131.202.240.150-443-44575-6,173.194.204.189,443,131.202.240.150,44575,30/03/2015 10:16:21 a.m.,43,4186.0,0
131.202.240.150-131.202.244.5-39502-53-17,131.202.240.150,39502,131.202.244.5,53,30/03/2015 10:09:05 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-7156-53-17,131.202.240.150,7156,131.202.244.5,53,30/03/2015 10:07:51 a.m.,2,257.0,0
131.202.240.150-131.202.244.3-64583-53-17,131.202.240.150,64583,131.202.244.3,53,30/03/2015 10:10:21 a.m.,2,242.0,0
131.202.240.150-131.202.244.5-61246-53-17,131.202.240.150,61246,131.202.244.5,53,30/03/2015 10:11:46 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-51615-53-17,131.202.240.150,51615,131.202.244.5,53,30/03/2015 10:09:29 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-56390-53-17,131.202.240.150,56390,131.202.244.5,53,30/03/2015 10:08:26 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-10084-53-17,131.202.240.150,10084,131.202.244.5,53,30/03/2015 10:05:28 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-17351-53-17,131.202.240.150,17351,131.202.244.5,53,30/03/2015 10:04:30 a.m.,2,257.0,0
131.202.240.150-131.202.244.5-60535-53-17,131.202.240.150,60535,131.202.244.5,53,30/03/2015 10:10:39 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-42673-53-17,131.202.240.150,42673,131.202.244.5,53,30/03/2015 10:16:31 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-42821-53-17,131.202.240.150,42821,131.202.244.5,53,30/03/2015 10:03:32 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-13029-53-17,131.202.240.150,13029,131.202.244.5,53,30/03/2015 10:04:25 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-16061-53-17,131.202.240.150,16061,131.202.244.5,53,30/03/2015 10:15:38 a.m.,2,245.0,0
131.202.240.150-131.202.244.3-25865-53-17,131.202.240.150,25865,131.202.244.3,53,30/03/2015 10:05:32 a.m.,2,410.0,0
131.202.240.150-131.202.244.3-10084-53-17,131.202.240.150,10084,131.202.244.3,53,30/03/2015 10:05:28 a.m.,2,378.0,0
131.202.240.150-216.58.219.238-47728-443-6,131.202.240.150,47728,216.58.219.238,443,30/03/2015 10:16:26 a.m.,23,3713.0,0
131.202.240.150-131.202.244.5-63293-53-17,131.202.240.150,63293,131.202.244.5,53,30/03/2015 10:16:35 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-60463-53-17,131.202.240.150,60463,131.202.244.5,53,30/03/2015 10:15:00 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-46793-53-17,131.202.240.150,46793,131.202.244.5,53,30/03/2015 10:09:16 a.m.,2,250.0,0
131.202.240.150-131.202.244.3-6579-53-17,131.202.240.150,6579,131.202.244.3,53,30/03/2015 10:13:05 a.m.,2,378.0,0
131.202.240.150-131.202.244.5-33927-53-17,131.202.240.150,33927,131.202.244.5,53,30/03/2015 10:04:37 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-23623-53-17,131.202.240.150,23623,131.202.244.5,53,30/03/2015 10:11:05 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-4993-53-17,131.202.240.150,4993,131.202.244.5,53,30/03/2015 10:13:38 a.m.,2,245.0,0
131.202.240.150-131.202.244.5-28218-53-17,131.202.240.150,28218,131.202.244.5,53,30/03/2015 10:13:09 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-55976-53-17,131.202.240.150,55976,131.202.244.5,53,30/03/2015 10:05:07 a.m.,2,218.0,0
216.58.219.238-131.202.240.150-443-47714-6,216.58.219.238,443,131.202.240.150,47714,30/03/2015 10:06:56 a.m.,3,0.0,0
