Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,30/03/2015 10:15:58 a.m.,9,450.0,0
131.202.240.87-131.202.244.3-60277-53-17,131.202.240.87,60277,131.202.244.3,53,30/03/2015 10:01:38 a.m.,2,280.0,0
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,30/03/2015 10:17:19 a.m.,92,13204.0,0
131.202.240.87-224.0.0.252-59409-5355-17,131.202.240.87,59409,224.0.0.252,5355,30/03/2015 10:07:04 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-65441-53-17,131.202.240.87,65441,131.202.244.3,53,30/03/2015 10:01:38 a.m.,2,239.0,0
131.202.240.87-131.202.244.3-62762-53-17,131.202.240.87,62762,131.202.244.3,53,30/03/2015 10:01:44 a.m.,2,271.0,0
131.202.240.87-131.202.244.5-53232-53-17,131.202.240.87,53232,131.202.244.5,53,30/03/2015 10:15:58 a.m.,2,300.0,0
131.202.240.87-131.202.244.3-53232-53-17,131.202.240.87,53232,131.202.244.3,53,30/03/2015 10:15:58 a.m.,2,300.0,0
131.202.240.87-224.0.0.252-61639-5355-17,131.202.240.87,61639,224.0.0.252,5355,30/03/2015 10:07:04 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-63381-5355-17,131.202.240.87,63381,224.0.0.252,5355,30/03/2015 10:17:07 a.m.,2,44.0,0
173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,30/03/2015 10:16:28 a.m.,49,7469.0,0
131.202.240.87-131.202.244.3-50812-53-17,131.202.240.87,50812,131.202.244.3,53,30/03/2015 10:01:38 a.m.,2,273.0,0
131.202.240.87-131.202.244.3-57614-53-17,131.202.240.87,57614,131.202.244.3,53,30/03/2015 10:15:58 a.m.,2,156.0,0
131.202.240.87-131.202.244.3-63946-53-17,131.202.240.87,63946,131.202.244.3,53,30/03/2015 10:01:38 a.m.,2,416.0,0
131.202.240.87-131.202.244.3-53365-53-17,131.202.240.87,53365,131.202.244.3,53,30/03/2015 10:08:38 a.m.,2,399.0,0
131.202.240.87-131.202.244.3-52544-53-17,131.202.240.87,52544,131.202.244.3,53,30/03/2015 10:03:45 a.m.,2,253.0,0
131.202.240.87-131.202.244.3-65232-53-17,131.202.240.87,65232,131.202.244.3,53,30/03/2015 10:16:00 a.m.,2,300.0,0
131.202.240.87-224.0.0.252-55550-5355-17,131.202.240.87,55550,224.0.0.252,5355,30/03/2015 10:05:36 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-64996-5355-17,131.202.240.87,64996,224.0.0.252,5355,30/03/2015 10:17:19 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-65231-5355-17,131.202.240.87,65231,224.0.0.252,5355,30/03/2015 10:15:58 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-65233-53-17,131.202.240.87,65233,131.202.244.3,53,30/03/2015 10:16:00 a.m.,2,156.0,0
61.247.147.125-131.202.240.87-2709-23-6,61.247.147.125,2709,131.202.240.87,23,30/03/2015 10:13:53 a.m.,2,0.0,0
131.202.240.87-216.58.219.206-52545-443-17,131.202.240.87,52545,216.58.219.206,443,30/03/2015 10:03:45 a.m.,7,4588.0,0
131.202.240.87-131.202.244.3-52077-53-17,131.202.240.87,52077,131.202.244.3,53,30/03/2015 10:05:09 a.m.,2,118.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 10:17:22 a.m.,2,1.0,0
131.202.240.87-224.0.0.252-61823-5355-17,131.202.240.87,61823,224.0.0.252,5355,30/03/2015 10:05:36 a.m.,2,44.0,0
131.202.240.87-131.202.6.3-53232-53-17,131.202.240.87,53232,131.202.6.3,53,30/03/2015 10:15:58 a.m.,2,220.0,0
131.202.240.87-131.202.244.3-59213-53-17,131.202.240.87,59213,131.202.244.3,53,30/03/2015 10:01:38 a.m.,2,241.0,0
131.202.240.87-131.202.6.26-0-0-0,131.202.240.87,0,131.202.6.26,0,30/03/2015 10:14:45 a.m.,6,0.0,0
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,30/03/2015 10:16:38 a.m.,10,930.0,0
131.202.240.87-173.194.76.127-59216-19305-17,131.202.240.87,59216,173.194.76.127,19305,30/03/2015 10:15:39 a.m.,8327,1054523.0,0
131.202.240.87-224.0.0.252-50640-5355-17,131.202.240.87,50640,224.0.0.252,5355,30/03/2015 10:15:58 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-61029-53-17,131.202.240.87,61029,131.202.244.3,53,30/03/2015 10:03:45 a.m.,2,441.0,0
131.202.240.87-216.58.219.206-2632-443-6,131.202.240.87,2632,216.58.219.206,443,30/03/2015 10:17:05 a.m.,27,1152.0,0
131.202.240.87-224.0.0.252-62175-5355-17,131.202.240.87,62175,224.0.0.252,5355,30/03/2015 10:17:07 a.m.,2,44.0,0
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,30/03/2015 10:15:30 a.m.,40,0.0,0
131.202.240.87-131.202.244.3-63479-53-17,131.202.240.87,63479,131.202.244.3,53,30/03/2015 10:15:58 a.m.,2,114.0,0
131.202.240.87-131.202.244.3-63838-53-17,131.202.240.87,63838,131.202.244.3,53,30/03/2015 10:15:58 a.m.,2,114.0,0
131.202.240.87-224.0.0.252-64466-5355-17,131.202.240.87,64466,224.0.0.252,5355,30/03/2015 10:17:19 a.m.,2,44.0,0
131.202.240.87-173.194.123.71-61030-443-17,131.202.240.87,61030,173.194.123.71,443,30/03/2015 10:03:45 a.m.,18,9688.0,0
131.202.240.87-131.202.244.3-54046-53-17,131.202.240.87,54046,131.202.244.3,53,30/03/2015 10:13:39 a.m.,2,250.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,30/03/2015 10:15:47 a.m.,4,0.0,0
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,30/03/2015 10:01:17 a.m.,1083,192693.0,0
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,30/03/2015 10:01:20 a.m.,49,0.0,0
173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,30/03/2015 10:01:17 a.m.,88,18222.0,0
131.202.240.87-74.125.198.94-2621-443-6,131.202.240.87,2621,74.125.198.94,443,30/03/2015 10:01:38 a.m.,81,6690.0,0
131.202.240.87-173.194.76.127-59216-19305-17,131.202.240.87,59216,173.194.76.127,19305,30/03/2015 10:01:39 a.m.,9940,1615402.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 10:01:37 a.m.,6,3.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,30/03/2015 10:01:35 a.m.,4,0.0,0
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,30/03/2015 10:01:38 a.m.,24,13560.0,0
131.202.240.87-173.194.123.117-2565-443-6,131.202.240.87,2565,173.194.123.117,443,30/03/2015 10:01:30 a.m.,20,3905.0,0
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,30/03/2015 10:03:19 a.m.,715,90602.0,0
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,30/03/2015 10:03:29 a.m.,33,0.0,0
131.202.240.87-131.202.6.26-2628-13111-6,131.202.240.87,2628,131.202.6.26,13111,30/03/2015 10:05:38 a.m.,6,4.0,0
131.202.6.26-131.202.240.87-13111-2628-6,131.202.6.26,13111,131.202.240.87,2628,30/03/2015 10:05:38 a.m.,2,0.0,0
131.202.240.87-173.194.76.127-59216-19305-17,131.202.240.87,59216,173.194.76.127,19305,30/03/2015 10:03:39 a.m.,9422,1191682.0,0
131.202.240.87-173.194.123.104-2616-443-6,131.202.240.87,2616,173.194.123.104,443,30/03/2015 10:01:17 a.m.,66,12603.0,0
131.202.240.87-173.194.123.104-2616-443-6,131.202.240.87,2616,173.194.123.104,443,30/03/2015 10:05:41 a.m.,2,55.0,0
131.202.240.87-173.194.123.104-2616-443-6,131.202.240.87,2616,173.194.123.104,443,30/03/2015 10:05:41 a.m.,2,0.0,0
131.202.240.87-173.194.123.107-2619-443-6,131.202.240.87,2619,173.194.123.107,443,30/03/2015 10:01:39 a.m.,41,10722.0,0
131.202.240.87-173.194.123.107-2619-443-6,131.202.240.87,2619,173.194.123.107,443,30/03/2015 10:05:44 a.m.,2,55.0,0
131.202.240.87-173.194.123.107-2619-443-6,131.202.240.87,2619,173.194.123.107,443,30/03/2015 10:05:44 a.m.,2,0.0,0
131.202.240.87-173.194.123.123-2623-443-6,131.202.240.87,2623,173.194.123.123,443,30/03/2015 10:01:44 a.m.,20,2035.0,0
131.202.240.87-173.194.123.123-2623-443-6,131.202.240.87,2623,173.194.123.123,443,30/03/2015 10:05:44 a.m.,2,55.0,0
131.202.240.87-173.194.123.123-2623-443-6,131.202.240.87,2623,173.194.123.123,443,30/03/2015 10:05:44 a.m.,2,0.0,0
173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,30/03/2015 10:03:36 a.m.,22,2857.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,30/03/2015 10:03:52 a.m.,6,3.0,0
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,30/03/2015 10:04:38 a.m.,10,979.0,0
131.202.240.87-173.194.123.117-2565-443-6,131.202.240.87,2565,173.194.123.117,443,30/03/2015 10:04:41 a.m.,10,1481.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,30/03/2015 10:04:32 a.m.,2,0.0,0
