,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,173.194.204.189-131.202.240.150-443-44575-6,173.194.204.189,443,131.202.240.150,44575,30/03/2015 10:43:35 a.m.,6,7,6,13,2694.0,0.0,2694.0,675.5857019583709,3.2600646345429927,332304.24999999994,224,192,241.53846153846158,hangouts_audio2a,0
1,131.202.240.150-173.194.204.189-44575-443-6,131.202.240.150,44575,173.194.204.189,443,30/03/2015 10:43:39 a.m.,6,4,0,4,123.0,0.0,123.0,488095.2380952381,15873.015873015871,84.0,128,0,42.25,hangouts_audio2a,0
2,131.202.240.150-216.58.219.238-47782-443-6,131.202.240.150,47782,216.58.219.238,443,30/03/2015 10:44:25 a.m.,6,1,2,3,46.0,60.0,106.0,4151.002506265664,117.48120300751879,12768.0,32,64,50.66666666666666,hangouts_audio2a,0
3,131.202.240.150-216.58.219.238-47782-443-6,131.202.240.150,47782,216.58.219.238,443,30/03/2015 10:44:25 a.m.,6,3,0,3,77.0,0.0,77.0,675438.5964912281,26315.78947368421,57.0,96,0,41.0,hangouts_audio2a,0
4,131.202.240.150-173.194.123.110-55558-443-6,131.202.240.150,55558,173.194.123.110,443,30/03/2015 10:43:35 a.m.,6,20,23,43,1676.0,1186.0,2862.0,48.20343912842928,0.724230566919098,1413651.3571428573,648,744,66.55813953488372,hangouts_audio2a,0
5,131.202.240.150-173.194.123.110-55558-443-6,131.202.240.150,55558,173.194.123.110,443,30/03/2015 10:44:34 a.m.,6,3,0,3,77.0,0.0,77.0,274021.35231316724,10676.156583629892,140.5,96,0,41.0,hangouts_audio2a,0
6,131.202.240.150-173.194.123.117-49664-443-6,131.202.240.150,49664,173.194.123.117,443,30/03/2015 10:43:36 a.m.,6,5,9,14,240.0,357.0,597.0,10.102073585128446,0.2368995480599636,4545905.999999999,160,288,53.214285714285715,hangouts_audio2a,0
7,131.202.240.150-173.194.123.117-49664-443-6,131.202.240.150,49664,173.194.123.117,443,30/03/2015 10:44:35 a.m.,6,3,0,3,77.0,0.0,77.0,534722.2222222221,20833.33333333333,72.0,96,0,41.0,hangouts_audio2a,0
8,131.202.240.150-216.58.219.225-60399-443-6,131.202.240.150,60399,216.58.219.225,443,30/03/2015 10:43:38 a.m.,6,9,10,19,739.0,345.0,1084.0,18.6533974702758,0.32695069366719565,3228485.444444445,296,328,57.05263157894736,hangouts_audio2a,0
9,131.202.240.150-216.58.219.225-60399-443-6,131.202.240.150,60399,216.58.219.225,443,30/03/2015 10:44:36 a.m.,6,3,0,3,77.0,0.0,77.0,445086.7052023122,17341.040462427743,86.5,96,0,41.0,hangouts_audio2a,0
