Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.0.2.15-74.125.226.183-49470-443-6,10.0.2.15,49470,74.125.226.183,443,2015-04-14 13:47:34,4,56.0,0
10.0.2.15-74.125.226.183-49470-443-6,10.0.2.15,49470,74.125.226.183,443,2015-04-14 13:47:49,2,0.0,0
10.0.2.15-74.125.226.76-49467-443-6,10.0.2.15,49467,74.125.226.76,443,2015-04-14 13:47:37,4,56.0,0
10.0.2.15-74.125.226.76-49467-443-6,10.0.2.15,49467,74.125.226.76,443,2015-04-14 13:47:52,2,0.0,0
10.0.2.15-74.125.226.167-49426-443-6,10.0.2.15,49426,74.125.226.167,443,2015-04-14 13:47:38,4,56.0,0
10.0.2.15-74.125.226.167-49426-443-6,10.0.2.15,49426,74.125.226.167,443,2015-04-14 13:47:53,2,0.0,0
10.0.2.15-173.194.123.123-49475-443-6,10.0.2.15,49475,173.194.123.123,443,2015-04-14 13:47:42,4,56.0,0
10.0.2.15-173.194.123.123-49475-443-6,10.0.2.15,49475,173.194.123.123,443,2015-04-14 13:47:57,2,0.0,0
10.0.2.15-65.52.103.247-49483-443-6,10.0.2.15,49483,65.52.103.247,443,2015-04-14 13:49:12,19,7697.0,0
10.0.2.15-65.52.103.247-49483-443-6,10.0.2.15,49483,65.52.103.247,443,2015-04-14 13:49:12,3,69.0,0
10.0.2.15-65.52.103.247-49484-443-6,10.0.2.15,49484,65.52.103.247,443,2015-04-14 13:49:12,18,7505.0,0
10.0.2.15-65.52.103.247-49484-443-6,10.0.2.15,49484,65.52.103.247,443,2015-04-14 13:49:13,3,69.0,0
173.194.207.127-10.0.2.15-19305-65191-17,173.194.207.127,19305,10.0.2.15,65191,2015-04-14 13:47:28,13589,1483261.0,0
10.0.2.15-74.125.226.164-49420-443-6,10.0.2.15,49420,74.125.226.164,443,2015-04-14 13:47:28,593,150573.0,0
74.125.22.189-10.0.2.15-443-49473-6,74.125.22.189,443,10.0.2.15,49473,2015-04-14 13:47:38,24,3061.0,0
10.0.2.15-173.194.123.98-49421-443-6,10.0.2.15,49421,173.194.123.98,443,2015-04-14 13:47:48,43,15727.0,0
10.0.2.15-173.194.123.118-49423-443-6,10.0.2.15,49423,173.194.123.118,443,2015-04-14 13:47:57,13,1399.0,0
10.0.2.15-64.233.171.188-49419-5228-6,10.0.2.15,49419,64.233.171.188,5228,2015-04-14 13:48:00,6,3.0,0
10.0.2.15-216.58.210.67-49472-443-6,10.0.2.15,49472,216.58.210.67,443,2015-04-14 13:48:06,6,3.0,0
10.0.2.15-173.194.123.105-49482-443-6,10.0.2.15,49482,173.194.123.105,443,2015-04-14 13:48:10,6,3.0,0
10.0.2.15-216.58.210.174-49481-443-6,10.0.2.15,49481,216.58.210.174,443,2015-04-14 13:48:10,6,3.0,0
10.0.2.15-216.58.210.174-49481-443-6,10.0.2.15,49481,216.58.210.174,443,2015-04-14 13:50:25,4,56.0,0
10.0.2.15-216.58.210.174-49481-443-6,10.0.2.15,49481,216.58.210.174,443,2015-04-14 13:51:05,2,0.0,0
10.0.2.15-173.194.123.105-49482-443-6,10.0.2.15,49482,173.194.123.105,443,2015-04-14 13:50:25,4,56.0,0
10.0.2.15-173.194.123.105-49482-443-6,10.0.2.15,49482,173.194.123.105,443,2015-04-14 13:51:05,2,0.0,0
10.0.2.15-74.125.226.164-49420-443-6,10.0.2.15,49420,74.125.226.164,443,2015-04-14 13:49:34,591,168434.0,0
10.0.2.15-173.194.207.127-63026-19305-17,10.0.2.15,63026,173.194.207.127,19305,2015-04-14 13:49:53,12901,1403323.0,0
10.0.2.2-10.0.2.15-0-0-0,10.0.2.2,0,10.0.2.15,0,2015-04-14 13:49:31,8,0.0,0
10.0.2.15-173.194.123.118-49423-443-6,10.0.2.15,49423,173.194.123.118,443,2015-04-14 13:49:57,13,1435.0,0
74.125.22.189-10.0.2.15-443-49473-6,74.125.22.189,443,10.0.2.15,49473,2015-04-14 13:49:45,21,2792.0,0
10.0.2.15-173.194.123.98-49421-443-6,10.0.2.15,49421,173.194.123.98,443,2015-04-14 13:49:53,49,5375.0,0
