Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-50375-5355-17,131.202.240.87,50375,224.0.0.252,5355,29/04/2015 01:31:35 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-64843-5355-17,131.202.240.87,64843,224.0.0.252,5355,29/04/2015 01:28:48 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-58737-5355-17,131.202.240.87,58737,224.0.0.252,5355,29/04/2015 01:21:33 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-63388-5355-17,131.202.240.87,63388,224.0.0.252,5355,29/04/2015 01:26:59 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-51184-5355-17,131.202.240.87,51184,224.0.0.252,5355,29/04/2015 01:22:04 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-65345-5355-17,131.202.240.87,65345,224.0.0.252,5355,29/04/2015 01:27:02 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-56206-5355-17,131.202.240.87,56206,224.0.0.252,5355,29/04/2015 01:26:09 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-57125-5355-17,131.202.240.87,57125,224.0.0.252,5355,29/04/2015 01:27:55 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-52615-5355-17,131.202.240.87,52615,224.0.0.252,5355,29/04/2015 01:22:59 p.m.,2,44.0,0
131.202.240.87-181.41.197.242-13981-123-17,131.202.240.87,13981,181.41.197.242,123,29/04/2015 01:25:28 p.m.,2,96.0,0
131.202.240.87-224.0.0.252-52431-5355-17,131.202.240.87,52431,224.0.0.252,5355,29/04/2015 01:27:02 p.m.,2,44.0,0
131.202.240.87-74.125.226.182-63694-443-17,131.202.240.87,63694,74.125.226.182,443,29/04/2015 01:31:10 p.m.,3,2737.0,0
131.202.240.87-131.202.244.3-50253-53-17,131.202.240.87,50253,131.202.244.3,53,29/04/2015 01:23:18 p.m.,2,273.0,0
131.202.240.87-74.125.226.182-63690-443-17,131.202.240.87,63690,74.125.226.182,443,29/04/2015 01:29:10 p.m.,3,2737.0,0
131.202.240.87-74.125.226.165-63692-443-17,131.202.240.87,63692,74.125.226.165,443,29/04/2015 01:30:57 p.m.,9,4790.0,0
131.202.240.87-74.125.226.168-50487-443-17,131.202.240.87,50487,74.125.226.168,443,29/04/2015 01:20:29 p.m.,10,4808.0,0
131.202.240.87-224.0.0.252-61138-5355-17,131.202.240.87,61138,224.0.0.252,5355,29/04/2015 01:22:59 p.m.,2,44.0,0
74.125.226.162-131.202.240.87-443-65081-6,74.125.226.162,443,131.202.240.87,65081,29/04/2015 01:23:13 p.m.,2,0.0,0
131.202.240.87-131.202.244.3-51556-53-17,131.202.240.87,51556,131.202.244.3,53,29/04/2015 01:26:41 p.m.,2,254.0,0
131.202.240.87-74.125.226.165-60554-443-17,131.202.240.87,60554,74.125.226.165,443,29/04/2015 01:28:08 p.m.,3,2737.0,0
131.202.240.87-224.0.0.252-59943-5355-17,131.202.240.87,59943,224.0.0.252,5355,29/04/2015 01:22:04 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-49690-53-17,131.202.240.87,49690,131.202.244.3,53,29/04/2015 01:25:09 p.m.,2,413.0,0
131.202.240.87-224.0.0.252-60519-5355-17,131.202.240.87,60519,224.0.0.252,5355,29/04/2015 01:26:22 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-58808-53-17,131.202.240.87,58808,131.202.244.3,53,29/04/2015 01:25:35 p.m.,2,156.0,0
131.202.240.87-74.125.226.181-55906-443-17,131.202.240.87,55906,74.125.226.181,443,29/04/2015 01:25:09 p.m.,3,2737.0,0
