Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-03-30 09:57:02,3,150.0,0
131.202.240.87-173.194.123.107-2619-443-6,131.202.240.87,2619,173.194.123.107,443,2015-03-30 10:00:16,23,4961.0,0
131.202.240.87-131.202.244.3-52829-53-17,131.202.240.87,52829,131.202.244.3,53,2015-03-30 09:48:09,2,416.0,0
173.194.123.102-131.202.240.87-443-2559-6,173.194.123.102,443,131.202.240.87,2559,2015-03-30 09:52:12,3,0.0,0
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,2015-03-30 09:58:50,596,80661.0,0
131.202.240.87-131.202.244.3-49878-53-17,131.202.240.87,49878,131.202.244.3,53,2015-03-30 09:48:09,2,306.0,0
131.202.240.87-173.194.123.104-2616-443-6,131.202.240.87,2616,173.194.123.104,443,2015-03-30 10:00:16,25,1231.0,0
131.202.240.87-224.0.0.252-53313-5355-17,131.202.240.87,53313,224.0.0.252,5355,2015-03-30 09:57:02,2,44.0,0
131.202.240.87-131.202.244.3-55976-53-17,131.202.240.87,55976,131.202.244.3,53,2015-03-30 09:56:38,2,399.0,0
131.202.240.87-131.202.244.3-55946-53-17,131.202.240.87,55946,131.202.244.3,53,2015-03-30 09:46:13,2,416.0,0
131.202.240.87-131.202.6.3-62525-53-17,131.202.240.87,62525,131.202.6.3,53,2015-03-30 09:48:09,2,273.0,0
131.202.240.87-131.202.244.3-62074-53-17,131.202.240.87,62074,131.202.244.3,53,2015-03-30 09:48:09,2,399.0,0
131.202.240.87-131.202.6.3-60046-53-17,131.202.240.87,60046,131.202.6.3,53,2015-03-30 10:00:16,2,306.0,0
173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,2015-03-30 09:58:28,54,9519.0,0
131.202.240.87-131.202.244.3-53773-53-17,131.202.240.87,53773,131.202.244.3,53,2015-03-30 10:00:16,2,410.0,0
131.202.240.87-224.0.0.252-58015-5355-17,131.202.240.87,58015,224.0.0.252,5355,2015-03-30 09:47:00,2,44.0,0
131.202.240.87-173.194.207.127-61322-19305-17,131.202.240.87,61322,173.194.207.127,19305,2015-03-30 09:46:41,36705,27596387.0,0
131.202.240.87-224.0.0.252-62325-5355-17,131.202.240.87,62325,224.0.0.252,5355,2015-03-30 09:47:00,2,44.0,0
131.202.240.87-173.194.76.127-62527-19305-17,131.202.240.87,62527,173.194.76.127,19305,2015-03-30 10:00:11,1663,1247148.0,0
131.202.240.87-131.202.244.3-57583-53-17,131.202.240.87,57583,131.202.244.3,53,2015-03-30 09:46:46,2,271.0,0
131.202.240.87-173.194.123.117-2565-443-6,131.202.240.87,2565,173.194.123.117,443,2015-03-30 09:58:20,10,1470.0,0
131.202.240.87-131.202.244.3-62525-53-17,131.202.240.87,62525,131.202.244.3,53,2015-03-30 09:48:09,2,273.0,0
131.202.240.87-131.202.244.3-65115-53-17,131.202.240.87,65115,131.202.244.3,53,2015-03-30 09:57:02,2,114.0,0
131.202.240.87-131.202.244.5-62525-53-17,131.202.240.87,62525,131.202.244.5,53,2015-03-30 09:48:09,2,225.0,0
131.202.240.87-131.202.244.3-64159-53-17,131.202.240.87,64159,131.202.244.3,53,2015-03-30 09:57:02,2,114.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,2015-03-30 09:58:23,10,53.0,0
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,2015-03-30 09:56:38,20,1876.0,0
131.202.240.87-131.202.6.26-0-0-0,131.202.240.87,0,131.202.6.26,0,2015-03-30 09:58:24,2,0.0,0
131.202.240.87-131.202.244.3-60110-53-17,131.202.240.87,60110,131.202.244.3,53,2015-03-30 09:48:09,2,310.0,0
131.202.240.87-224.0.0.252-49985-5355-17,131.202.240.87,49985,224.0.0.252,5355,2015-03-30 09:57:02,2,44.0,0
131.202.240.87-131.202.244.5-60046-53-17,131.202.240.87,60046,131.202.244.5,53,2015-03-30 10:00:16,2,274.0,0
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,2015-03-30 09:59:13,22,0.0,0
131.202.240.87-131.202.244.3-60046-53-17,131.202.240.87,60046,131.202.244.3,53,2015-03-30 10:00:16,2,306.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-03-30 10:00:01,2,0.0,0
131.202.240.87-216.58.219.238-0-0-0,131.202.240.87,0,216.58.219.238,0,2015-03-30 09:45:38,6,0.0,0
131.202.240.87-131.202.244.3-61316-53-17,131.202.240.87,61316,131.202.244.3,53,2015-03-30 09:46:13,2,280.0,0
131.202.240.87-64.233.164.94-0-0-0,131.202.240.87,0,64.233.164.94,0,2015-03-30 09:46:42,2,0.0,0
209.148.205.10-131.202.240.87-443-2595-6,209.148.205.10,443,131.202.240.87,2595,2015-03-30 09:44:43,6,68.0,0
24.156.140.72-131.202.240.87-443-2597-6,24.156.140.72,443,131.202.240.87,2597,2015-03-30 09:44:45,4,68.0,0
131.202.240.87-24.156.140.72-2597-443-6,131.202.240.87,2597,24.156.140.72,443,2015-03-30 09:44:45,2,0.0,0
31.13.73.7-131.202.240.87-443-2601-6,31.13.73.7,443,131.202.240.87,2601,2015-03-30 09:44:51,4,76.0,0
131.202.240.87-31.13.73.7-2601-443-6,131.202.240.87,2601,31.13.73.7,443,2015-03-30 09:44:51,2,0.0,0
173.252.100.27-131.202.240.87-443-2309-6,173.252.100.27,443,131.202.240.87,2309,2015-03-30 09:44:52,4,76.0,0
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,2015-03-30 09:44:52,2,0.0,0
173.194.123.121-131.202.240.87-443-2563-6,173.194.123.121,443,131.202.240.87,2563,2015-03-30 09:46:23,2,55.0,0
131.202.240.87-173.194.123.121-2563-443-6,131.202.240.87,2563,173.194.123.121,443,2015-03-30 09:46:23,2,0.0,0
74.125.226.49-131.202.240.87-80-2561-6,74.125.226.49,80,131.202.240.87,2561,2015-03-30 09:46:23,3,0.0,0
173.194.123.102-131.202.240.87-443-2557-6,173.194.123.102,443,131.202.240.87,2557,2015-03-30 09:46:32,2,55.0,0
131.202.240.87-173.194.123.102-2557-443-6,131.202.240.87,2557,173.194.123.102,443,2015-03-30 09:46:32,2,0.0,0
74.125.226.175-131.202.240.87-80-2567-6,74.125.226.175,80,131.202.240.87,2567,2015-03-30 09:46:23,3,0.0,0
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,2015-03-30 09:44:45,1567,423346.0,0
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,2015-03-30 09:44:49,61,0.0,0
173.194.204.189-131.202.240.87-443-2579-6,173.194.204.189,443,131.202.240.87,2579,2015-03-30 09:44:53,159,37288.0,0
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,2015-03-30 09:44:52,6,3.0,0
216.58.219.227-131.202.240.87-443-2569-6,216.58.219.227,443,131.202.240.87,2569,2015-03-30 09:47:22,2,55.0,0
131.202.240.87-216.58.219.227-2569-443-6,131.202.240.87,2569,216.58.219.227,443,2015-03-30 09:47:22,2,0.0,0
