Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.5-31591-53-17,131.202.240.150,31591,131.202.244.5,53,30/03/2015 10:36:56 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-49535-53-17,131.202.240.150,49535,131.202.244.5,53,30/03/2015 10:39:31 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-40080-53-17,131.202.240.150,40080,131.202.244.5,53,30/03/2015 10:23:27 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-28551-53-17,131.202.240.150,28551,131.202.244.5,53,30/03/2015 10:25:23 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-49112-53-17,131.202.240.150,49112,131.202.244.5,53,30/03/2015 10:26:31 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-4152-53-17,131.202.240.150,4152,131.202.244.5,53,30/03/2015 10:36:11 a.m.,2,250.0,0
131.202.240.150-131.202.244.3-11848-53-17,131.202.240.150,11848,131.202.244.3,53,30/03/2015 10:18:51 a.m.,2,410.0,0
131.202.240.150-131.202.244.5-34067-53-17,131.202.240.150,34067,131.202.244.5,53,30/03/2015 10:26:32 a.m.,2,257.0,0
131.202.240.150-131.202.244.3-14255-53-17,131.202.240.150,14255,131.202.244.3,53,30/03/2015 10:18:57 a.m.,2,378.0,0
131.202.240.150-131.202.244.5-34528-53-17,131.202.240.150,34528,131.202.244.5,53,30/03/2015 10:27:59 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-12018-53-17,131.202.240.150,12018,131.202.244.5,53,30/03/2015 10:31:24 a.m.,2,250.0,0
131.202.240.150-131.202.244.3-26737-53-17,131.202.240.150,26737,131.202.244.3,53,30/03/2015 10:36:35 a.m.,2,257.0,0
131.202.240.150-131.202.244.5-24867-53-17,131.202.240.150,24867,131.202.244.5,53,30/03/2015 10:34:32 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-5219-53-17,131.202.240.150,5219,131.202.244.5,53,30/03/2015 10:22:52 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-51336-53-17,131.202.240.150,51336,131.202.244.5,53,30/03/2015 10:31:01 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-59737-53-17,131.202.240.150,59737,131.202.244.5,53,30/03/2015 10:26:00 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-4680-53-17,131.202.240.150,4680,131.202.244.5,53,30/03/2015 10:29:00 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-32340-53-17,131.202.240.150,32340,131.202.244.5,53,30/03/2015 10:33:25 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-18705-53-17,131.202.240.150,18705,131.202.244.5,53,30/03/2015 10:36:02 a.m.,2,218.0,0
131.202.240.150-131.202.244.3-31511-53-17,131.202.240.150,31511,131.202.244.3,53,30/03/2015 10:40:31 a.m.,2,378.0,0
131.202.240.150-131.202.244.3-16087-53-17,131.202.240.150,16087,131.202.244.3,53,30/03/2015 10:36:30 a.m.,2,378.0,0
131.202.240.150-131.202.6.3-63605-53-17,131.202.240.150,63605,131.202.6.3,53,30/03/2015 10:29:21 a.m.,2,410.0,0
131.202.240.150-131.202.244.3-34067-53-17,131.202.240.150,34067,131.202.244.3,53,30/03/2015 10:26:32 a.m.,2,417.0,0
131.202.240.150-131.202.244.5-45559-53-17,131.202.240.150,45559,131.202.244.5,53,30/03/2015 10:32:46 a.m.,2,135.0,0
173.194.123.118-131.202.240.150-443-45395-6,173.194.123.118,443,131.202.240.150,45395,30/03/2015 10:22:38 a.m.,3,0.0,0
131.202.240.150-131.202.244.5-39912-53-17,131.202.240.150,39912,131.202.244.5,53,30/03/2015 10:32:59 a.m.,2,218.0,0
173.194.204.189-131.202.240.150-443-44575-6,173.194.204.189,443,131.202.240.150,44575,30/03/2015 10:40:21 a.m.,58,8455.0,0
131.202.240.150-131.202.244.5-27435-53-17,131.202.240.150,27435,131.202.244.5,53,30/03/2015 10:27:59 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-3272-53-17,131.202.240.150,3272,131.202.244.5,53,30/03/2015 10:35:25 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-14086-53-17,131.202.240.150,14086,131.202.244.5,53,30/03/2015 10:40:57 a.m.,2,218.0,0
131.202.240.150-131.202.244.5-32924-53-17,131.202.240.150,32924,131.202.244.5,53,30/03/2015 10:39:11 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-3349-53-17,131.202.240.150,3349,131.202.244.5,53,30/03/2015 10:36:55 a.m.,2,250.0,0
131.202.240.150-131.202.244.5-38584-53-17,131.202.240.150,38584,131.202.244.5,53,30/03/2015 10:34:25 a.m.,2,218.0,0
