Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,29/04/2015 12:35:57 p.m.,15,750.0,0
131.202.240.87-224.0.0.252-63345-5355-17,131.202.240.87,63345,224.0.0.252,5355,29/04/2015 12:33:47 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-54247-53-17,131.202.240.87,54247,131.202.244.3,53,29/04/2015 12:35:04 p.m.,2,549.0,0
131.202.240.87-224.0.0.252-50114-5355-17,131.202.240.87,50114,224.0.0.252,5355,29/04/2015 12:32:47 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-62917-5355-17,131.202.240.87,62917,224.0.0.252,5355,29/04/2015 12:35:57 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-54096-5355-17,131.202.240.87,54096,224.0.0.252,5355,29/04/2015 12:36:50 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-62130-53-17,131.202.240.87,62130,131.202.244.3,53,29/04/2015 12:31:53 p.m.,2,114.0,0
131.202.240.87-224.0.0.252-55151-5355-17,131.202.240.87,55151,224.0.0.252,5355,29/04/2015 12:32:47 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-61689-5355-17,131.202.240.87,61689,224.0.0.252,5355,29/04/2015 12:33:47 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-60842-5355-17,131.202.240.87,60842,224.0.0.252,5355,29/04/2015 12:36:05 p.m.,2,44.0,0
131.202.240.87-178.237.19.228-42534-443-6,131.202.240.87,42534,178.237.19.228,443,29/04/2015 12:35:08 p.m.,2,6.0,0
131.202.240.87-224.0.0.252-59398-5355-17,131.202.240.87,59398,224.0.0.252,5355,29/04/2015 12:26:08 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-62528-5355-17,131.202.240.87,62528,224.0.0.252,5355,29/04/2015 12:36:50 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-50351-5355-17,131.202.240.87,50351,224.0.0.252,5355,29/04/2015 12:27:42 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-56738-5355-17,131.202.240.87,56738,224.0.0.252,5355,29/04/2015 12:28:30 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-57947-5355-17,131.202.240.87,57947,224.0.0.252,5355,29/04/2015 12:27:42 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-13970-53-17,131.202.240.87,13970,131.202.244.3,53,29/04/2015 12:35:27 p.m.,2,512.0,0
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,29/04/2015 12:36:28 p.m.,42,2749.0,0
131.202.240.87-224.0.0.252-57197-5355-17,131.202.240.87,57197,224.0.0.252,5355,29/04/2015 12:36:06 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-52100-5355-17,131.202.240.87,52100,224.0.0.252,5355,29/04/2015 12:26:04 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-58638-5355-17,131.202.240.87,58638,224.0.0.252,5355,29/04/2015 12:31:21 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-65038-5355-17,131.202.240.87,65038,224.0.0.252,5355,29/04/2015 12:26:04 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-13968-53-17,131.202.240.87,13968,131.202.244.3,53,29/04/2015 12:25:27 p.m.,2,544.0,0
131.202.240.87-224.0.0.252-54225-5355-17,131.202.240.87,54225,224.0.0.252,5355,29/04/2015 12:26:08 p.m.,2,44.0,0
131.202.240.87-64.12.27.65-64334-443-6,131.202.240.87,64334,64.12.27.65,443,29/04/2015 12:32:02 p.m.,3,6.0,0
131.202.240.87-224.0.0.252-49472-5355-17,131.202.240.87,49472,224.0.0.252,5355,29/04/2015 12:28:27 p.m.,2,38.0,0
131.202.240.87-224.0.0.252-62458-5355-17,131.202.240.87,62458,224.0.0.252,5355,29/04/2015 12:26:48 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-63025-5355-17,131.202.240.87,63025,224.0.0.252,5355,29/04/2015 12:31:21 p.m.,2,44.0,0
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,29/04/2015 12:35:35 p.m.,4,211.0,0
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,29/04/2015 12:36:02 p.m.,5,148.0,0
131.202.240.87-224.0.0.252-62794-5355-17,131.202.240.87,62794,224.0.0.252,5355,29/04/2015 12:26:02 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-63881-5355-17,131.202.240.87,63881,224.0.0.252,5355,29/04/2015 12:31:53 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-60222-5355-17,131.202.240.87,60222,224.0.0.252,5355,29/04/2015 12:31:53 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-54247-5355-17,131.202.240.87,54247,224.0.0.252,5355,29/04/2015 12:25:55 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-61275-5355-17,131.202.240.87,61275,224.0.0.252,5355,29/04/2015 12:28:30 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-57752-5355-17,131.202.240.87,57752,224.0.0.252,5355,29/04/2015 12:36:10 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-55914-5355-17,131.202.240.87,55914,224.0.0.252,5355,29/04/2015 12:36:05 p.m.,2,44.0,0
131.202.240.87-157.7.235.92-13971-123-17,131.202.240.87,13971,157.7.235.92,123,29/04/2015 12:35:27 p.m.,2,96.0,0
131.202.240.87-198.55.111.50-13969-123-17,131.202.240.87,13969,198.55.111.50,123,29/04/2015 12:25:27 p.m.,2,96.0,0
131.202.240.87-224.0.0.252-52788-5355-17,131.202.240.87,52788,224.0.0.252,5355,29/04/2015 12:26:02 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-51138-5355-17,131.202.240.87,51138,224.0.0.252,5355,29/04/2015 12:36:10 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-52465-5355-17,131.202.240.87,52465,224.0.0.252,5355,29/04/2015 12:36:06 p.m.,2,44.0,0
131.202.240.87-131.202.244.3-57574-53-17,131.202.240.87,57574,131.202.244.3,53,29/04/2015 12:28:29 p.m.,2,327.0,0
95.129.128.131-131.202.240.87-80-64587-6,95.129.128.131,80,131.202.240.87,64587,29/04/2015 12:30:20 p.m.,2,0.0,0
131.202.240.87-131.202.244.3-64225-53-17,131.202.240.87,64225,131.202.244.3,53,29/04/2015 12:28:27 p.m.,2,108.0,0
131.202.240.87-131.202.244.5-57574-53-17,131.202.240.87,57574,131.202.244.5,53,29/04/2015 12:28:29 p.m.,2,327.0,0
131.202.240.87-205.188.12.91-42522-443-6,131.202.240.87,42522,205.188.12.91,443,29/04/2015 12:36:02 p.m.,5,106.0,0
131.202.240.87-131.202.244.3-50683-53-17,131.202.240.87,50683,131.202.244.3,53,29/04/2015 12:31:53 p.m.,2,114.0,0
131.202.240.87-224.0.0.252-54789-5355-17,131.202.240.87,54789,224.0.0.252,5355,29/04/2015 12:25:55 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-62249-5355-17,131.202.240.87,62249,224.0.0.252,5355,29/04/2015 12:26:48 p.m.,2,44.0,0
65.55.163.222-131.202.240.87-443-64591-6,65.55.163.222,443,131.202.240.87,64591,29/04/2015 12:35:04 p.m.,2,0.0,0
131.202.240.87-131.202.244.3-59187-53-17,131.202.240.87,59187,131.202.244.3,53,29/04/2015 12:35:04 p.m.,2,545.0,0
