,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,131.202.240.150-209.148.205.32-39787-80-6,131.202.240.150,39787,209.148.205.32,80,01/04/2015 01:51:08 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873530582157291,15025962.0,64,64,0.0,netflix1,0
1,131.202.240.150-74.125.22.156-57895-443-6,131.202.240.150,57895,74.125.22.156,443,01/04/2015 01:51:12 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,52.17164471109952,38335.0,32,32,0.0,netflix1,0
2,131.202.240.150-131.202.244.3-48278-53-17,131.202.240.150,48278,131.202.244.3,53,01/04/2015 01:48:35 p.m.,17,1,1,2,41.0,337.0,378.0,3553.1658896074596,18.79981952173259,106384.0,8,8,209.5,netflix1,0
3,131.202.240.150-209.148.205.8-58310-80-6,131.202.240.150,58310,209.148.205.8,80,01/04/2015 01:51:00 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873630779359677,15025792.333333332,64,64,0.0,netflix1,0
4,131.202.240.150-209.148.205.8-58324-80-6,131.202.240.150,58324,209.148.205.8,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873620739852328,15025809.333333332,64,64,0.0,netflix1,0
5,131.202.240.150-209.148.205.33-41097-80-6,131.202.240.150,41097,209.148.205.33,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873616802796823,15025816.0,64,64,0.0,netflix1,0
6,131.202.240.150-23.195.206.176-39696-443-6,131.202.240.150,39696,23.195.206.176,443,01/04/2015 01:50:56 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872181781955088,15028246.333333332,64,64,0.0,netflix1,0
7,131.202.240.150-209.148.205.32-39811-80-6,131.202.240.150,39811,209.148.205.32,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873623298940278,15025805.0,64,64,0.0,netflix1,0
8,131.202.240.150-23.195.206.176-39686-443-6,131.202.240.150,39686,23.195.206.176,443,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872167416379599,15028270.666666668,64,64,0.0,netflix1,0
9,131.202.240.150-209.148.205.8-58338-80-6,131.202.240.150,58338,209.148.205.8,80,01/04/2015 01:51:08 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872733612698745,15027311.666666668,64,64,0.0,netflix1,0
10,131.202.240.150-209.148.205.8-58339-80-6,131.202.240.150,58339,209.148.205.8,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873612275187309,15025823.666666668,64,64,0.0,netflix1,0
11,131.202.240.150-64.233.171.95-35273-443-6,131.202.240.150,35273,64.233.171.95,443,01/04/2015 01:48:39 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,50.625221485344,39506.0,32,32,0.0,netflix1,0
12,131.202.240.150-131.202.244.3-62364-53-17,131.202.240.150,62364,131.202.244.3,53,01/04/2015 01:52:15 p.m.,17,1,1,2,41.0,337.0,378.0,2512.028496238603,13.291156064754512,150476.0,8,8,209.5,netflix1,0
13,131.202.240.150-209.148.205.32-39826-80-6,131.202.240.150,39826,209.148.205.32,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873618968176916,15025812.333333332,64,64,0.0,netflix1,0
14,131.202.240.150-184.73.252.179-39085-80-6,131.202.240.150,39085,184.73.252.179,80,01/04/2015 01:52:15 p.m.,6,44,42,86,4492.0,113874.0,118366.0,41112.89565161817,29.87098513119615,33871.152941176464,1416,1352,1376.3488372093025,netflix1,0
15,131.202.240.150-131.202.244.3-61666-53-17,131.202.240.150,61666,131.202.244.3,53,01/04/2015 01:48:34 p.m.,17,1,1,2,44.0,437.0,481.0,3957.772785992282,16.45643570059161,121533.0,8,8,262.5,netflix1,0
16,131.202.240.150-131.202.244.5-61666-53-17,131.202.240.150,61666,131.202.244.5,53,01/04/2015 01:48:34 p.m.,17,1,1,2,44.0,437.0,481.0,4251.294833041664,17.676901592688832,113142.0,8,8,262.5,netflix1,0
17,131.202.240.150-209.148.205.32-39824-80-6,131.202.240.150,39824,209.148.205.32,80,01/04/2015 01:51:00 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873679599248657,15025709.666666668,64,64,0.0,netflix1,0
18,131.202.240.150-23.195.213.206-41223-443-6,131.202.240.150,41223,23.195.213.206,443,01/04/2015 01:50:56 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08871999165499757,15028555.666666668,64,64,0.0,netflix1,0
19,131.202.240.150-209.148.205.8-58325-80-6,131.202.240.150,58325,209.148.205.8,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873620936705194,15025809.0,64,64,0.0,netflix1,0
20,131.202.240.150-209.148.205.41-43572-80-6,131.202.240.150,43572,209.148.205.41,80,01/04/2015 01:50:58 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873505188726699,15026005.0,64,64,0.0,netflix1,0
21,131.202.240.150-108.175.42.181-58287-80-6,131.202.240.150,58287,108.175.42.181,80,01/04/2015 01:50:36 p.m.,6,5932,6863,12795,20689.0,27104254.0,27124943.0,282910.59153354925,133.4506405662037,7493.992965452569,194420,219616,2120.0164908167253,netflix1,0
22,131.202.240.150-209.148.205.32-39790-80-6,131.202.240.150,39790,209.148.205.32,80,01/04/2015 01:51:10 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873666016241738,15025732.666666668,64,64,0.0,netflix1,0
23,131.202.240.150-23.45.39.131-43049-80-6,131.202.240.150,43049,23.45.39.131,80,01/04/2015 01:50:58 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08870451556767575,15031177.666666668,64,64,0.0,netflix1,0
24,131.202.240.150-173.194.123.123-53315-443-6,131.202.240.150,53315,173.194.123.123,443,01/04/2015 01:52:00 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.68444957966453,25099.0,32,32,0.0,netflix1,0
25,131.202.240.150-131.202.244.5-20637-53-17,131.202.240.150,20637,131.202.244.5,53,01/04/2015 01:52:15 p.m.,17,1,1,2,33.0,313.0,346.0,1949.2738109993127,11.267478676296607,177502.0,8,8,189.5,netflix1,0
26,131.202.240.150-209.148.205.32-39813-80-6,131.202.240.150,39813,209.148.205.32,80,01/04/2015 01:51:10 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873679205537725,15025710.333333332,64,64,0.0,netflix1,0
27,131.202.240.150-23.195.206.176-39693-443-6,131.202.240.150,39693,23.195.206.176,443,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872163677401829,15028277.0,64,64,0.0,netflix1,0
28,131.202.240.150-209.148.205.33-41096-80-6,131.202.240.150,41096,209.148.205.33,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873620149293779,15025810.333333332,64,64,0.0,netflix1,0
29,131.202.240.150-23.195.206.176-39694-443-6,131.202.240.150,39694,23.195.206.176,443,01/04/2015 01:51:06 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872150099035378,15028300.0,64,64,0.0,netflix1,0
30,131.202.240.150-131.202.244.3-20637-53-17,131.202.240.150,20637,131.202.244.3,53,01/04/2015 01:52:15 p.m.,17,1,1,2,33.0,313.0,346.0,1648.8674758507632,9.531025871969732,209841.0,8,8,189.5,netflix1,0
31,131.202.240.150-23.195.213.206-41227-443-6,131.202.240.150,41227,23.195.213.206,443,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08871999362280686,15028555.333333332,64,64,0.0,netflix1,0
32,131.202.240.150-209.148.205.8-58297-80-6,131.202.240.150,58297,209.148.205.8,80,01/04/2015 01:51:10 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873671331326449,15025723.666666668,64,64,0.0,netflix1,0
33,131.202.240.150-107.21.242.214-52203-443-6,131.202.240.150,52203,107.21.242.214,443,01/04/2015 01:52:15 p.m.,6,10,8,18,344.0,4573.0,4917.0,21746.62986944061,79.6093832926441,13300.235294117643,328,264,273.1666666666667,netflix1,0
34,131.202.240.150-209.148.205.16-44144-80-6,131.202.240.150,44144,209.148.205.16,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873589243506108,15025862.666666668,64,64,0.0,netflix1,0
35,131.202.240.150-209.148.205.32-39822-80-6,131.202.240.150,39822,209.148.205.32,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873622905234345,15025805.666666668,64,64,0.0,netflix1,0
36,131.202.240.150-209.148.205.33-41087-80-6,131.202.240.150,41087,209.148.205.33,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873666016241738,15025732.666666668,64,64,0.0,netflix1,0
37,131.202.240.150-209.148.205.33-41094-80-6,131.202.240.150,41094,209.148.205.33,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873615621680851,15025818.0,64,64,0.0,netflix1,0
38,131.202.240.150-131.202.244.3-18504-53-17,131.202.240.150,18504,131.202.244.3,53,01/04/2015 01:48:34 p.m.,17,1,1,2,38.0,445.0,483.0,4409.992330448121,18.2608378072386,109524.0,8,8,260.5,netflix1,0
39,131.202.240.150-209.148.205.40-44727-80-6,131.202.240.150,44727,209.148.205.40,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873644165404816,15025769.666666668,64,64,0.0,netflix1,0
40,131.202.240.150-23.195.206.176-39695-443-6,131.202.240.150,39695,23.195.206.176,443,01/04/2015 01:50:56 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.0887217528792205,15028257.333333332,64,64,0.0,netflix1,0
41,131.202.240.150-209.148.205.32-39794-80-6,131.202.240.150,39794,209.148.205.32,80,01/04/2015 01:51:00 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873675268430341,15025717.0,64,64,0.0,netflix1,0
42,131.202.240.150-209.148.205.32-39797-80-6,131.202.240.150,39797,209.148.205.32,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873623692646249,15025804.333333332,64,64,0.0,netflix1,0
43,131.202.240.150-209.148.205.41-43574-80-6,131.202.240.150,43574,209.148.205.41,80,01/04/2015 01:50:58 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873498889603625,15026015.666666668,64,64,0.0,netflix1,0
44,131.202.240.150-216.58.219.195-47640-443-6,131.202.240.150,47640,216.58.219.195,443,01/04/2015 01:51:09 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,75.17101405697963,26606.0,32,32,0.0,netflix1,0
45,131.202.240.150-209.148.205.41-43558-80-6,131.202.240.150,43558,209.148.205.41,80,01/04/2015 01:51:06 p.m.,6,15,14,29,425.0,15385.0,15810.0,231.09588519086262,0.4238950455746373,2443327.1785714286,480,448,545.1724137931035,netflix1,0
46,131.202.240.150-23.195.213.206-41233-443-6,131.202.240.150,41233,23.195.213.206,443,01/04/2015 01:50:56 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08872756246309488,15027273.333333332,64,64,0.0,netflix1,0
47,131.202.240.150-23.195.206.176-47385-80-6,131.202.240.150,47385,23.195.206.176,80,01/04/2015 01:50:49 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08871452738533181,15029481.333333332,64,64,0.0,netflix1,0
48,131.202.240.150-131.202.244.3-35956-53-17,131.202.240.150,35956,131.202.244.3,53,01/04/2015 01:48:37 p.m.,17,1,1,2,37.0,443.0,480.0,2618.115175250085,10.908813230208686,183338.0,8,8,258.5,netflix1,0
49,131.202.240.150-131.202.244.3-30927-53-17,131.202.240.150,30927,131.202.244.3,53,01/04/2015 01:48:37 p.m.,17,1,1,2,33.0,411.0,444.0,3318.1624554402174,14.946677727208185,133809.0,8,8,238.5,netflix1,0
50,131.202.240.150-209.148.205.8-58312-80-6,131.202.240.150,58312,209.148.205.8,80,01/04/2015 01:51:11 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873620739852328,15025809.333333332,64,64,0.0,netflix1,0
51,131.202.240.150-209.148.205.8-58315-80-6,131.202.240.150,58315,209.148.205.8,80,01/04/2015 01:51:10 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873523692452454,15025973.666666668,64,64,0.0,netflix1,0
52,131.202.240.150-131.202.244.3-40755-53-17,131.202.240.150,40755,131.202.244.3,53,01/04/2015 01:48:37 p.m.,17,1,1,2,38.0,445.0,483.0,10642.751691161891,44.06936518079457,45383.0,8,8,260.5,netflix1,0
53,131.202.240.150-209.148.205.8-58337-80-6,131.202.240.150,58337,209.148.205.8,80,01/04/2015 01:51:10 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873669165920797,15025727.333333332,64,64,0.0,netflix1,0
54,131.202.240.150-209.148.205.24-56431-80-6,131.202.240.150,56431,209.148.205.24,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873651645859396,15025757.0,64,64,0.0,netflix1,0
55,131.202.240.150-173.194.123.109-32790-443-6,131.202.240.150,32790,173.194.123.109,443,01/04/2015 01:52:00 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,79.54500258521259,25143.0,32,32,0.0,netflix1,0
56,131.202.240.150-209.148.205.24-56432-80-6,131.202.240.150,56432,209.148.205.24,80,01/04/2015 01:50:53 p.m.,6,2,2,4,0.0,0.0,0.0,0.0,0.08873651252150945,15025757.666666668,64,64,0.0,netflix1,0
