Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-209.148.205.33-41097-80-6,131.202.240.150,41097,209.148.205.33,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-131.202.6.3-2904-53-17,131.202.240.150,2904,131.202.6.3,53,2015-01-04 13:57:01,2,314.0,0
23.195.206.176-131.202.240.150-80-47385-6,23.195.206.176,80,131.202.240.150,47385,2015-01-04 13:53:37,2,0.0,0
131.202.240.150-184.73.217.161-42051-443-6,131.202.240.150,42051,184.73.217.161,443,2015-01-04 13:57:43,16,5216.0,0
131.202.240.150-131.202.244.5-2904-53-17,131.202.240.150,2904,131.202.244.5,53,2015-01-04 13:57:01,2,378.0,0
131.202.240.150-209.148.205.33-41096-80-6,131.202.240.150,41096,209.148.205.33,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-216.58.219.227-52586-443-6,131.202.240.150,52586,216.58.219.227,443,2015-01-04 13:56:40,2,0.0,0
131.202.240.150-209.148.205.16-44144-80-6,131.202.240.150,44144,209.148.205.16,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-209.148.205.33-41087-80-6,131.202.240.150,41087,209.148.205.33,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-209.148.205.33-41094-80-6,131.202.240.150,41094,209.148.205.33,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-131.202.6.3-28755-53-17,131.202.240.150,28755,131.202.6.3,53,2015-01-04 13:57:43,2,282.0,0
131.202.240.150-54.225.69.109-33240-80-6,131.202.240.150,33240,54.225.69.109,80,2015-01-04 13:57:43,8,2472.0,0
131.202.240.150-131.202.244.3-28755-53-17,131.202.240.150,28755,131.202.244.3,53,2015-01-04 13:57:43,2,346.0,0
23.195.206.176-131.202.240.150-80-47384-6,23.195.206.176,80,131.202.240.150,47384,2015-01-04 13:53:37,2,0.0,0
131.202.240.150-131.202.244.5-28755-53-17,131.202.240.150,28755,131.202.244.5,53,2015-01-04 13:57:43,2,346.0,0
131.202.240.150-209.148.205.24-56431-80-6,131.202.240.150,56431,209.148.205.24,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-209.148.205.24-56432-80-6,131.202.240.150,56432,209.148.205.24,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-216.58.219.238-48865-443-6,131.202.240.150,48865,216.58.219.238,443,2015-01-04 13:57:08,2,0.0,0
131.202.240.150-209.148.205.24-56433-80-6,131.202.240.150,56433,209.148.205.24,80,2015-01-04 13:56:01,6,0.0,0
131.202.240.150-184.73.217.161-42050-443-6,131.202.240.150,42050,184.73.217.161,443,2015-01-04 13:57:01,63,64420.0,0
209.148.205.41-131.202.240.150-80-43558-6,209.148.205.41,80,131.202.240.150,43558,2015-01-04 13:57:17,2,0.0,0
131.202.240.150-131.202.244.3-2904-53-17,131.202.240.150,2904,131.202.244.3,53,2015-01-04 13:57:01,2,378.0,0
131.202.240.150-23.21.242.53-443-59722-6,131.202.240.150,443,23.21.242.53,59722,2015-01-04 13:57:01,4,0.0,0
209.148.205.41-131.202.240.150-80-43561-6,209.148.205.41,80,131.202.240.150,43561,2015-01-04 13:57:17,2,0.0,0
