Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-173.194.123.119-54318-443-6,131.202.240.150,54318,173.194.123.119,443,2015-01-04 14:11:41,1,1,0.0,0.0,0
131.202.240.150-131.202.244.3-10538-53-17,131.202.240.150,10538,131.202.244.3,53,2015-01-04 14:12:14,1,1,41.0,337.0,0
131.202.240.150-131.202.6.3-18054-53-17,131.202.240.150,18054,131.202.6.3,53,2015-01-04 14:06:12,1,1,38.0,429.0,0
209.148.205.8-131.202.240.150-80-58429-6,209.148.205.8,80,131.202.240.150,58429,2015-01-04 14:10:50,1,1,0.0,0.0,0
209.148.205.8-131.202.240.150-80-58440-6,209.148.205.8,80,131.202.240.150,58440,2015-01-04 14:10:50,1,1,0.0,0.0,0
209.148.205.32-131.202.240.150-80-39923-6,209.148.205.32,80,131.202.240.150,39923,2015-01-04 14:10:50,1,1,0.0,0.0,0
108.175.43.161-131.202.240.150-80-57196-6,108.175.43.161,80,131.202.240.150,57196,2015-01-04 14:13:12,5,5,8028.0,0.0,0
209.148.205.8-131.202.240.150-80-58451-6,209.148.205.8,80,131.202.240.150,58451,2015-01-04 14:10:50,1,1,0.0,0.0,0
131.202.240.150-131.202.6.3-61876-53-17,131.202.240.150,61876,131.202.6.3,53,2015-01-04 14:06:12,1,1,36.0,432.0,0
101.226.77.16-131.202.240.150-0-0-0,101.226.77.16,0,131.202.240.150,0,2015-01-04 14:06:47,1,1,0.0,0.0,0
131.202.240.150-54.225.175.202-43897-443-6,131.202.240.150,43897,54.225.175.202,443,2015-01-04 14:12:14,29,22,29490.0,14396.0,0
209.148.205.32-131.202.240.150-80-39941-6,209.148.205.32,80,131.202.240.150,39941,2015-01-04 14:10:50,1,1,0.0,0.0,0
209.148.205.8-131.202.240.150-80-58447-6,209.148.205.8,80,131.202.240.150,58447,2015-01-04 14:10:50,1,1,0.0,0.0,0
131.202.240.150-54.225.69.109-33328-80-6,131.202.240.150,33328,54.225.69.109,80,2015-01-04 14:13:12,5,3,2472.0,0.0,0
203.205.148.12-131.202.240.150-0-0-0,203.205.148.12,0,131.202.240.150,0,2015-01-04 14:07:15,1,1,0.0,0.0,0
131.202.240.150-131.202.244.5-3904-53-17,131.202.240.150,3904,131.202.244.5,53,2015-01-04 14:07:40,1,1,33.0,192.0,0
182.254.5.12-131.202.240.150-0-0-0,182.254.5.12,0,131.202.240.150,0,2015-01-04 14:06:48,1,1,0.0,0.0,0
209.148.205.8-131.202.240.150-80-58443-6,209.148.205.8,80,131.202.240.150,58443,2015-01-04 14:10:50,1,1,0.0,0.0,0
131.202.240.150-184.72.231.78-443-36074-6,131.202.240.150,443,184.72.231.78,36074,2015-01-04 14:10:14,5,0,0.0,0.0,0
209.148.205.8-131.202.240.150-80-58435-6,209.148.205.8,80,131.202.240.150,58435,2015-01-04 14:10:50,1,1,0.0,0.0,0
131.202.240.150-131.202.244.3-3904-53-17,131.202.240.150,3904,131.202.244.3,53,2015-01-04 14:07:40,1,1,33.0,240.0,0
