Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.242.93-224.0.0.252-64780-5355-17,131.202.242.93,64780,224.0.0.252,5355,2015-04-15 11:18:34,2,44.0,0
131.202.243.9-224.0.0.252-58021-5355-17,131.202.243.9,58021,224.0.0.252,5355,2015-04-15 11:25:35,2,44.0,0
131.202.243.49-224.0.0.252-49869-5355-17,131.202.243.49,49869,224.0.0.252,5355,2015-04-15 11:16:43,2,44.0,0
131.202.240.101-131.202.6.3-16307-53-17,131.202.240.101,16307,131.202.6.3,53,2015-04-15 11:20:00,2,215.0,0
131.202.242.93-224.0.0.252-58325-5355-17,131.202.242.93,58325,224.0.0.252,5355,2015-04-15 11:17:45,2,44.0,0
131.202.243.49-224.0.0.252-50187-5355-17,131.202.243.49,50187,224.0.0.252,5355,2015-04-15 11:23:49,2,44.0,0
131.202.243.9-224.0.0.252-59425-5355-17,131.202.243.9,59425,224.0.0.252,5355,2015-04-15 11:18:18,2,44.0,0
131.202.242.93-224.0.0.252-57861-5355-17,131.202.242.93,57861,224.0.0.252,5355,2015-04-15 11:17:37,4,88.0,0
131.202.243.49-224.0.0.252-55275-5355-17,131.202.243.49,55275,224.0.0.252,5355,2015-04-15 11:19:19,2,44.0,0
131.202.243.9-224.0.0.252-62987-5355-17,131.202.243.9,62987,224.0.0.252,5355,2015-04-15 11:24:00,2,44.0,0
131.202.240.185-224.0.0.252-56938-5355-17,131.202.240.185,56938,224.0.0.252,5355,2015-04-15 11:20:36,2,44.0,0
131.202.240.185-224.0.0.252-58287-5355-17,131.202.240.185,58287,224.0.0.252,5355,2015-04-15 11:23:31,2,44.0,0
162.208.20.162-131.202.240.101-80-41936-6,162.208.20.162,80,131.202.240.101,41936,2015-04-15 11:24:26,2,0.0,0
131.202.240.101-131.202.6.3-62472-53-17,131.202.240.101,62472,131.202.6.3,53,2015-04-15 11:23:07,2,196.0,0
131.202.243.9-224.0.0.252-59970-5355-17,131.202.243.9,59970,224.0.0.252,5355,2015-04-15 11:16:57,2,44.0,0
131.202.240.101-131.202.6.3-55469-53-17,131.202.240.101,55469,131.202.6.3,53,2015-04-15 11:22:06,2,508.0,0
131.202.240.101-131.202.6.3-6449-53-17,131.202.240.101,6449,131.202.6.3,53,2015-04-15 11:17:19,2,118.0,0
131.202.243.9-224.0.0.252-53820-5355-17,131.202.243.9,53820,224.0.0.252,5355,2015-04-15 11:20:33,2,44.0,0
131.202.243.9-224.0.0.252-50149-5355-17,131.202.243.9,50149,224.0.0.252,5355,2015-04-15 11:20:36,2,44.0,0
131.202.240.185-224.0.0.252-63571-5355-17,131.202.240.185,63571,224.0.0.252,5355,2015-04-15 11:24:41,2,44.0,0
131.202.240.101-131.202.244.5-55265-53-17,131.202.240.101,55265,131.202.244.5,53,2015-04-15 11:24:47,2,218.0,0
131.202.243.9-224.0.0.252-52702-5355-17,131.202.243.9,52702,224.0.0.252,5355,2015-04-15 11:20:51,2,44.0,0
131.202.240.90-224.0.0.252-56663-5355-17,131.202.240.90,56663,224.0.0.252,5355,2015-04-15 11:20:55,2,44.0,0
131.202.240.185-224.0.0.252-60896-5355-17,131.202.240.185,60896,224.0.0.252,5355,2015-04-15 11:25:21,2,44.0,0
131.202.243.9-224.0.0.252-63700-5355-17,131.202.243.9,63700,224.0.0.252,5355,2015-04-15 11:18:44,2,44.0,0
131.202.240.90-224.0.0.252-59198-5355-17,131.202.240.90,59198,224.0.0.252,5355,2015-04-15 11:24:49,2,44.0,0
131.202.242.190-224.0.0.252-60440-5355-17,131.202.242.190,60440,224.0.0.252,5355,2015-04-15 11:25:15,2,44.0,0
131.202.240.185-224.0.0.252-50228-5355-17,131.202.240.185,50228,224.0.0.252,5355,2015-04-15 11:22:11,2,44.0,0
131.202.243.49-224.0.0.252-51840-5355-17,131.202.243.49,51840,224.0.0.252,5355,2015-04-15 11:25:41,2,44.0,0
131.202.242.93-224.0.0.252-53782-5355-17,131.202.242.93,53782,224.0.0.252,5355,2015-04-15 11:17:32,2,44.0,0
131.202.240.90-224.0.0.252-52257-5355-17,131.202.240.90,52257,224.0.0.252,5355,2015-04-15 11:17:16,2,44.0,0
131.202.240.185-224.0.0.252-52464-5355-17,131.202.240.185,52464,224.0.0.252,5355,2015-04-15 11:22:55,2,44.0,0
131.202.243.9-224.0.0.252-61256-5355-17,131.202.243.9,61256,224.0.0.252,5355,2015-04-15 11:19:16,2,44.0,0
131.202.243.9-224.0.0.252-65469-5355-17,131.202.243.9,65469,224.0.0.252,5355,2015-04-15 11:20:42,2,44.0,0
131.202.240.101-131.202.6.3-56872-53-17,131.202.240.101,56872,131.202.6.3,53,2015-04-15 11:21:04,2,207.0,0
131.202.240.101-69.16.175.10-44457-80-6,131.202.240.101,44457,69.16.175.10,80,2015-04-15 11:18:47,3,0.0,0
131.202.243.9-224.0.0.252-57843-5355-17,131.202.243.9,57843,224.0.0.252,5355,2015-04-15 11:21:24,2,44.0,0
131.202.240.185-224.0.0.252-59162-5355-17,131.202.240.185,59162,224.0.0.252,5355,2015-04-15 11:24:04,2,44.0,0
131.202.240.185-224.0.0.252-52330-5355-17,131.202.240.185,52330,224.0.0.252,5355,2015-04-15 11:18:37,2,44.0,0
