Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.5-32438-53-17,131.202.240.150,32438,131.202.244.5,53,2015-02-04 08:21:03,2,120.0,0
131.202.240.150-131.202.244.5-19959-53-17,131.202.240.150,19959,131.202.244.5,53,2015-02-04 08:21:03,2,198.0,0
131.202.240.150-131.202.244.5-40607-53-17,131.202.240.150,40607,131.202.244.5,53,2015-02-04 08:21:03,2,233.0,0
131.202.240.150-131.202.244.5-49388-53-17,131.202.240.150,49388,131.202.244.5,53,2015-02-04 08:21:03,2,198.0,0
131.202.240.150-131.202.244.5-30298-53-17,131.202.240.150,30298,131.202.244.5,53,2015-02-04 08:21:03,2,120.0,0
131.202.240.150-131.202.244.5-14519-53-17,131.202.240.150,14519,131.202.244.5,53,2015-02-04 08:21:03,2,233.0,0
131.202.240.150-131.202.244.5-5081-53-17,131.202.240.150,5081,131.202.244.5,53,2015-02-04 08:21:03,2,120.0,0
131.202.240.150-131.202.244.5-42543-53-17,131.202.240.150,42543,131.202.244.5,53,2015-02-04 08:21:03,2,198.0,0
131.202.240.150-131.202.244.5-7115-53-17,131.202.240.150,7115,131.202.244.5,53,2015-02-04 08:21:03,2,198.0,0
131.202.240.150-216.58.219.206-59050-443-6,131.202.240.150,59050,216.58.219.206,443,2015-02-04 08:21:11,2,0.0,0
131.202.240.150-131.202.244.5-35117-53-17,131.202.240.150,35117,131.202.244.5,53,2015-02-04 08:21:03,2,233.0,0
131.202.240.150-131.202.244.5-34327-53-17,131.202.240.150,34327,131.202.244.5,53,2015-02-04 08:21:03,2,198.0,0
131.202.240.150-131.202.244.5-22174-53-17,131.202.240.150,22174,131.202.244.5,53,2015-02-04 08:21:03,2,120.0,0
131.202.240.150-131.202.244.5-50114-53-17,131.202.240.150,50114,131.202.244.5,53,2015-02-04 08:21:03,2,233.0,0
131.202.240.150-131.202.244.5-46281-53-17,131.202.240.150,46281,131.202.244.5,53,2015-02-04 08:21:03,2,120.0,0
131.202.240.150-131.202.240.72-44488-22-6,131.202.240.150,44488,131.202.240.72,22,2015-02-04 08:21:03,84985,375705174.0,0
131.202.240.72-131.202.240.150-22-44488-6,131.202.240.72,22,131.202.240.150,44488,2015-02-04 08:21:11,2,0.0,0
