Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-131.202.6.3-19363-53-17,131.202.240.150,19363,131.202.6.3,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-30212-53-17,131.202.240.150,30212,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-13223-53-17,131.202.240.150,13223,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-51766-53-17,131.202.240.150,51766,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-33625-53-17,131.202.240.150,33625,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-54667-53-17,131.202.240.150,54667,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,85.0,0
131.202.240.150-131.202.244.5-29376-53-17,131.202.240.150,29376,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,85.0,0
131.202.240.150-131.202.244.5-23125-53-17,131.202.240.150,23125,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,85.0,0
131.202.240.150-131.202.244.3-19363-53-17,131.202.240.150,19363,131.202.244.3,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-9818-53-17,131.202.240.150,9818,131.202.244.5,53,2015-02-04 08:21:44,1,1,45.0,188.0,0
131.202.240.150-131.202.244.5-30767-53-17,131.202.240.150,30767,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,85.0,0
131.202.240.150-131.202.244.5-48939-53-17,131.202.240.150,48939,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,85.0,0
131.202.240.150-131.202.244.5-30801-53-17,131.202.240.150,30801,131.202.244.5,53,2015-02-04 08:21:44,1,1,45.0,188.0,0
131.202.240.150-131.202.244.5-37631-53-17,131.202.240.150,37631,131.202.244.5,53,2015-02-04 08:21:44,1,1,45.0,188.0,0
131.202.240.150-131.202.244.5-19363-53-17,131.202.240.150,19363,131.202.244.5,53,2015-02-04 08:21:44,1,1,35.0,163.0,0
131.202.240.150-131.202.244.5-22050-53-17,131.202.240.150,22050,131.202.244.5,53,2015-02-04 08:21:44,1,1,45.0,188.0,0
131.202.240.150-131.202.240.72-44489-22-6,131.202.240.150,44489,131.202.240.72,22,2015-02-04 08:21:44,42112,40793,164321.0,403928725.0,0
131.202.240.72-131.202.240.150-22-44489-6,131.202.240.72,22,131.202.240.150,44489,2015-02-04 08:21:53,2,0,0.0,0.0,0
