Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.3-42073-53-17,131.202.240.150,42073,131.202.244.3,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-58863-53-17,131.202.240.150,58863,131.202.244.5,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-64906-53-17,131.202.240.150,64906,131.202.244.5,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-28496-53-17,131.202.240.150,28496,131.202.244.5,53,2015-02-04 08:18:37,2,233.0,0
131.202.240.150-131.202.244.5-39286-53-17,131.202.240.150,39286,131.202.244.5,53,2015-02-04 08:18:37,2,120.0,0
131.202.240.150-131.202.244.5-39935-53-17,131.202.240.150,39935,131.202.244.5,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-31305-53-17,131.202.240.150,31305,131.202.244.5,53,2015-02-04 08:18:37,2,120.0,0
131.202.240.150-131.202.244.5-31537-53-17,131.202.240.150,31537,131.202.244.5,53,2015-02-04 08:18:37,2,233.0,0
131.202.240.150-131.202.244.5-53800-53-17,131.202.240.150,53800,131.202.244.5,53,2015-02-04 08:18:37,2,120.0,0
131.202.240.150-131.202.244.5-14618-53-17,131.202.240.150,14618,131.202.244.5,53,2015-02-04 08:18:37,2,120.0,0
131.202.240.150-131.202.244.5-14741-53-17,131.202.240.150,14741,131.202.244.5,53,2015-02-04 08:18:37,2,233.0,0
131.202.240.150-131.202.244.5-45895-53-17,131.202.240.150,45895,131.202.244.5,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-10956-53-17,131.202.240.150,10956,131.202.244.5,53,2015-02-04 08:18:37,2,120.0,0
131.202.240.150-131.202.6.3-42073-53-17,131.202.240.150,42073,131.202.6.3,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.244.5-31932-53-17,131.202.240.150,31932,131.202.244.5,53,2015-02-04 08:18:37,2,233.0,0
131.202.240.150-131.202.244.5-42073-53-17,131.202.240.150,42073,131.202.244.5,53,2015-02-04 08:18:37,2,198.0,0
131.202.240.150-131.202.240.72-44483-22-6,131.202.240.150,44483,131.202.240.72,22,2015-02-04 08:18:37,56472,375380022.0,0
131.202.240.72-131.202.240.150-22-44483-6,131.202.240.72,22,131.202.240.150,44483,2015-02-04 08:18:45,2,0.0,0
