Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.240.242-42134-22-6,131.202.240.87,42134,131.202.240.242,22,04/05/2015 12:21:15 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42137-22-6,131.202.240.87,42137,131.202.240.242,22,04/05/2015 12:21:42 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42129-22-6,131.202.240.87,42129,131.202.240.242,22,04/05/2015 12:20:44 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42138-22-6,131.202.240.87,42138,131.202.240.242,22,04/05/2015 12:21:47 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42130-22-6,131.202.240.87,42130,131.202.240.242,22,04/05/2015 12:20:49 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42132-22-6,131.202.240.87,42132,131.202.240.242,22,04/05/2015 12:21:05 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42135-22-6,131.202.240.87,42135,131.202.240.242,22,04/05/2015 12:21:20 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42140-22-6,131.202.240.87,42140,131.202.240.242,22,04/05/2015 12:22:03 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42128-22-6,131.202.240.87,42128,131.202.240.242,22,04/05/2015 12:20:36 p.m.,95800,86738497.0,0
131.202.240.87-131.202.240.242-42133-22-6,131.202.240.87,42133,131.202.240.242,22,04/05/2015 12:21:10 p.m.,5,43.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,04/05/2015 12:21:24 p.m.,3,0.0,0
131.202.240.87-131.202.240.242-42136-22-6,131.202.240.87,42136,131.202.240.242,22,04/05/2015 12:21:25 p.m.,5,43.0,0
131.202.240.87-77.72.169.135-25921-11113-17,131.202.240.87,25921,77.72.169.135,11113,04/05/2015 12:21:44 p.m.,4,211.0,0
131.202.240.87-131.202.240.242-42139-22-6,131.202.240.87,42139,131.202.240.242,22,04/05/2015 12:21:58 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-42131-22-6,131.202.240.87,42131,131.202.240.242,22,04/05/2015 12:21:00 p.m.,5,43.0,0
