Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-60084-5355-17,131.202.240.87,60084,224.0.0.252,5355,04/05/2015 02:14:28 p.m.,2,44.0,0
131.202.240.87-131.202.240.242-38038-22-6,131.202.240.87,38038,131.202.240.242,22,04/05/2015 02:14:31 p.m.,5,43.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,04/05/2015 02:14:21 p.m.,12,600.0,0
131.202.240.87-131.202.240.242-38040-22-6,131.202.240.87,38040,131.202.240.242,22,04/05/2015 02:14:41 p.m.,5,43.0,0
131.202.240.87-224.0.0.252-51220-5355-17,131.202.240.87,51220,224.0.0.252,5355,04/05/2015 02:14:28 p.m.,2,44.0,0
131.202.240.87-131.202.240.242-38043-22-6,131.202.240.87,38043,131.202.240.242,22,04/05/2015 02:14:56 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38046-22-6,131.202.240.87,38046,131.202.240.242,22,04/05/2015 02:15:06 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38049-22-6,131.202.240.87,38049,131.202.240.242,22,04/05/2015 02:15:21 p.m.,5,43.0,0
131.202.240.87-224.0.0.252-54106-5355-17,131.202.240.87,54106,224.0.0.252,5355,04/05/2015 02:14:38 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-50566-5355-17,131.202.240.87,50566,224.0.0.252,5355,04/05/2015 02:14:21 p.m.,2,44.0,0
131.202.240.87-131.202.240.242-38042-22-6,131.202.240.87,38042,131.202.240.242,22,04/05/2015 02:14:51 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38048-22-6,131.202.240.87,38048,131.202.240.242,22,04/05/2015 02:15:16 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38034-22-6,131.202.240.87,38034,131.202.240.242,22,04/05/2015 02:14:20 p.m.,5,43.0,0
131.202.240.87-224.0.0.252-61544-5355-17,131.202.240.87,61544,224.0.0.252,5355,04/05/2015 02:14:38 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-62479-5355-17,131.202.240.87,62479,224.0.0.252,5355,04/05/2015 02:14:38 p.m.,2,44.0,0
131.202.240.87-131.202.240.242-38047-22-6,131.202.240.87,38047,131.202.240.242,22,04/05/2015 02:15:11 p.m.,5,43.0,0
131.202.240.87-77.72.169.145-36267-443-6,131.202.240.87,36267,77.72.169.145,443,04/05/2015 02:14:13 p.m.,63,1035.0,0
131.202.240.87-131.202.240.242-38044-22-6,131.202.240.87,38044,131.202.240.242,22,04/05/2015 02:15:01 p.m.,5,43.0,0
131.202.240.87-224.0.0.252-52325-5355-17,131.202.240.87,52325,224.0.0.252,5355,04/05/2015 02:14:38 p.m.,2,44.0,0
131.202.240.87-224.0.0.252-53640-5355-17,131.202.240.87,53640,224.0.0.252,5355,04/05/2015 02:14:21 p.m.,2,44.0,0
131.202.240.87-131.202.240.242-38036-22-6,131.202.240.87,38036,131.202.240.242,22,04/05/2015 02:14:26 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38039-22-6,131.202.240.87,38039,131.202.240.242,22,04/05/2015 02:14:36 p.m.,5,43.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,04/05/2015 02:14:20 p.m.,2,0.0,0
131.202.240.87-131.202.240.242-38041-22-6,131.202.240.87,38041,131.202.240.242,22,04/05/2015 02:14:46 p.m.,5,43.0,0
131.202.240.87-131.202.240.242-38033-22-6,131.202.240.87,38033,131.202.240.242,22,04/05/2015 02:14:15 p.m.,107045,88295568.0,0
131.202.240.87-131.202.6.26-38035-13111-6,131.202.240.87,38035,131.202.6.26,13111,04/05/2015 02:14:23 p.m.,7,312.0,0
131.202.6.26-131.202.240.87-13111-38035-6,131.202.6.26,13111,131.202.240.87,38035,04/05/2015 02:14:23 p.m.,2,0.0,0
131.202.240.87-131.202.6.26-38037-13111-6,131.202.240.87,38037,131.202.6.26,13111,04/05/2015 02:14:27 p.m.,7,312.0,0
131.202.6.26-131.202.240.87-13111-38037-6,131.202.6.26,13111,131.202.240.87,38037,04/05/2015 02:14:27 p.m.,2,0.0,0
131.202.240.87-131.202.6.26-38045-13111-6,131.202.240.87,38045,131.202.6.26,13111,04/05/2015 02:15:05 p.m.,7,312.0,0
131.202.6.26-131.202.240.87-13111-38045-6,131.202.6.26,13111,131.202.240.87,38045,04/05/2015 02:15:05 p.m.,2,0.0,0
