Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.240.242-42134-22-6,131.202.240.87,42134,131.202.240.242,22,2015-04-05 12:21:23,5,43.0,0
131.202.240.242-224.0.0.252-57510-5355-17,131.202.240.242,57510,224.0.0.252,5355,2015-04-05 12:22:37,2,44.0,0
131.202.240.87-131.202.240.242-42137-22-6,131.202.240.87,42137,131.202.240.242,22,2015-04-05 12:21:50,5,43.0,0
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,2015-04-05 12:21:09,32,2768.0,0
131.202.240.87-131.202.240.242-42129-22-6,131.202.240.87,42129,131.202.240.242,22,2015-04-05 12:20:52,5,43.0,0
131.202.240.242-224.0.0.252-57603-5355-17,131.202.240.242,57603,224.0.0.252,5355,2015-04-05 12:20:54,2,44.0,0
131.202.240.242-77.72.169.130-15647-11113-17,131.202.240.242,15647,77.72.169.130,11113,2015-04-05 12:21:08,12,633.0,0
131.202.240.242-224.0.0.252-51304-5355-17,131.202.240.242,51304,224.0.0.252,5355,2015-04-05 12:22:39,2,44.0,0
131.202.240.242-224.0.0.252-55895-5355-17,131.202.240.242,55895,224.0.0.252,5355,2015-04-05 12:22:37,2,44.0,0
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,2015-04-05 12:20:54,21,1050.0,0
131.202.240.242-224.0.0.252-53965-5355-17,131.202.240.242,53965,224.0.0.252,5355,2015-04-05 12:21:00,2,44.0,0
131.202.240.242-224.0.0.252-62509-5355-17,131.202.240.242,62509,224.0.0.252,5355,2015-04-05 12:21:52,2,44.0,0
131.202.240.87-131.202.240.242-42131-22-6,131.202.240.87,42131,131.202.240.242,22,2015-04-05 12:21:08,5,43.0,0
131.202.240.242-224.0.0.252-50899-5355-17,131.202.240.242,50899,224.0.0.252,5355,2015-04-05 12:21:35,2,44.0,0
131.202.240.242-224.0.0.252-52678-5355-17,131.202.240.242,52678,224.0.0.252,5355,2015-04-05 12:21:35,2,44.0,0
131.202.240.242-131.202.240.87-0-0-0,131.202.240.242,0,131.202.240.87,0,2015-04-05 12:21:06,68,0.0,0
131.202.240.242-224.0.0.252-49172-5355-17,131.202.240.242,49172,224.0.0.252,5355,2015-04-05 12:21:52,2,44.0,0
131.202.240.87-131.202.240.242-42138-22-6,131.202.240.87,42138,131.202.240.242,22,2015-04-05 12:21:55,5,43.0,0
131.202.240.87-131.202.240.242-42130-22-6,131.202.240.87,42130,131.202.240.242,22,2015-04-05 12:20:57,5,43.0,0
131.202.240.87-131.202.240.242-42132-22-6,131.202.240.87,42132,131.202.240.242,22,2015-04-05 12:21:13,5,43.0,0
131.202.240.242-224.0.0.252-52646-5355-17,131.202.240.242,52646,224.0.0.252,5355,2015-04-05 12:21:00,2,44.0,0
131.202.240.87-131.202.240.242-42135-22-6,131.202.240.87,42135,131.202.240.242,22,2015-04-05 12:21:28,5,43.0,0
131.202.240.242-224.0.0.252-58402-5355-17,131.202.240.242,58402,224.0.0.252,5355,2015-04-05 12:21:37,2,44.0,0
131.202.240.87-131.202.240.242-42140-22-6,131.202.240.87,42140,131.202.240.242,22,2015-04-05 12:22:11,5,43.0,0
131.202.240.87-131.202.240.242-42128-22-6,131.202.240.87,42128,131.202.240.242,22,2015-04-05 12:20:44,95534,86510257.0,0
131.202.240.242-224.0.0.252-63669-5355-17,131.202.240.242,63669,224.0.0.252,5355,2015-04-05 12:20:54,2,44.0,0
131.202.240.87-131.202.240.242-42133-22-6,131.202.240.87,42133,131.202.240.242,22,2015-04-05 12:21:18,5,43.0,0
131.202.240.242-224.0.0.252-65006-5355-17,131.202.240.242,65006,224.0.0.252,5355,2015-04-05 12:21:37,2,44.0,0
131.202.240.242-224.0.0.252-56959-5355-17,131.202.240.242,56959,224.0.0.252,5355,2015-04-05 12:22:39,2,44.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-05 12:20:44,6,0.0,0
131.202.240.87-131.202.240.242-42136-22-6,131.202.240.87,42136,131.202.240.242,22,2015-04-05 12:21:33,5,43.0,0
131.202.240.87-131.202.240.242-42139-22-6,131.202.240.87,42139,131.202.240.242,22,2015-04-05 12:22:06,5,43.0,0
131.202.240.242-131.202.6.26-50031-13111-6,131.202.240.242,50031,131.202.6.26,13111,2015-04-05 12:21:50,7,312.0,0
131.202.6.26-131.202.240.242-13111-50031-6,131.202.6.26,13111,131.202.240.242,50031,2015-04-05 12:21:50,2,0.0,0
131.202.240.242-131.202.6.26-50032-13111-6,131.202.240.242,50032,131.202.6.26,13111,2015-04-05 12:22:08,7,312.0,0
131.202.6.26-131.202.240.242-13111-50032-6,131.202.6.26,13111,131.202.240.242,50032,2015-04-05 12:22:08,2,0.0,0
