Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.86-23.32.171.120-2064-443-6,131.202.240.86,2064,23.32.171.120,443,31/03/2015 02:06:13 p.m.,71,35654.0,0
173.194.123.124-131.202.240.86-443-2113-6,173.194.123.124,443,131.202.240.86,2113,31/03/2015 02:13:57 p.m.,2,0.0,0
162.17.58.49-131.202.240.86-27603-49624-17,162.17.58.49,27603,131.202.240.86,49624,31/03/2015 02:16:07 p.m.,2,44.0,0
47.62.93.148-131.202.240.86-53071-49624-6,47.62.93.148,53071,131.202.240.86,49624,31/03/2015 02:09:51 p.m.,2,0.0,0
97.107.172.132-131.202.240.86-52626-49624-17,97.107.172.132,52626,131.202.240.86,49624,31/03/2015 02:12:51 p.m.,2,44.0,0
131.202.240.86-187.115.122.194-443-26969-6,131.202.240.86,443,187.115.122.194,26969,31/03/2015 02:14:03 p.m.,4,0.0,0
131.202.240.86-131.202.244.3-53313-53-17,131.202.240.86,53313,131.202.244.3,53,31/03/2015 02:06:34 p.m.,2,193.0,0
50.151.107.253-131.202.240.86-6907-49624-17,50.151.107.253,6907,131.202.240.86,49624,31/03/2015 02:13:09 p.m.,6,132.0,0
209.148.205.26-131.202.240.86-80-2120-6,209.148.205.26,80,131.202.240.86,2120,31/03/2015 02:13:57 p.m.,2,0.0,0
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,31/03/2015 02:13:17 p.m.,3,415.0,0
91.190.218.17-131.202.240.86-443-2094-6,91.190.218.17,443,131.202.240.86,2094,31/03/2015 02:08:20 p.m.,2,0.0,0
76.94.123.10-131.202.240.86-28086-49624-17,76.94.123.10,28086,131.202.240.86,49624,31/03/2015 02:06:16 p.m.,2,44.0,0
131.202.240.86-54.183.74.146-2137-443-6,131.202.240.86,2137,54.183.74.146,443,31/03/2015 02:16:44 p.m.,2,0.0,0
131.202.240.86-209.148.205.26-2145-80-6,131.202.240.86,2145,209.148.205.26,80,31/03/2015 02:16:44 p.m.,10,1473.0,0
5.0.181.99-131.202.240.86-44872-49624-17,5.0.181.99,44872,131.202.240.86,49624,31/03/2015 02:11:47 p.m.,2,44.0,0
115.143.95.134-131.202.240.86-6606-49624-17,115.143.95.134,6606,131.202.240.86,49624,31/03/2015 02:13:07 p.m.,2,44.0,0
131.202.240.86-131.202.244.3-53638-53-17,131.202.240.86,53638,131.202.244.3,53,31/03/2015 02:06:13 p.m.,2,458.0,0
80.187.96.69-131.202.240.86-28396-49624-17,80.187.96.69,28396,131.202.240.86,49624,31/03/2015 02:12:57 p.m.,2,44.0,0
108.171.102.133-131.202.240.86-44942-49624-17,108.171.102.133,44942,131.202.240.86,49624,31/03/2015 02:10:49 p.m.,10,220.0,0
131.202.240.86-131.202.244.3-57439-53-17,131.202.240.86,57439,131.202.244.3,53,31/03/2015 02:06:13 p.m.,2,528.0,0
131.202.240.86-131.202.244.3-59473-53-17,131.202.240.86,59473,131.202.244.3,53,31/03/2015 02:06:44 p.m.,2,277.0,0
