Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
162.17.58.49-131.202.240.86-27603-49624-17,162.17.58.49,27603,131.202.240.86,49624,2015-03-31 14:29:45,1,1,22.0,22.0,0
109.192.50.129-131.202.240.86-28151-49624-17,109.192.50.129,28151,131.202.240.86,49624,2015-03-31 14:27:31,1,1,18.0,26.0,0
12.251.243.118-131.202.240.86-58948-49624-17,12.251.243.118,58948,131.202.240.86,49624,2015-03-31 14:28:06,1,1,18.0,26.0,0
131.202.240.86-54.183.74.146-2200-443-6,131.202.240.86,2200,54.183.74.146,443,2015-03-31 14:30:55,2,0,0.0,0.0,0
131.202.240.86-23.96.89.49-2224-443-6,131.202.240.86,2224,23.96.89.49,443,2015-03-31 14:30:56,30,14,27930.0,5307.0,0
131.202.240.86-54.183.74.146-2155-443-6,131.202.240.86,2155,54.183.74.146,443,2015-03-31 14:26:33,2,0,0.0,0.0,0
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,2015-03-31 14:28:17,2,1,213.0,202.0,0
131.202.240.86-173.241.242.220-2198-443-6,131.202.240.86,2198,173.241.242.220,443,2015-03-31 14:26:32,1,1,0.0,0.0,0
78.242.10.199-131.202.240.86-57404-49624-17,78.242.10.199,57404,131.202.240.86,49624,2015-03-31 14:29:15,1,1,18.0,26.0,0
131.202.240.86-131.202.244.3-56909-53-17,131.202.240.86,56909,131.202.244.3,53,2015-03-31 14:21:23,1,1,41.0,175.0,0
131.202.240.86-131.202.244.3-56960-53-17,131.202.240.86,56960,131.202.244.3,53,2015-03-31 14:30:55,1,1,40.0,410.0,0
62.235.155.227-131.202.240.86-46519-49624-17,62.235.155.227,46519,131.202.240.86,49624,2015-03-31 14:24:06,4,1,79.0,22.0,0
91.38.201.87-131.202.240.86-25785-49624-17,91.38.201.87,25785,131.202.240.86,49624,2015-03-31 14:29:43,1,1,18.0,26.0,0
148.87.19.206-131.202.240.86-23684-443-6,148.87.19.206,23684,131.202.240.86,443,2015-03-31 14:22:42,2,0,0.0,0.0,0
80.187.97.83-131.202.240.86-2655-49624-17,80.187.97.83,2655,131.202.240.86,49624,2015-03-31 14:30:14,1,1,18.0,26.0,0
173.241.242.220-131.202.240.86-443-2216-6,173.241.242.220,443,131.202.240.86,2216,2015-03-31 14:31:00,2,1,23.0,0.0,0
131.202.240.86-131.202.240.150-49624-49876-6,131.202.240.86,49624,131.202.240.150,49876,2015-03-31 14:29:21,21,31,302.0,282.0,0
131.202.240.86-131.202.243.255-137-137-17,131.202.240.86,137,131.202.243.255,137,2015-03-31 14:21:24,6,0,300.0,0.0,0
173.194.123.120-131.202.240.86-443-2171-6,173.194.123.120,443,131.202.240.86,2171,2015-03-31 14:23:07,1,1,0.0,0.0,0
75.136.91.228-131.202.240.86-39734-49624-17,75.136.91.228,39734,131.202.240.86,49624,2015-03-31 14:30:29,1,1,18.0,26.0,0
131.202.240.86-68.67.152.196-2205-80-6,131.202.240.86,2205,68.67.152.196,80,2015-03-31 14:30:55,10,9,1996.0,5160.0,0
131.202.240.86-184.26.182.161-2203-443-6,131.202.240.86,2203,184.26.182.161,443,2015-03-31 14:30:54,14,11,2538.0,5172.0,0
151.236.160.79-131.202.240.86-47928-49624-17,151.236.160.79,47928,131.202.240.86,49624,2015-03-31 14:30:58,1,1,18.0,26.0,0
131.202.240.86-205.204.71.144-2208-80-6,131.202.240.86,2208,205.204.71.144,80,2015-03-31 14:30:55,5,4,356.0,635.0,0
119.160.118.114-131.202.240.86-38931-49624-17,119.160.118.114,38931,131.202.240.86,49624,2015-03-31 14:23:54,7,5,145.0,115.0,0
131.202.240.86-173.194.123.122-2218-443-6,131.202.240.86,2218,173.194.123.122,443,2015-03-31 14:30:55,7,6,779.0,1142.0,0
131.202.240.86-131.202.244.3-64211-53-17,131.202.240.86,64211,131.202.244.3,53,2015-03-31 14:21:23,1,1,28.0,432.0,0
81.241.186.162-131.202.240.86-12053-49624-17,81.241.186.162,12053,131.202.240.86,49624,2015-03-31 14:21:52,1,1,18.0,26.0,0
42.0.7.232-131.202.240.86-28040-80-6,42.0.7.232,28040,131.202.240.86,80,2015-03-31 14:22:45,4,2,0.0,0.0,0
131.202.240.86-131.202.244.3-52362-53-17,131.202.240.86,52362,131.202.244.3,53,2015-03-31 14:23:27,1,1,34.0,306.0,0
109.83.106.246-131.202.240.86-29744-49624-17,109.83.106.246,29744,131.202.240.86,49624,2015-03-31 14:27:11,5,5,90.0,130.0,0
151.237.68.251-131.202.240.86-17826-49624-17,151.237.68.251,17826,131.202.240.86,49624,2015-03-31 14:24:59,1,1,18.0,26.0,0
85.115.224.214-131.202.240.86-61518-49624-17,85.115.224.214,61518,131.202.240.86,49624,2015-03-31 14:26:01,1,1,18.0,26.0,0
109.200.115.78-131.202.240.86-48201-49624-17,109.200.115.78,48201,131.202.240.86,49624,2015-03-31 14:25:26,1,1,18.0,26.0,0
62.226.148.145-131.202.240.86-22662-49624-17,62.226.148.145,22662,131.202.240.86,49624,2015-03-31 14:23:23,1,1,18.0,26.0,0
173.194.123.121-131.202.240.86-443-2172-6,173.194.123.121,443,131.202.240.86,2172,2015-03-31 14:23:07,1,1,0.0,0.0,0
131.202.240.86-68.67.152.226-2209-443-6,131.202.240.86,2209,68.67.152.226,443,2015-03-31 14:30:55,31,27,7300.0,14860.0,0
131.202.240.86-208.71.122.72-2213-443-6,131.202.240.86,2213,208.71.122.72,443,2015-03-31 14:30:55,11,9,1058.0,5047.0,0
5.233.5.5-131.202.240.86-58632-49624-17,5.233.5.5,58632,131.202.240.86,49624,2015-03-31 14:29:37,5,5,115.0,110.0,0
131.202.240.86-131.202.240.2-1039-7725-6,131.202.240.86,1039,131.202.240.2,7725,2015-03-31 14:30:50,2,2,40.0,0.0,0
131.202.240.86-66.119.34.47-2176-443-6,131.202.240.86,2176,66.119.34.47,443,2015-03-31 14:23:17,2,0,0.0,0.0,0
42.0.7.232-131.202.240.86-12448-49624-6,42.0.7.232,12448,131.202.240.86,49624,2015-03-31 14:22:42,6,3,92.0,62.0,0
131.202.240.86-69.25.24.24-2215-443-6,131.202.240.86,2215,69.25.24.24,443,2015-03-31 14:30:55,10,11,1815.0,5372.0,0
131.202.240.86-131.202.244.3-58801-53-17,131.202.240.86,58801,131.202.244.3,53,2015-03-31 14:21:28,1,1,44.0,423.0,0
173.194.123.124-131.202.240.86-443-2173-6,173.194.123.124,443,131.202.240.86,2173,2015-03-31 14:23:07,1,1,0.0,0.0,0
131.202.240.86-50.7.70.210-2207-80-6,131.202.240.86,2207,50.7.70.210,80,2015-03-31 14:30:55,4,3,482.0,168.0,0
141.136.91.249-131.202.240.86-31535-49624-17,141.136.91.249,31535,131.202.240.86,49624,2015-03-31 14:25:48,1,1,18.0,26.0,0
131.202.240.86-91.190.218.63-1519-12350-6,131.202.240.86,1519,91.190.218.63,12350,2015-03-31 14:23:17,2,1,5.0,5.0,0
131.202.240.86-134.170.19.129-1529-443-6,131.202.240.86,1529,134.170.19.129,443,2015-03-31 14:29:27,9,5,1872.0,3465.0,0
65.55.2.6-131.202.240.86-443-2179-6,65.55.2.6,443,131.202.240.86,2179,2015-03-31 14:23:07,1,1,0.0,0.0,0
131.202.240.86-221.31.88.184-49624-22436-17,131.202.240.86,49624,221.31.88.184,22436,2015-03-31 14:27:43,2,2,45.0,29.0,0
213.138.88.184-131.202.240.86-65515-49624-17,213.138.88.184,65515,131.202.240.86,49624,2015-03-31 14:22:16,1,1,18.0,26.0,0
109.188.125.2-131.202.240.86-53341-49624-17,109.188.125.2,53341,131.202.240.86,49624,2015-03-31 14:26:27,1,1,18.0,26.0,0
182.183.179.241-131.202.240.86-26513-49624-17,182.183.179.241,26513,131.202.240.86,49624,2015-03-31 14:30:43,10,5,208.0,110.0,0
