Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.90-224.0.0.252-64768-5355-17,131.202.240.90,64768,224.0.0.252,5355,14/04/2015 10:50:23 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-65097-5355-17,131.202.240.185,65097,224.0.0.252,5355,14/04/2015 10:41:25 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-52811-5355-17,131.202.243.9,52811,224.0.0.252,5355,14/04/2015 10:49:51 a.m.,2,44.0,0
131.202.240.90-224.0.0.252-56118-5355-17,131.202.240.90,56118,224.0.0.252,5355,14/04/2015 10:39:18 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-50882-5355-17,131.202.240.185,50882,224.0.0.252,5355,14/04/2015 10:36:53 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-50258-5355-17,131.202.243.9,50258,224.0.0.252,5355,14/04/2015 10:22:17 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-61707-5355-17,131.202.243.9,61707,224.0.0.252,5355,14/04/2015 11:00:52 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-63778-5355-17,131.202.243.9,63778,224.0.0.252,5355,14/04/2015 10:58:46 a.m.,2,44.0,0
131.202.240.90-224.0.0.252-63364-5355-17,131.202.240.90,63364,224.0.0.252,5355,14/04/2015 10:20:52 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-63026-5355-17,131.202.240.185,63026,224.0.0.252,5355,14/04/2015 10:20:23 a.m.,2,44.0,0
131.202.242.93-224.0.0.252-60156-5355-17,131.202.242.93,60156,224.0.0.252,5355,14/04/2015 10:42:06 a.m.,2,44.0,0
131.202.242.93-224.0.0.252-52882-5355-17,131.202.242.93,52882,224.0.0.252,5355,14/04/2015 10:39:24 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-50476-5355-17,131.202.243.9,50476,224.0.0.252,5355,14/04/2015 10:56:38 a.m.,2,44.0,0
131.202.243.49-224.0.0.252-56679-5355-17,131.202.243.49,56679,224.0.0.252,5355,14/04/2015 10:38:34 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-63996-5355-17,131.202.243.9,63996,224.0.0.252,5355,14/04/2015 10:46:25 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-61925-5355-17,131.202.243.9,61925,224.0.0.252,5355,14/04/2015 10:24:17 a.m.,2,44.0,0
131.202.243.49-224.0.0.252-53204-5355-17,131.202.243.49,53204,224.0.0.252,5355,14/04/2015 10:46:53 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-59940-5355-17,131.202.240.185,59940,224.0.0.252,5355,14/04/2015 10:50:05 a.m.,2,44.0,0
131.202.242.93-224.0.0.252-51711-5355-17,131.202.242.93,51711,224.0.0.252,5355,14/04/2015 10:54:14 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-56299-5355-17,131.202.243.9,56299,224.0.0.252,5355,14/04/2015 10:37:19 a.m.,2,44.0,0
131.202.243.49-224.0.0.252-54104-5355-17,131.202.243.49,54104,224.0.0.252,5355,14/04/2015 10:37:52 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-59970-5355-17,131.202.243.9,59970,224.0.0.252,5355,14/04/2015 10:47:03 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-50160-5355-17,131.202.240.185,50160,224.0.0.252,5355,14/04/2015 11:00:16 a.m.,2,44.0,0
131.202.242.93-224.0.0.252-65026-5355-17,131.202.242.93,65026,224.0.0.252,5355,14/04/2015 10:55:33 a.m.,2,44.0,0
131.202.243.9-224.0.0.252-61203-5355-17,131.202.243.9,61203,224.0.0.252,5355,14/04/2015 10:36:47 a.m.,4,88.0,0
131.202.240.90-224.0.0.252-52148-5355-17,131.202.240.90,52148,224.0.0.252,5355,14/04/2015 10:47:38 a.m.,2,44.0,0
131.202.240.90-224.0.0.252-61511-5355-17,131.202.240.90,61511,224.0.0.252,5355,14/04/2015 10:47:03 a.m.,2,44.0,0
131.202.240.90-224.0.0.252-55150-5355-17,131.202.240.90,55150,224.0.0.252,5355,14/04/2015 10:47:20 a.m.,2,44.0,0
131.202.240.185-224.0.0.252-59000-5355-17,131.202.240.185,59000,224.0.0.252,5355,14/04/2015 10:34:37 a.m.,2,44.0,0
