Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
10.0.2.15-86.29.143.161-54186-30882-17,10.0.2.15,54186,86.29.143.161,30882,2015-04-14 10:27:49,1,1,18.0,26.0,0
10.0.2.15-224.0.0.252-59903-5355-17,10.0.2.15,59903,224.0.0.252,5355,2015-04-14 10:49:10,2,0,44.0,0.0,0
10.0.2.15-224.0.0.252-54650-5355-17,10.0.2.15,54650,224.0.0.252,5355,2015-04-14 10:59:12,2,0,44.0,0.0,0
131.202.240.101-10.0.2.15-44106-54186-17,131.202.240.101,44106,10.0.2.15,54186,2015-04-14 10:59:49,5185,5186,530019.0,375737.0,0
10.0.2.15-134.170.19.160-49898-443-6,10.0.2.15,49898,134.170.19.160,443,2015-04-14 11:01:27,4,4,1466.0,1098.0,0
10.0.2.15-157.56.53.45-49886-12350-6,10.0.2.15,49886,157.56.53.45,12350,2015-04-14 11:00:30,2,2,5.0,5.0,0
10.0.2.15-193.149.69.36-49897-443-6,10.0.2.15,49897,193.149.69.36,443,2015-04-14 10:59:38,3,3,90.0,90.0,0
10.0.2.15-10.0.2.3-49658-53-17,10.0.2.15,49658,10.0.2.3,53,2015-04-14 10:49:22,1,1,47.0,394.0,0
10.0.2.15-74.125.22.188-49177-5228-6,10.0.2.15,49177,74.125.22.188,5228,2015-04-14 11:01:11,1,1,1.0,0.0,0
10.0.2.15-10.0.2.3-52433-53-17,10.0.2.15,52433,10.0.2.3,53,2015-04-14 10:48:47,1,1,37.0,373.0,0
131.202.240.101-10.0.2.15-44106-56097-6,131.202.240.101,44106,10.0.2.15,56097,2015-04-14 11:00:20,1,1,2.0,0.0,0
10.0.2.15-224.0.0.252-54026-5355-17,10.0.2.15,54026,224.0.0.252,5355,2015-04-14 10:59:12,2,0,44.0,0.0,0
10.0.2.15-174.88.97.95-56249-49769-6,10.0.2.15,56249,174.88.97.95,49769,2015-04-14 11:01:29,10,14,1276.0,868.0,0
10.0.2.15-10.0.2.3-61192-53-17,10.0.2.15,61192,10.0.2.3,53,2015-04-14 10:49:10,1,1,32.0,82.0,0
10.0.2.15-111.221.77.153-54186-443-17,10.0.2.15,54186,111.221.77.153,443,2015-04-14 10:28:16,1,1,18.0,26.0,0
10.0.2.15-131.202.240.217-54186-18420-17,10.0.2.15,54186,131.202.240.217,18420,2015-04-14 10:25:57,20,16,633.0,451.0,0
10.0.2.15-64.4.23.142-54186-40025-17,10.0.2.15,54186,64.4.23.142,40025,2015-04-14 11:01:28,1,1,41.0,255.0,0
10.0.2.15-157.55.235.168-54186-40032-17,10.0.2.15,54186,157.55.235.168,40032,2015-04-14 11:01:29,1,1,39.0,687.0,0
10.0.2.15-224.0.0.252-56801-5355-17,10.0.2.15,56801,224.0.0.252,5355,2015-04-14 10:29:05,2,0,44.0,0.0,0
10.0.2.2-10.0.2.15-0-0-0,10.0.2.2,0,10.0.2.15,0,2015-04-14 10:58:09,22,0,0.0,0.0,0
10.0.2.15-213.199.179.176-54186-40018-17,10.0.2.15,54186,213.199.179.176,40018,2015-04-14 10:28:16,3,3,277.0,117.0,0
10.0.2.15-42.126.84.216-54186-44771-17,10.0.2.15,54186,42.126.84.216,44771,2015-04-14 10:28:16,1,1,18.0,26.0,0
131.202.240.217-10.0.2.15-54186-18420-17,131.202.240.217,54186,10.0.2.15,18420,2015-04-14 10:27:17,5,0,269.0,0.0,0
10.0.2.15-69.166.165.58-54186-41821-17,10.0.2.15,54186,69.166.165.58,41821,2015-04-14 10:28:16,1,1,18.0,26.0,0
10.0.2.15-10.0.2.3-50766-53-17,10.0.2.15,50766,10.0.2.3,53,2015-04-14 10:25:39,1,1,37.0,373.0,0
10.0.2.15-23.195.216.184-56245-443-6,10.0.2.15,56245,23.195.216.184,443,2015-04-14 11:00:22,10,10,666.0,4714.0,0
10.0.2.15-10.0.2.3-52495-53-17,10.0.2.15,52495,10.0.2.3,53,2015-04-14 10:29:05,1,1,32.0,82.0,0
10.0.2.15-10.0.2.3-64846-53-17,10.0.2.15,64846,10.0.2.3,53,2015-04-14 10:49:22,1,1,41.0,372.0,0
10.0.2.15-224.0.0.252-58315-5355-17,10.0.2.15,58315,224.0.0.252,5355,2015-04-14 10:39:07,2,0,44.0,0.0,0
10.0.2.15-111.221.72.43-49174-443-6,10.0.2.15,49174,111.221.72.43,443,2015-04-14 10:42:34,2,2,117.0,133.0,0
10.0.2.15-24.214.108.95-54186-37548-17,10.0.2.15,54186,24.214.108.95,37548,2015-04-14 10:28:16,1,1,18.0,26.0,0
10.0.2.15-10.0.2.3-55776-53-17,10.0.2.15,55776,10.0.2.3,53,2015-04-14 10:33:33,2,1,76.0,310.0,0
10.0.2.15-157.55.235.167-54186-443-17,10.0.2.15,54186,157.55.235.167,443,2015-04-14 10:28:16,1,1,18.0,26.0,0
10.0.2.15-10.0.2.3-64265-53-17,10.0.2.15,64265,10.0.2.3,53,2015-04-14 10:30:34,2,1,88.0,154.0,0
10.0.2.15-10.0.2.3-49478-53-17,10.0.2.15,49478,10.0.2.3,53,2015-04-14 10:30:34,2,1,82.0,150.0,0
10.0.2.15-65.55.223.40-54186-40032-17,10.0.2.15,54186,65.55.223.40,40032,2015-04-14 11:01:29,1,1,39.0,689.0,0
10.0.2.15-224.0.0.252-63635-5355-17,10.0.2.15,63635,224.0.0.252,5355,2015-04-14 10:49:10,2,0,44.0,0.0,0
10.0.2.15-10.0.2.3-50781-53-17,10.0.2.15,50781,10.0.2.3,53,2015-04-14 10:30:49,1,1,37.0,213.0,0
134.170.0.199-10.0.2.15-443-49905-6,134.170.0.199,443,10.0.2.15,49905,2015-04-14 10:56:28,3,3,325.0,1210.0,0
10.0.2.15-213.199.179.168-49878-40016-6,10.0.2.15,49878,213.199.179.168,40016,2015-04-14 11:01:30,3,3,1429.0,4.0,0
10.0.2.15-132.206.66.207-56247-64278-6,10.0.2.15,56247,132.206.66.207,64278,2015-04-14 11:01:28,9,13,1264.0,901.0,0
10.0.2.15-10.0.2.3-52254-53-17,10.0.2.15,52254,10.0.2.3,53,2015-04-14 10:27:44,1,1,37.0,214.0,0
10.0.2.15-10.0.2.3-62443-53-17,10.0.2.15,62443,10.0.2.3,53,2015-04-14 10:47:45,1,1,36.0,222.0,0
10.0.2.15-65.55.223.17-54186-40020-17,10.0.2.15,54186,65.55.223.17,40020,2015-04-14 11:01:28,2,2,268.0,589.0,0
10.0.2.15-224.0.0.252-62935-5355-17,10.0.2.15,62935,224.0.0.252,5355,2015-04-14 10:29:05,2,0,44.0,0.0,0
10.0.2.15-10.0.2.255-137-137-17,10.0.2.15,137,10.0.2.255,137,2015-04-14 10:59:12,4,0,218.0,0.0,0
10.0.2.15-173.252.107.17-49904-5222-6,10.0.2.15,49904,173.252.107.17,5222,2015-04-14 11:00:22,5,3,250.0,974.0,0
10.0.2.15-224.0.0.252-63996-5355-17,10.0.2.15,63996,224.0.0.252,5355,2015-04-14 10:39:07,2,0,44.0,0.0,0
10.0.2.15-10.0.2.3-61317-53-17,10.0.2.15,61317,10.0.2.3,53,2015-04-14 11:00:22,2,1,64.0,397.0,0
10.0.2.15-239.255.255.250-1900-1900-17,10.0.2.15,1900,239.255.255.250,1900,2015-04-14 10:58:09,18,0,8517.0,0.0,0
10.0.2.15-10.0.2.3-62616-53-17,10.0.2.15,62616,10.0.2.3,53,2015-04-14 10:25:40,1,1,33.0,240.0,0
10.0.2.15-46.8.109.74-54186-61246-17,10.0.2.15,54186,46.8.109.74,61246,2015-04-14 10:28:16,1,1,18.0,26.0,0
10.0.2.15-10.0.2.3-53651-53-17,10.0.2.15,53651,10.0.2.3,53,2015-04-14 10:27:45,1,1,37.0,373.0,0
10.0.2.15-10.0.2.255-138-138-17,10.0.2.15,138,10.0.2.255,138,2015-04-14 11:00:49,8,0,1456.0,0.0,0
93.184.215.200-10.0.2.15-80-56229-6,93.184.215.200,80,10.0.2.15,56229,2015-04-14 10:19:50,1,2,0.0,0.0,0
10.0.2.15-209.148.205.9-56221-80-6,10.0.2.15,56221,209.148.205.9,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-209.148.205.9-56219-80-6,10.0.2.15,56219,209.148.205.9,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-209.148.205.9-56220-80-6,10.0.2.15,56220,209.148.205.9,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-209.148.205.9-56222-80-6,10.0.2.15,56222,209.148.205.9,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-23.194.223.54-56218-80-6,10.0.2.15,56218,23.194.223.54,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-23.45.43.208-56223-80-6,10.0.2.15,56223,23.45.43.208,80,2015-04-14 10:20:22,1,2,0.0,0.0,0
10.0.2.15-23.195.194.188-56224-80-6,10.0.2.15,56224,23.195.194.188,80,2015-04-14 10:20:37,1,2,0.0,0.0,0
10.0.2.15-74.125.226.171-56161-443-6,10.0.2.15,56161,74.125.226.171,443,2015-04-14 10:20:28,1,3,1.0,55.0,0
10.0.2.15-74.125.226.171-56161-443-6,10.0.2.15,56161,74.125.226.171,443,2015-04-14 10:20:43,2,0,0.0,0.0,0
10.0.2.15-173.194.123.112-56151-443-6,10.0.2.15,56151,173.194.123.112,443,2015-04-14 10:19:49,2,4,2.0,55.0,0
10.0.2.15-173.194.123.112-56151-443-6,10.0.2.15,56151,173.194.123.112,443,2015-04-14 10:20:49,2,0,0.0,0.0,0
