Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-58232-5355-17,131.202.240.87,58232,224.0.0.252,5355,2015-05-25 13:07:54,2,44.0,0
131.202.240.70-224.0.0.252-54593-5355-17,131.202.240.70,54593,224.0.0.252,5355,2015-05-25 13:12:16,2,44.0,0
131.202.240.79-224.0.0.252-61587-5355-17,131.202.240.79,61587,224.0.0.252,5355,2015-05-25 13:08:21,2,44.0,0
131.202.240.185-224.0.0.252-61830-5355-17,131.202.240.185,61830,224.0.0.252,5355,2015-05-25 13:13:13,2,44.0,0
131.202.243.48-224.0.0.252-53150-5355-17,131.202.243.48,53150,224.0.0.252,5355,2015-05-25 13:22:27,2,44.0,0
131.202.240.66-224.0.0.252-64505-5355-17,131.202.240.66,64505,224.0.0.252,5355,2015-05-25 13:11:10,2,44.0,0
131.202.240.102-224.0.0.252-49737-5355-17,131.202.240.102,49737,224.0.0.252,5355,2015-05-25 13:08:44,2,44.0,0
131.202.240.102-224.0.0.252-61221-5355-17,131.202.240.102,61221,224.0.0.252,5355,2015-05-25 13:08:44,2,44.0,0
131.202.242.93-224.0.0.252-64951-5355-17,131.202.242.93,64951,224.0.0.252,5355,2015-05-25 13:21:55,2,44.0,0
131.202.242.93-224.0.0.252-53346-5355-17,131.202.242.93,53346,224.0.0.252,5355,2015-05-25 13:10:13,2,44.0,0
131.202.243.49-224.0.0.252-53251-5355-17,131.202.243.49,53251,224.0.0.252,5355,2015-05-25 13:11:11,2,44.0,0
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,2015-05-25 13:07:18,111,5550.0,0
131.202.242.93-224.0.0.252-57363-5355-17,131.202.242.93,57363,224.0.0.252,5355,2015-05-25 13:08:29,2,44.0,0
131.202.240.185-224.0.0.252-49347-5355-17,131.202.240.185,49347,224.0.0.252,5355,2015-05-25 13:14:55,2,44.0,0
131.202.242.93-224.0.0.252-52004-5355-17,131.202.242.93,52004,224.0.0.252,5355,2015-05-25 13:09:39,2,44.0,0
131.202.240.242-224.0.0.252-64927-5355-17,131.202.240.242,64927,224.0.0.252,5355,2015-05-25 13:15:08,2,44.0,0
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,2015-05-25 13:21:44,20,420.0,0
131.202.243.21-224.0.0.252-53912-5355-17,131.202.243.21,53912,224.0.0.252,5355,2015-05-25 13:14:18,2,44.0,0
131.202.240.185-224.0.0.252-57617-5355-17,131.202.240.185,57617,224.0.0.252,5355,2015-05-25 13:12:26,2,44.0,0
131.202.243.49-224.0.0.252-54104-5355-17,131.202.243.49,54104,224.0.0.252,5355,2015-05-25 13:08:21,2,44.0,0
131.202.242.93-224.0.0.252-58982-5355-17,131.202.242.93,58982,224.0.0.252,5355,2015-05-25 13:18:22,2,44.0,0
131.202.240.242-78.46.223.24-62511-53-17,131.202.240.242,62511,78.46.223.24,53,2015-05-25 13:11:02,2,188.0,0
23.50.75.27-131.202.240.242-80-5979-6,23.50.75.27,80,131.202.240.242,5979,2015-05-25 13:19:06,2,0.0,0
131.202.243.48-224.0.0.252-54336-5355-17,131.202.243.48,54336,224.0.0.252,5355,2015-05-25 13:12:33,2,44.0,0
131.202.243.49-224.0.0.252-49695-5355-17,131.202.243.49,49695,224.0.0.252,5355,2015-05-25 13:20:34,2,44.0,0
131.202.240.87-224.0.0.252-60013-5355-17,131.202.240.87,60013,224.0.0.252,5355,2015-05-25 13:22:11,2,44.0,0
131.202.240.83-224.0.0.252-54365-5355-17,131.202.240.83,54365,224.0.0.252,5355,2015-05-25 13:19:02,2,44.0,0
131.202.242.93-224.0.0.252-53016-5355-17,131.202.242.93,53016,224.0.0.252,5355,2015-05-25 13:13:49,2,44.0,0
131.202.242.93-224.0.0.252-58437-5355-17,131.202.242.93,58437,224.0.0.252,5355,2015-05-25 13:22:53,2,44.0,0
131.202.240.70-224.0.0.252-50856-5355-17,131.202.240.70,50856,224.0.0.252,5355,2015-05-25 13:23:18,2,44.0,0
131.202.243.49-224.0.0.252-56517-5355-17,131.202.243.49,56517,224.0.0.252,5355,2015-05-25 13:22:57,2,44.0,0
131.202.242.93-224.0.0.252-51092-5355-17,131.202.242.93,51092,224.0.0.252,5355,2015-05-25 13:15:22,2,44.0,0
131.202.242.93-224.0.0.252-62821-5355-17,131.202.242.93,62821,224.0.0.252,5355,2015-05-25 13:13:42,2,44.0,0
131.202.240.242-198.7.63.141-59411-53-17,131.202.240.242,59411,198.7.63.141,53,2015-05-25 13:14:31,2,112.0,0
131.202.240.185-224.0.0.252-60712-5355-17,131.202.240.185,60712,224.0.0.252,5355,2015-05-25 13:19:53,2,44.0,0
131.202.243.49-224.0.0.252-65043-5355-17,131.202.243.49,65043,224.0.0.252,5355,2015-05-25 13:18:40,2,44.0,0
131.202.243.49-224.0.0.252-51208-5355-17,131.202.243.49,51208,224.0.0.252,5355,2015-05-25 13:21:19,2,44.0,0
131.202.240.87-224.0.0.252-50357-5355-17,131.202.240.87,50357,224.0.0.252,5355,2015-05-25 13:11:47,2,44.0,0
131.202.240.185-224.0.0.252-57991-5355-17,131.202.240.185,57991,224.0.0.252,5355,2015-05-25 13:22:09,2,44.0,0
131.202.243.21-224.0.0.252-64879-5355-17,131.202.243.21,64879,224.0.0.252,5355,2015-05-25 13:08:53,2,44.0,0
131.202.240.185-224.0.0.252-49957-5355-17,131.202.240.185,49957,224.0.0.252,5355,2015-05-25 13:12:19,2,44.0,0
131.202.240.102-224.0.0.252-58213-5355-17,131.202.240.102,58213,224.0.0.252,5355,2015-05-25 13:08:03,2,44.0,0
131.202.243.49-224.0.0.252-64700-5355-17,131.202.243.49,64700,224.0.0.252,5355,2015-05-25 13:20:09,2,44.0,0
131.202.243.49-224.0.0.252-53279-5355-17,131.202.243.49,53279,224.0.0.252,5355,2015-05-25 13:08:56,2,44.0,0
131.202.243.49-224.0.0.252-50137-5355-17,131.202.243.49,50137,224.0.0.252,5355,2015-05-25 13:17:20,2,44.0,0
131.202.243.49-224.0.0.252-54213-5355-17,131.202.243.49,54213,224.0.0.252,5355,2015-05-25 13:08:57,2,44.0,0
131.202.243.49-224.0.0.252-64031-5355-17,131.202.243.49,64031,224.0.0.252,5355,2015-05-25 13:16:56,2,44.0,0
131.202.240.70-224.0.0.252-52242-5355-17,131.202.240.70,52242,224.0.0.252,5355,2015-05-25 13:16:14,2,44.0,0
131.202.243.21-224.0.0.252-51611-5355-17,131.202.243.21,51611,224.0.0.252,5355,2015-05-25 13:13:06,2,44.0,0
131.202.240.185-224.0.0.252-63857-5355-17,131.202.240.185,63857,224.0.0.252,5355,2015-05-25 13:17:42,2,44.0,0
