Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-58232-5355-17,131.202.240.87,58232,224.0.0.252,5355,2015-05-25 13:07:49,2,44.0,0
131.202.240.70-224.0.0.252-54593-5355-17,131.202.240.70,54593,224.0.0.252,5355,2015-05-25 13:12:11,2,44.0,0
131.202.240.79-224.0.0.252-61587-5355-17,131.202.240.79,61587,224.0.0.252,5355,2015-05-25 13:08:16,2,44.0,0
131.202.240.185-224.0.0.252-61830-5355-17,131.202.240.185,61830,224.0.0.252,5355,2015-05-25 13:13:08,2,44.0,0
131.202.243.48-224.0.0.252-53150-5355-17,131.202.243.48,53150,224.0.0.252,5355,2015-05-25 13:22:22,2,44.0,0
122.172.69.123-131.202.240.87-24776-42322-17,122.172.69.123,24776,131.202.240.87,42322,2015-05-25 13:22:07,8,176.0,0
131.202.240.66-224.0.0.252-64505-5355-17,131.202.240.66,64505,224.0.0.252,5355,2015-05-25 13:11:05,2,44.0,0
131.202.240.102-224.0.0.252-49737-5355-17,131.202.240.102,49737,224.0.0.252,5355,2015-05-25 13:08:39,2,44.0,0
131.202.240.102-224.0.0.252-61221-5355-17,131.202.240.102,61221,224.0.0.252,5355,2015-05-25 13:08:39,2,44.0,0
131.202.242.93-224.0.0.252-64951-5355-17,131.202.242.93,64951,224.0.0.252,5355,2015-05-25 13:21:50,2,44.0,0
131.202.242.93-224.0.0.252-53346-5355-17,131.202.242.93,53346,224.0.0.252,5355,2015-05-25 13:10:08,2,44.0,0
131.202.243.49-224.0.0.252-53251-5355-17,131.202.243.49,53251,224.0.0.252,5355,2015-05-25 13:11:06,2,44.0,0
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,2015-05-25 13:07:18,105,5250.0,0
131.202.242.93-224.0.0.252-57363-5355-17,131.202.242.93,57363,224.0.0.252,5355,2015-05-25 13:08:25,2,44.0,0
131.202.240.185-224.0.0.252-49347-5355-17,131.202.240.185,49347,224.0.0.252,5355,2015-05-25 13:14:50,2,44.0,0
131.202.242.93-224.0.0.252-52004-5355-17,131.202.242.93,52004,224.0.0.252,5355,2015-05-25 13:09:34,2,44.0,0
131.202.240.242-224.0.0.252-64927-5355-17,131.202.240.242,64927,224.0.0.252,5355,2015-05-25 13:15:04,2,44.0,0
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,2015-05-25 13:21:19,24,504.0,0
131.202.243.21-224.0.0.252-53912-5355-17,131.202.243.21,53912,224.0.0.252,5355,2015-05-25 13:14:13,2,44.0,0
131.202.240.185-224.0.0.252-57617-5355-17,131.202.240.185,57617,224.0.0.252,5355,2015-05-25 13:12:21,2,44.0,0
131.202.243.49-224.0.0.252-54104-5355-17,131.202.243.49,54104,224.0.0.252,5355,2015-05-25 13:08:16,2,44.0,0
131.202.242.93-224.0.0.252-58982-5355-17,131.202.242.93,58982,224.0.0.252,5355,2015-05-25 13:18:17,2,44.0,0
131.202.243.48-224.0.0.252-54336-5355-17,131.202.243.48,54336,224.0.0.252,5355,2015-05-25 13:12:28,2,44.0,0
131.202.243.49-224.0.0.252-49695-5355-17,131.202.243.49,49695,224.0.0.252,5355,2015-05-25 13:20:30,2,44.0,0
131.202.240.87-224.0.0.252-60013-5355-17,131.202.240.87,60013,224.0.0.252,5355,2015-05-25 13:22:06,2,44.0,0
131.202.240.83-224.0.0.252-54365-5355-17,131.202.240.83,54365,224.0.0.252,5355,2015-05-25 13:18:57,2,44.0,0
131.202.242.93-224.0.0.252-53016-5355-17,131.202.242.93,53016,224.0.0.252,5355,2015-05-25 13:13:45,2,44.0,0
131.202.242.93-224.0.0.252-58437-5355-17,131.202.242.93,58437,224.0.0.252,5355,2015-05-25 13:22:48,2,44.0,0
131.202.240.70-224.0.0.252-50856-5355-17,131.202.240.70,50856,224.0.0.252,5355,2015-05-25 13:23:13,2,44.0,0
