,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Protocol,Tot Fwd Pkts,Tot Bwd Pkts,Tot Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,TotLen Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd Header Len,Bwd Header Len,Pkt Size Avg,Flow Type,VPN
0,184.24.147.231-131.202.240.86-80-10634-6,184.24.147.231,80,131.202.240.86,10634,31/03/2015 02:59:19 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,60606.06060606059,33.0,20,20,0.0,skype_file6,0
1,131.202.240.86-91.190.218.63-1519-12350-6,131.202.240.86,1519,91.190.218.63,12350,31/03/2015 02:59:18 p.m.,6,2,1,3,5.0,5.0,10.0,30.324073372127927,9.09722201163838,164885.5,40,20,5.0,skype_file6,0
2,131.202.240.86-134.170.19.129-1529-443-6,131.202.240.86,1529,134.170.19.129,443,31/03/2015 03:03:18 p.m.,6,6,3,9,1727.0,1695.0,3422.0,114.45876424003158,0.3010312326593467,3737153.75,120,60,435.88888888888886,skype_file6,0
3,162.17.58.49-131.202.240.86-27603-49624-17,162.17.58.49,27603,131.202.240.86,49624,31/03/2015 02:59:55 p.m.,17,1,1,2,22.0,22.0,44.0,335877.8625954198,15267.175572519085,131.0,8,8,33.0,skype_file6,0
4,208.81.246.112-131.202.240.86-54370-49624-17,208.81.246.112,54370,131.202.240.86,49624,31/03/2015 03:01:13 p.m.,17,1,1,2,18.0,26.0,44.0,211538.4615384616,9615.384615384615,208.0,8,8,31.0,skype_file6,0
5,209.148.205.26-131.202.240.86-80-10712-6,209.148.205.26,80,131.202.240.86,10712,31/03/2015 03:02:23 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,55555.555555555555,36.0,20,20,0.0,skype_file6,0
6,131.202.240.86-65.55.2.6-10682-443-6,131.202.240.86,10682,65.55.2.6,443,31/03/2015 02:57:28 p.m.,6,9,7,16,893.0,4161.0,5054.0,42.49583933444823,0.1345337216761321,7928619.333333334,192,152,315.875,skype_file6,0
7,65.55.2.6-131.202.240.86-443-10709-6,65.55.2.6,443,131.202.240.86,10709,31/03/2015 03:02:22 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,28571.42857142857,70.0,20,20,0.0,skype_file6,0
8,131.202.240.86-50.7.70.210-10686-80-6,131.202.240.86,10686,50.7.70.210,80,31/03/2015 02:59:59 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2083225916996988,9600495.0,40,0,0.0,skype_file6,0
9,96.59.37.202-131.202.240.86-59462-49624-17,96.59.37.202,59462,131.202.240.86,49624,31/03/2015 02:57:22 p.m.,17,1,1,2,18.0,26.0,44.0,307692.3076923077,13986.013986013986,143.0,8,8,31.0,skype_file6,0
10,119.63.142.66-131.202.240.86-8648-49624-17,119.63.142.66,8648,131.202.240.86,49624,31/03/2015 02:58:17 p.m.,17,1,1,2,18.0,26.0,44.0,222222.22222222228,10101.010101010104,198.0,8,8,31.0,skype_file6,0
11,154.121.251.220-131.202.240.86-44412-80-6,154.121.251.220,44412,131.202.240.86,80,31/03/2015 02:59:52 p.m.,6,5,3,8,0.0,0.0,0.0,0.0,0.6503312665534711,1757346.1428571432,196,116,0.0,skype_file6,0
12,131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,31/03/2015 03:03:18 p.m.,6,2,1,3,213.0,202.0,415.0,1236.3738198588449,8.937642071268758,167829.5,40,20,209.33333333333331,skype_file6,0
13,131.202.240.86-68.67.152.196-10711-80-6,131.202.240.86,10711,68.67.152.196,80,31/03/2015 03:02:32 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.20832293888669512,9600479.0,40,0,0.0,skype_file6,0
14,202.69.11.237-131.202.240.86-3305-49624-17,202.69.11.237,3305,131.202.240.86,49624,31/03/2015 02:57:21 p.m.,17,5,5,10,90.0,130.0,220.0,134.78616481284635,6.126643855129379,181357.2222222222,40,40,23.8,skype_file6,0
15,76.100.22.154-131.202.240.86-41797-49624-17,76.100.22.154,41797,131.202.240.86,49624,31/03/2015 02:57:00 p.m.,17,1,1,2,18.0,26.0,44.0,263473.0538922156,11976.047904191617,167.0,8,8,31.0,skype_file6,0
16,66.87.115.9-131.202.240.86-27649-49624-17,66.87.115.9,27649,131.202.240.86,49624,31/03/2015 02:57:43 p.m.,17,1,1,2,18.0,26.0,44.0,218905.47263681595,9950.248756218904,201.0,8,8,31.0,skype_file6,0
17,108.176.27.166-131.202.240.86-53776-49624-17,108.176.27.166,53776,131.202.240.86,49624,31/03/2015 02:58:14 p.m.,17,1,1,2,18.0,26.0,44.0,283870.96774193546,12903.225806451614,155.0,8,8,31.0,skype_file6,0
18,209.148.205.26-131.202.240.86-80-10701-6,209.148.205.26,80,131.202.240.86,10701,31/03/2015 03:00:52 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,62500.0,32.0,20,20,0.0,skype_file6,0
19,193.93.229.250-131.202.240.86-17120-49624-17,193.93.229.250,17120,131.202.240.86,49624,31/03/2015 02:57:54 p.m.,17,1,1,2,18.0,26.0,44.0,245810.0558659218,11173.184357541899,179.0,8,8,31.0,skype_file6,0
20,65.55.2.6-131.202.240.86-443-10698-6,65.55.2.6,443,131.202.240.86,10698,31/03/2015 03:00:51 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,30769.230769230773,65.0,20,20,0.0,skype_file6,0
21,138.130.228.248-131.202.240.86-54710-49624-17,138.130.228.248,54710,131.202.240.86,49624,31/03/2015 02:57:16 p.m.,17,1,1,2,18.0,26.0,44.0,303448.275862069,13793.103448275862,145.0,8,8,31.0,skype_file6,0
22,104.45.141.128-131.202.240.86-443-10707-6,104.45.141.128,443,131.202.240.86,10707,31/03/2015 03:01:15 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,51282.05128205128,39.0,20,20,0.0,skype_file6,0
23,131.202.240.86-131.202.240.150-49624-40273-17,131.202.240.86,49624,131.202.240.150,40273,31/03/2015 03:03:07 p.m.,17,9321,9300,18621,253927.0,12719824.0,12973751.0,319361.07162440877,458.37341218573687,2181.744575725037,74568,74400,696.728747113474,skype_file6,0
24,65.55.2.6-131.202.240.86-443-10718-6,65.55.2.6,443,131.202.240.86,10718,31/03/2015 03:03:27 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,55555.555555555555,36.0,20,20,0.0,skype_file6,0
25,90.199.102.229-131.202.240.86-62169-49624-17,90.199.102.229,62169,131.202.240.86,49624,31/03/2015 02:58:12 p.m.,17,1,1,2,18.0,26.0,44.0,266666.66666666674,12121.212121212122,165.0,8,8,31.0,skype_file6,0
26,154.121.251.220-131.202.240.86-48701-49624-6,154.121.251.220,48701,131.202.240.86,49624,31/03/2015 02:59:51 p.m.,6,4,3,7,0.0,0.0,0.0,0.0,0.6555304529013075,1779729.1666666663,152,116,0.0,skype_file6,0
27,184.24.147.231-131.202.240.86-80-10633-6,184.24.147.231,80,131.202.240.86,10633,31/03/2015 02:59:19 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,153846.15384615384,13.0,20,20,0.0,skype_file6,0
28,131.202.240.86-68.67.152.196-10700-80-6,131.202.240.86,10700,68.67.152.196,80,31/03/2015 03:01:01 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2084096199379648,9596486.0,40,0,0.0,skype_file6,0
29,41.178.227.161-131.202.240.86-23636-49624-17,41.178.227.161,23636,131.202.240.86,49624,31/03/2015 03:02:04 p.m.,17,1,1,2,18.0,26.0,44.0,247191.0112359551,11235.955056179775,178.0,8,8,31.0,skype_file6,0
30,154.121.251.220-131.202.240.86-48597-443-6,154.121.251.220,48597,131.202.240.86,443,31/03/2015 02:59:52 p.m.,6,5,3,8,0.0,0.0,0.0,0.0,0.6504939241021578,1756906.7142857143,196,116,0.0,skype_file6,0
31,131.202.240.86-23.49.84.188-10696-443-6,131.202.240.86,10696,23.49.84.188,443,31/03/2015 02:59:49 p.m.,6,1,1,2,0.0,0.0,0.0,0.0,81.48631029986963,24544.0,20,20,0.0,skype_file6,0
32,131.202.240.86-193.149.68.53-1530-443-6,131.202.240.86,1530,193.149.68.53,443,31/03/2015 03:03:47 p.m.,6,2,0,2,90.0,0.0,90.0,449.9257622492289,9.998350272205089,200033.0,40,0,90.0,skype_file6,0
33,109.86.190.77-131.202.240.86-5142-49624-17,109.86.190.77,5142,131.202.240.86,49624,31/03/2015 03:00:12 p.m.,17,1,1,2,18.0,26.0,44.0,205607.47663551406,9345.794392523365,214.0,8,8,31.0,skype_file6,0
34,131.202.240.86-68.67.152.172-10719-80-6,131.202.240.86,10719,68.67.152.172,80,31/03/2015 03:03:37 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2081927165027288,9606484.0,40,0,0.0,skype_file6,0
35,131.202.240.86-68.67.176.44-10705-443-6,131.202.240.86,10705,68.67.176.44,443,31/03/2015 03:01:01 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.20840970680714035,9596482.0,40,0,0.0,skype_file6,0
36,131.202.240.86-68.67.176.44-10725-443-6,131.202.240.86,10725,68.67.176.44,443,31/03/2015 03:03:37 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.20819286820756452,9606477.0,40,0,0.0,skype_file6,0
37,131.202.240.86-205.204.71.142-10704-80-6,131.202.240.86,10704,205.204.71.142,80,31/03/2015 03:01:01 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2082141957731894,9605493.0,40,0,0.0,skype_file6,0
38,131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 03:03:33 p.m.,6,34,20,54,340.0,340.0,680.0,67.57471179385419,5.366227113041362,189866.7169811321,1088,640,12.962962962962965,skype_file6,0
39,131.202.240.86-54.88.209.78-10675-443-6,131.202.240.86,10675,54.88.209.78,443,31/03/2015 02:57:48 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,133333.33333333337,15.0,40,0,0.0,skype_file6,0
40,31.185.4.43-131.202.240.86-56979-49624-17,31.185.4.43,56979,131.202.240.86,49624,31/03/2015 03:02:16 p.m.,17,1,1,2,18.0,26.0,44.0,183333.3333333333,8333.333333333334,240.0,8,8,31.0,skype_file6,0
41,131.202.240.86-205.204.71.142-10714-80-6,131.202.240.86,10714,205.204.71.142,80,31/03/2015 03:01:39 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,0.2082141307434827,9605496.0,40,0,0.0,skype_file6,0
42,130.204.15.210-131.202.240.86-58234-49624-17,130.204.15.210,58234,131.202.240.86,49624,31/03/2015 02:59:37 p.m.,17,5,5,10,110.0,110.0,220.0,3.65086977906745,0.16594862632124768,6695512.555555556,40,40,24.2,skype_file6,0
43,131.202.240.86-205.204.71.150-10581-443-6,131.202.240.86,10581,205.204.71.150,443,31/03/2015 02:57:29 p.m.,6,2,0,2,0.0,0.0,0.0,0.0,64516.12903225807,31.0,40,0,0.0,skype_file6,0
44,109.188.125.10-131.202.240.86-24790-49624-17,109.188.125.10,24790,131.202.240.86,49624,31/03/2015 03:02:29 p.m.,17,1,1,2,18.0,26.0,44.0,224489.79591836734,10204.081632653062,196.0,8,8,31.0,skype_file6,0
45,124.123.75.213-131.202.240.86-29267-49624-17,124.123.75.213,29267,131.202.240.86,49624,31/03/2015 02:59:23 p.m.,17,1,1,2,18.0,26.0,44.0,257309.9415204678,11695.906432748538,171.0,8,8,31.0,skype_file6,0
46,64.234.9.152-131.202.240.86-10106-49624-17,64.234.9.152,10106,131.202.240.86,49624,31/03/2015 02:58:55 p.m.,17,2,2,4,44.0,44.0,88.0,0.9838543024474116,0.04472065011124597,29814712.666666664,16,16,27.5,skype_file6,0
47,112.198.79.203-131.202.240.86-43404-49624-17,112.198.79.203,43404,131.202.240.86,49624,31/03/2015 02:59:59 p.m.,17,1,1,2,18.0,26.0,44.0,280254.7770700637,12738.853503184711,157.0,8,8,31.0,skype_file6,0
48,109.172.59.96-131.202.240.86-3367-49624-17,109.172.59.96,3367,131.202.240.86,49624,31/03/2015 03:02:07 p.m.,17,1,1,2,18.0,26.0,44.0,312056.7375886525,14184.397163120566,141.0,8,8,31.0,skype_file6,0
49,178.26.82.36-131.202.240.86-62249-49624-17,178.26.82.36,62249,131.202.240.86,49624,31/03/2015 03:00:23 p.m.,17,1,1,2,18.0,26.0,44.0,244444.44444444447,11111.111111111111,180.0,8,8,31.0,skype_file6,0
50,154.121.251.220-131.202.240.86-42838-49624-6,154.121.251.220,42838,131.202.240.86,49624,31/03/2015 02:59:51 p.m.,6,5,3,8,0.0,0.0,0.0,0.0,0.7515901533798209,1520585.5714285716,196,116,0.0,skype_file6,0
51,112.200.117.6-131.202.240.86-27001-49624-17,112.200.117.6,27001,131.202.240.86,49624,31/03/2015 02:58:22 p.m.,17,1,1,2,18.0,26.0,44.0,222222.22222222228,10101.010101010104,198.0,8,8,31.0,skype_file6,0
