Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.86-131.202.244.3-50425-53-17,131.202.240.86,50425,131.202.244.3,53,2015-03-31 12:58:30,1,1,32.0,198.0,0
109.188.125.3-131.202.240.86-56337-49624-17,109.188.125.3,56337,131.202.240.86,49624,2015-03-31 13:06:43,1,1,18.0,26.0,0
131.202.240.86-54.174.81.144-1618-80-6,131.202.240.86,1618,54.174.81.144,80,2015-03-31 12:59:06,2,0,0.0,0.0,0
131.202.240.86-54.183.74.146-1688-443-6,131.202.240.86,1688,54.183.74.146,443,2015-03-31 13:07:28,2,0,0.0,0.0,0
131.202.240.86-68.67.152.196-1663-443-6,131.202.240.86,1663,68.67.152.196,443,2015-03-31 12:57:58,1,1,0.0,0.0,0
92.146.110.50-131.202.240.86-54421-49624-17,92.146.110.50,54421,131.202.240.86,49624,2015-03-31 12:58:29,1,1,18.0,26.0,0
213.165.187.181-131.202.240.86-64253-49624-17,213.165.187.181,64253,131.202.240.86,49624,2015-03-31 13:06:50,1,1,18.0,26.0,0
23.49.90.99-131.202.240.86-80-1614-6,23.49.90.99,80,131.202.240.86,1614,2015-03-31 12:58:38,1,1,0.0,0.0,0
131.202.240.86-93.184.215.200-1844-443-6,131.202.240.86,1844,93.184.215.200,443,2015-03-31 13:07:22,11,9,355.0,7202.0,0
208.71.121.72-131.202.240.86-443-1665-6,208.71.121.72,443,131.202.240.86,1665,2015-03-31 12:58:38,1,1,0.0,0.0,0
131.202.240.86-184.25.67.146-1849-80-6,131.202.240.86,1849,184.25.67.146,80,2015-03-31 13:07:22,2,1,0.0,0.0,0
185.82.193.183-131.202.240.86-55013-49624-17,185.82.193.183,55013,131.202.240.86,49624,2015-03-31 13:00:13,1,1,18.0,26.0,0
131.202.240.86-69.25.24.24-1871-443-6,131.202.240.86,1871,69.25.24.24,443,2015-03-31 13:07:25,12,10,1815.0,5372.0,0
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,2015-03-31 13:03:17,2,1,213.0,202.0,0
88.105.69.91-131.202.240.86-11554-49624-17,88.105.69.91,11554,131.202.240.86,49624,2015-03-31 13:07:29,1,1,18.0,26.0,0
131.202.240.86-50.7.70.210-1850-80-6,131.202.240.86,1850,50.7.70.210,80,2015-03-31 13:07:22,4,3,482.0,168.0,0
184.25.67.146-131.202.240.86-80-1590-6,184.25.67.146,80,131.202.240.86,1590,2015-03-31 12:58:38,1,1,0.0,0.0,0
131.202.240.86-131.202.244.3-54323-53-17,131.202.240.86,54323,131.202.244.3,53,2015-03-31 12:58:25,1,1,47.0,512.0,0
131.202.240.86-131.202.244.3-55112-53-17,131.202.240.86,55112,131.202.244.3,53,2015-03-31 12:59:16,1,1,42.0,429.0,0
79.106.109.199-131.202.240.86-29958-49624-17,79.106.109.199,29958,131.202.240.86,49624,2015-03-31 13:02:24,1,1,18.0,26.0,0
131.202.240.86-173.252.100.27-1645-443-6,131.202.240.86,1645,173.252.100.27,443,2015-03-31 12:58:38,1,1,0.0,0.0,0
131.202.240.86-131.202.240.150-49624-49292-6,131.202.240.86,49624,131.202.240.150,49292,2015-03-31 13:06:51,23,32,302.0,302.0,0
131.202.240.86-54.243.96.53-1627-80-6,131.202.240.86,1627,54.243.96.53,80,2015-03-31 12:58:47,2,0,0.0,0.0,0
184.25.67.146-131.202.240.86-80-1586-6,184.25.67.146,80,131.202.240.86,1586,2015-03-31 12:58:38,1,1,0.0,0.0,0
131.202.240.86-131.202.244.3-50564-53-17,131.202.240.86,50564,131.202.244.3,53,2015-03-31 12:58:21,1,1,44.0,420.0,0
131.202.240.86-23.49.84.188-1840-443-6,131.202.240.86,1840,23.49.84.188,443,2015-03-31 13:07:11,10,7,1457.0,3036.0,0
131.202.240.86-24.114.70.186-49624-38485-6,131.202.240.86,49624,24.114.70.186,38485,2015-03-31 13:06:51,1,1,51.0,0.0,0
217.93.135.180-131.202.240.86-49949-49624-17,217.93.135.180,49949,131.202.240.86,49624,2015-03-31 13:03:37,1,1,18.0,26.0,0
131.202.240.86-131.202.240.2-1039-7725-6,131.202.240.86,1039,131.202.240.2,7725,2015-03-31 13:06:15,6,6,120.0,0.0,0
131.202.240.86-131.202.244.3-58743-53-17,131.202.240.86,58743,131.202.244.3,53,2015-03-31 13:00:42,1,1,47.0,512.0,0
131.202.240.86-131.202.244.5-53465-53-17,131.202.240.86,53465,131.202.244.5,53,2015-03-31 13:02:51,1,1,47.0,512.0,0
