Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.86-217.118.78.81-1930-9874-6,131.202.240.86,1930,217.118.78.81,9874,2015-03-31 13:23:03,3,0.0,0
131.202.240.86-131.202.244.3-62678-53-17,131.202.240.86,62678,131.202.244.3,53,2015-03-31 13:35:22,2,277.0,0
131.202.240.86-65.55.2.6-1966-443-6,131.202.240.86,1966,65.55.2.6,443,2015-03-31 13:35:22,16,5054.0,0
131.202.240.86-74.121.142.217-1965-443-6,131.202.240.86,1965,74.121.142.217,443,2015-03-31 13:35:22,15,4949.0,0
119.154.33.69-131.202.240.86-1107-49624-17,119.154.33.69,1107,131.202.240.86,49624,2015-03-31 13:18:32,2,44.0,0
114.109.84.252-131.202.240.86-11901-49624-17,114.109.84.252,11901,131.202.240.86,49624,2015-03-31 13:18:58,2,44.0,0
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,2015-03-31 13:33:17,3,415.0,0
130.166.93.160-131.202.240.86-23599-49624-17,130.166.93.160,23599,131.202.240.86,49624,2015-03-31 13:24:01,2,44.0,0
109.69.5.187-131.202.240.86-55417-49624-17,109.69.5.187,55417,131.202.240.86,49624,2015-03-31 13:24:20,2,44.0,0
87.113.114.106-131.202.240.86-56782-49624-17,87.113.114.106,56782,131.202.240.86,49624,2015-03-31 13:23:09,2,44.0,0
144.172.206.12-131.202.240.86-36249-49624-17,144.172.206.12,36249,131.202.240.86,49624,2015-03-31 13:25:08,2,44.0,0
93.219.87.92-131.202.240.86-28327-49624-17,93.219.87.92,28327,131.202.240.86,49624,2015-03-31 13:20:57,2,44.0,0
131.202.240.86-149.13.32.15-49624-13392-17,131.202.240.86,49624,149.13.32.15,13392,2015-03-31 13:35:21,3,2029.0,0
131.202.240.86-65.55.2.6-1949-443-6,131.202.240.86,1949,65.55.2.6,443,2015-03-31 13:35:22,11,2772.0,0
131.202.240.86-131.202.244.3-51060-53-17,131.202.240.86,51060,131.202.244.3,53,2015-03-31 13:35:22,2,527.0,0
217.118.78.81-131.202.240.86-62067-49624-17,217.118.78.81,62067,131.202.240.86,49624,2015-03-31 13:23:22,2,44.0,0
131.202.240.86-209.148.205.27-1929-80-6,131.202.240.86,1929,209.148.205.27,80,2015-03-31 13:25:30,37445,41669761.0,0
131.202.240.86-131.202.243.255-137-137-17,131.202.240.86,137,131.202.243.255,137,2015-03-31 13:28:48,6,300.0,0
131.202.240.86-50.7.70.210-1951-80-6,131.202.240.86,1951,50.7.70.210,80,2015-03-31 13:35:22,7,650.0,0
131.202.240.86-131.202.244.3-54256-53-17,131.202.240.86,54256,131.202.244.3,53,2015-03-31 13:35:22,2,305.0,0
50.248.208.113-131.202.240.86-21107-49624-17,50.248.208.113,21107,131.202.240.86,49624,2015-03-31 13:21:35,2,44.0,0
31.4.210.236-131.202.240.86-47180-49624-17,31.4.210.236,47180,131.202.240.86,49624,2015-03-31 13:19:04,2,44.0,0
131.202.240.86-131.202.244.3-64415-53-17,131.202.240.86,64415,131.202.244.3,53,2015-03-31 13:25:44,2,277.0,0
131.202.240.86-184.26.182.161-1940-443-6,131.202.240.86,1940,184.26.182.161,443,2015-03-31 13:29:50,2,0.0,0
94.129.137.111-131.202.240.86-27055-49624-17,94.129.137.111,27055,131.202.240.86,49624,2015-03-31 13:32:15,2,44.0,0
78.232.6.238-131.202.240.86-35480-49624-17,78.232.6.238,35480,131.202.240.86,49624,2015-03-31 13:23:18,2,44.0,0
131.202.240.86-38.71.4.136-1926-80-6,131.202.240.86,1926,38.71.4.136,80,2015-03-31 13:18:01,7,991.0,0
78.61.88.74-131.202.240.86-51127-49624-17,78.61.88.74,51127,131.202.240.86,49624,2015-03-31 13:35:09,2,44.0,0
156.34.169.116-131.202.240.86-45238-49624-17,156.34.169.116,45238,131.202.240.86,49624,2015-03-31 13:27:33,2,44.0,0
212.180.199.54-131.202.240.86-3629-49624-17,212.180.199.54,3629,131.202.240.86,49624,2015-03-31 13:23:44,2,44.0,0
39.35.23.96-131.202.240.86-23691-49624-17,39.35.23.96,23691,131.202.240.86,49624,2015-03-31 13:17:32,2,44.0,0
131.202.240.86-131.202.244.3-63885-53-17,131.202.240.86,63885,131.202.244.3,53,2015-03-31 13:29:20,2,450.0,0
87.147.92.226-131.202.240.86-35989-49624-17,87.147.92.226,35989,131.202.240.86,49624,2015-03-31 13:18:11,2,44.0,0
87.165.215.104-131.202.240.86-55670-49624-17,87.165.215.104,55670,131.202.240.86,49624,2015-03-31 13:30:50,2,44.0,0
73.1.141.60-131.202.240.86-12065-49624-17,73.1.141.60,12065,131.202.240.86,49624,2015-03-31 13:23:38,2,44.0,0
131.202.240.86-184.26.182.161-1932-443-6,131.202.240.86,1932,184.26.182.161,443,2015-03-31 13:25:45,2,0.0,0
131.202.240.86-131.202.240.150-49624-49292-6,131.202.240.86,49624,131.202.240.150,49292,2015-03-31 13:34:09,59,600.0,0
131.202.240.86-224.0.0.252-51467-5355-17,131.202.240.86,51467,224.0.0.252,5355,2015-03-31 13:28:47,2,44.0,0
131.202.240.86-131.202.244.3-51957-53-17,131.202.240.86,51957,131.202.244.3,53,2015-03-31 13:29:20,2,467.0,0
109.185.104.170-131.202.240.86-10241-49624-17,109.185.104.170,10241,131.202.240.86,49624,2015-03-31 13:20:33,2,44.0,0
76.10.248.71-131.202.240.86-6419-49624-17,76.10.248.71,6419,131.202.240.86,49624,2015-03-31 13:29:21,2,44.0,0
131.202.240.86-131.202.244.3-55281-53-17,131.202.240.86,55281,131.202.244.3,53,2015-03-31 13:18:08,2,429.0,0
92.232.247.122-131.202.240.86-9962-49624-17,92.232.247.122,9962,131.202.240.86,49624,2015-03-31 13:32:09,2,44.0,0
106.104.64.136-131.202.240.86-13575-49624-17,106.104.64.136,13575,131.202.240.86,49624,2015-03-31 13:23:46,2,44.0,0
94.249.114.162-131.202.240.86-20011-49624-17,94.249.114.162,20011,131.202.240.86,49624,2015-03-31 13:25:19,2,44.0,0
131.202.240.86-69.25.24.24-1963-443-6,131.202.240.86,1963,69.25.24.24,443,2015-03-31 13:35:22,23,7187.0,0
125.253.96.5-131.202.240.86-9010-49624-17,125.253.96.5,9010,131.202.240.86,49624,2015-03-31 13:18:47,2,44.0,0
99.235.193.69-131.202.240.86-61810-49624-17,99.235.193.69,61810,131.202.240.86,49624,2015-03-31 13:20:39,2,44.0,0
131.202.240.86-131.202.244.3-64372-53-17,131.202.240.86,64372,131.202.244.3,53,2015-03-31 13:25:44,2,502.0,0
41.129.213.81-131.202.240.86-28934-49624-17,41.129.213.81,28934,131.202.240.86,49624,2015-03-31 13:22:39,4,78.0,0
86.6.16.218-131.202.240.86-5629-49624-17,86.6.16.218,5629,131.202.240.86,49624,2015-03-31 13:26:45,2,44.0,0
131.202.240.86-131.202.240.2-1039-7725-6,131.202.240.86,1039,131.202.240.2,7725,2015-03-31 13:33:47,16,160.0,0
128.69.116.120-131.202.240.86-34264-49624-17,128.69.116.120,34264,131.202.240.86,49624,2015-03-31 13:26:07,8,176.0,0
173.241.242.220-131.202.240.86-443-1957-6,173.241.242.220,443,131.202.240.86,1957,2015-03-31 13:35:25,3,23.0,0
131.202.240.86-173.252.100.27-1946-443-6,131.202.240.86,1946,173.252.100.27,443,2015-03-31 13:35:21,2,0.0,0
131.202.240.86-191.189.220.200-49624-39067-6,131.202.240.86,49624,191.189.220.200,39067,2015-03-31 13:18:13,2,0.0,0
131.202.240.86-209.148.205.26-1924-80-6,131.202.240.86,1924,209.148.205.26,80,2015-03-31 13:18:01,10,1684.0,0
131.202.240.86-23.96.212.225-1945-443-6,131.202.240.86,1945,23.96.212.225,443,2015-03-31 13:33:07,21,10805.0,0
131.202.240.86-91.190.218.63-1519-12350-6,131.202.240.86,1519,91.190.218.63,12350,2015-03-31 13:29:17,4,15.0,0
131.202.240.86-134.170.19.129-1529-443-6,131.202.240.86,1529,134.170.19.129,443,2015-03-31 13:35:23,5,2239.0,0
