Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.196-131.202.240.150-56801-135-6,131.202.240.196,56801,131.202.240.150,135,01/04/2015 02:46:34 p.m.,6,0.0,0
213.194.122.196-131.202.240.150-0-0-0,213.194.122.196,0,131.202.240.150,0,01/04/2015 02:45:55 p.m.,4,0.0,0
131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,01/04/2015 02:50:01 p.m.,2,11.0,0
182.254.3.101-131.202.240.150-0-0-0,182.254.3.101,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
117.185.27.12-131.202.240.150-0-0-0,117.185.27.12,0,131.202.240.150,0,01/04/2015 02:40:11 p.m.,4,0.0,0
203.205.176.12-131.202.240.150-0-0-0,203.205.176.12,0,131.202.240.150,0,01/04/2015 02:45:12 p.m.,4,0.0,0
131.202.243.27-131.202.240.150-22678-135-6,131.202.243.27,22678,131.202.240.150,135,01/04/2015 02:49:02 p.m.,6,0.0,0
131.202.240.150-131.202.6.3-47353-53-17,131.202.240.150,47353,131.202.6.3,53,01/04/2015 02:37:41 p.m.,2,273.0,0
131.202.240.150-216.58.219.206-33090-443-6,131.202.240.150,33090,216.58.219.206,443,01/04/2015 02:40:18 p.m.,2,0.0,0
131.202.240.196-131.202.240.150-56803-524-6,131.202.240.196,56803,131.202.240.150,524,01/04/2015 02:46:38 p.m.,6,0.0,0
131.202.240.150-131.202.244.5-30425-53-17,131.202.240.150,30425,131.202.244.5,53,01/04/2015 02:37:51 p.m.,2,284.0,0
131.202.240.150-23.235.40.246-41723-80-6,131.202.240.150,41723,23.235.40.246,80,01/04/2015 02:38:09 p.m.,2,0.0,0
203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,01/04/2015 02:47:44 p.m.,4,0.0,0
182.254.234.94-131.202.240.150-0-0-0,182.254.234.94,0,131.202.240.150,0,01/04/2015 02:45:11 p.m.,4,0.0,0
119.81.4.50-131.202.240.150-0-0-0,119.81.4.50,0,131.202.240.150,0,01/04/2015 02:40:01 p.m.,4,0.0,0
203.205.144.12-131.202.240.150-0-0-0,203.205.144.12,0,131.202.240.150,0,01/04/2015 02:45:11 p.m.,4,0.0,0
131.202.240.196-131.202.240.150-56800-135-6,131.202.240.196,56800,131.202.240.150,135,01/04/2015 02:46:33 p.m.,6,0.0,0
113.108.70.183-131.202.240.150-0-0-0,113.108.70.183,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
131.202.243.27-131.202.240.150-22677-135-6,131.202.243.27,22677,131.202.240.150,135,01/04/2015 02:49:01 p.m.,6,0.0,0
131.202.240.150-173.194.123.96-56741-443-6,131.202.240.150,56741,173.194.123.96,443,01/04/2015 02:47:01 p.m.,2,0.0,0
101.226.77.16-131.202.240.150-0-0-0,101.226.77.16,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
131.202.240.196-131.202.240.150-56804-445-6,131.202.240.196,56804,131.202.240.150,445,01/04/2015 02:46:39 p.m.,34,4125.0,0
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,01/04/2015 02:48:21 p.m.,4,764.0,0
182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,01/04/2015 02:40:03 p.m.,2,0.0,0
103.7.29.12-131.202.240.150-0-0-0,103.7.29.12,0,131.202.240.150,0,01/04/2015 02:45:14 p.m.,4,0.0,0
120.198.195.116-131.202.240.150-0-0-0,120.198.195.116,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
131.202.240.150-131.202.244.5-21191-53-17,131.202.240.150,21191,131.202.244.5,53,01/04/2015 02:40:00 p.m.,2,250.0,0
203.205.148.12-131.202.240.150-0-0-0,203.205.148.12,0,131.202.240.150,0,01/04/2015 02:40:11 p.m.,4,0.0,0
131.202.240.150-216.58.219.227-52966-443-6,131.202.240.150,52966,216.58.219.227,443,01/04/2015 02:41:41 p.m.,2,0.0,0
131.202.240.150-131.202.244.3-21191-53-17,131.202.240.150,21191,131.202.244.3,53,01/04/2015 02:40:00 p.m.,2,410.0,0
182.254.5.12-131.202.240.150-0-0-0,182.254.5.12,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
203.205.160.15-131.202.240.150-0-0-0,203.205.160.15,0,131.202.240.150,0,01/04/2015 02:40:10 p.m.,4,0.0,0
183.61.32.19-131.202.240.150-0-0-0,183.61.32.19,0,131.202.240.150,0,01/04/2015 02:40:20 p.m.,4,0.0,0
131.202.240.150-173.194.123.96-56742-443-6,131.202.240.150,56742,173.194.123.96,443,01/04/2015 02:47:25 p.m.,2,0.0,0
131.202.243.27-131.202.240.150-22679-445-6,131.202.243.27,22679,131.202.240.150,445,01/04/2015 02:49:03 p.m.,33,4055.0,0
131.202.240.150-131.202.244.5-47353-53-17,131.202.240.150,47353,131.202.244.5,53,01/04/2015 02:37:41 p.m.,2,225.0,0
203.205.136.100-131.202.240.150-0-0-0,203.205.136.100,0,131.202.240.150,0,01/04/2015 02:45:11 p.m.,4,0.0,0
131.202.240.150-131.202.244.5-56355-53-17,131.202.240.150,56355,131.202.244.5,53,01/04/2015 02:37:51 p.m.,2,285.0,0
182.254.6.23-131.202.240.150-0-0-0,182.254.6.23,0,131.202.240.150,0,01/04/2015 02:40:10 p.m.,4,0.0,0
