Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-173.194.208.189-48642-443-6,131.202.240.150,48642,173.194.208.189,443,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-216.58.219.227-41653-443-6,131.202.240.150,41653,216.58.219.227,443,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-216.58.219.195-32829-443-6,131.202.240.150,32829,216.58.219.195,443,2015-02-04 10:28:59,2,2,0.0,0.0,0
131.202.240.150-131.202.244.5-49868-53-17,131.202.240.150,49868,131.202.244.5,53,2015-02-04 10:28:50,1,1,32.0,248.0,0
131.202.240.150-131.202.244.5-29177-53-17,131.202.240.150,29177,131.202.244.5,53,2015-02-04 10:28:52,1,1,43.0,263.0,0
131.202.240.150-74.125.226.184-39212-80-6,131.202.240.150,39212,74.125.226.184,80,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-131.202.244.3-10296-53-17,131.202.240.150,10296,131.202.244.3,53,2015-02-04 10:30:05,1,1,33.0,379.0,0
131.202.240.150-216.58.219.237-35119-443-6,131.202.240.150,35119,216.58.219.237,443,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-173.194.123.94-51683-443-6,131.202.240.150,51683,173.194.123.94,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-131.202.244.5-14353-53-17,131.202.240.150,14353,131.202.244.5,53,2015-02-04 10:28:48,1,1,31.0,378.0,0
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,2015-02-04 10:30:01,3,0,614.0,0.0,0
131.202.240.150-131.202.6.3-21352-53-17,131.202.240.150,21352,131.202.6.3,53,2015-02-04 10:28:48,1,1,40.0,226.0,0
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,2015-02-04 10:28:48,3919,6136,510267.0,9819539.0,0
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,2015-02-04 10:29:14,2,2,0.0,0.0,0
131.202.240.150-131.202.244.5-21352-53-17,131.202.240.150,21352,131.202.244.5,53,2015-02-04 10:28:48,1,1,40.0,226.0,0
131.202.240.150-173.194.123.48-56554-443-6,131.202.240.150,56554,173.194.123.48,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-131.202.244.5-17127-53-17,131.202.240.150,17127,131.202.244.5,53,2015-02-04 10:30:14,1,1,30.0,371.0,0
131.202.240.150-131.202.244.5-10296-53-17,131.202.240.150,10296,131.202.244.5,53,2015-02-04 10:30:05,1,1,33.0,379.0,0
131.202.240.150-74.125.226.166-42431-443-6,131.202.240.150,42431,74.125.226.166,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-131.202.244.5-20063-53-17,131.202.240.150,20063,131.202.244.5,53,2015-02-04 10:28:51,1,1,43.0,270.0,0
131.202.240.150-131.202.244.5-42735-53-17,131.202.240.150,42735,131.202.244.5,53,2015-02-04 10:28:50,1,1,43.0,274.0,0
131.202.240.150-216.58.219.237-35118-443-6,131.202.240.150,35118,216.58.219.237,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-173.194.123.118-33193-443-6,131.202.240.150,33193,173.194.123.118,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-131.202.244.5-41794-53-17,131.202.240.150,41794,131.202.244.5,53,2015-02-04 10:28:49,1,1,42.0,262.0,0
131.202.240.150-131.202.244.5-36893-53-17,131.202.240.150,36893,131.202.244.5,53,2015-02-04 10:28:49,1,1,42.0,388.0,0
131.202.240.150-173.194.123.99-41725-443-6,131.202.240.150,41725,173.194.123.99,443,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-131.202.244.5-16985-53-17,131.202.240.150,16985,131.202.244.5,53,2015-02-04 10:30:24,1,1,29.0,373.0,0
131.202.240.150-131.202.244.3-21352-53-17,131.202.240.150,21352,131.202.244.3,53,2015-02-04 10:28:48,1,1,40.0,226.0,0
131.202.240.150-131.202.244.5-6662-53-17,131.202.240.150,6662,131.202.244.5,53,2015-02-04 10:28:51,1,1,46.0,278.0,0
131.202.240.150-173.194.123.96-48145-443-6,131.202.240.150,48145,173.194.123.96,443,2015-02-04 10:29:02,2,2,0.0,0.0,0
131.202.240.150-173.194.123.117-50118-443-6,131.202.240.150,50118,173.194.123.117,443,2015-02-04 10:28:54,3,3,0.0,0.0,0
131.202.240.150-216.58.219.227-41651-443-6,131.202.240.150,41651,216.58.219.227,443,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-131.202.6.3-10296-53-17,131.202.240.150,10296,131.202.6.3,53,2015-02-04 10:30:05,1,1,33.0,219.0,0
131.202.240.150-131.202.244.5-38248-53-17,131.202.240.150,38248,131.202.244.5,53,2015-02-04 10:28:49,1,1,50.0,238.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-02-04 10:29:54,2,0,0.0,0.0,0
131.202.240.150-216.58.219.195-53347-80-6,131.202.240.150,53347,216.58.219.195,80,2015-02-04 10:28:52,3,3,0.0,0.0,0
131.202.240.150-173.194.123.100-40594-443-6,131.202.240.150,40594,173.194.123.100,443,2015-02-04 10:28:53,3,3,0.0,0.0,0
131.202.240.150-173.194.123.48-47131-80-6,131.202.240.150,47131,173.194.123.48,80,2015-02-04 10:28:53,3,3,0.0,0.0,0
