Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,2015-02-04 10:36:55,4,764.0,0
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,2015-02-04 10:37:55,302,195623.0,0
131.202.240.150-131.202.6.3-9626-53-17,131.202.240.150,9626,131.202.6.3,53,2015-02-04 10:39:20,2,241.0,0
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,2015-02-04 10:38:15,4,0.0,0
131.202.240.150-131.202.244.5-23708-53-17,131.202.240.150,23708,131.202.244.5,53,2015-02-04 10:35:58,2,306.0,0
131.202.240.150-131.202.244.3-6146-53-17,131.202.240.150,6146,131.202.244.3,53,2015-02-04 10:38:43,2,410.0,0
131.202.240.150-131.202.244.5-9626-53-17,131.202.240.150,9626,131.202.244.5,53,2015-02-04 10:39:20,2,401.0,0
131.202.240.150-131.202.244.5-4986-53-17,131.202.240.150,4986,131.202.244.5,53,2015-02-04 10:38:40,2,412.0,0
131.202.240.150-131.202.244.5-7019-53-17,131.202.240.150,7019,131.202.244.5,53,2015-02-04 10:35:55,2,288.0,0
131.202.240.150-74.125.226.160-36676-443-6,131.202.240.150,36676,74.125.226.160,443,2015-02-04 10:38:43,31,6678.0,0
131.202.240.150-131.202.6.3-7019-53-17,131.202.240.150,7019,131.202.6.3,53,2015-02-04 10:35:55,2,288.0,0
131.202.240.150-131.202.6.3-4986-53-17,131.202.240.150,4986,131.202.6.3,53,2015-02-04 10:38:40,2,252.0,0
131.202.240.150-131.202.244.3-9626-53-17,131.202.240.150,9626,131.202.244.3,53,2015-02-04 10:39:20,2,401.0,0
131.202.240.150-131.202.244.3-7019-53-17,131.202.240.150,7019,131.202.244.3,53,2015-02-04 10:35:55,2,288.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-02-04 10:38:14,4,0.0,0
131.202.240.150-131.202.244.3-5013-53-17,131.202.240.150,5013,131.202.244.3,53,2015-02-04 10:38:56,2,399.0,0
131.202.240.150-131.202.244.3-48487-53-17,131.202.240.150,48487,131.202.244.3,53,2015-02-04 10:38:43,2,251.0,0
131.202.240.150-131.202.244.3-4986-53-17,131.202.240.150,4986,131.202.244.3,53,2015-02-04 10:38:40,2,412.0,0
131.202.240.150-216.58.219.237-35197-443-6,131.202.240.150,35197,216.58.219.237,443,2015-02-04 10:38:43,29,2270.0,0
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,2015-02-04 10:35:52,20939,22117962.0,0
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,2015-02-04 10:36:00,6,0.0,0
