Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-131.202.244.5-25548-53-17,131.202.240.150,25548,131.202.244.5,53,2015-01-04 13:32:39,1,1,34.0,298.0,0
131.202.240.150-74.125.226.5-48003-443-6,131.202.240.150,48003,74.125.226.5,443,2015-01-04 13:36:29,1,1,0.0,0.0,0
131.202.240.150-131.202.244.5-58077-53-17,131.202.240.150,58077,131.202.244.5,53,2015-01-04 13:32:34,1,1,27.0,291.0,0
23.203.88.184-131.202.240.150-443-33124-6,23.203.88.184,443,131.202.240.150,33124,2015-01-04 13:29:07,1,1,53.0,0.0,0
131.202.240.150-131.202.244.3-58077-53-17,131.202.240.150,58077,131.202.244.3,53,2015-01-04 13:32:34,1,1,27.0,291.0,0
131.202.240.150-131.202.244.3-23275-53-17,131.202.240.150,23275,131.202.244.3,53,2015-01-04 13:31:34,1,1,27.0,291.0,0
131.202.240.150-131.202.6.3-26972-53-17,131.202.240.150,26972,131.202.6.3,53,2015-01-04 13:35:58,1,1,41.0,212.0,0
131.202.240.150-131.202.244.5-23275-53-17,131.202.240.150,23275,131.202.244.5,53,2015-01-04 13:31:34,1,1,27.0,291.0,0
131.202.240.150-131.202.244.5-6002-53-17,131.202.240.150,6002,131.202.244.5,53,2015-01-04 13:32:35,1,1,32.0,232.0,0
131.202.240.150-131.202.6.3-16325-53-17,131.202.240.150,16325,131.202.6.3,53,2015-01-04 13:31:39,1,1,34.0,250.0,0
131.202.240.150-131.202.6.3-61046-53-17,131.202.240.150,61046,131.202.6.3,53,2015-01-04 13:36:37,1,1,27.0,243.0,0
131.202.240.150-131.202.244.5-58696-53-17,131.202.240.150,58696,131.202.244.5,53,2015-01-04 13:30:33,1,1,27.0,291.0,0
131.202.240.150-131.202.244.3-58696-53-17,131.202.240.150,58696,131.202.244.3,53,2015-01-04 13:30:33,1,1,27.0,291.0,0
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,2015-01-04 13:35:09,7,4,2943.0,1071.0,0
131.202.240.150-173.194.123.70-42910-443-6,131.202.240.150,42910,173.194.123.70,443,2015-01-04 13:35:58,30,32,3664.0,8843.0,0
131.202.240.150-131.202.244.5-10716-53-17,131.202.240.150,10716,131.202.244.5,53,2015-01-04 13:33:35,1,1,27.0,291.0,0
131.202.240.150-131.202.244.3-10716-53-17,131.202.240.150,10716,131.202.244.3,53,2015-01-04 13:33:35,1,1,27.0,291.0,0
131.202.240.150-131.202.244.3-61046-53-17,131.202.240.150,61046,131.202.244.3,53,2015-01-04 13:36:37,1,1,27.0,291.0,0
131.202.240.150-131.202.244.5-35880-53-17,131.202.240.150,35880,131.202.244.5,53,2015-01-04 13:29:32,1,1,27.0,291.0,0
131.202.240.150-131.202.244.3-35880-53-17,131.202.240.150,35880,131.202.244.3,53,2015-01-04 13:29:32,1,1,27.0,291.0,0
