Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-74.125.226.5-48003-443-6,131.202.240.150,48003,74.125.226.5,443,2015-01-04 13:42:11,2,0.0,0
131.202.240.150-173.194.123.109-60897-443-6,131.202.240.150,60897,173.194.123.109,443,2015-01-04 13:42:03,2,0.0,0
131.202.240.150-131.202.244.3-57688-53-17,131.202.240.150,57688,131.202.244.3,53,2015-01-04 13:38:03,2,344.0,0
131.202.240.150-173.194.123.122-33448-443-6,131.202.240.150,33448,173.194.123.122,443,2015-01-04 13:42:02,2,0.0,0
131.202.240.150-173.194.123.123-53191-443-6,131.202.240.150,53191,173.194.123.123,443,2015-01-04 13:42:03,2,0.0,0
131.202.240.150-72.21.91.187-58291-443-6,131.202.240.150,58291,72.21.91.187,443,2015-01-04 13:43:03,19,6573.0,0
131.202.240.196-131.202.240.150-56664-135-6,131.202.240.196,56664,131.202.240.150,135,2015-01-04 13:42:24,6,0.0,0
131.202.240.150-104.156.85.217-34239-443-6,131.202.240.150,34239,104.156.85.217,443,2015-01-04 13:43:21,25,7693.0,0
131.202.240.150-192.0.80.242-38882-443-6,131.202.240.150,38882,192.0.80.242,443,2015-01-04 13:38:03,21,6674.0,0
131.202.240.150-131.202.244.5-43165-53-17,131.202.240.150,43165,131.202.244.5,53,2015-01-04 13:43:05,2,318.0,0
131.202.240.150-199.127.194.209-36725-443-6,131.202.240.150,36725,199.127.194.209,443,2015-01-04 13:42:07,15,5450.0,0
131.202.240.150-131.202.244.3-38561-53-17,131.202.240.150,38561,131.202.244.3,53,2015-01-04 13:42:18,2,250.0,0
131.202.240.150-131.202.244.5-30070-53-17,131.202.240.150,30070,131.202.244.5,53,2015-01-04 13:38:33,2,511.0,0
131.202.240.150-173.194.123.121-59335-443-6,131.202.240.150,59335,173.194.123.121,443,2015-01-04 13:38:03,19,4630.0,0
131.202.240.150-131.202.244.3-30070-53-17,131.202.240.150,30070,131.202.244.3,53,2015-01-04 13:38:33,2,514.0,0
131.202.240.150-131.202.6.3-46603-53-17,131.202.240.150,46603,131.202.6.3,53,2015-01-04 13:39:03,2,270.0,0
131.202.240.150-131.202.6.3-43340-53-17,131.202.240.150,43340,131.202.6.3,53,2015-01-04 13:40:05,2,284.0,0
131.202.240.150-131.202.244.5-24841-53-17,131.202.240.150,24841,131.202.244.5,53,2015-01-04 13:38:35,2,332.0,0
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,2015-01-04 13:42:05,11,4110.0,0
131.202.240.150-173.194.123.70-42910-443-6,131.202.240.150,42910,173.194.123.70,443,2015-01-04 13:39:58,2,0.0,0
131.202.240.150-131.202.6.3-35741-53-17,131.202.240.150,35741,131.202.6.3,53,2015-01-04 13:38:00,2,270.0,0
131.202.240.150-131.202.244.3-22300-53-17,131.202.240.150,22300,131.202.244.3,53,2015-01-04 13:38:03,2,472.0,0
131.202.240.150-131.202.6.3-52903-53-17,131.202.240.150,52903,131.202.6.3,53,2015-01-04 13:42:05,2,270.0,0
131.202.240.150-131.202.244.3-25976-53-17,131.202.240.150,25976,131.202.244.3,53,2015-01-04 13:38:00,2,316.0,0
131.202.240.150-216.58.219.238-48804-443-6,131.202.240.150,48804,216.58.219.238,443,2015-01-04 13:42:00,2,0.0,0
131.202.240.150-131.202.244.3-52903-53-17,131.202.240.150,52903,131.202.244.3,53,2015-01-04 13:42:05,2,318.0,0
131.202.240.196-131.202.240.150-56663-135-6,131.202.240.196,56663,131.202.240.150,135,2015-01-04 13:42:23,6,0.0,0
131.202.240.150-192.0.80.242-38880-443-6,131.202.240.150,38880,192.0.80.242,443,2015-01-04 13:41:03,2,0.0,0
131.202.240.196-131.202.240.150-56667-445-6,131.202.240.196,56667,131.202.240.150,445,2015-01-04 13:42:28,35,4253.0,0
131.202.240.150-131.202.6.3-24503-53-17,131.202.240.150,24503,131.202.6.3,53,2015-01-04 13:40:04,2,270.0,0
131.202.240.150-131.202.244.3-35741-53-17,131.202.240.150,35741,131.202.244.3,53,2015-01-04 13:38:00,2,318.0,0
131.202.240.150-131.202.244.3-40564-53-17,131.202.240.150,40564,131.202.244.3,53,2015-01-04 13:41:35,2,332.0,0
131.202.240.150-131.202.244.5-40564-53-17,131.202.240.150,40564,131.202.244.5,53,2015-01-04 13:41:35,2,332.0,0
131.202.240.150-173.194.123.121-59317-443-6,131.202.240.150,59317,173.194.123.121,443,2015-01-04 13:42:00,2,0.0,0
131.202.240.150-131.202.244.5-35741-53-17,131.202.240.150,35741,131.202.244.5,53,2015-01-04 13:38:00,2,318.0,0
131.202.240.150-131.202.244.5-52903-53-17,131.202.240.150,52903,131.202.244.5,53,2015-01-04 13:42:05,2,318.0,0
131.202.240.150-131.202.244.3-30678-53-17,131.202.240.150,30678,131.202.244.3,53,2015-01-04 13:38:03,2,268.0,0
131.202.240.150-131.202.244.3-62112-53-17,131.202.240.150,62112,131.202.244.3,53,2015-01-04 13:38:03,2,293.0,0
131.202.240.150-131.202.244.5-62082-53-17,131.202.240.150,62082,131.202.244.5,53,2015-01-04 13:41:04,2,318.0,0
131.202.240.150-131.202.244.3-62082-53-17,131.202.240.150,62082,131.202.244.3,53,2015-01-04 13:41:04,2,318.0,0
