Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-112.208.3.85-16899-35137-6,131.202.240.87,16899,112.208.3.85,35137,01/04/2015 02:56:24 p.m.,3,0.0,0
131.202.240.87-189.244.130.193-61009-21521-17,131.202.240.87,61009,189.244.130.193,21521,01/04/2015 02:59:34 p.m.,2,388.0,0
119.197.197.35-131.202.240.87-52731-61009-17,119.197.197.35,52731,131.202.240.87,61009,01/04/2015 02:58:16 p.m.,4,266.0,0
154.45.216.199-131.202.240.87-1068-61009-17,154.45.216.199,1068,131.202.240.87,61009,01/04/2015 03:00:24 p.m.,2,436.0,0
86.129.142.235-131.202.240.87-16878-61009-17,86.129.142.235,16878,131.202.240.87,61009,01/04/2015 02:55:46 p.m.,6,1374.0,0
131.202.240.87-122.188.61.62-61009-20823-17,131.202.240.87,61009,122.188.61.62,20823,01/04/2015 02:56:15 p.m.,4,700.0,0
106.68.164.181-131.202.240.87-27446-61009-17,106.68.164.181,27446,131.202.240.87,61009,01/04/2015 02:59:13 p.m.,2,391.0,0
131.202.240.87-188.243.28.86-61009-64418-17,131.202.240.87,61009,188.243.28.86,64418,01/04/2015 02:58:01 p.m.,2,392.0,0
131.202.240.87-70.67.144.215-61009-55300-17,131.202.240.87,61009,70.67.144.215,55300,01/04/2015 02:59:39 p.m.,2,392.0,0
131.202.240.87-78.131.66.166-61009-4176-17,131.202.240.87,61009,78.131.66.166,4176,01/04/2015 03:00:29 p.m.,2,425.0,0
131.202.240.87-89.135.247.150-61009-29180-17,131.202.240.87,61009,89.135.247.150,29180,01/04/2015 02:56:35 p.m.,2,182.0,0
131.202.240.87-92.80.201.125-61009-38877-17,131.202.240.87,61009,92.80.201.125,38877,01/04/2015 02:59:32 p.m.,2,392.0,0
131.202.240.87-5.53.197.132-61009-52642-17,131.202.240.87,61009,5.53.197.132,52642,01/04/2015 02:57:11 p.m.,2,392.0,0
115.22.227.211-131.202.240.87-53277-61009-17,115.22.227.211,53277,131.202.240.87,61009,01/04/2015 02:57:30 p.m.,4,521.0,0
131.202.240.87-131.202.244.3-17596-53-17,131.202.240.87,17596,131.202.244.3,53,01/04/2015 03:01:11 p.m.,2,158.0,0
131.202.240.87-224.0.0.252-62709-5355-17,131.202.240.87,62709,224.0.0.252,5355,01/04/2015 02:57:28 p.m.,2,44.0,0
131.202.240.87-112.208.3.85-61009-35137-17,131.202.240.87,61009,112.208.3.85,35137,01/04/2015 02:56:24 p.m.,7,223.0,0
173.194.123.56-131.202.240.87-443-16920-6,173.194.123.56,443,131.202.240.87,16920,01/04/2015 03:00:13 p.m.,2,0.0,0
131.202.240.87-72.181.52.208-61009-37218-17,131.202.240.87,61009,72.181.52.208,37218,01/04/2015 02:56:23 p.m.,2,452.0,0
42.57.218.143-131.202.240.87-6881-61009-17,42.57.218.143,6881,131.202.240.87,61009,01/04/2015 02:59:36 p.m.,2,388.0,0
131.202.240.87-224.0.0.252-55419-5355-17,131.202.240.87,55419,224.0.0.252,5355,01/04/2015 03:00:45 p.m.,2,44.0,0
131.202.240.87-131.202.244.5-59463-53-17,131.202.240.87,59463,131.202.244.5,53,01/04/2015 03:00:10 p.m.,2,249.0,0
131.202.240.87-31.208.6.80-61009-53700-17,131.202.240.87,61009,31.208.6.80,53700,01/04/2015 02:59:46 p.m.,2,392.0,0
37.209.67.105-131.202.240.87-28904-61009-17,37.209.67.105,28904,131.202.240.87,61009,01/04/2015 03:00:35 p.m.,6,150.0,0
131.202.240.87-131.202.6.3-57746-53-17,131.202.240.87,57746,131.202.6.3,53,01/04/2015 03:00:31 p.m.,2,271.0,0
88.162.44.83-131.202.240.87-19771-61009-17,88.162.44.83,19771,131.202.240.87,61009,01/04/2015 02:55:39 p.m.,2,391.0,0
120.219.100.53-131.202.240.87-1025-61009-17,120.219.100.53,1025,131.202.240.87,61009,01/04/2015 03:00:24 p.m.,2,421.0,0
131.202.240.86-131.202.240.87-53753-32551-17,131.202.240.86,53753,131.202.240.87,32551,01/04/2015 02:59:24 p.m.,10731,854682.0,0
131.202.240.87-131.202.244.3-49280-53-17,131.202.240.87,49280,131.202.244.3,53,01/04/2015 03:00:08 p.m.,2,216.0,0
192.166.102.251-131.202.240.87-42215-61009-17,192.166.102.251,42215,131.202.240.87,61009,01/04/2015 02:55:28 p.m.,2,392.0,0
131.202.240.87-75.157.21.38-61009-18418-17,131.202.240.87,61009,75.157.21.38,18418,01/04/2015 02:56:14 p.m.,2,182.0,0
131.202.240.87-131.202.244.3-59463-53-17,131.202.240.87,59463,131.202.244.3,53,01/04/2015 03:00:10 p.m.,2,249.0,0
178.19.251.83-131.202.240.87-26630-61009-17,178.19.251.83,26630,131.202.240.87,61009,01/04/2015 02:58:54 p.m.,2,388.0,0
131.202.240.87-24.244.173.218-61009-40700-17,131.202.240.87,61009,24.244.173.218,40700,01/04/2015 02:58:08 p.m.,2,392.0,0
131.202.240.87-131.202.244.3-57746-53-17,131.202.240.87,57746,131.202.244.3,53,01/04/2015 03:00:31 p.m.,2,369.0,0
131.202.240.87-131.202.244.5-57746-53-17,131.202.240.87,57746,131.202.244.5,53,01/04/2015 03:00:31 p.m.,2,369.0,0
175.155.189.125-131.202.240.87-25908-61009-17,175.155.189.125,25908,131.202.240.87,61009,01/04/2015 02:57:07 p.m.,2,388.0,0
58.34.8.213-131.202.240.87-16001-61009-17,58.34.8.213,16001,131.202.240.87,61009,01/04/2015 02:57:41 p.m.,14,3094.0,0
85.110.56.107-131.202.240.87-34432-61009-17,85.110.56.107,34432,131.202.240.87,61009,01/04/2015 02:58:57 p.m.,2,388.0,0
131.202.240.87-95.211.210.136-61009-6881-17,131.202.240.87,61009,95.211.210.136,6881,01/04/2015 02:57:10 p.m.,2,380.0,0
83.162.214.164-131.202.240.87-16884-61009-17,83.162.214.164,16884,131.202.240.87,61009,01/04/2015 02:59:07 p.m.,2,391.0,0
5.109.72.201-131.202.240.87-6890-61009-17,5.109.72.201,6890,131.202.240.87,61009,01/04/2015 02:59:41 p.m.,2,388.0,0
217.66.157.117-131.202.240.87-16095-61009-17,217.66.157.117,16095,131.202.240.87,61009,01/04/2015 02:57:37 p.m.,2,388.0,0
49.81.158.213-131.202.240.87-1157-61009-17,49.81.158.213,1157,131.202.240.87,61009,01/04/2015 02:55:43 p.m.,3,491.0,0
216.58.219.237-131.202.240.87-443-16924-6,216.58.219.237,443,131.202.240.87,16924,01/04/2015 03:00:09 p.m.,2,0.0,0
131.202.240.87-96.51.140.119-61009-12377-17,131.202.240.87,61009,96.51.140.119,12377,01/04/2015 03:00:14 p.m.,2,392.0,0
131.202.240.87-77.72.168.228-17599-80-17,131.202.240.87,17599,77.72.168.228,80,01/04/2015 03:01:11 p.m.,75,12900.0,0
131.202.240.87-185.74.221.75-61009-7803-17,131.202.240.87,61009,185.74.221.75,7803,01/04/2015 02:57:03 p.m.,2,380.0,0
131.202.240.87-112.208.3.85-16901-35137-6,131.202.240.87,16901,112.208.3.85,35137,01/04/2015 02:58:14 p.m.,3,0.0,0
193.192.37.21-131.202.240.87-8513-61009-17,193.192.37.21,8513,131.202.240.87,61009,01/04/2015 02:57:30 p.m.,6,1326.0,0
93.150.140.75-131.202.240.87-58531-61009-17,93.150.140.75,58531,131.202.240.87,61009,01/04/2015 02:57:40 p.m.,6,1176.0,0
131.202.240.87-79.177.205.217-61009-63121-17,131.202.240.87,61009,79.177.205.217,63121,01/04/2015 02:57:14 p.m.,4,784.0,0
131.202.240.87-89.229.158.213-61009-54705-17,131.202.240.87,61009,89.229.158.213,54705,01/04/2015 02:57:10 p.m.,2,392.0,0
