Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
221.156.189.157-131.202.240.87-57948-61009-17,221.156.189.157,57948,131.202.240.87,61009,2015-01-04 15:05:14,1,1,65.0,68.0,0
105.104.175.185-131.202.240.87-10823-61009-17,105.104.175.185,10823,131.202.240.87,61009,2015-01-04 15:05:55,2,2,366.0,396.0,0
119.197.197.35-131.202.240.87-52731-61009-17,119.197.197.35,52731,131.202.240.87,61009,2015-01-04 15:10:42,2,2,166.0,355.0,0
131.202.240.87-131.202.244.3-17607-53-17,131.202.240.87,17607,131.202.244.3,53,2015-01-04 15:10:56,1,1,37.0,121.0,0
95.128.244.10-131.202.240.87-6881-61009-17,95.128.244.10,6881,131.202.240.87,61009,2015-01-04 15:06:57,1,1,101.0,287.0,0
93.233.31.8-131.202.240.87-50326-61009-17,93.233.31.8,50326,131.202.240.87,61009,2015-01-04 15:09:15,1,1,101.0,287.0,0
131.202.240.87-224.0.0.252-53692-5355-17,131.202.240.87,53692,224.0.0.252,5355,2015-01-04 15:10:20,2,0,44.0,0.0,0
131.202.240.87-78.131.66.166-61009-4176-17,131.202.240.87,61009,78.131.66.166,4176,2015-01-04 15:07:14,1,1,103.0,287.0,0
131.202.240.87-224.0.0.252-51762-5355-17,131.202.240.87,51762,224.0.0.252,5355,2015-01-04 15:06:38,2,0,44.0,0.0,0
217.87.212.44-131.202.240.87-6881-61009-17,217.87.212.44,6881,131.202.240.87,61009,2015-01-04 15:07:30,1,1,101.0,287.0,0
124.6.181.92-131.202.240.87-20373-61009-17,124.6.181.92,20373,131.202.240.87,61009,2015-01-04 15:10:32,1,1,67.0,70.0,0
77.91.180.91-131.202.240.87-11077-61009-17,77.91.180.91,11077,131.202.240.87,61009,2015-01-04 15:09:08,2,2,332.0,471.0,0
131.202.240.87-5.53.197.132-61009-52642-17,131.202.240.87,61009,5.53.197.132,52642,2015-01-04 15:07:15,1,1,103.0,289.0,0
131.202.240.87-224.0.0.252-59668-5355-17,131.202.240.87,59668,224.0.0.252,5355,2015-01-04 15:10:47,2,0,44.0,0.0,0
131.202.240.87-131.202.244.3-52513-53-17,131.202.240.87,52513,131.202.244.3,53,2015-01-04 15:10:20,1,1,32.0,82.0,0
131.202.240.87-77.126.41.139-61009-45682-17,131.202.240.87,61009,77.126.41.139,45682,2015-01-04 15:07:21,2,2,319.0,389.0,0
184.79.113.159-131.202.240.87-1024-61009-17,184.79.113.159,1024,131.202.240.87,61009,2015-01-04 15:07:10,1,1,103.0,289.0,0
131.202.240.87-81.170.195.215-61009-39082-17,131.202.240.87,61009,81.170.195.215,39082,2015-01-04 15:06:11,1,1,103.0,287.0,0
193.194.108.5-131.202.240.87-51501-61009-17,193.194.108.5,51501,131.202.240.87,61009,2015-01-04 15:09:17,1,1,117.0,345.0,0
131.202.240.87-85.67.208.95-61009-23974-17,131.202.240.87,61009,85.67.208.95,23974,2015-01-04 15:08:13,2,2,392.0,392.0,0
131.202.240.87-198.91.189.247-61009-64222-17,131.202.240.87,61009,198.91.189.247,64222,2015-01-04 15:06:25,1,1,103.0,289.0,0
131.202.240.87-31.208.6.80-61009-53700-17,131.202.240.87,61009,31.208.6.80,53700,2015-01-04 15:09:58,1,1,103.0,289.0,0
131.202.240.87-224.0.0.252-55525-5355-17,131.202.240.87,55525,224.0.0.252,5355,2015-01-04 15:06:38,2,0,44.0,0.0,0
131.202.240.87-78.68.56.52-61009-64626-17,131.202.240.87,61009,78.68.56.52,64626,2015-01-04 15:10:12,1,1,103.0,289.0,0
190.110.161.29-131.202.240.87-41776-61009-17,190.110.161.29,41776,131.202.240.87,61009,2015-01-04 15:10:13,1,1,103.0,289.0,0
131.202.240.87-77.78.41.139-61009-25872-17,131.202.240.87,61009,77.78.41.139,25872,2015-01-04 15:07:23,2,2,319.0,197.0,0
89.102.9.241-131.202.240.87-26493-61009-17,89.102.9.241,26493,131.202.240.87,61009,2015-01-04 15:07:51,1,1,98.0,293.0,0
112.198.79.21-131.202.240.87-45457-61009-17,112.198.79.21,45457,131.202.240.87,61009,2015-01-04 15:06:08,3,3,309.0,867.0,0
131.202.240.87-224.0.0.252-56348-5355-17,131.202.240.87,56348,224.0.0.252,5355,2015-01-04 15:07:25,2,0,44.0,0.0,0
79.98.8.25-131.202.240.87-51805-61009-17,79.98.8.25,51805,131.202.240.87,61009,2015-01-04 15:10:03,1,1,101.0,287.0,0
111.85.5.68-131.202.240.87-6399-61009-17,111.85.5.68,6399,131.202.240.87,61009,2015-01-04 15:08:50,1,1,101.0,287.0,0
131.202.240.87-110.148.113.160-61009-62348-17,131.202.240.87,61009,110.148.113.160,62348,2015-01-04 15:07:21,1,1,117.0,343.0,0
131.202.240.87-62.193.155.87-61009-19212-17,131.202.240.87,61009,62.193.155.87,19212,2015-01-04 15:07:23,1,1,117.0,319.0,0
131.202.240.87-89.252.54.128-61009-42409-17,131.202.240.87,61009,89.252.54.128,42409,2015-01-04 15:10:22,2,0,137.0,0.0,0
58.34.8.213-131.202.240.87-16001-61009-17,58.34.8.213,16001,131.202.240.87,61009,2015-01-04 15:05:58,2,2,202.0,682.0,0
131.202.240.87-95.211.210.136-61009-6881-17,131.202.240.87,61009,95.211.210.136,6881,2015-01-04 15:07:14,1,1,103.0,277.0,0
24.107.233.243-131.202.240.87-56937-61009-17,24.107.233.243,56937,131.202.240.87,61009,2015-01-04 15:09:14,1,1,106.0,319.0,0
131.202.240.87-195.240.155.29-61009-11987-17,131.202.240.87,61009,195.240.155.29,11987,2015-01-04 15:07:32,2,2,319.0,389.0,0
131.202.240.87-202.160.34.88-61009-11266-17,131.202.240.87,61009,202.160.34.88,11266,2015-01-04 15:07:23,1,1,117.0,300.0,0
77.221.113.197-131.202.240.87-14330-61009-17,77.221.113.197,14330,131.202.240.87,61009,2015-01-04 15:09:40,2,2,206.0,578.0,0
131.202.240.87-88.172.2.174-17091-20244-6,131.202.240.87,17091,88.172.2.174,20244,2015-01-04 15:07:22,3,0,0.0,0.0,0
93.184.238.133-131.202.240.87-20905-61009-17,93.184.238.133,20905,131.202.240.87,61009,2015-01-04 15:06:44,1,1,98.0,293.0,0
131.202.240.87-67.193.156.88-61009-46618-17,131.202.240.87,61009,67.193.156.88,46618,2015-01-04 15:07:21,2,2,319.0,415.0,0
131.202.240.87-224.0.0.252-51381-5355-17,131.202.240.87,51381,224.0.0.252,5355,2015-01-04 15:10:49,2,0,44.0,0.0,0
93.150.140.75-131.202.240.87-58531-61009-17,93.150.140.75,58531,131.202.240.87,61009,2015-01-04 15:07:13,8,8,824.0,2312.0,0
131.202.240.87-79.177.205.217-61009-63121-17,131.202.240.87,61009,79.177.205.217,63121,2015-01-04 15:09:27,2,0,137.0,0.0,0
123.139.209.36-131.202.240.87-23974-61009-17,123.139.209.36,23974,131.202.240.87,61009,2015-01-04 15:10:55,1,1,101.0,287.0,0
131.202.240.87-92.1.113.8-61009-33971-17,131.202.240.87,61009,92.1.113.8,33971,2015-01-04 15:07:14,1,1,103.0,287.0,0
131.202.240.87-181.20.147.64-61009-23644-17,131.202.240.87,61009,181.20.147.64,23644,2015-01-04 15:07:23,1,1,117.0,319.0,0
131.202.240.87-31.192.27.29-61009-23208-17,131.202.240.87,61009,31.192.27.29,23208,2015-01-04 15:07:21,1,1,117.0,337.0,0
185.3.16.52-131.202.240.87-6881-61009-17,185.3.16.52,6881,131.202.240.87,61009,2015-01-04 15:06:10,1,1,101.0,287.0,0
31.23.241.55-131.202.240.87-28209-61009-17,31.23.241.55,28209,131.202.240.87,61009,2015-01-04 15:08:20,1,1,101.0,287.0,0
131.202.240.87-1.186.141.225-61009-51413-17,131.202.240.87,61009,1.186.141.225,51413,2015-01-04 15:05:29,1,1,103.0,299.0,0
131.202.240.87-67.215.246.10-61009-6881-17,131.202.240.87,61009,67.215.246.10,6881,2015-01-04 15:07:14,1,1,103.0,488.0,0
81.83.16.95-131.202.240.87-49377-61009-17,81.83.16.95,49377,131.202.240.87,61009,2015-01-04 15:09:55,1,1,103.0,289.0,0
131.202.240.87-78.236.126.220-17090-27588-6,131.202.240.87,17090,78.236.126.220,27588,2015-01-04 15:07:22,3,0,0.0,0.0,0
131.202.240.87-109.72.152.167-61009-44738-17,131.202.240.87,61009,109.72.152.167,44738,2015-01-04 15:07:23,1,1,117.0,312.0,0
126.48.28.237-131.202.240.87-22540-61009-17,126.48.28.237,22540,131.202.240.87,61009,2015-01-04 15:08:28,1,1,117.0,361.0,0
93.142.205.167-131.202.240.87-1026-61009-17,93.142.205.167,1026,131.202.240.87,61009,2015-01-04 15:05:06,1,1,101.0,287.0,0
131.202.240.87-82.221.103.244-61009-6881-17,131.202.240.87,61009,82.221.103.244,6881,2015-01-04 15:07:14,1,1,103.0,488.0,0
131.202.240.87-37.187.116.171-61009-6881-17,131.202.240.87,61009,37.187.116.171,6881,2015-01-04 15:07:15,1,1,103.0,277.0,0
131.202.240.87-87.97.206.140-61009-60799-17,131.202.240.87,61009,87.97.206.140,60799,2015-01-04 15:07:14,1,1,103.0,289.0,0
131.202.240.87-89.71.101.177-61009-35132-17,131.202.240.87,61009,89.71.101.177,35132,2015-01-04 15:07:24,1,1,103.0,287.0,0
177.180.130.193-131.202.240.87-24515-61009-17,177.180.130.193,24515,131.202.240.87,61009,2015-01-04 15:08:00,1,1,67.0,70.0,0
131.202.240.87-224.0.0.252-61635-5355-17,131.202.240.87,61635,224.0.0.252,5355,2015-01-04 15:10:20,2,0,44.0,0.0,0
131.202.240.87-117.247.90.143-61009-29144-17,131.202.240.87,61009,117.247.90.143,29144,2015-01-04 15:07:26,2,2,319.0,415.0,0
