Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-224.0.0.252-65260-5355-17,131.202.240.87,65260,224.0.0.252,5355,29/04/2015 10:05:23 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-62624-5355-17,131.202.240.87,62624,224.0.0.252,5355,29/04/2015 10:25:41 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-58155-5355-17,131.202.240.87,58155,224.0.0.252,5355,29/04/2015 09:55:34 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-64554-5355-17,131.202.240.87,64554,224.0.0.252,5355,29/04/2015 10:31:25 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-56867-5355-17,131.202.240.87,56867,224.0.0.252,5355,29/04/2015 10:35:39 a.m.,2,44.0,0
131.202.240.87-194.221.62.228-13929-80-17,131.202.240.87,13929,194.221.62.228,80,29/04/2015 09:48:24 a.m.,100,17200.0,0
131.202.240.87-224.0.0.252-56670-5355-17,131.202.240.87,56670,224.0.0.252,5355,29/04/2015 09:56:14 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-53073-5355-17,131.202.240.87,53073,224.0.0.252,5355,29/04/2015 10:06:16 a.m.,2,44.0,0
131.202.240.87-194.221.62.228-13949-80-17,131.202.240.87,13949,194.221.62.228,80,29/04/2015 10:49:16 a.m.,7,1204.0,0
131.202.240.87-224.0.0.252-58609-5355-17,131.202.240.87,58609,224.0.0.252,5355,29/04/2015 10:02:13 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-62329-5355-17,131.202.240.87,62329,224.0.0.252,5355,29/04/2015 10:00:43 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-51332-5355-17,131.202.240.87,51332,224.0.0.252,5355,29/04/2015 10:45:45 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-54654-5355-17,131.202.240.87,54654,224.0.0.252,5355,29/04/2015 10:35:30 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-51838-5355-17,131.202.240.87,51838,224.0.0.252,5355,29/04/2015 10:13:29 a.m.,2,48.0,0
131.202.240.87-224.0.0.252-62524-5355-17,131.202.240.87,62524,224.0.0.252,5355,29/04/2015 10:25:28 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-49907-5355-17,131.202.240.87,49907,224.0.0.252,5355,29/04/2015 09:50:41 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13925-53-17,131.202.240.87,13925,131.202.244.3,53,29/04/2015 09:48:24 a.m.,2,158.0,0
131.202.240.87-224.0.0.252-54180-5355-17,131.202.240.87,54180,224.0.0.252,5355,29/04/2015 10:44:04 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13945-53-17,131.202.240.87,13945,131.202.244.3,53,29/04/2015 10:49:16 a.m.,2,158.0,0
131.202.240.87-224.0.0.252-54474-5355-17,131.202.240.87,54474,224.0.0.252,5355,29/04/2015 10:05:36 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-49447-5355-17,131.202.240.87,49447,224.0.0.252,5355,29/04/2015 10:41:28 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-63639-5355-17,131.202.240.87,63639,224.0.0.252,5355,29/04/2015 09:50:45 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13938-53-17,131.202.240.87,13938,131.202.244.3,53,29/04/2015 10:35:24 a.m.,2,544.0,0
131.202.240.87-80.239.235.228-13921-80-17,131.202.240.87,13921,80.239.235.228,80,29/04/2015 09:47:03 a.m.,5,860.0,0
131.202.240.87-224.0.0.252-59241-5355-17,131.202.240.87,59241,224.0.0.252,5355,29/04/2015 10:05:31 a.m.,2,44.0,0
131.202.240.87-195.219.64.228-13921-80-17,131.202.240.87,13921,195.219.64.228,80,29/04/2015 09:47:03 a.m.,5,860.0,0
131.202.240.87-131.202.244.3-52739-53-17,131.202.240.87,52739,131.202.244.3,53,29/04/2015 10:13:29 a.m.,2,118.0,0
131.202.240.87-224.0.0.252-56603-5355-17,131.202.240.87,56603,224.0.0.252,5355,29/04/2015 10:05:31 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13944-53-17,131.202.240.87,13944,131.202.244.3,53,29/04/2015 10:49:16 a.m.,2,174.0,0
131.202.240.87-77.72.168.228-13929-80-17,131.202.240.87,13929,77.72.168.228,80,29/04/2015 09:48:24 a.m.,100,17200.0,0
131.202.240.87-224.0.0.252-59144-5355-17,131.202.240.87,59144,224.0.0.252,5355,29/04/2015 10:12:16 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13932-53-17,131.202.240.87,13932,131.202.244.3,53,29/04/2015 10:05:22 a.m.,2,544.0,0
131.202.240.87-224.0.0.252-51515-5355-17,131.202.240.87,51515,224.0.0.252,5355,29/04/2015 10:36:23 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-55116-5355-17,131.202.240.87,55116,224.0.0.252,5355,29/04/2015 10:31:25 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-52223-5355-17,131.202.240.87,52223,224.0.0.252,5355,29/04/2015 10:45:41 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-63430-5355-17,131.202.240.87,63430,224.0.0.252,5355,29/04/2015 10:44:04 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-58968-5355-17,131.202.240.87,58968,224.0.0.252,5355,29/04/2015 10:12:16 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-57002-5355-17,131.202.240.87,57002,224.0.0.252,5355,29/04/2015 10:02:13 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-51163-5355-17,131.202.240.87,51163,224.0.0.252,5355,29/04/2015 10:15:25 a.m.,2,44.0,0
131.202.240.87-96.44.142.5-13933-123-17,131.202.240.87,13933,96.44.142.5,123,29/04/2015 10:05:23 a.m.,2,96.0,0
131.202.240.87-224.0.0.252-63032-5355-17,131.202.240.87,63032,224.0.0.252,5355,29/04/2015 09:55:28 a.m.,2,44.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,29/04/2015 10:46:25 a.m.,3,150.0,0
131.202.240.87-131.202.244.3-13936-53-17,131.202.240.87,13936,131.202.244.3,53,29/04/2015 10:25:23 a.m.,2,544.0,0
131.202.240.87-224.0.0.252-59120-5355-17,131.202.240.87,59120,224.0.0.252,5355,29/04/2015 09:55:21 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-64490-5355-17,131.202.240.87,64490,224.0.0.252,5355,29/04/2015 10:20:52 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-57935-5355-17,131.202.240.87,57935,224.0.0.252,5355,29/04/2015 10:05:32 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-53724-5355-17,131.202.240.87,53724,224.0.0.252,5355,29/04/2015 10:15:39 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-64321-5355-17,131.202.240.87,64321,224.0.0.252,5355,29/04/2015 10:26:21 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-55866-5355-17,131.202.240.87,55866,224.0.0.252,5355,29/04/2015 10:01:19 a.m.,2,44.0,0
131.202.240.87-198.100.30.94-13941-123-17,131.202.240.87,13941,198.100.30.94,123,29/04/2015 10:45:24 a.m.,2,96.0,0
131.202.240.87-224.0.0.252-61713-5355-17,131.202.240.87,61713,224.0.0.252,5355,29/04/2015 10:15:34 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-49159-5355-17,131.202.240.87,49159,224.0.0.252,5355,29/04/2015 10:15:34 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-52313-53-17,131.202.240.87,52313,131.202.244.3,53,29/04/2015 10:24:38 a.m.,2,300.0,0
131.202.240.87-80.239.235.228-13949-80-17,131.202.240.87,13949,80.239.235.228,80,29/04/2015 10:49:16 a.m.,7,1204.0,0
131.202.240.87-62.41.83.228-13929-80-17,131.202.240.87,13929,62.41.83.228,80,29/04/2015 09:48:24 a.m.,100,17200.0,0
131.202.240.87-224.0.0.252-58238-5355-17,131.202.240.87,58238,224.0.0.252,5355,29/04/2015 10:16:19 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-61116-5355-17,131.202.240.87,61116,224.0.0.252,5355,29/04/2015 10:45:32 a.m.,2,44.0,0
131.202.240.87-195.219.64.228-13949-80-17,131.202.240.87,13949,195.219.64.228,80,29/04/2015 10:49:16 a.m.,7,1204.0,0
131.202.240.87-224.0.0.252-62308-5355-17,131.202.240.87,62308,224.0.0.252,5355,29/04/2015 10:20:52 a.m.,2,44.0,0
131.202.240.87-146.231.129.86-13939-123-17,131.202.240.87,13939,146.231.129.86,123,29/04/2015 10:35:24 a.m.,2,96.0,0
131.202.240.87-224.0.0.252-62390-5355-17,131.202.240.87,62390,224.0.0.252,5355,29/04/2015 09:50:45 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-62215-5355-17,131.202.240.87,62215,224.0.0.252,5355,29/04/2015 10:32:20 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-64652-5355-17,131.202.240.87,64652,224.0.0.252,5355,29/04/2015 10:22:18 a.m.,2,44.0,0
131.202.240.87-62.41.83.228-13949-80-17,131.202.240.87,13949,62.41.83.228,80,29/04/2015 10:49:16 a.m.,7,1204.0,0
131.202.240.87-131.202.244.3-49363-53-17,131.202.240.87,49363,131.202.244.3,53,29/04/2015 09:49:28 a.m.,2,545.0,0
131.202.240.87-224.0.0.252-62414-5355-17,131.202.240.87,62414,224.0.0.252,5355,29/04/2015 10:24:35 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-57581-5355-17,131.202.240.87,57581,224.0.0.252,5355,29/04/2015 10:35:39 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13928-53-17,131.202.240.87,13928,131.202.244.3,53,29/04/2015 09:48:24 a.m.,2,158.0,0
131.202.240.87-224.0.0.252-63102-5355-17,131.202.240.87,63102,224.0.0.252,5355,29/04/2015 09:55:34 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-56410-5355-17,131.202.240.87,56410,224.0.0.252,5355,29/04/2015 10:21:23 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-52961-5355-17,131.202.240.87,52961,224.0.0.252,5355,29/04/2015 09:50:41 a.m.,2,44.0,0
131.202.240.87-130.217.226.50-13931-123-17,131.202.240.87,13931,130.217.226.50,123,29/04/2015 09:55:22 a.m.,2,96.0,0
131.202.240.87-208.167.230.116-13921-80-17,131.202.240.87,13921,208.167.230.116,80,29/04/2015 09:47:03 a.m.,4,688.0,0
131.202.240.87-224.0.0.252-60006-5355-17,131.202.240.87,60006,224.0.0.252,5355,29/04/2015 10:10:50 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13934-53-17,131.202.240.87,13934,131.202.244.3,53,29/04/2015 10:15:23 a.m.,2,544.0,0
131.202.240.87-224.0.0.252-53631-5355-17,131.202.240.87,53631,224.0.0.252,5355,29/04/2015 10:24:35 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-59671-5355-17,131.202.240.87,59671,224.0.0.252,5355,29/04/2015 10:30:54 a.m.,2,44.0,0
131.202.240.87-77.72.168.228-13949-80-17,131.202.240.87,13949,77.72.168.228,80,29/04/2015 10:49:16 a.m.,7,1204.0,0
131.202.240.87-224.0.0.252-59581-5355-17,131.202.240.87,59581,224.0.0.252,5355,29/04/2015 10:01:19 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-65244-5355-17,131.202.240.87,65244,224.0.0.252,5355,29/04/2015 10:15:33 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-58841-5355-17,131.202.240.87,58841,224.0.0.252,5355,29/04/2015 10:45:40 a.m.,2,44.0,0
131.202.240.87-131.202.244.3-13940-53-17,131.202.240.87,13940,131.202.244.3,53,29/04/2015 10:45:24 a.m.,2,544.0,0
194.63.142.85-131.202.240.87-56814-22-6,194.63.142.85,56814,131.202.240.87,22,29/04/2015 10:22:46 a.m.,2,0.0,0
131.202.240.87-224.0.0.252-52132-5355-17,131.202.240.87,52132,224.0.0.252,5355,29/04/2015 10:25:41 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-52508-5355-17,131.202.240.87,52508,224.0.0.252,5355,29/04/2015 09:56:14 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-60652-5355-17,131.202.240.87,60652,224.0.0.252,5355,29/04/2015 10:06:16 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-62278-5355-17,131.202.240.87,62278,224.0.0.252,5355,29/04/2015 10:15:25 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-53959-5355-17,131.202.240.87,53959,224.0.0.252,5355,29/04/2015 10:42:22 a.m.,2,44.0,0
131.202.240.87-224.0.0.252-62173-5355-17,131.202.240.87,62173,224.0.0.252,5355,29/04/2015 09:55:30 a.m.,2,44.0,0
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,29/04/2015 10:49:03 a.m.,973,80894.0,0
131.202.240.87-224.0.0.252-60831-5355-17,131.202.240.87,60831,224.0.0.252,5355,29/04/2015 10:00:47 a.m.,2,44.0,0
